Date,blockchain/utxo_count
2010-01-16,32115.0
2010-01-17,32246.0
2010-01-18,32372.0
2010-01-19,32496.0
2010-01-20,32654.0
2010-01-21,32826.0
2010-01-22,32958.0
2010-01-23,33119.0
2010-01-24,33273.0
2010-01-25,33428.0
2010-01-26,33611.0
2010-01-27,33757.0
2010-01-28,33915.0
2010-01-29,34097.0
2010-01-30,34277.0
2010-01-31,34426.0
2010-02-01,34602.0
2010-02-02,34727.0
2010-02-03,34993.0
2010-02-04,35188.0
2010-02-05,35172.0
2010-02-06,35348.0
2010-02-07,35562.0
2010-02-08,35646.0
2010-02-09,35439.0
2010-02-10,35006.0
2010-02-11,35106.0
2010-02-12,35242.0
2010-02-13,35393.0
2010-02-14,35556.0
2010-02-15,35654.0
2010-02-16,35841.0
2010-02-17,36066.0
2010-02-18,36224.0
2010-02-19,36417.0
2010-02-20,36614.0
2010-02-21,36716.0
2010-02-22,36715.0
2010-02-23,36965.0
2010-02-24,37035.0
2010-02-25,37050.0
2010-02-26,37208.0
2010-02-27,37373.0
2010-02-28,37427.0
2010-03-01,37594.0
2010-03-02,37747.0
2010-03-03,37789.0
2010-03-04,37590.0
2010-03-05,37761.0
2010-03-06,37852.0
2010-03-07,37921.0
2010-03-08,37872.0
2010-03-09,37939.0
2010-03-10,38069.0
2010-03-11,38141.0
2010-03-12,38257.0
2010-03-13,38375.0
2010-03-14,38492.0
2010-03-15,38630.0
2010-03-16,38734.0
2010-03-17,38848.0
2010-03-18,38919.0
2010-03-19,38955.0
2010-03-20,39092.0
2010-03-21,39273.0
2010-03-22,39419.0
2010-03-23,39563.0
2010-03-24,39713.0
2010-03-25,39573.0
2010-03-26,39711.0
2010-03-27,39872.0
2010-03-28,40045.0
2010-03-29,40184.0
2010-03-30,40394.0
2010-03-31,40584.0
2010-04-01,40735.0
2010-04-02,40876.0
2010-04-03,41019.0
2010-04-04,41135.0
2010-04-05,41185.0
2010-04-06,41263.0
2010-04-07,41364.0
2010-04-08,41511.0
2010-04-09,41591.0
2010-04-10,41615.0
2010-04-11,41717.0
2010-04-12,41808.0
2010-04-13,41981.0
2010-04-14,42102.0
2010-04-15,41736.0
2010-04-16,41756.0
2010-04-17,41925.0
2010-04-18,44998.0
2010-04-19,44979.0
2010-04-20,45006.0
2010-04-21,45110.0
2010-04-22,45256.0
2010-04-23,45410.0
2010-04-24,45463.0
2010-04-25,45491.0
2010-04-26,45612.0
2010-04-27,45776.0
2010-04-28,45877.0
2010-04-29,46004.0
2010-04-30,46136.0
2010-05-01,46279.0
2010-05-02,46416.0
2010-05-03,46488.0
2010-05-04,46463.0
2010-05-05,46456.0
2010-05-06,46350.0
2010-05-07,46415.0
2010-05-08,46321.0
2010-05-09,46402.0
2010-05-10,46408.0
2010-05-11,46499.0
2010-05-12,46524.0
2010-05-13,46577.0
2010-05-14,45797.0
2010-05-15,44887.0
2010-05-16,44973.0
2010-05-17,45018.0
2010-05-18,45112.0
2010-05-19,45194.0
2010-05-20,45359.0
2010-05-21,45414.0
2010-05-22,45380.0
2010-05-23,45501.0
2010-05-24,45638.0
2010-05-25,45774.0
2010-05-26,45891.0
2010-05-27,45980.0
2010-05-28,46163.0
2010-05-29,46249.0
2010-05-30,46363.0
2010-05-31,46466.0
2010-06-01,46541.0
2010-06-02,46663.0
2010-06-03,46685.0
2010-06-04,46796.0
2010-06-05,46898.0
2010-06-06,46991.0
2010-06-07,46905.0
2010-06-08,46998.0
2010-06-09,47073.0
2010-06-10,47211.0
2010-06-11,47329.0
2010-06-12,47432.0
2010-06-13,47537.0
2010-06-14,47590.0
2010-06-15,47745.0
2010-06-16,47779.0
2010-06-17,47904.0
2010-06-18,47987.0
2010-06-19,47972.0
2010-06-20,48116.0
2010-06-21,48243.0
2010-06-22,48324.0
2010-06-23,48461.0
2010-06-24,48559.0
2010-06-25,48702.0
2010-06-26,48845.0
2010-06-27,48979.0
2010-06-28,49107.0
2010-06-29,49166.0
2010-06-30,48434.0
2010-07-01,48537.0
2010-07-02,48328.0
2010-07-03,48463.0
2010-07-04,48388.0
2010-07-05,48463.0
2010-07-06,48585.0
2010-07-07,48610.0
2010-07-08,48733.0
2010-07-09,48900.0
2010-07-10,48966.0
2010-07-11,49168.0
2010-07-12,50934.0
2010-07-13,51950.0
2010-07-14,57253.0
2010-07-15,56872.0
2010-07-16,57519.0
2010-07-17,57568.0
2010-07-18,57528.0
2010-07-19,57696.0
2010-07-20,57869.0
2010-07-21,57996.0
2010-07-22,58225.0
2010-07-23,58444.0
2010-07-24,58563.0
2010-07-25,58635.0
2010-07-26,57986.0
2010-07-27,58098.0
2010-07-28,57727.0
2010-07-29,57947.0
2010-07-30,57938.0
2010-07-31,57989.0
2010-08-01,58137.0
2010-08-02,58290.0
2010-08-03,58581.0
2010-08-04,58793.0
2010-08-05,58703.0
2010-08-06,58792.0
2010-08-07,58730.0
2010-08-08,58925.0
2010-08-09,58079.0
2010-08-10,58196.0
2010-08-11,58295.0
2010-08-12,58528.0
2010-08-13,58577.0
2010-08-14,58636.0
2010-08-15,58743.0
2010-08-16,58717.0
2010-08-17,58844.0
2010-08-18,58069.0
2010-08-19,58213.0
2010-08-20,58363.0
2010-08-21,58514.0
2010-08-22,58624.0
2010-08-23,58731.0
2010-08-24,58443.0
2010-08-25,58641.0
2010-08-26,58672.0
2010-08-27,58773.0
2010-08-28,58851.0
2010-08-29,58995.0
2010-08-30,59065.0
2010-08-31,58849.0
2010-09-01,58826.0
2010-09-02,58883.0
2010-09-03,59041.0
2010-09-04,59162.0
2010-09-05,59247.0
2010-09-06,59313.0
2010-09-07,59421.0
2010-09-08,59563.0
2010-09-09,59656.0
2010-09-10,59815.0
2010-09-11,59966.0
2010-09-12,59959.0
2010-09-13,60042.0
2010-09-14,60176.0
2010-09-15,60309.0
2010-09-16,60427.0
2010-09-17,60075.0
2010-09-18,60232.0
2010-09-19,60284.0
2010-09-20,60386.0
2010-09-21,60443.0
2010-09-22,60568.0
2010-09-23,60668.0
2010-09-24,60829.0
2010-09-25,60930.0
2010-09-26,61034.0
2010-09-27,60836.0
2010-09-28,59982.0
2010-09-29,60057.0
2010-09-30,60160.0
2010-10-01,60470.0
2010-10-02,60445.0
2010-10-03,60561.0
2010-10-04,60562.0
2010-10-05,60605.0
2010-10-06,60717.0
2010-10-07,60759.0
2010-10-08,60668.0
2010-10-09,60645.0
2010-10-10,60748.0
2010-10-11,60827.0
2010-10-12,60918.0
2010-10-13,60692.0
2010-10-14,60766.0
2010-10-15,60894.0
2010-10-16,60868.0
2010-10-17,61034.0
2010-10-18,61165.0
2010-10-19,61426.0
2010-10-20,61592.0
2010-10-21,61668.0
2010-10-22,61789.0
2010-10-23,61950.0
2010-10-24,62129.0
2010-10-25,62210.0
2010-10-26,62447.0
2010-10-27,62494.0
2010-10-28,62541.0
2010-10-29,62554.0
2010-10-30,62719.0
2010-10-31,62753.0
2010-11-01,62847.0
2010-11-02,62964.0
2010-11-03,63078.0
2010-11-04,63137.0
2010-11-05,63075.0
2010-11-06,63209.0
2010-11-07,63335.0
2010-11-08,62731.0
2010-11-09,62843.0
2010-11-10,62998.0
2010-11-11,63137.0
2010-11-12,63236.0
2010-11-13,63330.0
2010-11-14,63229.0
2010-11-15,64200.0
2010-11-16,66828.0
2010-11-17,66978.0
2010-11-18,67177.0
2010-11-19,67218.0
2010-11-20,67510.0
2010-11-21,67583.0
2010-11-22,67688.0
