Date,blockchain/utxo_created_value_mean
2010-06-26,319.233205741627
2010-06-27,87.6244897959184
2010-06-28,213.704655870445
2010-06-29,164.74110367893
2010-06-30,206.028685897436
2010-07-01,125.20364548495
2010-07-02,451.002874015748
2010-07-03,156.312292358804
2010-07-04,116.997826086957
2010-07-05,240.492286821705
2010-07-06,130.448356807512
2010-07-07,237.209625
2010-07-08,101.76225
2010-07-09,75.6912280701755
2010-07-10,121.126454183267
2010-07-11,119.282356687898
2010-07-12,708.587562550444
2010-07-13,170.78982260517
2010-07-14,30.5507368329265
2010-07-15,65.1357373400111
2010-07-16,53.3069554455446
2010-07-17,59.5416
2010-07-18,78.0945629370629
2010-07-19,77.1405386740332
2010-07-20,43.0412596685082
2010-07-21,63.4466444073456
2010-07-22,92.4267557251908
2010-07-23,57.9632695984704
2010-07-24,40.6977505738332
2010-07-25,17.5705725419664
2010-07-26,172.051857638889
2010-07-27,68.2499151103566
2010-07-28,36.6022927775084
2010-07-29,14.2370522577372
2010-07-30,72.4302475247525
2010-07-31,73.7276368876081
2010-08-01,632.399596412557
2010-08-02,162.020064239829
2010-08-03,53.0538382804503
2010-08-04,80.4682776801406
2010-08-05,72.1088005578801
2010-08-06,52.1770824949698
2010-08-07,100.98752293578
2010-08-08,39.1603281853282
2010-08-09,156.792815884476
2010-08-10,106.950369458128
2010-08-11,138.044419087137
2010-08-12,53.8596957403651
2010-08-13,62.0766802168021
2010-08-14,61.3625557809331
2010-08-15,79.2633139534884
2010-08-16,125.656617405583
2010-08-17,134.715966587112
2010-08-18,83.5645161290323
2010-08-19,65.4267469879518
2010-08-20,72.9152602230483
2010-08-21,108.302768878719
2010-08-22,71.8013657407408
2010-08-23,63.8788988764045
2010-08-24,68.4815268817204
2010-08-25,62.4091121495327
2010-08-26,56.8914712643678
2010-08-27,104.627247191011
2010-08-28,58.0358429364896
2010-08-29,53.5403525641026
2010-08-30,50.4476540305687
2010-08-31,89.2458951112116
2010-09-01,69.7287428521904
2010-09-02,105.812686567413
2010-09-03,94.432605459057
2010-09-04,119.866134969325
2010-09-05,378.801328125
2010-09-06,247.780830855786
2010-09-07,80.2485015290519
2010-09-08,59.5351953944827
2010-09-09,95.1575581353488
2010-09-10,49.1951495683761
2010-09-11,48.0696833773087
2010-09-12,56.1831557383197
2010-09-13,218.277656250174
2010-09-14,75.174859489368
