Date,market/price_drawdown_relative
2010-10-14,-0.41714285714285715
2010-10-15,-0.4
2010-10-16,-0.4228571428571428
2010-10-17,-0.41714285714285715
2010-10-18,-0.4148571428571428
2010-10-19,-0.44485714285714284
2010-10-20,-0.4342857142857143
2010-10-21,-0.38857142857142857
2010-10-22,-0.39428571428571424
2010-10-23,-0.4000285714285714
2010-10-24,-0.39468421052631575
2010-10-25,-0.3052631578947368
2010-10-26,-0.20894736842105266
2010-10-27,-0.01210526315789473
2010-10-28,-0.09371727748691094
2010-10-29,-0.005235602094240788
2010-10-30,0.0
2010-10-31,-0.03217697335344394
2010-11-01,-0.017094017094017033
2010-11-02,-0.02564102564102566
2010-11-03,-0.18488813845504437
2010-11-04,-0.029126213592232997
2010-11-05,0.0
2010-11-06,-0.22448979591836737
2010-11-07,-0.30612244897959173
2010-11-08,-0.5040816326530613
2010-11-09,-0.5714285714285714
2010-11-10,-0.5179591836734694
2010-11-11,-0.5446938775510204
2010-11-12,-0.4526530612244898
2010-11-13,-0.43673469387755093
2010-11-14,-0.43053061224489797
2010-11-15,-0.4526530612244898
2010-11-16,-0.5408163265306123
2010-11-17,-0.49517006802721086
2010-11-18,-0.45346938775510204
2010-11-19,-0.43836734693877555
2010-11-20,-0.4205
2010-11-21,-0.435204081632653
2010-11-22,-0.419795918367347
2010-11-23,-0.4225510204081633
2010-11-24,-0.422469387755102
2010-11-25,-0.4285714285714285
2010-11-26,-0.4195918367346939
2010-11-27,-0.4224489795918367
2010-11-28,-0.44677149548343975
2010-11-29,-0.5243877551020408
2010-11-30,-0.5751020408163265
2010-12-01,-0.5357142857142857
2010-12-02,-0.47959183673469385
2010-12-03,-0.4876530612244898
2010-12-04,-0.5795918367346939
2010-12-05,-0.6020408163265306
2010-12-06,-0.5836734693877551
2010-12-07,-0.5171428571428571
2010-12-08,-0.5126530612244897
2010-12-09,-0.6079489795918367
2010-12-10,-0.5839795918367348
2010-12-11,-0.5346938775510204
2010-12-12,-0.5510204081632653
2010-12-13,-0.5308163265306123
2010-12-14,-0.49655102040816324
2010-12-15,-0.5102040816326531
2010-12-16,-0.4898775510204082
2010-12-17,-0.5102040816326531
2010-12-18,-0.5081632653061224
2010-12-19,-0.51
2010-12-20,-0.45510204081632644
2010-12-21,-0.5102040816326531
2010-12-22,-0.4897959183673469
2010-12-23,-0.4923418367346938
2010-12-24,-0.4938775510204082
2010-12-25,-0.49
2010-12-26,-0.4591836734693877
2010-12-27,-0.4591836734693877
2010-12-28,-0.42653061224489786
2010-12-29,-0.38816326530612244
2010-12-30,-0.3877551020408163
