Date,market/marketcap_usd
2012-03-30,41441000.24050148
2012-03-31,42144739.57695026
2012-04-01,41745783.47993851
2012-04-02,42269669.38187609
2012-04-03,42833002.1840269
2012-04-04,42905773.73487429
2012-04-05,42710713.24568129
2012-04-06,43025990.09144346
2012-04-07,42043950.29580128
2012-04-08,41311874.42576357
2012-04-09,41647477.222606756
2012-04-10,42181180.4278761
2012-04-11,42573086.57052711
2012-04-12,42774981.39530129
2012-04-13,42717411.6121723
2012-04-14,43529228.2860378
2012-04-15,43212638.23777558
2012-04-16,43309448.357943535
2012-04-17,43588309.00144462
2012-04-18,44868571.89108883
2012-04-19,45294339.6005401
2012-04-20,45635511.89652397
2012-04-21,46705705.95784794
2012-04-22,45939235.7576343
2012-04-23,45629792.6432766
2012-04-24,44849176.37474079
2012-04-25,45214662.1281913
2012-04-26,45126822.002808385
2012-04-27,45156331.55541807
2012-04-28,44299097.44957093
2012-04-29,43874853.123014614
2012-04-30,43871992.81053266
2012-05-01,44129737.891248256
2012-05-02,45305727.85108494
2012-05-03,45299709.17690481
2012-05-04,45532659.2907919
2012-05-05,45201423.41351007
2012-05-06,45108318.78398827
2012-05-07,45132637.106817484
2012-05-08,45055576.441872776
2012-05-09,45249626.21572846
2012-05-10,45040993.58270294
2012-05-11,44261508.841151655
2012-05-12,44451106.0667793
2012-05-13,44565543.67083288
2012-05-14,44636724.095581695
2012-05-15,45004218.3342957
2012-05-16,45524560.8758166
2012-05-17,45768285.40069233
2012-05-18,45934986.395066015
2012-05-19,46069376.125479534
2012-05-20,46125112.69035474
2012-05-21,45992230.27331378
2012-05-22,46011433.53862612
2012-05-23,46305529.58972075
2012-05-24,46367822.016416095
2012-05-25,46445799.02200984
2012-05-26,46347474.81470464
2012-05-27,46360651.995172866
2012-05-28,46489483.85934799
2012-05-29,46580988.033955336
2012-05-30,46786812.750610024
2012-05-31,46899746.80306475
2012-06-01,47705087.92039671
2012-06-02,47689825.28971356
2012-06-03,47614413.15257011
2012-06-04,47803923.381571725
2012-06-05,49218772.12604165
2012-06-06,49784414.5128453
2012-06-07,50259943.99595762
2012-06-08,51471164.94353294
2012-06-09,51434060.93858766
2012-06-10,50515192.42393985
2012-06-11,50490485.64909124
2012-06-12,51447962.70672391
2012-06-13,53696046.14906798
2012-06-14,54275721.70488565
2012-06-15,55440810.84874035
2012-06-16,59693439.442631744
2012-06-17,58973972.436644204
2012-06-18,57966552.30718201
2012-06-19,59603488.20229164
2012-06-20,60942835.31029034
2012-06-21,62021671.59608813
2012-06-22,61470221.94539654
2012-06-23,60102931.90081364
2012-06-24,59420147.16028523
2012-06-25,58596208.50508709
2012-06-26,59470857.792204164
2012-06-27,60487946.77019668
2012-06-28,61455502.12416692
2012-06-29,61817660.642513484
2012-06-30,62211388.63787981
2012-07-01,62055343.88270366
2012-07-02,62523677.78488504
2012-07-03,61575515.51304334
2012-07-04,60936551.545930855
2012-07-05,62141605.85104407
2012-07-06,62074032.29934853
2012-07-07,62903865.89233963
2012-07-08,63530042.72708164
2012-07-09,64251624.27669105
2012-07-10,66893525.7132997
2012-07-11,66998510.84007955
2012-07-12,67788500.4657576
2012-07-13,72086598.1413442
2012-07-14,71651779.08865559
2012-07-15,71190990.28625381
2012-07-16,74091124.13494669
2012-07-17,79065274.83379395
2012-07-18,84972148.2651079
2012-07-19,86401781.80624382
2012-07-20,78344813.34195703
2012-07-21,82876602.16950403
2012-07-22,82899335.53408614
2012-07-23,82320060.36757775
2012-07-24,82068082.9583478
2012-07-25,80967523.0394457
2012-07-26,83396301.61958839
2012-07-27,84790311.0356024
2012-07-28,84792449.77050342
2012-07-29,83920622.87817185
2012-07-30,85055100.55070093
2012-07-31,88559376.90383092
2012-08-01,90142463.6634337
2012-08-02,93665525.48763356
2012-08-03,102362602.74566142
2012-08-04,106139059.96288021
2012-08-05,100987856.55893916
2012-08-06,104482233.75511073
2012-08-07,104076166.64278223
2012-08-08,105953519.11321136
2012-08-09,108245927.38450335
2012-08-10,109029536.52787009
2012-08-11,110900560.95088772
2012-08-12,112237417.03390084
2012-08-13,113510104.79257862
2012-08-14,116847717.77545857
2012-08-15,121433779.40543027
2012-08-16,129048574.16793175
2012-08-17,136243455.71489945
2012-08-18,115728072.82076378
2012-08-19,93819753.42046896
2012-08-20,92869564.09960672
2012-08-21,97696578.47095071
2012-08-22,96455098.68495493
2012-08-23,97151949.14248176
2012-08-24,98736203.61417161
2012-08-25,102033190.04487841
2012-08-26,103426151.87919399
2012-08-27,109726383.75828843
2012-08-28,107315663.18078254
2012-08-29,106681722.52966745
2012-08-30,105858697.52966443
2012-08-31,102305349.48511496
2012-09-01,98172088.97214042
2012-09-02,98246391.15530172
2012-09-03,101297929.75809096
2012-09-04,101835239.9490702
2012-09-05,103293554.93215962
2012-09-06,107562214.92740242
2012-09-07,109739298.79074526
2012-09-08,108562588.89744784
2012-09-09,109200285.82337017
2012-09-10,109421661.08972426
2012-09-11,109853044.67448193
2012-09-12,111206548.47869895
2012-09-13,112365912.96140173
2012-09-14,114493382.75868419
2012-09-15,116028141.85823882
2012-09-16,117639076.6923836
2012-09-17,118257755.36246069
2012-09-18,119183742.03453335
2012-09-19,123069455.30461246
2012-09-20,124796010.24334417
2012-09-21,123058037.81593972
2012-09-22,122052069.55642562
2012-09-23,120266967.66549243
2012-09-24,120888024.43457001
2012-09-25,120756061.81402665
2012-09-26,121712477.04993822
2012-09-27,123195462.49960808
2012-09-28,123404714.18897006
2012-09-29,124309266.60720578
2012-09-30,123977860.39318337
2012-10-01,123863817.73023239
2012-10-02,125593317.78568557
2012-10-03,128228445.75180642
2012-10-04,129642070.73142737
2012-10-05,128351506.24098936
2012-10-06,127734011.686494
2012-10-07,121618665.90274413
2012-10-08,115000808.28121702
2012-10-09,120997349.47830364
2012-10-10,121604821.83258797
2012-10-11,121737951.89043932
2012-10-12,121758811.99097656
2012-10-13,121250670.23376305
2012-10-14,120298418.13031174
2012-10-15,118721038.29533955
2012-10-16,120296595.5675304
2012-10-17,120296925.54139368
2012-10-18,120555401.95359316
2012-10-19,119801434.87666658
2012-10-20,118935123.86025131
2012-10-21,118817728.19534798
2012-10-22,118858999.45813088
2012-10-23,119340528.26260476
2012-10-24,119057921.45398568
2012-10-25,114493014.44588637
2012-10-26,106535984.16912761
2012-10-27,105443673.54945819
2012-10-28,106971346.87018423
2012-10-29,108703462.67675662
2012-10-30,109748932.315084
2012-10-31,112382729.14143234
2012-11-01,112964034.20016196
2012-11-02,109148090.8908447
2012-11-03,108261906.51377393
2012-11-04,108781535.47647679
2012-11-05,110115233.88676076
2012-11-06,111074977.75599071
2012-11-07,112699883.37261194
2012-11-08,112368091.36900416
2012-11-09,112041865.0824947
2012-11-10,112063776.27753745
2012-11-11,111590732.03201026
2012-11-12,112968019.0970086
2012-11-13,113482536.97926965
2012-11-14,113559917.40646
2012-11-15,114022165.84885177
2012-11-16,118633043.17572092
2012-11-17,121146238.15105356
2012-11-18,121594883.48604472
2012-11-19,121781379.14347723
2012-11-20,122011213.42046374
2012-11-21,122231824.22561026
2012-11-22,125367378.74353984
2012-11-23,127811785.0455747
2012-11-24,128919722.09413463
2012-11-25,130164960.43846865
2012-11-26,130288936.1217084
2012-11-27,127151097.55863918
2012-11-28,128574845.40141986
2012-11-29,129651974.6286453
2012-11-30,131234824.65176532
2012-12-01,131610671.48083226
2012-12-02,131382809.18907446
2012-12-03,131663462.94138585
2012-12-04,134638504.7565936
2012-12-05,139443378.75021327
2012-12-06,141267816.01923805
2012-12-07,140569193.38529864
2012-12-08,141363896.02037415
2012-12-09,139848282.50484803
2012-12-10,140566149.71613753
2012-12-11,141726336.041802
2012-12-12,143265759.39000976
2012-12-13,143572943.8425804
2012-12-14,144171893.10147834
2012-12-15,142508224.91820475
2012-12-16,142096985.0009688
2012-12-17,139372694.50356704
2012-12-18,139479709.97072995
2012-12-19,140607078.97132084
2012-12-20,142192007.64460814
2012-12-21,142356275.00844717
2012-12-22,141365207.4729108
2012-12-23,139980910.86007673
2012-12-24,140903634.9907652
2012-12-25,140704275.37738264
2012-12-26,140660421.47675693
2012-12-27,141289339.74647707
2012-12-28,141699666.68308273
2012-12-29,142162457.63915864
2012-12-30,141753180.9463068
2012-12-31,142470853.50408214
2013-01-01,139946947.76860994
2013-01-02,139603878.7206367
2013-01-03,139738615.82112083
2013-01-04,140175574.98386648
2013-01-05,139695856.3872355
2013-01-06,139339029.5778905
2013-01-07,139826452.5374528
2013-01-08,141521058.02899042
2013-01-09,143579643.33894113
2013-01-10,146521380.26916674
2013-01-11,148793978.84047413
2013-01-12,149136806.21992898
2013-01-13,148023834.46816146
2013-01-14,147653253.7773139
2013-01-15,150808173.19543403
2013-01-16,153585642.48297396
2013-01-17,159087643.6689447
2013-01-18,165524045.50246108
2013-01-19,164996298.42919594
2013-01-20,166048145.97050294
2013-01-21,172902463.59800717
2013-01-22,181698344.65497953
2013-01-23,185200640.40965506
2013-01-24,193456954.00096908
2013-01-25,182878485.19304457
