Date,transactions/size_mean
2017-11-13,471.614437878236
2017-11-14,483.569705039606
2017-11-15,494.12478080813
2017-11-16,500.941774861092
2017-11-17,563.589097732112
2017-11-18,526.167715651286
2017-11-19,630.245641209709
2017-11-20,530.345452327032
2017-11-21,492.324346621095
2017-11-22,505.469387755123
2017-11-23,471.185226530311
2017-11-24,511.130817511269
2017-11-25,485.582180647951
2017-11-26,483.758008521391
2017-11-27,469.553792543122
2017-11-28,453.077619928868
2017-11-29,462.610159907724
2017-11-30,464.192546438355
2017-12-01,473.435549094422
2017-12-02,511.327551480259
2017-12-03,522.235476155397
2017-12-04,482.646790926465
2017-12-05,464.532716364465
2017-12-06,448.894386320209
2017-12-07,423.810158365913
2017-12-08,425.941164245488
2017-12-09,453.500693161392
2017-12-10,507.55343788828
2017-12-11,492.037961387188
2017-12-12,443.949251785706
2017-12-13,463.138072494123
2017-12-14,392.853894005415
2017-12-15,440.759042383983
2017-12-16,496.138082301663
2017-12-17,491.513574574006
2017-12-18,481.12244167721
2017-12-19,392.029967079004
2017-12-20,394.05513034222
2017-12-21,408.719582525717
2017-12-22,432.618061304666
2017-12-23,478.13430951206
2017-12-24,578.799606974241
2017-12-25,619.806596413312
2017-12-26,602.90869719932
2017-12-27,541.468112369336
2017-12-28,529.177698554285
2017-12-29,488.677234285001
2017-12-30,442.611761459358
2017-12-31,582.188259451031
2018-01-01,673.492030248225
2018-01-02,522.338171820582
2018-01-03,422.514843130211
2018-01-04,421.346751718293
2018-01-05,445.522279048594
2018-01-06,493.811508340332
2018-01-07,461.056248896135
2018-01-08,504.63186746395
2018-01-09,480.144162332232
2018-01-10,505.739389505996
2018-01-11,603.852516239056
2018-01-12,625.758579988201
2018-01-13,569.05263831678
2018-01-14,693.095457448175
2018-01-15,580.864641116301
2018-01-16,549.82099444602
2018-01-17,561.889329666294
2018-01-18,587.54475918298
2018-01-19,710.299662359212
2018-01-20,818.986985979474
2018-01-21,934.993255506284
2018-01-22,735.463354999079
2018-01-23,696.917183975513
2018-01-24,752.304419233799
2018-01-25,741.81075365237
2018-01-26,733.335209528653
2018-01-27,842.725965639721
2018-01-28,763.508865946522
2018-01-29,649.237156722466
2018-01-30,697.252121027553
2018-01-31,597.440230408655
2018-02-01,654.675302131224
2018-02-02,728.407983032874
2018-02-03,808.316767060542
2018-02-04,1015.79101372263
2018-02-05,943.393291639301
2018-02-06,743.694072555836
2018-02-07,707.315364878405
2018-02-08,792.833706788009
2018-02-09,817.228448445631
2018-02-10,814.391229905304
2018-02-11,1033.58362403693
2018-02-12,925.291370373538
2018-02-13,926.325084782836
2018-02-14,926.303952343582
2018-02-15,703.486680265799
2018-02-16,828.023579147165
2018-02-17,834.661932734383
2018-02-18,988.710643746123
2018-02-19,870.767447450643
2018-02-20,718.464838589311
2018-02-21,811.701846541013
2018-02-22,747.59899173066
2018-02-23,804.57150422871
2018-02-24,965.069447952878
2018-02-25,838.855533594102
2018-02-26,743.075434839777
2018-02-27,740.608751321406
2018-02-28,863.957798252487
2018-03-01,754.365657871643
2018-03-02,688.876916841524
2018-03-03,993.926409717056
2018-03-04,926.851783137518
2018-03-05,751.869262602523
2018-03-06,774.374283493626
2018-03-07,750.403931325728
2018-03-08,841.191934168938
2018-03-09,760.022930405867
2018-03-10,908.420320588396
2018-03-11,1028.06179883368
2018-03-12,809.739594013833
2018-03-13,719.327448439156
2018-03-14,561.45061760731
2018-03-15,538.210437677758
2018-03-16,570.59687511708
2018-03-17,497.251569515437
2018-03-18,638.883360730599
2018-03-19,548.903497358564
2018-03-20,516.698032721327
2018-03-21,523.026328494986
2018-03-22,616.286634530167
2018-03-23,614.454027882116
2018-03-24,592.65829568408
2018-03-25,567.854527560514
2018-03-26,569.056915290372
2018-03-27,620.368470892875
2018-03-28,551.165881185671
2018-03-29,537.127811961994
2018-03-30,545.061869543224
2018-03-31,582.719487638819
2018-04-01,543.537872220621
2018-04-02,525.761989501379
2018-04-03,553.938069794113
2018-04-04,572.722999735935
2018-04-05,554.625938483893
2018-04-06,658.495615076033
2018-04-07,627.534737373676
2018-04-08,501.61180568603
2018-04-09,615.074670097953
2018-04-10,601.202092874667
2018-04-11,560.998629067048
2018-04-12,603.235140586079
2018-04-13,549.01472477971
2018-04-14,676.568154552085
2018-04-15,794.234453723523
2018-04-16,695.925736738699
2018-04-17,584.40834978031
2018-04-18,537.74290058829
2018-04-19,521.847852070597
2018-04-20,539.782079560785
2018-04-21,626.742539315644
2018-04-22,520.425251878164
2018-04-23,515.60287798408
2018-04-24,604.435474612117
2018-04-25,602.003483044796
2018-04-26,575.722135268775
2018-04-27,643.218843760214
2018-04-28,530.694728154331
2018-04-29,545.058403454377
2018-04-30,539.423210763331
2018-05-01,532.1557800011
2018-05-02,579.150846546887
2018-05-03,573.659495555448
2018-05-04,613.624370235381
2018-05-05,577.218887934368
2018-05-06,605.134445065959
2018-05-07,634.929887318023
2018-05-08,584.319950751366
2018-05-09,567.850411057133
2018-05-10,540.641415278244
2018-05-11,639.608209951415
2018-05-12,584.115279098792
2018-05-13,537.359183339001
2018-05-14,549.485357764879
2018-05-15,538.094580050597
2018-05-16,521.025518042674
2018-05-17,589.498766560551
2018-05-18,587.48453261918
2018-05-19,515.877657116452
2018-05-20,503.907342337514
2018-05-21,585.415250135828
2018-05-22,518.257069876863
2018-05-23,543.096308186201
2018-05-24,502.195038755179
2018-05-25,560.966587587044
2018-05-26,498.532527218964
2018-05-27,510.126973775505
2018-05-28,586.132541409271
2018-05-29,565.039222010435
2018-05-30,533.906916524032
2018-05-31,573.723418483359
2018-06-01,583.388369091403
2018-06-02,542.817608764231
2018-06-03,769.630487506141
2018-06-04,921.014780697377
2018-06-05,697.732421048673
2018-06-06,706.472288747749
2018-06-07,745.853979102015
2018-06-08,649.448315470883
2018-06-09,526.808954037966
2018-06-10,536.418467069597
2018-06-11,520.893145464103
2018-06-12,706.305884821636
2018-06-13,616.543011819389
2018-06-14,542.024771770004
2018-06-15,595.722490131651
2018-06-16,494.593736628834
2018-06-17,532.140655332261
2018-06-18,542.128529986075
2018-06-19,734.56707018002
2018-06-20,840.490665915269
2018-06-21,529.369389167585
2018-06-22,588.428196065544
2018-06-23,523.82659147332
2018-06-24,524.716770878861
2018-06-25,722.624715022804
2018-06-26,798.014739472883
2018-06-27,698.614828891284
2018-06-28,577.094912704634
2018-06-29,569.822854397412
2018-06-30,769.145635736537
2018-07-01,663.790621396554
2018-07-02,698.932669856832
2018-07-03,596.214447609067
2018-07-04,606.263996825631
2018-07-05,538.054245649573
2018-07-06,545.789501725329
2018-07-07,492.641984894469
2018-07-08,601.272981540172
2018-07-09,698.441354585539
2018-07-10,670.156326129843
2018-07-11,670.940815338715
2018-07-12,817.17744377907
2018-07-13,766.200730647231
2018-07-14,874.244008801085
2018-07-15,638.992566048524
2018-07-16,536.369214623401
2018-07-17,618.14462355703
2018-07-18,762.866946080162
2018-07-19,558.361425369528
2018-07-20,556.860973932338
2018-07-21,530.735728287826
2018-07-22,491.609636591252
2018-07-23,644.062713135697
2018-07-24,562.55062326631
2018-07-25,682.925057292904
2018-07-26,549.511537099266
2018-07-27,645.384958338796
2018-07-28,584.857187667798
2018-07-29,544.600628874742
2018-07-30,528.794289180637
2018-07-31,574.994584688872
2018-08-01,616.539021312257
2018-08-02,549.12824848699
2018-08-03,602.506136451703
2018-08-04,527.360056611356
2018-08-05,537.389562902202
2018-08-06,629.953166480517
2018-08-07,658.811961664963
2018-08-08,542.493914626152
2018-08-09,539.175949805781
2018-08-10,616.854955481215
2018-08-11,540.386554184779
2018-08-12,549.14375125085
2018-08-13,612.029921784614
2018-08-14,555.81538349644
2018-08-15,517.671617087894
2018-08-16,518.282538752748
2018-08-17,541.720384177492
2018-08-18,494.587026602013
2018-08-19,536.739134853982
2018-08-20,571.033244427065
2018-08-21,530.048421855545
2018-08-22,538.381135059281
2018-08-23,526.856613398519
2018-08-24,545.165888339653
2018-08-25,524.920758081358
2018-08-26,570.723793850763
2018-08-27,580.472477413168
2018-08-28,565.682986808813
2018-08-29,531.444771642465
2018-08-30,544.360132677719
2018-08-31,529.12293971408
2018-09-01,544.663186039962
2018-09-02,499.471430634065
2018-09-03,547.141663636424
2018-09-04,519.617944421236
2018-09-05,540.095065862904
2018-09-06,528.13903003041
2018-09-07,586.263863717161
2018-09-08,521.493009526226
2018-09-09,531.694117584742
2018-09-10,544.724385020479
2018-09-11,559.108086593941
2018-09-12,510.739797603678
2018-09-13,517.662737491519
2018-09-14,625.42065185237
2018-09-15,524.022523953319
2018-09-16,485.915129583378
2018-09-17,510.321856368505
2018-09-18,544.445143107634
2018-09-19,499.995874538124
2018-09-20,494.898461659817
2018-09-21,533.945571201911
2018-09-22,503.185525019741
2018-09-23,491.05302019793
2018-09-24,502.702107594248
2018-09-25,515.095652208416
2018-09-26,511.820237255325
2018-09-27,504.407362106361
2018-09-28,518.107074404226
2018-09-29,482.810052844597
2018-09-30,490.748071349257
2018-10-01,557.850697678268
2018-10-02,568.415022380278
2018-10-03,501.713691061194
2018-10-04,492.762940985247
2018-10-05,511.716418154539
2018-10-06,536.608798517133
2018-10-07,537.712025647915
2018-10-08,525.411434172629
2018-10-09,532.762450579465
2018-10-10,527.389369324467
2018-10-11,557.956955182443
2018-10-12,612.722842142531
2018-10-13,592.798703136292
2018-10-14,570.739245075728
2018-10-15,572.879613768508
2018-10-16,558.120120853869
2018-10-17,556.229425418099
2018-10-18,542.534795035361
2018-10-19,569.718602671022
2018-10-20,557.45137430934
2018-10-21,537.4627780117
2018-10-22,556.5383922028
2018-10-23,566.542566588625
2018-10-24,507.794997991962
2018-10-25,557.283299667505
2018-10-26,598.170284625041
2018-10-27,531.823074914512
2018-10-28,527.544816129609
2018-10-29,532.581562861649
2018-10-30,513.013588866163
2018-10-31,519.316395946132
2018-11-01,535.09554734604
2018-11-02,545.832188842659
2018-11-03,571.418707874392
2018-11-04,562.90107640055
2018-11-05,507.658427292598
2018-11-06,480.775762907309
2018-11-07,506.433727060929
2018-11-08,510.039214202309
2018-11-09,507.8886982017
2018-11-10,495.834047898304
2018-11-11,516.773748708706
2018-11-12,497.93693182955
2018-11-13,477.203924168582
2018-11-14,504.914701660859
2018-11-15,520.061994248416
2018-11-16,515.497791503839
2018-11-17,504.812189528552
2018-11-18,489.544542723619
2018-11-19,517.635184528365
2018-11-20,550.95255585847
2018-11-21,499.875359543556
2018-11-22,558.696105927202
2018-11-23,513.726211764374
2018-11-24,560.802200308945
2018-11-25,536.52121658186
2018-11-26,512.264062019607
2018-11-27,522.689409914975
2018-11-28,515.711954171218
2018-11-29,512.704547763082
2018-11-30,488.507178392041
2018-12-01,547.914546815974
2018-12-02,514.744912584984
2018-12-03,521.657097839002
2018-12-04,553.48690062246
2018-12-05,525.545124058495
2018-12-06,527.208948228905
2018-12-07,548.916091356162
2018-12-08,533.540278902229
2018-12-09,509.172994577282
2018-12-10,547.81016462134
2018-12-11,535.231470946296
2018-12-12,520.414702471849
2018-12-13,529.248070192429
2018-12-14,560.545058134261
2018-12-15,533.949229246758
2018-12-16,518.034611952039
2018-12-17,530.597315368823
2018-12-18,518.535493786581
2018-12-19,534.597185046464
2018-12-20,535.43985470402
2018-12-21,523.16355260155
2018-12-22,561.995685963641
2018-12-23,519.876510099259
2018-12-24,520.76455933418
2018-12-25,493.140026350255
2018-12-26,496.573100288821
2018-12-27,513.725615816125
2018-12-28,504.195923401493
2018-12-29,507.189486561805
2018-12-30,501.514830088654
2018-12-31,530.377826755395
2019-01-01,509.060999420233
2019-01-02,526.892886998466
2019-01-03,514.714196815662
2019-01-04,507.304438913015
2019-01-05,499.770949594197
2019-01-06,450.935703476652
2019-01-07,487.634557214182
2019-01-08,460.561153429349
2019-01-09,454.518812011596
2019-01-10,462.743894835291
2019-01-11,471.92112878945
2019-01-12,439.639804665836
2019-01-13,422.106071660779
2019-01-14,436.348084131614
2019-01-15,465.136036432605
2019-01-16,483.893287604434
2019-01-17,469.714686007929
2019-01-18,468.218162555958
2019-01-19,452.101941110773
2019-01-20,430.173669296256
2019-01-21,448.894849104271
2019-01-22,463.44457774323
2019-01-23,510.525560085629
2019-01-24,479.174499324651
2019-01-25,466.353450939859
2019-01-26,510.383296024436
2019-01-27,436.434882139775
2019-01-28,481.407223375131
2019-01-29,452.253699204942
2019-01-30,453.986872522091
2019-01-31,444.71851663416
2019-02-01,477.114755161663
2019-02-02,438.848186325667
2019-02-03,430.11993680695
2019-02-04,443.906075353369
2019-02-05,436.461225919826
2019-02-06,492.808861237666
2019-02-07,464.43378335488
2019-02-08,478.738097440592
2019-02-09,450.862493644244
2019-02-10,420.22840093633
2019-02-11,501.170482920348
2019-02-12,615.181322183142
2019-02-13,500.42658965441
2019-02-14,442.050185978526
2019-02-15,471.399322998513
2019-02-16,455.623310551308
2019-02-17,428.236584337487
2019-02-18,486.31263022384
2019-02-19,475.107105715251
2019-02-20,492.860584359769
2019-02-21,471.280177224394
2019-02-22,501.920235674455
2019-02-23,428.198816809724
2019-02-24,446.411561960492
2019-02-25,471.372274444186
2019-02-26,480.073186374701
2019-02-27,460.465267595565
2019-02-28,461.146041226389
2019-03-01,481.401513013047
2019-03-02,454.202619946848
2019-03-03,414.302265392319
2019-03-04,497.627592081576
2019-03-05,537.147965276131
2019-03-06,569.313262642446
2019-03-07,506.937318728943
2019-03-08,511.192397533653
2019-03-09,508.562693750671
2019-03-10,500.631490873885
2019-03-11,529.841374206975
2019-03-12,502.768067668384
2019-03-13,549.421633044341
2019-03-14,539.538402263041
2019-03-15,508.894025611733
2019-03-16,490.247878704623
2019-03-17,477.221432219209
2019-03-18,512.047074935473
2019-03-19,519.568312703157
2019-03-20,523.811531533898
2019-03-21,494.463640628279
2019-03-22,509.504010215743
2019-03-23,484.300408069118
2019-03-24,499.941026299033
2019-03-25,485.588877882769
2019-03-26,441.754898561491
2019-03-27,466.517320781021
2019-03-28,451.461446009679
2019-03-29,490.557967917335
2019-03-30,443.368084757069
2019-03-31,427.450419775999
2019-04-01,444.402513233259
2019-04-02,475.346600224251
2019-04-03,492.112163573141
2019-04-04,478.862233442397
2019-04-05,506.598696928663
2019-04-06,468.45695684833
2019-04-07,458.029915261499
2019-04-08,484.240095199975
2019-04-09,477.303932196129
2019-04-10,453.062414060194
2019-04-11,468.432939686324
2019-04-12,474.674381863752
2019-04-13,407.305163500392
2019-04-14,433.062441378651
2019-04-15,466.489250723783
2019-04-16,506.684389405428
2019-04-17,483.761271424048
2019-04-18,472.700712061695
2019-04-19,508.998160098996
2019-04-20,508.173770522562
2019-04-21,473.70903518676
2019-04-22,447.561138411133
2019-04-23,467.301340983255
2019-04-24,497.762372685059
2019-04-25,454.079690894034
2019-04-26,497.371764928185
2019-04-27,446.637075718014
2019-04-28,415.759435488919
2019-04-29,540.088454842959
2019-04-30,523.354509652209
2019-05-01,438.446069216022
2019-05-02,447.540257524387
2019-05-03,487.448649707463
2019-05-04,440.557859114374
2019-05-05,466.659101702039
2019-05-06,487.671372497186
2019-05-07,488.117071336735
2019-05-08,480.734122449582
2019-05-09,522.25239956947
2019-05-10,487.52708788929
2019-05-11,467.573322274645
2019-05-12,576.342087922169
2019-05-13,514.811167398237
2019-05-14,509.267113812491
2019-05-15,499.981955352118
2019-05-16,484.796981190443
2019-05-17,526.746181912749
2019-05-18,528.502704762321
2019-05-19,528.29833629462
2019-05-20,496.804800994187
2019-05-21,505.648877437382
2019-05-22,508.079610863399
2019-05-23,497.989385510748
2019-05-24,513.282493464527
2019-05-25,487.292202992992
2019-05-26,441.729708189469
2019-05-27,497.697496601293
2019-05-28,530.532448630799
2019-05-29,525.846039690766
2019-05-30,515.314312714717
2019-05-31,505.537774357599
2019-06-01,565.773779075192
2019-06-02,522.577664255902
2019-06-03,508.727867569494
2019-06-04,515.061648278605
2019-06-05,531.934638454033
2019-06-06,499.11066254264
2019-06-07,536.260057795707
2019-06-08,481.883063433527
2019-06-09,453.099039132899
2019-06-10,510.986174293838
2019-06-11,528.49385846855
2019-06-12,502.611796560195
2019-06-13,523.957545123597
2019-06-14,598.579107337997
2019-06-15,544.338066189449
2019-06-16,517.473851669126
2019-06-17,511.123917629203
2019-06-18,510.314013884689
2019-06-19,511.849047660594
2019-06-20,543.239238814509
2019-06-21,498.492426127327
2019-06-22,481.609548672933
2019-06-23,561.729210043524
2019-06-24,554.231782875841
2019-06-25,503.344616721899
2019-06-26,512.385941986526
2019-06-27,485.101635319804
2019-06-28,502.747215129857
2019-06-29,560.436287544725
2019-06-30,461.233538730522
2019-07-01,536.232339131432
2019-07-02,524.736922339118
2019-07-03,513.57833017098
2019-07-04,513.486153879356
2019-07-05,513.363685151126
2019-07-06,458.058629080397
2019-07-07,467.34200945324
2019-07-08,500.195634497397
2019-07-09,486.688833004036
2019-07-10,519.156014388254
2019-07-11,496.214790862509
2019-07-12,560.119092962971
2019-07-13,485.529575826863
2019-07-14,455.605996529685
2019-07-15,475.164535125288
2019-07-16,490.003004061402
2019-07-17,472.334367946693
2019-07-18,483.29521519277
2019-07-19,496.970140739825
2019-07-20,574.160981956168
2019-07-21,465.617784590446
2019-07-22,496.955801416475
2019-07-23,492.755450346489
2019-07-24,520.766610255537
2019-07-25,505.201806852818
2019-07-26,497.127777464747
2019-07-27,459.479058292796
2019-07-28,451.146140565031
2019-07-29,483.620238055968
2019-07-30,505.288371370341
2019-07-31,476.775219705073
2019-08-01,486.501722746504
2019-08-02,499.58574302994
2019-08-03,447.62122688332
2019-08-04,461.138328009165
2019-08-05,497.398987589724
2019-08-06,500.64700274588
2019-08-07,467.974735405499
2019-08-08,523.553792863316
2019-08-09,498.452554123718
2019-08-10,452.108129623974
2019-08-11,443.114686574384
2019-08-12,463.270586889916
2019-08-13,503.797015569759
2019-08-14,481.25744973529
2019-08-15,470.692782014528
2019-08-16,470.612091085021
2019-08-17,442.640420229908
2019-08-18,432.920434840846
2019-08-19,463.1331173746
2019-08-20,494.533953072328
2019-08-21,523.437224626797
2019-08-22,543.112180123606
2019-08-23,492.714488615481
2019-08-24,513.531014948027
2019-08-25,431.444132017905
2019-08-26,503.938182607012
2019-08-27,480.323671393802
2019-08-28,459.61476796589
2019-08-29,473.777735458171
2019-08-30,460.704775956915
2019-08-31,424.159512789849
2019-09-01,443.667417856829
2019-09-02,480.745269780713
2019-09-03,481.53993473102
2019-09-04,493.38282836063
2019-09-05,477.98045962327
2019-09-06,471.812367087875
2019-09-07,441.320559121042
2019-09-08,433.885426421111
2019-09-09,502.24738085165
2019-09-10,512.79852859785
2019-09-11,518.691879725045
2019-09-12,460.980897202941
2019-09-13,519.539545716614
2019-09-14,467.101348172916
2019-09-15,465.39387005062
2019-09-16,495.113696720425
2019-09-17,498.455088321746
2019-09-18,512.650399023724
2019-09-19,472.284181499703
2019-09-20,460.773524112467
2019-09-21,437.111360232485
2019-09-22,443.16542299882
2019-09-23,492.093547659131
2019-09-24,517.202621875596
2019-09-25,495.545880071685
2019-09-26,466.616466631423
2019-09-27,475.836024505297
2019-09-28,448.681650406967
2019-09-29,428.228993083532
2019-09-30,480.356910166867
2019-10-01,474.973281004801
2019-10-02,455.947535147625
2019-10-03,467.397846595996
2019-10-04,473.845529926571
2019-10-05,428.286262920141
2019-10-06,436.398606666093
2019-10-07,474.189655801958
2019-10-08,465.541312702269
2019-10-09,458.065796964411
2019-10-10,454.608345946198
2019-10-11,459.362688222803
2019-10-12,428.297443294867
2019-10-13,415.197691027228
2019-10-14,469.761355234922
2019-10-15,448.600262115474
2019-10-16,471.854216297702
2019-10-17,493.275309547702
2019-10-18,444.287082510398
2019-10-19,451.539239118302
2019-10-20,425.884495080264
2019-10-21,456.11378657233
2019-10-22,474.718513309575
2019-10-23,470.589837663824
2019-10-24,477.806930953862
2019-10-25,499.889182853331
2019-10-26,561.055876982272
2019-10-27,494.744356557798
2019-10-28,519.841364624847
2019-10-29,500.706870898563
2019-10-30,468.882749682352
2019-10-31,485.715937843739
2019-11-01,510.322846828256
2019-11-02,466.232781937947
2019-11-03,454.605032134839
2019-11-04,494.575884599174
2019-11-05,492.182362223672
2019-11-06,534.367360108838
2019-11-07,490.465247632178
2019-11-08,479.061593958505
2019-11-09,499.931383345469
2019-11-10,459.269073865122
2019-11-11,463.898890236288
2019-11-12,463.24655515241
2019-11-13,489.08630218627
2019-11-14,473.853098721173
2019-11-15,541.091640588695
2019-11-16,611.760405195531
2019-11-17,645.869254700693
2019-11-18,468.300652478724
2019-11-19,513.259744780656
2019-11-20,453.740182087838
2019-11-21,513.654786499789
2019-11-22,531.701105323007
2019-11-23,475.149312165511
2019-11-24,429.024259365278
2019-11-25,481.340918935363
2019-11-26,476.204609138581
2019-11-27,518.972317597913
2019-11-28,459.856288373297
2019-11-29,461.175514375518
2019-11-30,486.209150043979
2019-12-01,440.693560962109
2019-12-02,469.642287458083
2019-12-03,451.51232629908
2019-12-04,462.660521421348
2019-12-05,474.263559068877
2019-12-06,486.97255115928
2019-12-07,470.450845056102
2019-12-08,443.321949731791
2019-12-09,513.967698201795
2019-12-10,511.637892446749
2019-12-11,541.890586570301
2019-12-12,467.517849465127
2019-12-13,466.279073298304
2019-12-14,464.554210912064
2019-12-15,527.302004807881
2019-12-16,498.526201487794
2019-12-17,580.595206086882
2019-12-18,491.575356159377
2019-12-19,497.921643216298
