Date,blockchain/block_interval_median
2010-05-26,257.0
2010-05-27,319.0
2010-05-28,245.0
2010-05-29,286.0
2010-05-30,412.0
2010-05-31,406.0
2010-06-01,431.0
2010-06-02,374.0
2010-06-03,432.0
2010-06-04,504.0
2010-06-05,393.0
2010-06-06,474.0
2010-06-07,385.0
2010-06-08,364.0
2010-06-09,365.0
2010-06-10,332.0
2010-06-11,394.0
2010-06-12,444.0
2010-06-13,342.0
2010-06-14,352.0
2010-06-15,360.0
2010-06-16,451.0
2010-06-17,449.0
2010-06-18,413.0
2010-06-19,417.0
2010-06-20,359.0
2010-06-21,346.0
2010-06-22,398.0
2010-06-23,309.0
2010-06-24,347.0
2010-06-25,415.0
2010-06-26,398.0
2010-06-27,336.0
2010-06-28,399.0
2010-06-29,399.0
2010-06-30,350.0
2010-07-01,376.0
2010-07-02,376.0
2010-07-03,278.0
2010-07-04,400.0
2010-07-05,354.0
2010-07-06,333.0
2010-07-07,378.0
2010-07-08,370.0
2010-07-09,303.0
2010-07-10,348.0
2010-07-11,365.0
2010-07-12,96.0
2010-07-13,88.0
2010-07-14,106.0
2010-07-15,103.0
2010-07-16,115.0
2010-07-17,344.0
2010-07-18,337.0
2010-07-19,334.0
2010-07-20,317.0
2010-07-21,290.0
2010-07-22,373.0
2010-07-23,376.0
2010-07-24,336.0
2010-07-25,264.0
2010-07-26,256.0
2010-07-27,332.0
2010-07-28,354.0
2010-07-29,329.0
2010-07-30,298.0
2010-07-31,287.0
2010-08-01,245.0
2010-08-02,279.0
2010-08-03,252.0
2010-08-04,270.0
2010-08-05,260.0
2010-08-06,472.0
2010-08-07,396.0
2010-08-08,290.0
2010-08-09,332.0
2010-08-10,322.0
2010-08-11,246.0
2010-08-12,283.0
2010-08-13,282.0
2010-08-14,209.0
2010-08-15,206.0
2010-08-16,433.0
2010-08-17,410.0
2010-08-18,455.0
2010-08-19,429.0
2010-08-20,288.0
2010-08-21,356.0
2010-08-22,287.0
2010-08-23,265.0
2010-08-24,298.0
2010-08-25,254.0
2010-08-26,274.0
2010-08-27,382.0
2010-08-28,352.0
2010-08-29,302.0
2010-08-30,370.0
2010-08-31,340.0
2010-09-01,365.0
2010-09-02,427.0
2010-09-03,316.0
2010-09-04,334.0
2010-09-05,343.0
2010-09-06,398.0
2010-09-07,363.0
2010-09-08,395.0
2010-09-09,456.0
2010-09-10,361.0
2010-09-11,399.0
2010-09-12,347.0
2010-09-13,351.0
2010-09-14,265.0
2010-09-15,342.0
2010-09-16,267.0
2010-09-17,298.0
2010-09-18,256.0
2010-09-19,280.0
2010-09-20,289.0
2010-09-21,345.0
2010-09-22,386.0
2010-09-23,260.0
2010-09-24,273.0
2010-09-25,281.0
2010-09-26,271.0
2010-09-27,272.0
2010-09-28,300.0
2010-09-29,392.0
2010-09-30,372.0
2010-10-01,379.0
2010-10-02,521.0
2010-10-03,516.0
2010-10-04,406.0
2010-10-05,402.0
2010-10-06,308.0
2010-10-07,360.0
2010-10-08,370.0
2010-10-09,366.0
2010-10-10,314.0
2010-10-11,382.0
2010-10-12,378.0
2010-10-13,308.0
2010-10-14,291.0
2010-10-15,384.0
2010-10-16,225.0
2010-10-17,235.0
2010-10-18,255.0
2010-10-19,228.0
2010-10-20,226.0
2010-10-21,324.0
2010-10-22,439.0
2010-10-23,340.0
2010-10-24,274.0
2010-10-25,340.0
2010-10-26,263.0
2010-10-27,284.0
2010-10-28,295.0
2010-10-29,266.0
2010-10-30,270.0
2010-10-31,314.0
2010-11-01,379.0
2010-11-02,385.0
2010-11-03,276.0
2010-11-04,316.0
2010-11-05,276.0
2010-11-06,261.0
2010-11-07,280.0
2010-11-08,229.0
2010-11-09,267.0
2010-11-10,279.0
2010-11-11,272.0
2010-11-12,362.0
2010-11-13,274.0
2010-11-14,229.0
2010-11-15,273.0
2010-11-16,262.0
2010-11-17,259.0
2010-11-18,242.0
2010-11-19,408.0
2010-11-20,538.0
2010-11-21,476.0
2010-11-22,395.0
2010-11-23,404.0
2010-11-24,353.0
2010-11-25,320.0
2010-11-26,359.0
2010-11-27,361.0
2010-11-28,332.0
2010-11-29,302.0
2010-11-30,286.0
2010-12-01,299.0
2010-12-02,337.0
2010-12-03,271.0
2010-12-04,279.0
2010-12-05,266.0
2010-12-06,294.0
2010-12-07,251.0
2010-12-08,262.0
2010-12-09,248.0
2010-12-10,392.0
2010-12-11,348.0
2010-12-12,376.0
2010-12-13,438.0
2010-12-14,365.0
2010-12-15,309.0
2010-12-16,354.0
2010-12-17,377.0
2010-12-18,362.0
2010-12-19,342.0
2010-12-20,358.0
2010-12-21,308.0
2010-12-22,335.0
2010-12-23,365.0
2010-12-24,465.0
2010-12-25,320.0
2010-12-26,398.0
2010-12-27,361.0
2010-12-28,346.0
2010-12-29,341.0
2010-12-30,382.0
2010-12-31,373.0
2011-01-01,350.0
2011-01-02,345.0
2011-01-03,299.0
2011-01-04,440.0
2011-01-05,387.0
2011-01-06,418.0
