Date,supply/active_1m_3m
2010-03-22,"512711,39"
2010-03-23,"517487,62"
2010-03-24,"524687,62"
2010-03-25,"527737,62"
2010-03-26,"531137,62"
2010-03-27,"535937,62"
2010-03-28,"546387,62"
2010-03-29,"545788,62"
2010-03-30,"550838,62"
2010-03-31,"552888,62"
2010-04-01,"555688,62"
2010-04-02,"563338,62"
2010-04-03,"562438,62"
2010-04-04,"540810,61"
2010-04-05,"560957,1"
2010-04-06,"564761,92"
2010-04-07,"569046,51"
2010-04-08,"572046,51"
2010-04-09,"570434,96"
2010-04-10,"560834,96"
2010-04-11,"557484,96"
2010-04-12,"547758,7"
2010-04-13,"545956,7"
2010-04-14,"544705,7"
2010-04-15,"544077,96"
2010-04-16,"540476,96"
2010-04-17,"544926,96"
2010-04-18,"552626,96"
2010-04-19,"556080,96"
2010-04-20,"555232,96"
2010-04-21,"557382,96"
2010-04-22,"560535,38"
2010-04-23,"562485,38"
2010-04-24,"579285,38"
2010-04-25,"580233,24"
2010-04-26,"577409,94"
2010-04-27,"579809,94"
2010-04-28,"583709,94"
2010-04-29,"584209,94"
2010-04-30,"562959,94"
2010-05-01,"564209,94"
2010-05-02,"565809,94"
2010-05-03,"567259,94"
2010-05-04,"565065,2"
2010-05-05,"561295,14"
2010-05-06,"546828,34"
2010-05-07,"548931,44"
2010-05-08,"546434,92"
2010-05-09,"539579,93"
2010-05-10,"536383,22"
2010-05-11,"513469,23"
2010-05-12,"512047,23"
2010-05-13,"509847,66"
2010-05-14,"510323,2"
2010-05-15,"551758,15"
2010-05-16,"550773,1"
2010-05-17,"552580,26"
2010-05-18,"530108,54"
2010-05-19,"540290,23"
2010-05-20,"549590,23"
2010-05-21,"550465,23"
2010-05-22,"549115,65"
2010-05-23,"540873,81"
2010-05-24,"546419,87"
2010-05-25,"546345,87"
2010-05-26,"537254,91"
2010-05-27,"535114,44"
2010-05-28,"537870,54"
2010-05-29,"532335,6"
2010-05-30,"556496,32"
2010-05-31,"556348,32"
2010-06-01,"550170,62"
2010-06-02,"551120,62"
2010-06-03,"552974,62"
2010-06-04,"516230,15"
2010-06-05,"514275,33"
2010-06-06,"524740,74"
2010-06-07,"515979,0"
2010-06-08,"511279,0"
2010-06-09,"490553,71"
2010-06-10,"479653,77"
2010-06-11,"489353,88"
2010-06-12,"489463,11"
2010-06-13,"502506,13"
2010-06-14,"500731,12"
2010-06-15,"499358,76"
2010-06-16,"499626,75"
2010-06-17,"485276,75"
2010-06-18,"489720,34"
2010-06-19,"467870,84"
2010-06-20,"499873,84"
2010-06-21,"512050,93"
2010-06-22,"522148,5"
2010-06-23,"507898,5"
2010-06-24,"496230,64"
2010-06-25,"493725,14"
2010-06-26,"501496,15"
2010-06-27,"501844,44"
2010-06-28,"503093,39"
2010-06-29,"493755,69"
2010-06-30,"473124,62"
2010-07-01,"471753,86"
2010-07-02,"462316,36"
2010-07-03,"461250,9"
2010-07-04,"469771,85"
2010-07-05,"454429,84"
2010-07-06,"448276,74"
2010-07-07,"446442,81"
2010-07-08,"449057,96"
2010-07-09,"462348,91"
2010-07-10,"468969,39"
2010-07-11,"466459,54"
2010-07-12,"444560,71"
2010-07-13,"443397,34"
2010-07-14,"443131,96"
2010-07-15,"431110,62"
2010-07-16,"445716,48"
2010-07-17,"441024,28"
2010-07-18,"435115,2"
2010-07-19,"465246,97"
2010-07-20,"476867,98"
2010-07-21,"465725,24"
2010-07-22,"461899,49"
2010-07-23,"456393,32"
2010-07-24,"452118,32"
2010-07-25,"446814,18"
2010-07-26,"452038,78"
2010-07-27,"450228,33"
2010-07-28,"451473,67"
2010-07-29,"447662,12"
2010-07-30,"446036,91"
2010-07-31,"449610,91"
2010-08-01,"455054,23"
2010-08-02,"455934,23"
2010-08-03,"464689,34"
2010-08-04,"464005,35"
2010-08-05,"481816,35"
2010-08-06,"482403,3"
2010-08-07,"485373,3"
2010-08-08,"486378,3"
2010-08-09,"489513,05"
2010-08-10,"489667,11"
2010-08-11,"588050,1"
2010-08-12,"616194,09"
2010-08-13,"660577,01"
2010-08-14,"739883,03"
2010-08-15,"763826,029999999"
2010-08-16,"766224,729999999"
2010-08-17,"777273,889999999"
2010-08-18,"784177,149999999"
2010-08-19,"755732,059999999"
2010-08-20,"760544,0"
2010-08-21,"766341,3"
2010-08-22,"772155,97"
2010-08-23,"803937,45"
2010-08-24,"819269,27"
2010-08-25,"824341,34"
2010-08-26,"828804,64"
2010-08-27,"832479,19"
2010-08-28,"833132,96"
2010-08-29,"838980,71"
2010-08-30,"842815,490000001"
2010-08-31,"838970,640000001"
2010-09-01,"892723,830000001"
2010-09-02,"888854,500000001"
2010-09-03,"895967,500000002"
2010-09-04,"904780,200000002"
2010-09-05,"843586,050000002"
2010-09-06,"842113,380000002"
2010-09-07,"829109,400000002"
2010-09-08,"843052,150000002"
2010-09-09,"836414,870000002"
2010-09-10,"852726,010000002"
2010-09-11,"857690,940000002"
2010-09-12,"865545,930000002"
2010-09-13,"865089,850000002"
2010-09-14,"849398,080000002"
2010-09-15,"852155,180000002"
2010-09-16,"850449,460000002"
2010-09-17,"829890,620000002"
2010-09-18,"825869,510000002"
2010-09-19,"836023,680000003"
2010-09-20,"851391,560000004"
2010-09-21,"849256,920000004"
2010-09-22,"845641,150000004"
2010-09-23,"844571,080000004"
2010-09-24,"829401,880000005"
2010-09-25,"828311,850000005"
2010-09-26,"843223,680000005"
2010-09-27,"846496,660000305"
2010-09-28,"843785,980000305"
2010-09-29,"836846,340000805"
2010-09-30,"850435,630001005"
2010-10-01,"846267,020001406"
2010-10-02,"800763,260001505"
2010-10-03,"797519,700001505"
2010-10-04,"786328,700001506"
2010-10-05,"782925,820001506"
2010-10-06,"784416,570001506"
2010-10-07,"778973,880001506"
2010-10-08,"780771,540001606"
2010-10-09,"780936,910001606"
2010-10-10,"692722,589999606"
2010-10-11,"664669,609999607"
2010-10-12,"618185,779999807"
2010-10-13,"564699,459999807"
2010-10-14,"542550,819999807"
2010-10-15,"536051,670396287"
2010-10-16,"534273,070396287"
2010-10-17,"527399,990396287"
2010-10-18,"534268,220396287"
2010-10-19,"535821,109999807"
2010-10-20,"531438,049999807"
2010-10-21,"525458,809999807"
2010-10-22,"515020,979999807"
2010-10-23,"537151,159999807"
2010-10-24,"516874,729999807"
2010-10-25,"515408,959999807"
