Date,indicators/stock_to_flow_deflection
2011-02-28,"2,058107986133956"
2011-03-01,"2,1529433202095016"
2011-03-02,"2,1832806221378034"
2011-03-03,"2,1701994332558363"
2011-03-04,"2,0695240694260955"
2011-03-05,"2,080230370544399"
2011-03-06,"2,0156330477254123"
2011-03-07,"1,9997591764266922"
2011-03-08,"1,9584836619939576"
2011-03-09,"1,9362019766451113"
2011-03-10,"2,07581717888168"
2011-03-11,"1,948657645496405"
2011-03-12,"2,024468408272852"
2011-03-13,"1,9564744932337932"
2011-03-14,"1,9526281334563038"
2011-03-15,"1,8909733143954588"
2011-03-16,"1,8586499083368486"
2011-03-17,"1,7753926666784927"
2011-03-18,"1,7469263571921194"
2011-03-19,"1,6270265516875178"
2011-03-20,"1,5642267697025773"
2011-03-21,"1,5908216792998042"
2011-03-22,"1,6835555878751982"
2011-03-23,"1,7540882121075174"
2011-03-24,"1,7782492574295"
2011-03-25,"1,8005886197879846"
2011-03-26,"1,728855798835138"
2011-03-27,"1,6616423054918688"
2011-03-28,"1,593413738133135"
2011-03-29,"1,568972882214977"
2011-03-30,"1,5503540186357334"
2011-03-31,"1,528832218603726"
2011-04-01,"1,4998315236659512"
2011-04-02,"1,5074067195560406"
2011-04-03,"1,4935554748561575"
2011-04-04,"1,2961530418200686"
2011-04-05,"1,3469914057064667"
2011-04-06,"1,3959680037713076"
2011-04-07,"1,4115691740117682"
2011-04-08,"1,3952320042663893"
2011-04-09,"1,3791883698417435"
2011-04-10,"1,347387353879307"
2011-04-11,"1,3958795928607413"
2011-04-12,"1,5474426563541825"
2011-04-13,"1,680060652935853"
2011-04-14,"1,775027053576625"
2011-04-15,"1,7378525440375383"
2011-04-16,"1,8352657887394201"
2011-04-17,"1,962111256083968"
2011-04-18,"1,9771974912874775"
2011-04-19,"2,0355120325827976"
2011-04-20,"1,9283033838667285"
2011-04-21,"2,017265687665828"
2011-04-22,"2,345852855480991"
2011-04-23,"2,759612756105806"
2011-04-24,"2,685776101091516"
2011-04-25,"2,6072957567086092"
2011-04-26,"2,9075147010621936"
2011-04-27,"3,0817035859216557"
2011-04-28,"3,5630366231395416"
2011-04-29,"4,541528646338986"
2011-04-30,"5,596082951352486"
2011-05-01,"4,819886775832747"
2011-05-02,"5,06261478383588"
2011-05-03,"5,350218387192248"
2011-05-04,"5,345222171078996"
2011-05-05,"5,214187671474247"
2011-05-06,"5,3802418574812725"
2011-05-07,"5,658143274511503"
2011-05-08,"5,983940414377885"
2011-05-09,"5,864139852201851"
2011-05-10,"8,929278188249324"
2011-05-11,"8,517743423309064"
2011-05-12,"9,733019862499374"
2011-05-13,"12,49773100437934"
2011-05-14,"10,696210401354291"
2011-05-15,"10,628022671239743"
2011-05-16,"12,024167019746457"
2011-05-17,"10,92304527662752"
2011-05-18,"10,174143340412005"
2011-05-19,"10,349563382996706"
2011-05-20,"8,346094933671461"
2011-05-21,"9,111507060137521"
2011-05-22,"9,956053974741334"
2011-05-23,"10,44648506484943"
2011-05-24,"10,863550070434792"
2011-05-25,"12,238236690640282"
2011-05-26,"12,70848385603002"
2011-05-27,"12,233347551511851"
2011-05-28,"11,905374714987953"
2011-05-29,"11,871598851969637"
2011-05-30,"12,361516457199519"
2011-05-31,"12,259978746059575"
2011-06-01,"13,470647347647112"
2011-06-02,"15,1437658059733"
2011-06-03,"19,921972870982845"
2011-06-04,"25,89134048088158"
2011-06-05,"23,07455228397946"
2011-06-06,"25,19059300843157"
2011-06-07,"32,128952679621314"
2011-06-08,"40,835360064447826"
2011-06-09,"39,39851604767629"
2011-06-10,"32,36166031884202"
2011-06-11,"19,941110088631696"
2011-06-12,"25,495023359636576"
2011-06-13,"26,05410676031065"
2011-06-14,"25,84806834113677"
2011-06-15,"25,973705953562817"
2011-06-16,"23,620978394687686"
2011-06-17,"20,94797452416765"
2011-06-18,"22,25020356494986"
2011-06-19,"22,86892655630443"
2011-06-20,"22,85920933536534"
2011-06-21,"23,24356695226547"
2011-06-22,"23,285610841340365"
2011-06-23,"23,517500025064138"
2011-06-24,"23,968253677214204"
2011-06-25,"23,022957098535198"
2011-06-26,"20,884578416517297"
2011-06-27,"21,27175532716412"
2011-06-28,"21,402743542879684"
2011-06-29,"21,263664793351058"
2011-06-30,"20,25560877112802"
2011-07-01,"19,097933620045115"
2011-07-02,"19,050532036508926"
2011-07-03,"18,9749498456691"
2011-07-04,"16,956902524162"
2011-07-05,"15,500878466952077"
2011-07-06,"17,85219535117778"
2011-07-07,"17,908906253468828"
2011-07-08,"17,119368547881304"
2011-07-09,"17,10744610232234"
2011-07-10,"17,238357156229146"
2011-07-11,"16,699205092032752"
2011-07-12,"16,00076336564766"
2011-07-13,"15,462927882243017"
2011-07-14,"15,150124107227303"
2011-07-15,"14,514475278446472"
2011-07-16,"14,114249814788792"
2011-07-17,"13,479107662687072"
2011-07-18,"14,011113541023555"
2011-07-19,"14,019104772749772"
2011-07-20,"13,787391722367502"
2011-07-21,"13,622666608607387"
2011-07-22,"13,621107723589317"
2011-07-23,"13,522505179529178"
2011-07-24,"13,745177817854627"
2011-07-25,"13,687113815133275"
2011-07-26,"13,410509370381787"
2011-07-27,"13,375119209112968"
2011-07-28,"12,906286943433036"
2011-07-29,"12,879503714404864"
2011-07-30,"12,813887860491114"
2011-07-31,"12,585620692352885"
2011-08-01,"12,09572203670813"
2011-08-02,"11,335494913945903"
2011-08-03,"8,510193106448158"
2011-08-04,"9,762053998345914"
2011-08-05,"8,727155163607009"
2011-08-06,"5,70990866181647"
2011-08-07,"7,245986013720076"
2011-08-08,"6,945052312197825"
2011-08-09,"8,303590720440846"
2011-08-10,"8,788178745408258"
2011-08-11,"8,217102237963784"
2011-08-12,"8,150672131120729"
2011-08-13,"8,63654593696153"
2011-08-14,"9,126678529402971"
2011-08-15,"9,349871763038847"
2011-08-16,"9,156624833539784"
2011-08-17,"9,155354566333155"
2011-08-18,"8,993260837557266"
2011-08-19,"9,691234966530303"
2011-08-20,"9,40894627938892"
2011-08-21,"9,255153867331847"
2011-08-22,"8,923134155099431"
2011-08-23,"8,80531858953653"
2011-08-24,"8,677544609445912"
2011-08-25,"7,538307379695969"
2011-08-26,"6,402412698676002"
2011-08-27,"6,708330777831175"
2011-08-28,"7,055172383198881"
2011-08-29,"6,949198027293586"
2011-08-30,"6,782610619007731"
2011-08-31,"6,288355823204339"
2011-09-01,"6,281563283544992"
2011-09-02,"6,566349236931102"
2011-09-03,"6,376920988056908"
2011-09-04,"6,149234662113053"
2011-09-05,"5,699523403361642"
2011-09-06,"5,113928740670387"
2011-09-07,"5,307486156414671"
2011-09-08,"4,817866394774369"
2011-09-09,"3,7398524997901683"
2011-09-10,"3,4714518169990716"
2011-09-11,"4,228874461446255"
2011-09-12,"4,381563751770613"
2011-09-13,"4,177613027640988"
2011-09-14,"3,950654297818116"
2011-09-15,"3,4155331093596013"
2011-09-16,"3,390708858428995"
2011-09-17,"3,333521714253608"
2011-09-18,"3,6346055949129528"
2011-09-19,"3,7967808730845802"
2011-09-20,"4,181401789424351"
2011-09-21,"3,8508700645742038"
2011-09-22,"3,7061216885478285"
2011-09-23,"3,7279293174854287"
2011-09-24,"3,6368465172479296"
2011-09-25,"3,5015005407228075"
2011-09-26,"3,1918259825273094"
2011-09-27,"3,060955900577391"
2011-09-28,"3,03880415205345"
2011-09-29,"3,071390967316356"
2011-09-30,"3,285016827850911"
2011-10-01,"3,192616425745417"
2011-10-02,"3,174457160268668"
2011-10-03,"3,1820018886258747"
2011-10-04,"3,1249564911045047"
2011-10-05,"3,0658781885122255"
2011-10-06,"2,960959315517323"
2011-10-07,"2,6568066730532784"
2011-10-08,"2,478572474902184"
2011-10-09,"2,531972812163303"
2011-10-10,"2,483856882545749"
2011-10-11,"2,4538177686146123"
2011-10-12,"2,531035815488284"
2011-10-13,"2,433182699696892"
2011-10-14,"2,381285113636837"
