Date,supply/active_more_3y_percent
2012-06-04,"0,0739856519292648"
2012-06-05,"0,0740736675473264"
2012-06-06,"0,0740827580188602"
2012-06-07,"0,0743372841820718"
2012-06-08,"0,0746396244601887"
2012-06-09,"0,0748911838955386"
2012-06-10,"0,07518780426818"
2012-06-11,"0,0754728232648583"
2012-06-12,"0,0757074144424786"
2012-06-13,"0,0758518946706288"
2012-06-14,"0,0761020306878765"
2012-06-15,"0,0763559176514532"
2012-06-16,"0,0766160198612095"
2012-06-17,"0,0768615519300502"
2012-06-18,"0,0770804742417208"
2012-06-19,"0,0773160539248742"
2012-06-20,"0,0775574867664974"
2012-06-21,"0,0778023140317802"
2012-06-22,"0,0780513251663186"
2012-06-23,"0,0783159073309241"
2012-06-24,"0,078486479689171"
2012-06-25,"0,0788028136192056"
2012-06-26,"0,0790724603779254"
2012-06-27,"0,0791507839763279"
2012-06-28,"0,0794173082073642"
2012-06-29,"0,0796865611886615"
2012-06-30,"0,0798977321837359"
2012-07-01,"0,080136391136575"
2012-07-02,"0,0803543752469854"
2012-07-03,"0,0805899091869511"
2012-07-04,"0,0808026934231852"
2012-07-05,"0,0810496910160245"
2012-07-06,"0,0812489665561275"
2012-07-07,"0,0814697398860838"
2012-07-08,"0,0816851391708204"
2012-07-09,"0,0818905308761926"
2012-07-10,"0,0821118393201025"
2012-07-11,"0,0823291767612242"
2012-07-12,"0,0825625846232082"
2012-07-13,"0,0827908481788447"
2012-07-14,"0,0829107309618364"
2012-07-15,"0,0831505894413122"
2012-07-16,"0,0832695322523588"
2012-07-17,"0,0831939800283802"
2012-07-18,"0,0833737408024288"
2012-07-19,"0,0835830927161736"
2012-07-20,"0,0838548179803902"
2012-07-21,"0,0839924816458758"
2012-07-22,"0,0842130833460324"
2012-07-23,"0,0844242235209485"
2012-07-24,"0,0844678911885837"
2012-07-25,"0,0843970455796399"
2012-07-26,"0,0846156389118753"
2012-07-27,"0,0846414793419566"
2012-07-28,"0,0845999132094215"
2012-07-29,"0,0845270745072637"
2012-07-30,"0,0844494324320093"
2012-07-31,"0,0843921746976327"
2012-08-01,"0,0843332363932017"
2012-08-02,"0,0842607761044804"
2012-08-03,"0,0844759175433667"
2012-08-04,"0,0847193320648388"
2012-08-05,"0,0849542705449029"
2012-08-06,"0,0851417067688298"
2012-08-07,"0,0853290649183593"
2012-08-08,"0,0855609749019242"
2012-08-09,"0,0857756178384844"
2012-08-10,"0,0859754171215123"
2012-08-11,"0,0861648250765032"
2012-08-12,"0,0863880175192133"
2012-08-13,"0,0865592354058294"
2012-08-14,"0,0864891606895165"
2012-08-15,"0,0864147470376095"
2012-08-16,"0,0863462394596765"
2012-08-17,"0,0862849417671509"
2012-08-18,"0,0862286930328669"
2012-08-19,"0,0861836045705482"
2012-08-20,"0,0861327586737678"
2012-08-21,"0,0860559301181102"
2012-08-22,"0,0859922879914766"
2012-08-23,"0,0859657326516303"
2012-08-24,"0,0861103420765977"
2012-08-25,"0,0862693615564266"
2012-08-26,"0,086241575018636"
2012-08-27,"0,0864379749289552"
2012-08-28,"0,0866467285908011"
2012-08-29,"0,0868527337741058"
2012-08-30,"0,0870391416763371"
2012-08-31,"0,0872212963339708"
2012-09-01,"0,0873938641202986"
2012-09-02,"0,0875749711842633"
2012-09-03,"0,0877081573633421"
2012-09-04,"0,0879138883960031"
2012-09-05,"0,088122444803501"
2012-09-06,"0,0883401521247362"
2012-09-07,"0,0885225383020681"
2012-09-08,"0,0886951590329182"
2012-09-09,"0,0888965861243778"
2012-09-10,"0,0890815562192267"
2012-09-11,"0,0892634554794348"
2012-09-12,"0,0894712572346781"
2012-09-13,"0,089694153654092"
2012-09-14,"0,0897769917914051"
2012-09-15,"0,0899582951347004"
2012-09-16,"0,0901969395493193"
2012-09-17,"0,0903868492490805"
2012-09-18,"0,0905869204235521"
2012-09-19,"0,0908085031338146"
2012-09-20,"0,0909847098108126"
2012-09-21,"0,0909328064506448"
2012-09-22,"0,0909764078470574"
2012-09-23,"0,091189288478922"
2012-09-24,"0,0914041140598645"
2012-09-25,"0,091639969081162"
2012-09-26,"0,0918800229237784"
2012-09-27,"0,0920901915090676"
2012-09-28,"0,0922964255861163"
2012-09-29,"0,0924882540976679"
2012-09-30,"0,0926879544585244"
2012-10-01,"0,0928163183447345"
2012-10-02,"0,0928582296565272"
2012-10-03,"0,0929060672909613"
2012-10-04,"0,0929493482881106"
2012-10-05,"0,0929812899776224"
2012-10-06,"0,0930287212517871"
2012-10-07,"0,0931590998081753"
2012-10-08,"0,0932797131086808"
2012-10-09,"0,09340683949691"
2012-10-10,"0,0934861658207431"
2012-10-11,"0,0935704487985212"
2012-10-12,"0,093624915280952"
2012-10-13,"0,0936896068355876"
2012-10-14,"0,0938081584267507"
2012-10-15,"0,0938924292763481"
2012-10-16,"0,0939486443083542"
2012-10-17,"0,0940603089849041"
2012-10-18,"0,0943552181716539"
2012-10-19,"0,0945569632163405"
2012-10-20,"0,0946801400484783"
2012-10-21,"0,0948110580498689"
2012-10-22,"0,0949240699544817"
2012-10-23,"0,0949321802182124"
2012-10-24,"0,0949791519589894"
2012-10-25,"0,0950397369345459"
2012-10-26,"0,0950851632843082"
2012-10-27,"0,0951161416018859"
2012-10-28,"0,0951366343186973"
2012-10-29,"0,0952006263677479"
2012-10-30,"0,0951573788974419"
2012-10-31,"0,095096153341848"
2012-11-01,"0,0951299879644368"
2012-11-02,"0,0951707079083798"
2012-11-03,"0,0952487571785117"
2012-11-04,"0,0952877202157848"
2012-11-05,"0,0953445955231247"
2012-11-06,"0,0954032447279216"
2012-11-07,"0,0953791895783604"
2012-11-08,"0,0954772621047956"
2012-11-09,"0,0955568117340539"
2012-11-10,"0,0956254691327072"
2012-11-11,"0,0957215566294549"
2012-11-12,"0,0958273175946033"
2012-11-13,"0,0959359878358026"
2012-11-14,"0,0960960195416558"
2012-11-15,"0,0962302370952706"
2012-11-16,"0,0963409067117414"
2012-11-17,"0,0964441390297859"
2012-11-18,"0,096520477814063"
2012-11-19,"0,0966297910676634"
2012-11-20,"0,0967063560397462"
2012-11-21,"0,0968604580386452"
2012-11-22,"0,0970185097694169"
2012-11-23,"0,0971245182406766"
2012-11-24,"0,0972359326954296"
2012-11-25,"0,0973304234142245"
2012-11-26,"0,0974058339452078"
2012-11-27,"0,0975177347810965"
2012-11-28,"0,0976372595278282"
2012-11-29,"0,0977509895889107"
2012-11-30,"0,097931291542762"
2012-12-01,"0,0981159344330907"
2012-12-02,"0,0982727580468787"
2012-12-03,"0,0982526868611976"
2012-12-04,"0,0983496691762548"
2012-12-05,"0,0984779259027031"
2012-12-06,"0,0986215908713181"
2012-12-07,"0,0987527964168647"
2012-12-08,"0,0988868402757181"
2012-12-09,"0,0990328186711135"
2012-12-10,"0,0992411074804251"
2012-12-11,"0,0993968690886507"
2012-12-12,"0,0995747850649781"
2012-12-13,"0,099761831142403"
2012-12-14,"0,0999452055183847"
2012-12-15,"0,100173472146914"
2012-12-16,"0,100488018520447"
2012-12-17,"0,100834775406663"
2012-12-18,"0,10108883941984"
2012-12-19,"0,101343408702315"
2012-12-20,"0,101630097479898"
2012-12-21,"0,101812553978515"
2012-12-22,"0,102007297076349"
2012-12-23,"0,102237969193994"
2012-12-24,"0,102446715404305"
2012-12-25,"0,102718887860704"
2012-12-26,"0,102997768600892"
2012-12-27,"0,103233499242792"
2012-12-28,"0,1034281573704"
2012-12-29,"0,103609909508555"
2012-12-30,"0,103757883154063"
2012-12-31,"0,103926541879533"
2013-01-01,"0,104051714403438"
2013-01-02,"0,104254313944238"
2013-01-03,"0,104468672124976"
2013-01-04,"0,104732120237163"
2013-01-05,"0,104960723572534"
2013-01-06,"0,105197587660026"
2013-01-07,"0,105433291906204"
2013-01-08,"0,105682193621119"
2013-01-09,"0,105917598553685"
2013-01-10,"0,10614393003753"
2013-01-11,"0,106325971082234"
2013-01-12,"0,106619917615929"
2013-01-13,"0,106858690192271"
2013-01-14,"0,107053781418049"
2013-01-15,"0,107206219724542"
2013-01-16,"0,107341999540809"
2013-01-17,"0,10744712928242"
2013-01-18,"0,107561861989838"
2013-01-19,"0,107640124150329"
2013-01-20,"0,107892857911708"
2013-01-21,"0,108070169315486"
2013-01-22,"0,108267624815845"
2013-01-23,"0,108534969468576"
2013-01-24,"0,108761811774384"
2013-01-25,"0,109021360638618"
2013-01-26,"0,109201163928492"
2013-01-27,"0,109391451036054"
2013-01-28,"0,109605964018922"
2013-01-29,"0,109836174506195"
2013-01-30,"0,109894929736436"
2013-01-31,"0,109955045954961"
2013-02-01,"0,110017113670151"
2013-02-02,"0,110262083776878"
2013-02-03,"0,110521671831671"
2013-02-04,"0,111845021493889"
2013-02-05,"0,112094709462478"
2013-02-06,"0,112224100286066"
2013-02-07,"0,112505222679971"
2013-02-08,"0,112716701644297"
2013-02-09,"0,112897645544564"
2013-02-10,"0,113064452284018"
2013-02-11,"0,113227016887296"
2013-02-12,"0,113404008104401"
2013-02-13,"0,113632771292292"
2013-02-14,"0,113851479247401"
2013-02-15,"0,112916959140244"
2013-02-16,"0,113500844133124"
2013-02-17,"0,113733989878519"
2013-02-18,"0,113941646060808"
2013-02-19,"0,114117268529769"
2013-02-20,"0,114441322512886"
2013-02-21,"0,114829484511289"
2013-02-22,"0,115075615675868"
2013-02-23,"0,115332393051403"
2013-02-24,"0,115544915391261"
2013-02-25,"0,115772161297323"
2013-02-26,"0,115953977807729"
2013-02-27,"0,116123808007899"
2013-02-28,"0,116346309709107"
2013-03-01,"0,116563717881042"
2013-03-02,"0,11675981399293"
2013-03-03,"0,117020573431954"
2013-03-04,"0,117248648175693"
2013-03-05,"0,11748274771488"
2013-03-06,"0,117620324163131"
2013-03-07,"0,11778405082391"
2013-03-08,"0,11796605045572"
2013-03-09,"0,11808111702311"
2013-03-10,"0,118233646397162"
2013-03-11,"0,11837743390472"
2013-03-12,"0,118519820831238"
2013-03-13,"0,118642358006444"
2013-03-14,"0,118804694622427"
2013-03-15,"0,118918357621969"
2013-03-16,"0,119058619598854"
2013-03-17,"0,119202314077611"
2013-03-18,"0,119420685264366"
2013-03-19,"0,119612202765905"
2013-03-20,"0,119787938585452"
2013-03-21,"0,12004382592945"
2013-03-22,"0,120319604459206"
2013-03-23,"0,120593518759681"
2013-03-24,"0,120838350883684"
2013-03-25,"0,121077147299139"
2013-03-26,"0,121263640803509"
2013-03-27,"0,121460110561271"
2013-03-28,"0,121660280233163"
2013-03-29,"0,121912935126041"
2013-03-30,"0,122161110566745"
2013-03-31,"0,122360092754574"
2013-04-01,"0,122546275779475"
2013-04-02,"0,122755246741483"
2013-04-03,"0,123061273722478"
2013-04-04,"0,12347574252472"
2013-04-05,"0,123764518930421"
2013-04-06,"0,124387081086363"
2013-04-07,"0,124567908750775"
2013-04-08,"0,124603015741809"
2013-04-09,"0,124771177576203"
2013-04-10,"0,125345163288505"
2013-04-11,"0,125540095671641"
2013-04-12,"0,125776531778278"
2013-04-13,"0,125996364650075"
2013-04-14,"0,12624814670485"
2013-04-15,"0,126514192145672"
2013-04-16,"0,126522357980336"
2013-04-17,"0,126812849409805"
2013-04-18,"0,127028575565283"
2013-04-19,"0,127288196448441"
2013-04-20,"0,127483431677089"
2013-04-21,"0,127640635296564"
2013-04-22,"0,127786281415549"
2013-04-23,"0,12863170792845"
2013-04-24,"0,128797766967279"
2013-04-25,"0,128923787280806"
2013-04-26,"0,129150334740869"
2013-04-27,"0,129296938046113"
2013-04-28,"0,129484279570474"
2013-04-29,"0,130172544195248"
2013-04-30,"0,130430676502055"
2013-05-01,"0,130584202681221"
2013-05-02,"0,130751901138973"
2013-05-03,"0,13084631253966"
2013-05-04,"0,130916778988474"
2013-05-05,"0,131281948907292"
2013-05-06,"0,131322874347868"
2013-05-07,"0,131367672759547"
2013-05-08,"0,131408830690445"
2013-05-09,"0,131495158335279"
2013-05-10,"0,131507239494025"
2013-05-11,"0,132104149971508"
2013-05-12,"0,132193421034927"
2013-05-13,"0,132240790532619"
2013-05-14,"0,132257603858066"
2013-05-15,"0,132314398431812"
2013-05-16,"0,13233324957505"
2013-05-17,"0,132415397909932"
2013-05-18,"0,132427639856501"
2013-05-19,"0,132511179469741"
2013-05-20,"0,132585670002102"
2013-05-21,"0,132675144487993"
2013-05-22,"0,132736166284852"
2013-05-23,"0,132850339701384"
2013-05-24,"0,132943129477765"
2013-05-25,"0,133090616677048"
2013-05-26,"0,133216273298579"
2013-05-27,"0,133230893743085"
2013-05-28,"0,133295451240996"
2013-05-29,"0,133330240437987"
2013-05-30,"0,133330538775383"
2013-05-31,"0,133334403677899"
2013-06-01,"0,133346870749057"
2013-06-02,"0,133382771205526"
2013-06-03,"0,133390755309991"
2013-06-04,"0,133403178372129"
2013-06-05,"0,133428632765449"
2013-06-06,"0,133472727393898"
2013-06-07,"0,133527246644578"
2013-06-08,"0,134375009822485"
2013-06-09,"0,134417249520699"
2013-06-10,"0,134427921833063"
2013-06-11,"0,13443635396111"
2013-06-12,"0,134458903444715"
2013-06-13,"0,134533317973677"
2013-06-14,"0,13476004331468"
2013-06-15,"0,134799644937931"
2013-06-16,"0,134855430734815"
2013-06-17,"0,134900656960463"
2013-06-18,"0,136789361862094"
2013-06-19,"0,136895022968534"
2013-06-20,"0,136954509051694"
2013-06-21,"0,137005299107537"
2013-06-22,"0,13720687989118"
2013-06-23,"0,137307539385591"
2013-06-24,"0,137449216300249"
2013-06-25,"0,137525938834575"
2013-06-26,"0,137603712442283"
2013-06-27,"0,137718818786384"
2013-06-28,"0,137771096294272"
2013-06-29,"0,137818698830635"
2013-06-30,"0,137882891491985"
2013-07-01,"0,137933412132938"
2013-07-02,"0,138006675908201"
2013-07-03,"0,138110462021669"
2013-07-04,"0,138201425182325"
2013-07-05,"0,138277676069494"
2013-07-06,"0,138368499446387"
2013-07-07,"0,138441984461261"
2013-07-08,"0,138588743771539"
2013-07-09,"0,138745760331757"
2013-07-10,"0,138851795152977"
2013-07-11,"0,140179490664819"
2013-07-12,"0,141259124481128"
2013-07-13,"0,142302229233078"
2013-07-14,"0,143148280249755"
2013-07-15,"0,143815244838223"
2013-07-16,"0,144032717126068"
2013-07-17,"0,14412893010354"
2013-07-18,"0,144305192442267"
2013-07-19,"0,14448047463007"
2013-07-20,"0,144697921715246"
2013-07-21,"0,144928173407072"
2013-07-22,"0,145093860493755"
2013-07-23,"0,147362883123573"
2013-07-24,"0,147570273684762"
2013-07-25,"0,148065299587521"
2013-07-26,"0,14823477798226"
2013-07-27,"0,148505466529496"
2013-07-28,"0,148599757713091"
2013-07-29,"0,148825395414887"
2013-07-30,"0,149024624729229"
2013-07-31,"0,149289574234265"
2013-08-01,"0,149602385893471"
2013-08-02,"0,14991251375317"
2013-08-03,"0,150152413577242"
2013-08-04,"0,150579397405285"
2013-08-05,"0,150688560308581"
2013-08-06,"0,15084844927077"
2013-08-07,"0,15092823388483"
2013-08-08,"0,151817993852669"
2013-08-09,"0,1519935005323"
2013-08-10,"0,15227779930562"
2013-08-11,"0,152461911384345"
2013-08-12,"0,152666300313956"
2013-08-13,"0,152883939458871"
2013-08-14,"0,153089459347774"
2013-08-15,"0,153200974109537"
2013-08-16,"0,153285369666127"
2013-08-17,"0,153397685470331"
2013-08-18,"0,15348040602865"
2013-08-19,"0,153763887713238"
2013-08-20,"0,153888154719508"
2013-08-21,"0,153974175703259"
2013-08-22,"0,154101122703807"
2013-08-23,"0,15432646745621"
2013-08-24,"0,154416478157909"
2013-08-25,"0,154641891123405"
2013-08-26,"0,154823557379663"
2013-08-27,"0,155006039602496"
2013-08-28,"0,155075754661186"
2013-08-29,"0,155094538149537"
2013-08-30,"0,155258834885961"
2013-08-31,"0,155407587211738"
2013-09-01,"0,155598168318063"
2013-09-02,"0,155687002894033"
2013-09-03,"0,155831890676297"
2013-09-04,"0,155954394568392"
2013-09-05,"0,156066349869469"
2013-09-06,"0,156157528417983"
2013-09-07,"0,156443584249123"
2013-09-08,"0,156562099819916"
2013-09-09,"0,156760687245266"
2013-09-10,"0,156945943944507"
2013-09-11,"0,156998727897121"
2013-09-12,"0,157089956119037"
2013-09-13,"0,157265774038614"
2013-09-14,"0,157356282482411"
2013-09-15,"0,157513406877999"
2013-09-16,"0,157650432050327"
2013-09-17,"0,157826366549484"
2013-09-18,"0,157985555866806"
2013-09-19,"0,15813936226916"
2013-09-20,"0,158273852936872"
2013-09-21,"0,15842648242922"
2013-09-22,"0,158540706428374"
2013-09-23,"0,158587182637975"
2013-09-24,"0,158645157534994"
2013-09-25,"0,158734811514688"
2013-09-26,"0,158820700819034"
2013-09-27,"0,15896178494422"
2013-09-28,"0,159273681879699"
2013-09-29,"0,159415358579967"
2013-09-30,"0,159509926663375"
2013-10-01,"0,159495181522948"
2013-10-02,"0,159500269745774"
2013-10-03,"0,160132541466638"
2013-10-04,"0,160149070154822"
2013-10-05,"0,160341916983794"
2013-10-06,"0,160479584134823"
