Date,indicators/sopr_adjusted
2012-02-14,"0,931228377270072"
2012-02-15,"0,981915743293771"
2012-02-16,"0,942858219342138"
2012-02-17,"0,960424673840984"
2012-02-18,"0,937392014566481"
2012-02-19,"0,941856328114286"
2012-02-20,"0,977024229099387"
2012-02-21,"0,956544946835598"
2012-02-22,"0,973509785020085"
2012-02-23,"1,02228131307371"
2012-02-24,"1,01524667408987"
2012-02-25,"1,02967554374828"
2012-02-26,"1,0009121033381"
2012-02-27,"1,01131626451641"
2012-02-28,"1,01434006783914"
2012-02-29,"0,768889446667075"
2012-03-01,"1,00643104693318"
2012-03-02,"0,970894250743121"
2012-03-03,"0,959549083631364"
2012-03-04,"1,001020436043"
2012-03-05,"1,00820339620069"
2012-03-06,"1,00915352046616"
2012-03-07,"1,00865139487954"
2012-03-08,"0,990056561295928"
2012-03-09,"0,997195476167448"
2012-03-10,"0,978592067193672"
2012-03-11,"0,95577133996875"
2012-03-12,"0,989264252568359"
2012-03-13,"1,02287879094606"
2012-03-14,"1,04829668273042"
2012-03-15,"1,02774450645299"
2012-03-16,"1,04360201137169"
2012-03-17,"1,01205307341351"
2012-03-18,"0,96522062841902"
2012-03-19,"0,971272684723341"
2012-03-20,"0,962931276100615"
2012-03-21,"0,931387353053998"
2012-03-22,"0,975339056663216"
2012-03-23,"0,99982999466883"
2012-03-24,"0,946684434096855"
2012-03-25,"0,952404407340289"
2012-03-26,"0,982971828237327"
2012-03-27,"0,982352283896005"
2012-03-28,"1,00358605481363"
2012-03-29,"0,973378246426114"
2012-03-30,"0,672006732642722"
2012-03-31,"1,00707597482849"
2012-04-01,"0,987190601730658"
2012-04-02,"1,00552429130343"
2012-04-03,"0,902718394385879"
2012-04-04,"1,0090063791693"
2012-04-05,"1,00685813809897"
2012-04-06,"1,01770580605877"
2012-04-07,"0,986762624552475"
2012-04-08,"0,988380038862226"
2012-04-09,"1,01039802170691"
2012-04-10,"0,995884048823884"
2012-04-11,"1,00660413936244"
2012-04-12,"1,01567315223578"
