Date,indicators/unrealized_profit
2011-03-07,"0,674208662703946"
2011-03-08,"0,666011143935601"
2011-03-09,"0,667381812476482"
2011-03-10,"0,680536851656956"
2011-03-11,"0,668274496939407"
2011-03-12,"0,672720941126723"
2011-03-13,"0,665570878369647"
2011-03-14,"0,662398774981596"
2011-03-15,"0,656262893778153"
2011-03-16,"0,648094603993592"
2011-03-17,"0,642873747974761"
2011-03-18,"0,640751541376047"
2011-03-19,"0,63093533059871"
2011-03-20,"0,625509364459296"
2011-03-21,"0,627441795141549"
2011-03-22,"0,636017066236301"
2011-03-23,"0,641378785390855"
2011-03-24,"0,640657590236092"
2011-03-25,"0,642723348471886"
2011-03-26,"0,633664889856567"
2011-03-27,"0,627119632615192"
2011-03-28,"0,621013464516749"
2011-03-29,"0,618939097826642"
2011-03-30,"0,61753589683148"
2011-03-31,"0,615382888541375"
2011-04-01,"0,612348407960768"
2011-04-02,"0,61281958946827"
2011-04-03,"0,611246336413606"
2011-04-04,"0,589578729939183"
2011-04-05,"0,593940771207417"
2011-04-06,"0,599025979765821"
2011-04-07,"0,600724702622753"
2011-04-08,"0,598567353465182"
2011-04-09,"0,596974493583674"
2011-04-10,"0,594207255133642"
2011-04-11,"0,599939385642119"
2011-04-12,"0,618312007573164"
2011-04-13,"0,635134887883032"
2011-04-14,"0,65510298950792"
2011-04-15,"0,645503985403217"
2011-04-16,"0,663778316021459"
2011-04-17,"0,687618740589874"
2011-04-18,"0,689324562585298"
2011-04-19,"0,69385655216455"
2011-04-20,"0,677983029368287"
2011-04-21,"0,692620889131553"
2011-04-22,"0,727078105374562"
2011-04-23,"0,78311619312369"
2011-04-24,"0,761922650525122"
2011-04-25,"0,747315837482316"
2011-04-26,"0,769782613960041"
2011-04-27,"0,782072338597853"
2011-04-28,"0,808818944103986"
2011-04-29,"0,816897635868189"
2011-04-30,"0,827129408934434"
2011-05-01,"0,805445119281097"
2011-05-02,"0,806723147518868"
2011-05-03,"0,81332495288844"
2011-05-04,"0,795184569887752"
2011-05-05,"0,788660417414585"
2011-05-06,"0,785265412920041"
2011-05-07,"0,791243039046875"
2011-05-08,"0,798688334550305"
2011-05-09,"0,792891570378819"
2011-05-10,"0,851843835987768"
2011-05-11,"0,835963221062052"
2011-05-12,"0,847055549225264"
2011-05-13,"0,86231164268144"
2011-05-14,"0,83091081059885"
2011-05-15,"0,821430110797376"
2011-05-16,"0,823520560585656"
2011-05-17,"0,805395925960938"
2011-05-18,"0,795738947239932"
2011-05-19,"0,791905693196784"
2011-05-20,"0,765022919839758"
2011-05-21,"0,774632964592619"
2011-05-22,"0,779979797882588"
2011-05-23,"0,785104405024976"
2011-05-24,"0,789345163492651"
2011-05-25,"0,804056187377206"
2011-05-26,"0,808657425409049"
2011-05-27,"0,791525844368768"
2011-05-28,"0,786093684608814"
2011-05-29,"0,785984840709803"
2011-05-30,"0,789562813485066"
2011-05-31,"0,784498616783766"
2011-06-01,"0,800090796032368"
2011-06-02,"0,812172055000955"
2011-06-03,"0,847009281927282"
2011-06-04,"0,877967023414646"
2011-06-05,"0,852259902997727"
2011-06-06,"0,834594393106177"
2011-06-07,"0,868042178086353"
