Date,indicators/nupl_less_155
2011-02-21,"0,4615871787472977"
2011-02-22,"0,4965902015932482"
2011-02-23,"0,4926558939154496"
2011-02-24,"0,5359383611898387"
2011-02-25,"0,4888850597781923"
2011-02-26,"0,5069979421914127"
2011-02-27,"0,4586884836092233"
2011-02-28,"0,44022892803503766"
2011-03-01,"0,39222677927032057"
2011-03-02,"0,3997642674496594"
2011-03-03,"0,3960840894989144"
2011-03-04,"0,3671781852445313"
2011-03-05,"0,37001049245913664"
2011-03-06,"0,35016120054960787"
2011-03-07,"0,3476812782697235"
2011-03-08,"0,33158659981183125"
2011-03-09,"0,32526072095710956"
2011-03-10,"0,3719304274378151"
2011-03-11,"0,3320424843042792"
2011-03-12,"0,35286309508789104"
2011-03-13,"0,32647916930943177"
2011-03-14,"0,3207003298951744"
2011-03-15,"0,2988735039901691"
2011-03-16,"0,2830307680717661"
2011-03-17,"0,2498117754837148"
2011-03-18,"0,24079149600001026"
2011-03-19,"0,1880699935900867"
2011-03-20,"0,16032799477740522"
2011-03-21,"0,17822318609122112"
2011-03-22,"0,22601254446546937"
2011-03-23,"0,2581142090557975"
2011-03-24,"0,26802091470833633"
2011-03-25,"0,27821329120908667"
2011-03-26,"0,24704076203930714"
2011-03-27,"0,22063751953534838"
2011-03-28,"0,19139848338434362"
2011-03-29,"0,18261867171284496"
2011-03-30,"0,17405041883882333"
2011-03-31,"0,1657142240392374"
2011-04-01,"0,15295601898317956"
2011-04-02,"0,16093588590743269"
2011-04-03,"0,15659088286923906"
2011-04-04,"0,033581188084751634"
2011-04-05,"0,07331030255544113"
2011-04-06,"0,10874827326407621"
2011-04-07,"0,12377498949893961"
2011-04-08,"0,11719295969126897"
2011-04-09,"0,11065478929150396"
2011-04-10,"0,09810934209125022"
2011-04-11,"0,13572526840022814"
2011-04-12,"0,21445652063596043"
2011-04-13,"0,27619066907274314"
2011-04-14,"0,31416175286736836"
2011-04-15,"0,2999553913419265"
2011-04-16,"0,33703693693928694"
2011-04-17,"0,3799018612492785"
2011-04-18,"0,38062304068777186"
2011-04-19,"0,3947771828796507"
2011-04-20,"0,36095551354303934"
2011-04-21,"0,3893043444103471"
