Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-09,"1359,3","1379,73","1359,3","1378,53",3677940000,0,0
2017-02-10,"1380,07","1391,18","1380,07","1388,84",3475020000,0,0
2017-02-13,"1390,41","1398,6","1389,94","1392,38",3349730000,0,0
2017-02-14,"1391,8","1397,14","1386,35","1396,65",3520910000,0,0
2017-02-15,"1396,34","1405,21","1392,04","1404,21",3775590000,0,0
2017-02-16,"1403,6","1404,84","1391,87","1399,13",3672370000,0,0
2017-02-17,"1399,07","1399,86","1392,67","1399,86",3513060000,0,0
2017-02-21,"1400,66","1410,4","1400,66","1410,34",3579780000,0,0
2017-02-22,"1410,11","1410,11","1401,3","1403,86",3468670000,0,0
2017-02-23,"1404,38","1406,56","1385,63","1394,62",4015260000,0,0
2017-02-24,"1393,62","1394,53","1382,21","1394,52",3831570000,0,0
2017-02-27,"1394,53","1407,97","1392,24","1407,97",3582610000,0,0
2017-02-28,"1406,87","1406,87","1386,53","1386,68",4210140000,0,0
2017-03-01,"1389,12","1414,82","1389,12","1413,64",4345180000,0,0
2017-03-02,"1413,16","1413,16","1395,16","1395,67",3821320000,0,0
2017-03-03,"1395,55","1399,08","1387,97","1394,13",3555260000,0,0
2017-03-06,"1392,34","1392,34","1378,45","1384,25",3232700000,0,0
2017-03-07,"1383,32","1383,66","1374,2","1374,88",3518390000,0,0
2017-03-08,"1375,66","1381,96","1365,84","1366,04",3812100000,0,0
2017-03-09,"1366,23","1371,04","1357,38","1360,12",3716340000,0,0
2017-03-10,"1361,15","1369,05","1356,69","1365,26",3432950000,0,0
2017-03-13,"1365,16","1373,25","1365,05","1370,28",3133900000,0,0
2017-03-14,"1369,16","1369,16","1353,47","1362,38",3172630000,0,0
2017-03-15,"1363,36","1385,69","1363,36","1382,83",3906840000,0,0
2017-03-16,"1383,76","1389,79","1382,47","1386,03",3365660000,0,0
2017-03-17,"1385,27","1393,18","1380,69","1391,52",5178040000,0,0
2017-03-20,"1391,46","1391,48","1381,12","1384,1",3054930000,0,0
2017-03-21,"1385,53","1390,2","1346,03","1346,55",4265590000,0,0
2017-03-22,"1346,21","1348,64","1335,22","1345,6",3572730000,0,0
2017-03-23,"1345,42","1361,22","1343,29","1353,43",3260600000,0,0
2017-03-24,"1354,52","1362,79","1349,18","1354,64",2975130000,0,0
2017-03-27,"1352,7","1359,33","1335,04","1357,32",3240230000,0,0
2017-03-28,"1356,7","1367,94","1352,53","1367,26",3367780000,0,0
2017-03-29,"1366,68","1373,13","1363,35","1371,64",3106940000,0,0
2017-03-30,"1371,99","1382,93","1371,99","1382,35",3158420000,0,0
2017-03-31,"1382,2","1389,95","1380,12","1385,92",3354110000,0,0
2017-04-03,"1386,43","1388,74","1366,53","1369,67",3416400000,0,0
2017-04-04,"1368,58","1374,05","1363,3","1368,18",3206240000,0,0
2017-04-05,"1369,79","1381,34","1350,96","1352,14",3770520000,0,0
2017-04-06,"1351,96","1364,52","1349,34","1364,43",3201920000,0,0
2017-04-07,"1363,84","1367,5","1358,01","1364,56",3053150000,0,0
2017-04-10,"1364,76","1376,56","1361,54","1367,09",2785410000,0,0
2017-04-11,"1366,47","1377,23","1360,54","1376,95",3117420000,0,0
2017-04-12,"1376,86","1376,86","1358,15","1359,2",3196950000,0,0
2017-04-13,"1358,61","1361,32","1345,24","1345,24",3143890000,0,0
2017-04-17,"1345,36","1361,25","1345,36","1361,18",2824710000,0,0
2017-04-18,"1359,89","1362,49","1351,42","1361,89",3269840000,0,0
2017-04-19,"1362,32","1376,69","1362,32","1367,13",3519900000,0,0
2017-04-20,"1368,39","1384,58","1368,39","1384,15",3647420000,0,0
2017-04-21,"1381,5","1383,13","1376,37","1379,85",3503360000,0,0
2017-04-24,"1380,53","1399,96","1380,53","1397,94",3690650000,0,0
2017-04-25,"1400,1","1415,55","1400,1","1411,08",3995240000,0,0
2017-04-26,"1411,05","1425,7","1409,83","1419,43",4105920000,0,0
2017-04-27,"1419,57","1423,52","1413,68","1417,13",4098460000,0,0
2017-04-28,"1417,75","1419,21","1399,75","1400,43",3718270000,0,0
2017-05-01,"1401,01","1411,04","1397,08","1407,36",3199240000,0,0
2017-05-02,"1407,54","1409,05","1395,63","1399,36",3813680000,0,0
2017-05-03,"1399,13","1399,13","1386,32","1390,92",3893990000,0,0
2017-05-04,"1391,17","1394,16","1380,49","1388,85",4362540000,0,0
2017-05-05,"1389,21","1397,21","1385,2","1397,0",3540140000,0,0
2017-05-08,"1396,4","1397,43","1386,42","1391,64",3429440000,0,0
2017-05-09,"1392,31","1395,48","1386,73","1391,86",3653590000,0,0
2017-05-10,"1392,03","1400,81","1390,44","1399,59",3643530000,0,0
2017-05-11,"1399,2","1399,2","1379,15","1390,2",3727420000,0,0
2017-05-12,"1389,39","1389,39","1380,02","1382,77",3305630000,0,0
2017-05-15,"1383,27","1398,99","1383,27","1393,92",3473600000,0,0
2017-05-16,"1394,57","1396,36","1384,82","1394,68",3420790000,0,0
2017-05-17,"1388,3","1388,3","1355,85","1355,89",4163000000,0,0
2017-05-18,"1354,93","1365,01","1351,01","1361,08",4319420000,0,0
2017-05-19,"1361,53","1374,42","1361,53","1367,33",3825160000,0,0
2017-05-22,"1367,88","1378,3","1367,88","1377,14",3172830000,0,0
2017-05-23,"1378,24","1383,08","1372,05","1380,98",3213570000,0,0
2017-05-24,"1381,16","1386,07","1376,55","1382,51",3389900000,0,0
2017-05-25,"1384,81","1391,42","1380,33","1383,39",3535390000,0,0
2017-05-26,"1383,14","1383,68","1376,15","1382,24",2805040000,0,0
2017-05-30,"1381,17","1381,17","1370,96","1371,19",3203160000,0,0
2017-05-31,"1372,2","1374,43","1354,85","1370,21",4516110000,0,0
2017-06-01,"1370,33","1396,2","1370,33","1396,06",3857140000,0,0
2017-06-02,"1396,08","1414,96","1396,04","1405,39",3461680000,0,0
2017-06-05,"1405,14","1405,14","1396,44","1396,45",2912600000,0,0
2017-06-06,"1395,05","1401,79","1386,7","1394,9",3357840000,0,0
2017-06-07,"1395,53","1400,41","1392,2","1396,67",3572300000,0,0
2017-06-08,"1396,78","1419,32","1394,69","1415,61",3728860000,0,0
2017-06-09,"1416,15","1433,79","1413,61","1421,71",4027340000,0,0
2017-06-12,"1421,1","1426,1","1415,59","1419,21",4027750000,0,0
2017-06-13,"1420,06","1427,55","1420,06","1425,99",3275500000,0,0
2017-06-14,"1426,03","1426,13","1411,4","1417,57",3555590000,0,0
2017-06-15,"1415,47","1415,47","1402,52","1410,08",3353050000,0,0
2017-06-16,"1407,22","1407,22","1399,26","1406,73",5284720000,0,0
2017-06-19,"1407,07","1420,19","1407,07","1418,08",3264700000,0,0
2017-06-20,"1417,76","1417,76","1402,79","1402,97",3416510000,0,0
2017-06-21,"1403,33","1411,88","1398,46","1399,25",3594820000,0,0
2017-06-22,"1399,37","1408,34","1396,87","1404,54",3468210000,0,0
2017-06-23,"1404,78","1415,77","1402,77","1414,78",5278330000,0,0
2017-06-26,"1415,12","1420,77","1409,15","1416,64",3238970000,0,0
2017-06-27,"1416,35","1420,61","1403,38","1403,52",3563910000,0,0
2017-06-28,"1404,46","1426,33","1404,46","1425,27",3500800000,0,0
2017-06-29,"1425,49","1428,03","1403,02","1416,2",3900280000,0,0
2017-06-30,"1416,73","1420,99","1413,29","1415,36",3361590000,0,0
2017-07-03,"1416,47","1429,37","1416,47","1426,68",1902190000,0,0
2017-07-05,"1426,53","1426,53","1412,62","1420,15",3367220000,0,0
2017-07-06,"1418,86","1418,86","1398,83","1400,81",3364520000,0,0
2017-07-07,"1401,35","1416,68","1401,35","1415,84",2901330000,0,0
2017-07-10,"1415,28","1418,05","1405,75","1408,47",2999130000,0,0
2017-07-11,"1408,61","1413,47","1402,63","1413,05",3106750000,0,0
2017-07-12,"1414,34","1431,34","1414,34","1424,32",3171620000,0,0
2017-07-13,"1424,53","1425,74","1416,27","1425,66",3067670000,0,0
2017-07-14,"1425,47","1432,97","1424,1","1428,82",2736640000,0,0
2017-07-17,"1428,78","1434,45","1425,97","1431,6",2793170000,0,0
2017-07-18,"1431,11","1431,11","1422,49","1427,61",2962130000,0,0
2017-07-19,"1428,28","1441,77","1428,28","1441,77",3059760000,0,0
2017-07-20,"1442,16","1445,06","1438,96","1442,35",3182780000,0,0
2017-07-21,"1443,37","1452,05","1433,83","1435,84",3059570000,0,0
2017-07-24,"1435,82","1438,6","1431,34","1438,05",3010240000,0,0
2017-07-25,"1438,86","1452,09","1438,86","1450,39",4008060000,0,0
2017-07-26,"1450,58","1452,02","1441,25","1442,28",3557020000,0,0
2017-07-27,"1442,26","1446,63","1427,69","1433,62",3995520000,0,0
2017-07-28,"1432,59","1432,59","1425,8","1429,26",3294770000,0,0
2017-07-31,"1429,46","1432,46","1420,66","1425,14",3469210000,0,0
2017-08-01,"1426,03","1430,66","1420,82","1428,33",3460860000,0,0
2017-08-02,"1428,03","1428,03","1408,52","1412,9",3478580000,0,0
2017-08-03,"1413,09","1414,72","1402,39","1405,23",3645020000,0,0
2017-08-04,"1405,14","1413,04","1405,14","1412,32",3235140000,0,0
2017-08-07,"1412,4","1417,42","1408,62","1414,17",2931780000,0,0
2017-08-08,"1413,93","1426,29","1407,57","1410,15",3344640000,0,0
2017-08-09,"1409,78","1409,78","1393,24","1396,95",3308060000,0,0
2017-08-10,"1396,6","1396,6","1372,54","1372,54",3621070000,0,0
2017-08-11,"1372,26","1376,37","1368,33","1374,23",3159930000,0,0
2017-08-14,"1375,13","1394,53","1375,13","1394,31",2822550000,0,0
2017-08-15,"1394,7","1395,88","1382,95","1383,24",2913100000,0,0
2017-08-16,"1384,18","1391,68","1381,9","1383,53",2953650000,0,0
2017-08-17,"1383,07","1384,74","1358,8","1358,94",3142620000,0,0
2017-08-18,"1357,01","1362,34","1349,35","1357,79",3415680000,0,0
2017-08-21,"1357,74","1358,09","1351,2","1356,9",2788150000,0,0
2017-08-22,"1357,89","1372,33","1357,89","1371,54",2777490000,0,0
2017-08-23,"1370,68","1373,28","1363,17","1369,74",2785290000,0,0
2017-08-24,"1370,16","1377,05","1370,16","1373,88",2846590000,0,0
2017-08-25,"1374,38","1380,6","1373,53","1377,45",2588780000,0,0
2017-08-28,"1377,76","1382,53","1377,06","1382,23",2677700000,0,0
2017-08-29,"1381,31","1385,19","1371,8","1383,68",2737580000,0,0
2017-08-30,"1383,21","1392,77","1381,2","1391,32",2633660000,0,0
2017-08-31,"1392,04","1406,44","1392,04","1405,28",3348110000,0,0
2017-09-01,"1405,82","1413,87","1405,82","1413,57",2710730000,0,0
2017-09-05,"1413,3","1414,55","1394,51","1399,66",3490260000,0,0
2017-09-06,"1400,01","1406,02","1399,27","1402,2",3374410000,0,0
2017-09-07,"1402,46","1404,31","1393,88","1398,67",3353930000,0,0
2017-09-08,"1398,19","1403,53","1394,43","1399,43",3302490000,0,0
2017-09-11,"1400,56","1415,75","1400,56","1414,83",3291760000,0,0
2017-09-12,"1415,34","1423,93","1415,18","1423,46",3230920000,0,0
2017-09-13,"1423,3","1428,74","1421,88","1426,89",3368050000,0,0
2017-09-14,"1426,57","1427,92","1421,63","1425,02",3414460000,0,0
2017-09-15,"1425,35","1431,99","1422,25","1431,71",4853170000,0,0
2017-09-18,"1431,75","1444,27","1431,75","1441,08",3194300000,0,0
2017-09-19,"1441,19","1442,58","1438,29","1440,4",3249100000,0,0
2017-09-20,"1440,48","1446,48","1440,0","1445,42",3530010000,0,0
2017-09-21,"1445,2","1448,84","1441,69","1444,18",2930860000,0,0
2017-09-22,"1443,47","1451,51","1441,86","1450,78",2865960000,0,0
2017-09-25,"1450,63","1455,22","1445,02","1451,96",3297890000,0,0
2017-09-26,"1452,25","1460,95","1452,25","1456,86",3043110000,0,0
2017-09-27,"1457,27","1487,95","1457,27","1484,81",3456030000,0,0
2017-09-28,"1484,8","1489,35","1478,2","1488,79",3168620000,0,0
2017-09-29,"1488,8","1493,56","1488,8","1490,86",3211920000,0,0
2017-10-02,"1491,05","1509,48","1491,05","1509,47",3199730000,0,0
2017-10-03,"1509,94","1512,26","1503,52","1511,97",3068850000,0,0
2017-10-04,"1512,0","1514,77","1505,07","1507,76",3017120000,0,0
2017-10-05,"1508,34","1514,94","1508,34","1512,09",3045120000,0,0
2017-10-06,"1511,41","1511,41","1506,41","1510,22",2884570000,0,0
2017-10-09,"1510,41","1513,3","1501,77","1503,56",2483970000,0,0
2017-10-10,"1504,11","1511,33","1503,92","1508,01",2960500000,0,0
2017-10-11,"1507,91","1510,62","1505,14","1506,92",2976090000,0,0
2017-10-12,"1506,46","1508,43","1501,14","1505,16",3151510000,0,0
2017-10-13,"1505,46","1508,22","1502,23","1502,66",3149440000,0,0
2017-10-16,"1502,97","1511,29","1499,64","1502,68",2916020000,0,0
2017-10-17,"1502,53","1505,8","1495,9","1497,5",2889390000,0,0
2017-10-18,"1497,98","1507,84","1497,98","1505,14",2998090000,0,0
2017-10-19,"1502,97","1505,14","1491,38","1502,04",2990710000,0,0
2017-10-20,"1504,72","1512,75","1504,72","1509,25",3384650000,0,0
2017-10-23,"1509,67","1511,48","1497,34","1497,49",3211710000,0,0
2017-10-24,"1498,19","1505,57","1498,19","1500,42",3427330000,0,0
2017-10-25,"1500,25","1500,42","1482,53","1493,48",3874510000,0,0
2017-10-26,"1494,11","1501,36","1494,11","1497,46",3869050000,0,0
2017-10-27,"1497,54","1508,32","1493,49","1508,32",3887110000,0,0
2017-10-30,"1507,48","1507,48","1484,82","1490,9",3658870000,0,0
2017-10-31,"1491,44","1506,78","1491,44","1502,53",3827230000,0,0
2017-11-01,"1504,54","1512,4","1485,13","1492,78",3813180000,0,0
