Date,market/marketcap_realized_usd
2015-07-27,4127299252.95479
2015-07-28,4129383298.15675
2015-07-29,4129729664.65149
2015-07-30,4129460939.19809
2015-07-31,4131125487.5016
2015-08-01,4131680382.75031
2015-08-02,4132571048.66313
2015-08-03,4133654747.76374
2015-08-04,4132801908.09615
2015-08-05,4133486369.48071
2015-08-06,4133900412.70397
2015-08-07,4134187740.03881
2015-08-08,4136544588.31556
2015-08-09,4116609179.78014
2015-08-10,4116154525.53056
2015-08-11,4116304046.75768
2015-08-12,4116904360.95583
2015-08-13,4116535387.0627
2015-08-14,4115106147.26908
2015-08-15,4114748683.31814
2015-08-16,4112191604.88082
2015-08-17,4111197031.09489
2015-08-18,4109697324.70428
2015-08-19,4101166881.93902
2015-08-20,4095842761.70825
2015-08-21,4093064976.07008
2015-08-22,4090936245.97739
2015-08-23,4091506043.7848
2015-08-24,4083565422.29566
2015-08-25,4059755082.05735
2015-08-26,4053075701.18281
2015-08-27,4052957704.62962
2015-08-28,4052895585.72023
2015-08-29,4052780719.7482
2015-08-30,4053011524.62813
2015-08-31,4052893821.9503
2015-09-01,4052446473.89856
2015-09-02,4051558662.28773
2015-09-03,4049616503.63469
2015-09-04,4049433362.00123
2015-09-05,4050025714.76589
2015-09-06,4051286493.01647
2015-09-07,4052589870.26411
2015-09-08,4054024323.22986
2015-09-09,4054712931.56601
2015-09-10,4052254914.52438
2015-09-11,4052766403.55575
2015-09-12,4053039326.67996
2015-09-13,4052556004.84204
2015-09-14,4051337547.71949
2015-09-15,4051105621.28274
2015-09-16,4050776832.37054
2015-09-17,4050937852.59345
2015-09-18,4051698582.39423
2015-09-19,4051664356.43995
2015-09-20,4051572778.67533
2015-09-21,4052126697.8101
2015-09-22,4051873431.23427
2015-09-23,4049072442.28351
2015-09-24,4049565181.73684
2015-09-25,4050429603.4452
2015-09-26,4050893835.95398
2015-09-27,4051409210.31749
2015-09-28,4051016274.19993
2015-09-29,4052309798.62509
2015-09-30,4052781822.46746
2015-10-01,4052374348.40875
2015-10-02,4053367379.65176
2015-10-03,4054396986.31107
2015-10-04,4054972922.84653
2015-10-05,4055472967.04679
2015-10-06,4056648109.82189
2015-10-07,4055690481.85161
2015-10-08,4054892231.44182
2015-10-09,4055575798.09093
2015-10-10,4056087818.24639
2015-10-11,4056734859.26308
2015-10-12,4053469347.77665
2015-10-13,4054663589.11883
2015-10-14,4053059494.06571
2015-10-15,4055022851.60691
2015-10-16,4057686704.98858
2015-10-17,4061170904.02804
2015-10-18,4063069984.04426
2015-10-19,4064215079.60644
2015-10-20,4067736639.40786
2015-10-21,4069774275.59822
2015-10-22,4071901202.5229
2015-10-23,4075455966.9954
2015-10-24,4078377300.3187
2015-10-25,4083721670.61979
2015-10-26,4085813672.53803
2015-10-27,4091401101.45388
2015-10-28,4098618701.35015
2015-10-29,4108309231.64877
2015-10-30,4124937787.40388
2015-10-31,4132557813.92219
2015-11-01,4137971674.16147
2015-11-02,4150893529.33843
2015-11-03,4181731507.75559
2015-11-04,4244010978.24025
2015-11-05,4258320104.74251
2015-11-06,4256105216.60751
2015-11-07,4267076140.64967
2015-11-08,4269362938.49376
2015-11-09,4274012449.72894
2015-11-10,4269531534.59326
2015-11-11,4253436786.90207
2015-11-12,4252311807.55877
2015-11-13,4256186064.73607
2015-11-14,4257385740.43963
2015-11-15,4257152463.56462
2015-11-16,4255151943.19722
2015-11-17,4264397644.78018
2015-11-18,4266447882.44231
2015-11-19,4267143187.48661
2015-11-20,4266071320.74455
2015-11-21,4267507225.23378
2015-11-22,4269885928.18414
2015-11-23,4270506263.65557
2015-11-24,4271071391.74239
2015-11-25,4271974407.52576
2015-11-26,4278530730.80255
2015-11-27,4284067474.4438
2015-11-28,4287097612.71477
2015-11-29,4290674509.65654
2015-11-30,4302884294.23686
2015-12-01,4306179484.73122
2015-12-02,4306822340.80437
2015-12-03,4309885620.03296
2015-12-04,4312611053.2919
2015-12-05,4319127543.3333
2015-12-06,4330301472.56471
2015-12-07,4338361980.69683
2015-12-08,4345401333.09351
2015-12-09,4366825760.9314
2015-12-10,4375119562.21177
2015-12-11,4388662518.76274
2015-12-12,4397126314.18738
2015-12-13,4403365280.56509
2015-12-14,4419534964.46251
2015-12-15,4435021356.69657
2015-12-16,4443118237.89023
2015-12-17,4450463315.46017
2015-12-18,4457861190.67786
2015-12-19,4469434874.50307
2015-12-20,4473429695.25863
2015-12-21,4473829166.81426
2015-12-22,4478120746.40153
2015-12-23,4483657267.32855
2015-12-24,4493295145.74997
2015-12-25,4502542972.49833
2015-12-26,4501644870.89484
2015-12-27,4501781227.1705
2015-12-28,4503317289.89641
2015-12-29,4505158966.73045
2015-12-30,4508358092.74374
2015-12-31,4512810812.77884
2016-01-01,4516279946.85605
2016-01-02,4518599879.73326
2016-01-03,4522141023.55596
2016-01-04,4526388737.9151
2016-01-05,4530036651.76877
2016-01-06,4533187145.50841
2016-01-07,4550043853.03854
2016-01-08,4557997906.3552
2016-01-09,4561411333.30311
2016-01-10,4571151191.80801
2016-01-11,4578276620.8901
2016-01-12,4583691364.16917
2016-01-13,4582772063.87978
2016-01-14,4584101632.66051
2016-01-15,4578999638.24652
2016-01-16,4571705566.91376
2016-01-17,4573719107.22171
2016-01-18,4571332745.62471
2016-01-19,4572263970.82535
2016-01-20,4574643823.94421
2016-01-21,4581835758.67251
2016-01-22,4564616511.8223
2016-01-23,4563794950.92165
2016-01-24,4567662164.44984
2016-01-25,4572471935.11826
2016-01-26,4574310963.49593
2016-01-27,4576334991.76549
2016-01-28,4572972590.2514
2016-01-29,4567021894.84037
2016-01-30,4570576620.31726
2016-01-31,4572176328.50498
2016-02-01,4562913923.37957
2016-02-02,4562322479.45512
2016-02-03,4561077710.03662
2016-02-04,4563252728.51269
2016-02-05,4567198499.60044
2016-02-06,4566289282.01078
2016-02-07,4567903993.97534
2016-02-08,4568032875.51459
2016-02-09,4566036009.24727
2016-02-10,4568811774.23702
2016-02-11,4571276385.78851
2016-02-12,4573886774.96166
2016-02-13,4577381754.89254
2016-02-14,4583012233.00718
2016-02-15,4587768004.92777
2016-02-16,4594393240.59854
2016-02-17,4605725381.15055
2016-02-18,4611425199.81114
2016-02-19,4619010128.09982
2016-02-20,4626349222.59898
2016-02-21,4631786034.49157
2016-02-22,4637062469.98868
2016-02-23,4638962188.03745
2016-02-24,4641497922.6411
2016-02-25,4644590959.08207
2016-02-26,4647686688.04569
2016-02-27,4651977876.48265
2016-02-28,4657064790.73513
2016-02-29,4668379767.82582
2016-03-01,4679658181.67624
2016-03-02,4683884836.47408
2016-03-03,4685415456.67696
2016-03-04,4687742911.82099
2016-03-05,4688261172.11087
2016-03-06,4689726712.6093
2016-03-07,4692674815.64233
2016-03-08,4695212258.67065
2016-03-09,4694552541.69927
2016-03-10,4697674206.31381
2016-03-11,4701533117.66392
2016-03-12,4703470682.6398
2016-03-13,4705773059.96948
2016-03-14,4708972089.54692
2016-03-15,4712005968.5199
2016-03-16,4715193669.60194
2016-03-17,4719000993.49587
2016-03-18,4720845733.22109
2016-03-19,4720985592.5445
2016-03-20,4722251384.36782
2016-03-21,4725438889.90999
2016-03-22,4730377595.32867
2016-03-23,4733157007.28885
2016-03-24,4736217822.0059
2016-03-25,4740342243.38705
2016-03-26,4744009098.80954
2016-03-27,4747634095.6201
2016-03-28,4752972888.795
2016-03-29,4755708659.63425
2016-03-30,4757391795.27522
2016-03-31,4760554808.90627
2016-04-01,4763227382.37703
2016-04-02,4766142753.15539
2016-04-03,4768514736.9635
2016-04-04,4771106825.45889
2016-04-05,4774871777.06069
2016-04-06,4780858078.96829
2016-04-07,4792671710.63818
2016-04-08,4794854083.22997
2016-04-09,4796276195.55858
2016-04-10,4803692206.96257
2016-04-11,4806682433.26346
2016-04-12,4811951589.19393
2016-04-13,4814740910.42629
2016-04-14,4817280763.66434
2016-04-15,4820502345.0017
2016-04-16,4823959721.03791
2016-04-17,4826215341.05447
2016-04-18,4828549141.89667
2016-04-19,4831751867.82558
2016-04-20,4837470513.23968
2016-04-21,4843726313.9792
2016-04-22,4849989746.91279
2016-04-23,4853629064.39361
2016-04-24,4861079244.3379
2016-04-25,4872544532.49127
2016-04-26,4882083832.78808
2016-04-27,4886358962.29797
2016-04-28,4886344898.92296
2016-04-29,4890738216.21415
2016-04-30,4894392920.00127
2016-05-01,4900219010.72892
2016-05-02,4902435983.96196
2016-05-03,4904557924.21098
2016-05-04,4908035634.25588
2016-05-05,4910876070.01697
2016-05-06,4916935818.15957
2016-05-07,4921399501.48532
2016-05-08,4925219250.36742
2016-05-09,4929579813.75852
2016-05-10,4934221304.11488
2016-05-11,4937867927.88475
2016-05-12,4940277539.99075
2016-05-13,4943529771.14907
2016-05-14,4948238948.8293
2016-05-15,4951217546.07612
2016-05-16,4953324137.10041
2016-05-17,4970747520.10426
2016-05-18,4974417139.51982
2016-05-19,4977866690.76114
2016-05-20,4980526289.58325
2016-05-21,4982748412.27599
2016-05-22,4985153211.6121
2016-05-23,4988658660.04552
2016-05-24,4991132724.86233
2016-05-25,4995964918.72649
2016-05-26,4999855100.02068
2016-05-27,5020844988.01211
2016-05-28,5037713466.99989
2016-05-29,5058900535.92022
2016-05-30,5077801327.11518
2016-05-31,5093594544.17086
2016-06-01,5105431027.46371
2016-06-02,5123264430.91463
2016-06-03,5136219585.96651
2016-06-04,5150068459.95251
2016-06-05,5161748286.84003
2016-06-06,5178830842.1173
2016-06-07,5190019855.17393
2016-06-08,5200832819.82785
2016-06-09,5210948728.38323
2016-06-10,5220660394.88298
2016-06-11,5230703497.24521
2016-06-12,5269584198.85187
2016-06-13,5336813404.00581
2016-06-14,5360591183.66707
2016-06-15,5389846413.22558
2016-06-16,5463752504.78259
2016-06-17,5497923506.73585
2016-06-18,5519274619.07741
2016-06-19,5535372622.3337
2016-06-20,5554274804.23832
2016-06-21,5559599993.56765
2016-06-22,5553258249.45416
2016-06-23,5535344426.21859
2016-06-24,5556556776.13954
2016-06-25,5573399412.89357
2016-06-26,5572024300.0685
2016-06-27,5579313596.73139
2016-06-28,5585912522.78341
2016-06-29,5585976593.86473
2016-06-30,5600804563.96836
2016-07-01,5615712802.4013
2016-07-02,5627416936.74545
2016-07-03,5632802819.15182
2016-07-04,5639763412.92734
2016-07-05,5651477894.4699
2016-07-06,5659690668.36534
2016-07-07,5658197940.19657
2016-07-08,5663544901.34229
2016-07-09,5673492635.7716
2016-07-10,5679770178.1269
2016-07-11,5688993566.46346
2016-07-12,5695030336.71555
2016-07-13,5702051392.75871
2016-07-14,5705138384.06091
2016-07-15,5709973783.57792
2016-07-16,5714533888.15377
2016-07-17,5725083282.84518
2016-07-18,5731834064.40918
2016-07-19,5740848565.20205
2016-07-20,5744390022.72972
2016-07-21,5746783438.51756
2016-07-22,5749708687.6176
2016-07-23,5750347374.0674
2016-07-24,5760683334.20376
2016-07-25,5766393638.95933
2016-07-26,5769768815.30799
2016-07-27,5775724796.90412
2016-07-28,5779824496.89107
2016-07-29,5784134133.9424
2016-07-30,5788621572.32878
2016-07-31,5786847204.57206
2016-08-01,5782103941.03768
2016-08-02,5769595522.3638
2016-08-03,5758131952.35574
2016-08-04,5765341018.14381
2016-08-05,5766497026.25025
2016-08-06,5765874277.26682
2016-08-07,5769131928.58679
2016-08-08,5770609603.30371
2016-08-09,5769377401.94156
2016-08-10,5767767948.4414
2016-08-11,5768996198.37036
2016-08-12,5769607007.23958
2016-08-13,5771551844.37781
2016-08-14,5771864141.51098
2016-08-15,5769076247.14299
2016-08-16,5771729719.05128
2016-08-17,5772726216.0914
2016-08-18,5773942922.58939
2016-08-19,5775666176.4466
2016-08-20,5786634615.46978
2016-08-21,5789465913.39288
2016-08-22,5791221514.29437
2016-08-23,5792559854.58332
2016-08-24,5792312384.03835
2016-08-25,5802455327.17271
2016-08-26,5804952769.18289
2016-08-27,5805365429.44356
2016-08-28,5806232903.47863
2016-08-29,5805112314.71725
2016-08-30,5809071647.10446
2016-08-31,5814496601.87451
2016-09-01,5815087705.85029
2016-09-02,5816529797.52118
2016-09-03,5819147728.62366
2016-09-04,5826170161.15154
2016-09-05,5830858246.46122
2016-09-06,5836872824.76203
2016-09-07,5842074392.88152
2016-09-08,5849224976.60713
2016-09-09,5854951802.00334
2016-09-10,5858653470.02555
2016-09-11,5862857271.19255
2016-09-12,5863471984.36253
2016-09-13,5870432865.63061
2016-09-14,5874044251.76776
2016-09-15,5876615455.36342
2016-09-16,5881497424.88672
2016-09-17,5883838069.71365
2016-09-18,5886463302.22299
2016-09-19,5889061824.17583
2016-09-20,5898439731.12188
2016-09-21,5898406984.97265
2016-09-22,5899407552.51905
2016-09-23,5900896679.64431
2016-09-24,5901371078.31084
2016-09-25,5907073278.18417
2016-09-26,5910929998.4289
2016-09-27,5915067949.65135
2016-09-28,5917373335.56923
2016-09-29,5919471842.88909
2016-09-30,5920895029.21533
2016-10-01,5924317362.75321
2016-10-02,5926417078.67131
2016-10-03,5933121734.79872
2016-10-04,5939610148.82272
2016-10-05,5943016936.27922
2016-10-06,5946516409.0771
2016-10-07,5949571082.98793
2016-10-08,5953630266.69583
2016-10-09,5956057603.33481
2016-10-10,5959092466.25619
2016-10-11,5969694793.57548
2016-10-12,5983526792.34516
2016-10-13,5987835233.57599
2016-10-14,5991552463.08485
2016-10-15,5995037406.05058
2016-10-16,5998735393.84545
2016-10-17,6009343554.01421
2016-10-18,6017391366.12271
2016-10-19,6021030727.46585
2016-10-20,6023345018.69837
2016-10-21,6031196568.2272
2016-10-22,6035703456.46543
2016-10-23,6041183689.50289
2016-10-24,6047370628.99921
2016-10-25,6055830979.01005
2016-10-26,6067408242.10762
2016-10-27,6085293610.54234
2016-10-28,6093795489.38192
