Date,indicators/average_dormancy_supply_adjusted
2010-01-31,5.889168978596624e-07
2010-02-01,2.7947470876705846e-07
2010-02-02,9.079680224993057e-07
2010-02-03,9.848399774042284e-07
2010-02-04,1.0024611556089753e-06
2010-02-05,8.19551487769472e-06
2010-02-06,1.5793868878989917e-06
2010-02-07,1.054875965737307e-06
2010-02-08,1.4749914340021426e-05
2010-02-09,3.096506050871522e-05
2010-02-10,1.4247660015052158e-05
2010-02-11,1.9790384148317773e-06
2010-02-12,9.479163884016255e-07
2010-02-13,2.9181823505575455e-06
2010-02-14,2.0641483665131706e-07
2010-02-15,2.5293884962106957e-06
2010-02-16,1.4456914616327379e-06
2010-02-17,1.470402855487349e-06
2010-02-18,1.6427738438125516e-06
2010-02-19,9.616045767927186e-07
2010-02-20,9.315902900847137e-07
2010-02-21,1.863927342595595e-06
2010-02-22,6.532969971169015e-06
2010-02-23,4.019657964645193e-07
2010-02-24,1.0804862213938516e-05
2010-02-25,2.1464217086674898e-06
2010-02-26,2.054751365028404e-06
2010-02-27,2.0709299619930188e-06
2010-02-28,7.084432511483666e-06
2010-03-01,1.6849776020332221e-06
2010-03-02,1.3073792441820836e-06
2010-03-03,2.0124551078850386e-06
2010-03-04,2.5813784672622256e-05
2010-03-05,6.428594583034434e-06
2010-03-06,1.4054147986836062e-06
2010-03-07,1.9295619558535634e-06
2010-03-08,1.915504975154443e-05
2010-03-09,3.5549379154613505e-06
2010-03-10,3.2869584348373596e-06
2010-03-11,8.78651448344219e-06
2010-03-12,2.154113497826716e-06
2010-03-13,7.397174044729034e-06
2010-03-14,1.1067533073640885e-06
2010-03-15,2.5740784118250717e-06
2010-03-16,3.5998352195030806e-05
2010-03-17,2.5912496495313838e-05
2010-03-18,4.370769804796465e-06
2010-03-19,4.191317131965413e-06
2010-03-20,5.1994269352072915e-06
2010-03-21,7.248674863931383e-07
2010-03-22,1.6895658787887617e-06
2010-03-23,1.4575761599116968e-05
2010-03-24,2.2812565518435124e-06
2010-03-25,3.6510273079630793e-06
2010-03-26,1.5821003391376201e-06
2010-03-27,3.014905334227392e-06
2010-03-28,1.2248582200384315e-05
2010-03-29,1.8599737656759621e-06
2010-03-30,2.81739812817606e-06
2010-03-31,1.9808419720221473e-06
2010-04-01,1.1676874144248191e-06
2010-04-02,1.0289178557336473e-06
2010-04-03,1.6293593253019733e-06
2010-04-04,4.640654914944755e-06
2010-04-05,7.841095694776222e-06
2010-04-06,1.6202738346271477e-05
2010-04-07,2.0996876793842287e-05
2010-04-08,4.741718390240005e-06
2010-04-09,2.692169100675038e-06
2010-04-10,2.0536259731783188e-05
2010-04-11,6.5644124253154154e-06
2010-04-12,2.187684217922911e-06
2010-04-13,5.672642305554553e-07
2010-04-14,1.7841565409133725e-06
2010-04-15,3.103168703789e-05
2010-04-16,1.3883104967328096e-05
2010-04-17,1.2651569391084462e-06
2010-04-18,6.280583034097092e-07
2010-04-19,2.6748545791535794e-06
2010-04-20,8.987327454660538e-06
2010-04-21,3.4463611401331093e-06
2010-04-22,2.1296197836520275e-06
2010-04-23,4.1136215748966407e-07
2010-04-24,9.503767504610432e-06
2010-04-25,7.646317781340522e-06
2010-04-26,6.3959677554793235e-06
2010-04-27,7.648605842666164e-07
2010-04-28,2.575721793986285e-06
2010-04-29,5.0407379967349e-07
2010-04-30,7.824582924171777e-06
2010-05-01,8.326425473016321e-07
2010-05-02,9.282008216861993e-07
2010-05-03,2.0858623607839977e-06
2010-05-04,3.768514087606797e-06
2010-05-05,5.462865656538731e-06
2010-05-06,8.971349903842762e-06
2010-05-07,3.2654968650638814e-06
2010-05-08,5.878435572794745e-06
2010-05-09,4.314088684760379e-06
2010-05-10,4.075160764469264e-06
2010-05-11,9.414546942435645e-07
2010-05-12,5.125429710530449e-06
2010-05-13,3.1185138461403495e-06
2010-05-14,3.936346385024363e-06
2010-05-15,2.4577910702978308e-06
2010-05-16,1.350034624397868e-06
2010-05-17,9.904888359124868e-06
2010-05-18,1.6958822917768666e-06
2010-05-19,3.140253764510864e-06
2010-05-20,6.059849101699986e-07
2010-05-21,3.337812312768857e-06
2010-05-22,3.361957030395953e-06
2010-05-23,5.191258588554291e-07
2010-05-24,7.510266564737527e-07
2010-05-25,6.230567347328298e-07
2010-05-26,4.235670024487071e-06
2010-05-27,2.776689275797212e-06
2010-05-28,3.477380278995293e-05
2010-05-29,1.7643136753537105e-06
2010-05-30,2.4765543057148665e-06
2010-05-31,1.6405308684849922e-06
2010-06-01,6.936358964489058e-06
2010-06-02,3.986607725378216e-06
2010-06-03,2.922210526497692e-06
2010-06-04,7.85541747410889e-06
2010-06-05,8.067264299976906e-07
2010-06-06,1.0875150762502603e-06
2010-06-07,8.647928616034334e-06
2010-06-08,4.3432120757034635e-06
2010-06-09,6.118233864660607e-06
2010-06-10,4.066497548103854e-06
2010-06-11,5.849090915804046e-06
2010-06-12,8.094772438537539e-07
2010-06-13,1.3377779155693827e-06
2010-06-14,5.170859743308239e-06
2010-06-15,1.1712680585960627e-06
2010-06-16,2.945132047055363e-06
2010-06-17,1.0098920608219303e-05
2010-06-18,2.2369968470806736e-06
2010-06-19,8.351494432809224e-06
2010-06-20,1.559455456796858e-06
2010-06-21,8.2439560961315e-08
2010-06-22,7.466682300260038e-07
2010-06-23,2.1939531850626842e-06
2010-06-24,4.8874879943557476e-06
2010-06-25,5.371984655721141e-06
2010-06-26,1.935536610184287e-06
2010-06-27,2.5369246993985474e-07
2010-06-28,6.029007878114304e-07
2010-06-29,5.778564000774654e-06
2010-06-30,7.52817265972052e-06
2010-07-01,8.847289329153898e-07
2010-07-02,1.9666604167868586e-06
2010-07-03,9.80704508102952e-07
2010-07-04,6.3193971839427134e-06
2010-07-05,2.361607232168443e-06
2010-07-06,8.22047750064165e-07
2010-07-07,4.042328147692547e-06
2010-07-08,3.724856877157011e-06
2010-07-09,3.1612096151802925e-07
2010-07-10,2.1670700712373576e-06
2010-07-11,1.7045284977546965e-06
2010-07-12,3.015054278396472e-07
2010-07-13,2.566168278458196e-07
2010-07-14,3.1421180220957223e-07
2010-07-15,1.077986597197038e-05
2010-07-16,1.3871579205892817e-06
2010-07-17,6.938014616719026e-06
2010-07-18,1.3653588708202261e-05
2010-07-19,2.7454808426533453e-06
2010-07-20,8.741497674733453e-07
2010-07-21,9.33070909237498e-06
2010-07-22,1.961240893759181e-06
2010-07-23,4.828207652366691e-06
2010-07-24,1.6943814433952353e-05
2010-07-25,4.0194110926564565e-06
2010-07-26,1.660882049627156e-05
2010-07-27,1.3736688018426411e-05
2010-07-28,1.175288144966062e-06
2010-07-29,1.0109364961468043e-06
2010-07-30,1.6656960484389332e-06
2010-07-31,8.996906269449846e-06
2010-08-01,7.609426802157418e-07
2010-08-02,4.5167670147031137e-07
2010-08-03,2.5136460341910956e-06
2010-08-04,6.788701917827039e-06
2010-08-05,9.801442525374544e-07
2010-08-06,4.28771405793352e-06
2010-08-07,1.1320278754631633e-05
2010-08-08,1.3691523295573831e-05
2010-08-09,2.3879767713413818e-06
2010-08-10,4.023802078435029e-06
2010-08-11,1.5326698815492016e-06
2010-08-12,1.0885001664762235e-06
2010-08-13,3.123727719129087e-06
2010-08-14,7.569902200265697e-07
2010-08-15,2.445914266942154e-06
2010-08-16,1.7200325689765615e-06
2010-08-17,8.859785224584665e-07
2010-08-18,3.6989945465942453e-06
2010-08-19,1.343887613348945e-06
2010-08-20,1.0238308848447047e-06
2010-08-21,3.3178812671335686e-06
2010-08-22,6.626454452561406e-06
2010-08-23,7.441748929973603e-07
2010-08-24,1.7078813009719052e-06
2010-08-25,8.046366880521052e-07
2010-08-26,9.336673633676442e-07
2010-08-27,4.2921310666013635e-06
2010-08-28,1.029909656441091e-06
2010-08-29,2.650955168299724e-06
2010-08-30,1.7789607731168875e-06
2010-08-31,6.604582621190862e-06
2010-09-01,2.6893275041206904e-06
2010-09-02,1.0342872235077292e-06
2010-09-03,3.7374816583281964e-06
2010-09-04,9.75892633976948e-07
2010-09-05,4.157049995059442e-06
