Date,transactions/transfers_to_exchanges_count
2013-01-27,165.0
2013-01-28,234.0
2013-01-29,289.0
2013-01-30,266.0
2013-01-31,209.0
2013-02-01,260.0
2013-02-02,234.0
2013-02-03,241.0
2013-02-04,218.0
2013-02-05,245.0
2013-02-06,277.0
2013-02-07,236.0
2013-02-08,217.0
2013-02-09,230.0
2013-02-10,212.0
2013-02-11,268.0
2013-02-12,218.0
2013-02-13,242.0
2013-02-14,246.0
2013-02-15,270.0
2013-02-16,234.0
2013-02-17,326.0
2013-02-18,336.0
2013-02-19,389.0
2013-02-20,256.0
2013-02-21,268.0
2013-02-22,327.0
2013-02-23,282.0
2013-02-24,308.0
2013-02-25,265.0
2013-02-26,340.0
2013-02-27,363.0
2013-02-28,453.0
2013-03-01,389.0
2013-03-02,291.0
2013-03-03,272.0
2013-03-04,343.0
2013-03-05,423.0
2013-03-06,622.0
2013-03-07,442.0
2013-03-08,399.0
2013-03-09,345.0
2013-03-10,438.0
2013-03-11,467.0
2013-03-12,521.0
2013-03-13,462.0
2013-03-14,493.0
2013-03-15,394.0
2013-03-16,408.0
2013-03-17,239.0
2013-03-18,318.0
2013-03-19,559.0
2013-03-20,555.0
2013-03-21,586.0
2013-03-22,479.0
2013-03-23,472.0
2013-03-24,399.0
2013-03-25,445.0
2013-03-26,638.0
2013-03-27,514.0
2013-03-28,602.0
2013-03-29,508.0
2013-03-30,417.0
2013-03-31,399.0
2013-04-01,534.0
2013-04-02,651.0
2013-04-03,945.0
2013-04-04,746.0
2013-04-05,759.0
2013-04-06,614.0
2013-04-07,579.0
2013-04-08,908.0
2013-04-09,995.0
2013-04-10,1190.0
2013-04-11,1482.0
2013-04-12,1171.0
2013-04-13,1011.0
2013-04-14,735.0
2013-04-15,1093.0
2013-04-16,1152.0
2013-04-17,1159.0
2013-04-18,902.0
2013-04-19,1319.0
2013-04-20,810.0
2013-04-21,975.0
2013-04-22,936.0
2013-04-23,1102.0
2013-04-24,1165.0
2013-04-25,1159.0
2013-04-26,1136.0
2013-04-27,843.0
2013-04-28,799.0
2013-04-29,1074.0
2013-04-30,904.0
2013-05-01,1007.0
2013-05-02,1067.0
2013-05-03,985.0
2013-05-04,853.0
2013-05-05,976.0
2013-05-06,1023.0
2013-05-07,995.0
2013-05-08,1046.0
2013-05-09,925.0
2013-05-10,1061.0
2013-05-11,959.0
2013-05-12,809.0
2013-05-13,925.0
2013-05-14,961.0
2013-05-15,967.0
2013-05-16,874.0
2013-05-17,800.0
2013-05-18,704.0
2013-05-19,655.0
2013-05-20,726.0
2013-05-21,804.0
2013-05-22,764.0
2013-05-23,940.0
2013-05-24,913.0
2013-05-25,677.0
2013-05-26,720.0
2013-05-27,787.0
2013-05-28,727.0
2013-05-29,771.0
2013-05-30,769.0
2013-05-31,678.0
2013-06-01,752.0
2013-06-02,796.0
2013-06-03,830.0
2013-06-04,690.0
2013-06-05,631.0
2013-06-06,677.0
2013-06-07,836.0
2013-06-08,574.0
2013-06-09,746.0
2013-06-10,639.0
2013-06-11,778.0
2013-06-12,713.0
2013-06-13,596.0
2013-06-14,522.0
2013-06-15,449.0
2013-06-16,452.0
2013-06-17,505.0
2013-06-18,555.0
2013-06-19,562.0
2013-06-20,530.0
2013-06-21,527.0
2013-06-22,465.0
2013-06-23,425.0
2013-06-24,613.0
2013-06-25,554.0
2013-06-26,542.0
2013-06-27,488.0
2013-06-28,545.0
2013-06-29,461.0
2013-06-30,417.0
2013-07-01,660.0
2013-07-02,590.0
2013-07-03,765.0
2013-07-04,662.0
2013-07-05,639.0
2013-07-06,466.0
2013-07-07,442.0
2013-07-08,492.0
2013-07-09,545.0
2013-07-10,658.0
2013-07-11,738.0
2013-07-12,700.0
2013-07-13,517.0
2013-07-14,449.0
2013-07-15,636.0
2013-07-16,579.0
2013-07-17,525.0
2013-07-18,559.0
2013-07-19,560.0
2013-07-20,428.0
2013-07-21,469.0
2013-07-22,514.0
2013-07-23,555.0
2013-07-24,649.0
2013-07-25,619.0
2013-07-26,600.0
2013-07-27,488.0
2013-07-28,494.0
2013-07-29,693.0
2013-07-30,717.0
2013-07-31,757.0
2013-08-01,703.0
2013-08-02,614.0
2013-08-03,489.0
2013-08-04,487.0
2013-08-05,746.0
2013-08-06,714.0
2013-08-07,674.0
2013-08-08,643.0
2013-08-09,644.0
2013-08-10,533.0
2013-08-11,535.0
2013-08-12,601.0
2013-08-13,723.0
2013-08-14,825.0
2013-08-15,701.0
2013-08-16,673.0
2013-08-17,546.0
2013-08-18,547.0
2013-08-19,794.0
2013-08-20,690.0
2013-08-21,997.0
2013-08-22,848.0
2013-08-23,707.0
2013-08-24,610.0
2013-08-25,668.0
2013-08-26,752.0
2013-08-27,1088.0
2013-08-28,848.0
2013-08-29,711.0
2013-08-30,924.0
2013-08-31,858.0
2013-09-01,697.0
2013-09-02,780.0
2013-09-03,874.0
2013-09-04,945.0
2013-09-05,930.0
2013-09-06,876.0
2013-09-07,691.0
2013-09-08,646.0
2013-09-09,780.0
2013-09-10,848.0
2013-09-11,802.0
2013-09-12,952.0
2013-09-13,807.0
2013-09-14,586.0
2013-09-15,646.0
2013-09-16,774.0
2013-09-17,922.0
2013-09-18,847.0
2013-09-19,880.0
2013-09-20,769.0
2013-09-21,639.0
2013-09-22,598.0
2013-09-23,814.0
2013-09-24,852.0
2013-09-25,845.0
2013-09-26,892.0
2013-09-27,919.0
2013-09-28,804.0
2013-09-29,774.0
2013-09-30,879.0
2013-10-01,928.0
2013-10-02,1186.0
2013-10-03,664.0
2013-10-04,655.0
2013-10-05,587.0
2013-10-06,600.0
2013-10-07,682.0
2013-10-08,778.0
2013-10-09,870.0
2013-10-10,955.0
2013-10-11,808.0
2013-10-12,690.0
2013-10-13,844.0
2013-10-14,1068.0
2013-10-15,893.0
2013-10-16,1097.0
2013-10-17,883.0
2013-10-18,989.0
2013-10-19,1356.0
2013-10-20,953.0
2013-10-21,1530.0
2013-10-22,2372.0
2013-10-23,1676.0
2013-10-24,1689.0
2013-10-25,1566.0
2013-10-26,897.0
2013-10-27,873.0
2013-10-28,1119.0
2013-10-29,1000.0
2013-10-30,1214.0
2013-10-31,1281.0
2013-11-01,1060.0
2013-11-02,969.0
2013-11-03,1028.0
2013-11-04,1499.0
