Date,blockchain/utxo_loss_count
2012-10-03,402532.0
2012-10-04,436816.0
2012-10-05,462466.0
2012-10-06,501085.0
2012-10-07,734651.0
2012-10-08,767288.0
2012-10-09,733937.0
2012-10-10,688094.0
2012-10-11,746265.0
2012-10-12,764983.0
2012-10-13,827624.0
2012-10-14,885584.0
2012-10-15,903465.0
2012-10-16,837845.0
2012-10-17,873942.0
2012-10-18,817490.0
2012-10-19,921203.0
2012-10-20,957530.0
2012-10-21,975091.0
2012-10-22,960486.0
2012-10-23,902035.0
2012-10-24,965328.0
2012-10-25,1284837.0
2012-10-26,1420515.0
2012-10-27,1387765.0
2012-10-28,1297468.0
2012-10-29,1303490.0
2012-10-30,1213565.0
2012-10-31,1090593.0
2012-11-01,1332144.0
2012-11-02,1423788.0
2012-11-03,1315325.0
2012-11-04,1238751.0
2012-11-05,1291924.0
2012-11-06,1222084.0
2012-11-07,1258569.0
2012-11-08,1181225.0
2012-11-09,1269992.0
2012-11-10,1204507.0
2012-11-11,1240877.0
2012-11-12,1180818.0
2012-11-13,1239274.0
2012-11-14,1127743.0
2012-11-15,1016934.0
2012-11-16,836075.0
2012-11-17,784084.0
2012-11-18,987536.0
2012-11-19,815433.0
2012-11-20,813504.0
2012-11-21,852099.0
2012-11-22,571448.0
2012-11-23,531410.0
2012-11-24,489914.0
2012-11-25,453274.0
2012-11-26,623192.0
2012-11-27,637644.0
2012-11-28,598788.0
2012-11-29,446631.0
2012-11-30,498776.0
2012-12-01,461005.0
2012-12-02,505683.0
2012-12-03,431998.0
2012-12-04,362121.0
2012-12-05,371054.0
2012-12-06,413258.0
2012-12-07,359181.0
2012-12-08,411153.0
2012-12-09,396858.0
2012-12-10,370045.0
2012-12-11,345258.0
2012-12-12,294872.0
2012-12-13,287854.0
2012-12-14,389415.0
2012-12-15,405622.0
2012-12-16,509838.0
2012-12-17,568392.0
2012-12-18,561777.0
2012-12-19,441741.0
2012-12-20,361141.0
2012-12-21,418814.0
2012-12-22,481213.0
2012-12-23,570841.0
2012-12-24,555748.0
2012-12-25,508249.0
2012-12-26,485669.0
2012-12-27,551010.0
2012-12-28,460934.0
2012-12-29,493062.0
2012-12-30,445882.0
2012-12-31,397953.0
2013-01-01,730011.0
2013-01-02,815112.0
2013-01-03,811555.0
2013-01-04,750851.0
2013-01-05,840824.0
2013-01-06,786925.0
2013-01-07,718022.0
2013-01-08,397191.0
2013-01-09,339916.0
2013-01-10,244741.0
2013-01-11,247261.0
2013-01-12,319794.0
2013-01-13,420818.0
2013-01-14,216957.0
2013-01-15,221480.0
2013-01-16,177104.0
2013-01-17,163017.0
2013-01-18,150780.0
2013-01-19,204791.0
2013-01-20,176832.0
2013-01-21,120058.0
2013-01-22,97123.0
2013-01-23,78293.0
2013-01-24,139199.0
2013-01-25,102921.0
2013-01-26,104366.0
2013-01-27,80223.0
2013-01-28,44768.0
2013-01-29,29985.0
2013-01-30,30280.0
2013-01-31,26706.0
2013-02-01,67919.0
2013-02-02,95878.0
2013-02-03,69953.0
2013-02-04,77997.0
2013-02-05,68686.0
2013-02-06,25415.0
2013-02-07,13942.0
2013-02-08,28917.0
2013-02-09,32817.0
2013-02-10,10820.0
2013-02-11,10486.0
2013-02-12,20104.0
2013-02-13,57380.0
2013-02-14,7711.0
2013-02-15,10972.0
2013-02-16,7793.0
2013-02-17,73899.0
2013-02-18,79809.0
2013-02-19,5631.0
2013-02-20,4041.0
