Date,fees/gas_limit_tx_mean
2017-02-28,185480.05693714
2017-03-01,197176.876150166
2017-03-02,161957.309540966
2017-03-03,156948.213192522
2017-03-04,163539.590441827
2017-03-05,171234.781610002
2017-03-06,160384.954226587
2017-03-07,150787.14290051
2017-03-08,128578.268226628
2017-03-09,165111.272523574
2017-03-10,183845.448090033
2017-03-11,146087.644908415
2017-03-12,170451.449704408
2017-03-13,157122.075160919
2017-03-14,165966.577862744
2017-03-15,142440.224210332
2017-03-16,141846.718790359
2017-03-17,126595.415032588
2017-03-18,136267.196274466
2017-03-19,147145.162590574
2017-03-20,144648.265847703
2017-03-21,140346.008885146
2017-03-22,151727.27191992
2017-03-23,136190.585862629
2017-03-24,120105.63217317
2017-03-25,114303.866175321
2017-03-26,133586.839251138
2017-03-27,178474.396584541
2017-03-28,133324.682043439
2017-03-29,136616.621400327
2017-03-30,127623.473261337
2017-03-31,133981.720529185
2017-04-01,135061.700491486
2017-04-02,152042.799320952
2017-04-03,147112.195228545
2017-04-04,148212.957266542
2017-04-05,157338.227534292
2017-04-06,128052.741786356
2017-04-07,241208.16631842
2017-04-08,117028.19462464
2017-04-09,146054.486164948
2017-04-10,139792.069998808
2017-04-11,140157.73338077
2017-04-12,179499.774839135
2017-04-13,135843.461711283
2017-04-14,173289.738931674
2017-04-15,145013.17361668
2017-04-16,166820.324744457
2017-04-17,187216.383770297
2017-04-18,157897.253784378
2017-04-19,156985.001014767
2017-04-20,160589.811480398
2017-04-21,172556.17986417
2017-04-22,161187.824582874
2017-04-23,159620.973051523
2017-04-24,172772.353317356
2017-04-25,228438.165188696
2017-04-26,188224.204569287
2017-04-27,124904.122839589
2017-04-28,119431.697729606
2017-04-29,141167.983587891
2017-04-30,128798.459549169
2017-05-01,131795.704622021
2017-05-02,145439.973050365
2017-05-03,139236.132420326
2017-05-04,123985.198168476
2017-05-05,131851.946228136
2017-05-06,129828.324004883
2017-05-07,153349.853250931
2017-05-08,120738.587069927
2017-05-09,134532.927071804
2017-05-10,146514.026624602
2017-05-11,147539.854269599
2017-05-12,149669.900644343
2017-05-13,147375.999743418
2017-05-14,167287.282403205
2017-05-15,155693.657664994
2017-05-16,156931.238608917
2017-05-17,153278.8
2017-05-18,156533.791105386
2017-05-19,152168.905655823
2017-05-20,168286.68940968
2017-05-21,164147.809063521
2017-05-22,168612.715826501
2017-05-23,151241.916038285
2017-05-24,165203.0049815
2017-05-25,154389.908229059
2017-05-26,158222.905015958
2017-05-27,162772.20373369
2017-05-28,173440.784917982
2017-05-29,147782.623859171
2017-05-30,180587.19353056
2017-05-31,138760.073055117
2017-06-01,141006.126441052
2017-06-02,179283.423111061
2017-06-03,158371.368904626
2017-06-04,156909.396461562
2017-06-05,138615.698221276
2017-06-06,135788.193139939
2017-06-07,135957.024312192
2017-06-08,144910.36469366
2017-06-09,138419.087100556
2017-06-10,128574.847292788
2017-06-11,134540.295272153
2017-06-12,121121.136078596
2017-06-13,127510.503756418
2017-06-14,121784.474106465
2017-06-15,112610.514890087
2017-06-16,122559.080869989
2017-06-17,118901.105180521
2017-06-18,125650.664746277
2017-06-19,126445.484369814
2017-06-20,116810.14149659
2017-06-21,125948.785023205
2017-06-22,125083.506443839
2017-06-23,128768.348876136
2017-06-24,114703.871768368
2017-06-25,133507.585839444
2017-06-26,103846.835599833
2017-06-27,122348.58146999
2017-06-28,128187.736873772
2017-06-29,136610.140937333
2017-06-30,130154.529578234
2017-07-01,147991.551277733
2017-07-02,136682.661326458
2017-07-03,134242.097933332
2017-07-04,141624.614524008
2017-07-05,147091.200636216
2017-07-06,129199.41018428
2017-07-07,115564.111903287
2017-07-08,155498.956109808
2017-07-09,132156.443356469
2017-07-10,116294.676297694
2017-07-11,123415.738717828
2017-07-12,127859.241783756
2017-07-13,130700.288807072
2017-07-14,128519.163424639
2017-07-15,118247.894990968
2017-07-16,118790.555993064
2017-07-17,125424.305683112
2017-07-18,146847.962977993
2017-07-19,124267.730096031
2017-07-20,127857.198836303
2017-07-21,121262.82246302
2017-07-22,127680.548196756
2017-07-23,117595.138078237
2017-07-24,140271.565027842
2017-07-25,161731.038373203
2017-07-26,131146.394215506
2017-07-27,124683.48463637
2017-07-28,168016.116944023
2017-07-29,126687.984509969
2017-07-30,142166.946105002
2017-07-31,132991.808872806
2017-08-01,153762.465729109
2017-08-02,142292.778848651
2017-08-03,158005.949080754
2017-08-04,151679.97386452
2017-08-05,142532.960570008
2017-08-06,127507.318326689
2017-08-07,149410.336541334
2017-08-08,142559.574711634
2017-08-09,134109.992882829
2017-08-10,125868.151196928
2017-08-11,132288.405476026
2017-08-12,132652.707350275
2017-08-13,136843.151763756
2017-08-14,127095.86721
2017-08-15,163110.370227419
2017-08-16,153516.430289345
2017-08-17,143518.715712593
2017-08-18,141356.841736663
2017-08-19,160644.098233259
2017-08-20,152602.517475139
2017-08-21,133097.493323661
2017-08-22,131215.116860008
2017-08-23,129569.326470266
2017-08-24,129139.178380832
2017-08-25,127781.881305991
2017-08-26,132481.761065472
2017-08-27,127098.909427991
2017-08-28,130558.712690249
2017-08-29,135589.941294669
2017-08-30,140389.537114587
2017-08-31,145822.976926339
2017-09-01,150747.167395146
2017-09-02,145632.967350519
2017-09-03,139048.179109165
2017-09-04,139192.685025938
2017-09-05,130476.992840305
2017-09-06,136643.350915435
2017-09-07,139117.763482303
2017-09-08,142206.675247482
2017-09-09,146700.52542395
2017-09-10,150470.292770847
2017-09-11,142051.802123246
2017-09-12,131464.624065814
2017-09-13,141554.915464109
2017-09-14,133017.601912947
2017-09-15,144143.390896106
2017-09-16,147356.555545745
2017-09-17,171205.043475858
2017-09-18,205940.472833578
2017-09-19,161088.358348729
2017-09-20,161918.016360805
2017-09-21,155720.274074822
2017-09-22,159684.508682359
2017-09-23,150452.522988616
2017-09-24,139017.197946812
2017-09-25,142011.926441715
2017-09-26,151945.861413052
2017-09-27,142130.741589467
2017-09-28,141353.34618539
2017-09-29,131295.824604443
2017-09-30,137804.504563925
2017-10-01,141685.398075182
2017-10-02,135058.129534948
2017-10-03,134018.147112282
2017-10-04,139277.664576007
2017-10-05,147575.379634571
2017-10-06,152851.850000938
2017-10-07,137065.879329832
2017-10-08,139870.442412972
2017-10-09,136825.490514121
2017-10-10,141793.058611862
2017-10-11,137299.791914146
2017-10-12,126305.327455691
2017-10-13,121133.785393632
2017-10-14,132427.021239188
2017-10-15,128192.635380532
2017-10-16,132860.462183166
2017-10-17,129995.099576552
2017-10-18,133405.897959184
2017-10-19,129923.136038399
2017-10-20,124120.291968173
2017-10-21,116023.823316814
2017-10-22,116920.984626619
2017-10-23,130073.921846431
2017-10-24,154168.420733392
2017-10-25,154188.002945143
2017-10-26,151214.769359742
2017-10-27,156464.352438666
2017-10-28,138969.392843728
2017-10-29,149962.326899728
2017-10-30,162588.548512465
2017-10-31,183730.195439176
2017-11-01,152727.671493777
2017-11-02,157693.054221136
2017-11-03,151176.332711666
2017-11-04,145929.834759428
2017-11-05,136763.694307388
2017-11-06,169220.31471105
2017-11-07,147557.911829479
2017-11-08,148884.606569764
2017-11-09,150430.9508575
2017-11-10,139547.76310537
2017-11-11,158284.080336631
2017-11-12,131519.198183618
2017-11-13,142386.92850019
2017-11-14,146711.50119962
2017-11-15,141406.178198756
2017-11-16,151107.151342267
2017-11-17,146047.954261783
2017-11-18,143934.188664264
2017-11-19,149761.815538474
2017-11-20,169111.967044616
2017-11-21,138626.52383006
2017-11-22,131973.433375603
2017-11-23,143156.506649065
2017-11-24,135224.030966892
2017-11-25,137530.079999501
2017-11-26,149021.211503012
2017-11-27,141136.296044817
2017-11-28,145551.294249197
2017-11-29,144412.502448088
2017-11-30,151544.288247742
2017-12-01,162650.635152235
2017-12-02,146687.888004651
2017-12-03,148885.36279057
2017-12-04,137656.749871052
2017-12-05,146734.299617654
2017-12-06,107847.490831656
2017-12-07,138709.290869834
2017-12-08,137421.074521373
2017-12-09,143504.859265041
2017-12-10,162233.715796672
2017-12-11,158991.501817471
2017-12-12,142733.86530252
2017-12-13,131879.225762974
2017-12-14,123466.754219099
2017-12-15,135150.088750323
2017-12-16,153003.998000793
2017-12-17,120207.46254395
2017-12-18,113755.439068882
2017-12-19,107275.232441949
2017-12-20,103852.217805627
2017-12-21,96165.52645607
2017-12-22,97861.030338289
2017-12-23,112932.62912499
2017-12-24,126980.308508983
2017-12-25,129639.196627683
2017-12-26,118343.834121277
2017-12-27,121036.459539941
2017-12-28,119975.795105439
2017-12-29,110358.687895057
2017-12-30,97345.751448763
2017-12-31,111916.481264144
2018-01-01,115041.439828592
2018-01-02,101805.403679234
2018-01-03,90748.72829576
2018-01-04,75652.820930594
2018-01-05,82598.431520073
2018-01-06,85685.148855569
2018-01-07,95011.65993275
2018-01-08,98166.266056095
2018-01-09,88060.347214704
2018-01-10,90830.843711179
2018-01-11,89115.428099645
2018-01-12,96087.558901531
2018-01-13,92200.904582383
2018-01-14,100550.441575528
