Date,transactions/transfers_count
2017-01-19,37039.0
2017-01-20,38214.0
2017-01-21,36785.0
2017-01-22,37645.0
2017-01-23,37653.0
2017-01-24,38224.0
2017-01-25,36479.0
2017-01-26,36010.0
2017-01-27,36561.0
2017-01-28,35717.0
2017-01-29,34901.0
2017-01-30,36404.0
2017-01-31,35471.0
2017-02-01,35229.0
2017-02-02,36610.0
2017-02-03,35242.0
2017-02-04,38131.0
2017-02-05,38594.0
2017-02-06,37776.0
2017-02-07,37855.0
2017-02-08,38452.0
2017-02-09,38733.0
2017-02-10,40321.0
2017-02-11,35859.0
2017-02-12,36502.0
2017-02-13,42767.0
2017-02-14,43921.0
2017-02-15,43623.0
2017-02-16,41708.0
2017-02-17,40416.0
2017-02-18,39983.0
2017-02-19,38910.0
2017-02-20,40446.0
2017-02-21,40117.0
2017-02-22,39228.0
2017-02-23,38992.0
2017-02-24,43409.0
2017-02-25,41558.0
2017-02-26,41498.0
2017-02-27,43686.0
2017-02-28,49471.0
2017-03-01,48906.0
2017-03-02,59492.0
2017-03-03,54490.0
2017-03-04,49332.0
2017-03-05,48126.0
2017-03-06,50210.0
2017-03-07,49088.0
2017-03-08,48440.0
2017-03-09,51782.0
2017-03-10,53014.0
2017-03-11,54752.0
2017-03-12,56350.0
2017-03-13,71800.0
2017-03-14,63362.0
2017-03-15,67202.0
2017-03-16,92174.0
2017-03-17,91662.0
2017-03-18,76997.0
2017-03-19,69557.0
2017-03-20,69022.0
2017-03-21,68812.0
2017-03-22,64972.0
2017-03-23,65752.0
2017-03-24,74926.0
2017-03-25,71872.0
2017-03-26,64826.0
2017-03-27,70184.0
2017-03-28,67089.0
2017-03-29,69604.0
2017-03-30,77637.0
2017-03-31,86411.0
2017-04-01,65143.0
2017-04-02,74127.0
2017-04-03,87391.0
2017-04-04,70935.0
2017-04-05,71293.0
2017-04-06,79956.0
2017-04-07,66854.0
2017-04-08,59943.0
2017-04-09,58766.0
2017-04-10,62859.0
2017-04-11,61261.0
2017-04-12,63405.0
2017-04-13,67181.0
2017-04-14,64999.0
2017-04-15,61625.0
2017-04-16,56170.0
2017-04-17,58495.0
2017-04-18,65393.0
2017-04-19,66501.0
2017-04-20,69992.0
2017-04-21,61001.0
2017-04-22,59438.0
2017-04-23,61943.0
2017-04-24,66247.0
2017-04-25,65717.0
2017-04-26,73073.0
2017-04-27,81322.0
2017-04-28,78872.0
2017-04-29,73371.0
2017-04-30,76199.0
2017-05-01,84384.0
2017-05-02,83226.0
2017-05-03,76927.0
2017-05-04,94913.0
2017-05-05,92215.0
2017-05-06,80089.0
2017-05-07,88303.0
2017-05-08,100033.0
2017-05-09,93944.0
2017-05-10,90076.0
2017-05-11,95528.0
2017-05-12,88559.0
2017-05-13,79514.0
2017-05-14,82773.0
2017-05-15,96045.0
2017-05-16,95583.0
2017-05-17,110225.0
2017-05-18,107393.0
2017-05-19,132707.0
2017-05-20,100004.0
2017-05-21,113101.0
2017-05-22,140594.0
2017-05-23,146988.0
2017-05-24,144811.0
2017-05-25,146472.0
2017-05-26,136350.0
2017-05-27,118772.0
2017-05-28,116087.0
2017-05-29,125765.0
2017-05-30,148666.0
2017-05-31,172751.0
2017-06-01,163012.0
2017-06-02,138853.0
2017-06-03,137190.0
2017-06-04,136312.0
2017-06-05,152693.0
2017-06-06,159955.0
2017-06-07,156220.0
2017-06-08,144774.0
2017-06-09,165612.0
2017-06-10,173365.0
2017-06-11,196286.0
2017-06-12,242443.0
2017-06-13,228274.0
2017-06-14,207508.0
2017-06-15,219751.0
2017-06-16,197135.0
2017-06-17,190617.0
2017-06-18,198590.0
2017-06-19,219847.0
2017-06-20,243494.0
2017-06-21,169997.0
2017-06-22,223941.0
2017-06-23,225305.0
2017-06-24,192569.0
2017-06-25,178292.0
2017-06-26,268950.0
2017-06-27,200957.0
2017-06-28,198067.0
2017-06-29,195504.0
2017-06-30,194455.0
2017-07-01,181874.0
2017-07-02,179111.0
2017-07-03,211618.0
2017-07-04,196457.0
2017-07-05,193511.0
2017-07-06,195454.0
2017-07-07,225345.0
2017-07-08,178048.0
2017-07-09,163353.0
2017-07-10,219798.0
2017-07-11,214744.0
2017-07-12,200500.0
2017-07-13,179207.0
2017-07-14,182046.0
2017-07-15,177437.0
2017-07-16,183205.0
2017-07-17,180050.0
2017-07-18,194582.0
2017-07-19,195139.0
2017-07-20,188962.0
2017-07-21,175943.0
2017-07-22,150692.0
2017-07-23,196010.0
2017-07-24,180803.0
2017-07-25,178233.0
2017-07-26,165011.0
2017-07-27,173301.0
2017-07-28,183187.0
2017-07-29,158312.0
2017-07-30,166552.0
2017-07-31,192280.0
2017-08-01,172081.0
2017-08-02,176540.0
2017-08-03,172746.0
2017-08-04,182562.0
2017-08-05,183421.0
2017-08-06,181037.0
2017-08-07,199188.0
2017-08-08,225346.0
2017-08-09,209809.0
2017-08-10,237535.0
