Date,transactions/transfers_volume_exchanges_net
2012-10-20,-134.94885897000006
2012-10-21,368.5984877600001
2012-10-22,339.0375570000001
2012-10-23,629.4984956299995
2012-10-24,3443.5717113699993
2012-10-25,699.8908241300005
2012-10-26,-5621.966420850001
2012-10-27,190.34245221000003
2012-10-28,268.04853774000003
2012-10-29,-577.2542229200001
2012-10-30,37.48074320999967
2012-10-31,580.8696502600001
2012-11-01,-579.7745167800003
2012-11-02,57.88850787000001
2012-11-03,638.19289033
2012-11-04,658.6115446100002
2012-11-05,-907.4642406600005
2012-11-06,-346.32952165999995
2012-11-07,4403.90768687
2012-11-08,-4309.57146352
2012-11-09,1893.3166456900003
2012-11-10,-1927.0971785499999
2012-11-11,206.62514664999998
2012-11-12,-116.40852128000006
2012-11-13,-140.62067597999976
2012-11-14,151.62462857000014
2012-11-15,529.0312769699999
2012-11-16,-661.1006800100004
2012-11-17,511.88598674
2012-11-18,206.52049162999992
2012-11-19,94.79041606999999
2012-11-20,-840.6480525100005
2012-11-21,144.52242647000003
2012-11-22,1498.721974760001
2012-11-23,-957.3026476800001
2012-11-24,-54.4716049499998
2012-11-25,-447.45917863
2012-11-26,-258.1069642299999
2012-11-27,538.2747764800001
2012-11-28,764.5561177699997
2012-11-29,829.2969563900001
2012-11-30,-1856.8885088599995
2012-12-01,366.2295812699999
2012-12-02,1088.8608885899998
2012-12-03,969.9029959199997
2012-12-04,-2624.63796085
2012-12-05,547.2581902799993
2012-12-06,231.07816247000028
2012-12-07,450.4757172599998
2012-12-08,36.50511427000015
2012-12-09,470.25197585
2012-12-10,-1610.7663807
2012-12-11,21.10361843999999
2012-12-12,551.53140205
2012-12-13,316.21930065000015
2012-12-14,1322.39548912
2012-12-15,459.5747389200001
2012-12-16,67.87454560000015
2012-12-17,-1822.3421390499998
2012-12-18,1121.3121459700005
2012-12-19,981.5673580300004
2012-12-20,888.5929116899997
2012-12-21,621.2062073300001
2012-12-22,-240.8687316800001
2012-12-23,928.4813536099999
2012-12-24,605.9702696400002
2012-12-25,1020.0896282
2012-12-26,-3774.05883306
2012-12-27,503.8488022400006
2012-12-28,-2682.2605995699996
2012-12-29,303.29910335
2012-12-30,358.45715996999996
2012-12-31,2456.8625123399997
2013-01-01,-1754.80027529
2013-01-02,608.9345086899998
2013-01-03,-354.00412774999995
2013-01-04,-10.421733510000195
2013-01-05,708.0320332900001
2013-01-06,405.15680363
2013-01-07,-3590.2084418800005
2013-01-08,195.38014036000004
2013-01-09,194.89525077000008
2013-01-10,604.4801776099998
2013-01-11,204.1042357299998
2013-01-12,468.09966156999985
2013-01-13,1202.2497384199999
2013-01-14,-2472.40538637
2013-01-15,635.5630855399995
2013-01-16,-413.0516416699993
2013-01-17,1798.2799649600001
2013-01-18,-1057.4000408381698
2013-01-19,-755.3823783699997
2013-01-20,41.5196339900001
2013-01-21,632.2351617300005
2013-01-22,2868.5425182599997
2013-01-23,-1349.8023715199997
2013-01-24,2391.9806531599997
2013-01-25,-2032.3027940499996
2013-01-26,-1103.97094666313
2013-01-27,-904.5378348999998
2013-01-28,-300.43303944000036
2013-01-29,1184.7653324499997
2013-01-30,-1544.4915227500005
2013-01-31,825.5134024099998
2013-02-01,2078.55688310267
2013-02-02,-915.4502014400005
2013-02-03,-1972.4521479700002
2013-02-04,824.9131667199999
2013-02-05,-629.6319094200003
2013-02-06,196.12400239999988
2013-02-07,112.0347647044
2013-02-08,27.38114674999997
2013-02-09,1715.0416262
2013-02-10,-1017.1591355699998
2013-02-11,218.6646912940696
2013-02-12,709.2853435100001
2013-02-13,2234.47107919
2013-02-14,-420.77471158000026
2013-02-15,3214.0514514300003
2013-02-16,-496.74746775999984
2013-02-17,3167.6152775299997
2013-02-18,727.7286977499998
2013-02-19,-2351.8576436900003
2013-02-20,-2366.7527364899997
2013-02-21,2405.5532402400004
2013-02-22,-7358.62497934365
2013-02-23,1506.45163989529
2013-02-24,-1450.86756340367
2013-02-25,12586.95403988
2013-02-26,2454.9937697450096
2013-02-27,-47.564153420000366
2013-02-28,4912.92637279584
2013-03-01,2212.67074925753
2013-03-02,2656.37139493
2013-03-03,-10175.346126774632
2013-03-04,-432.89163270078006
2013-03-05,1444.1024736828394
2013-03-06,4149.216950139999
2013-03-07,3802.9186932642797
2013-03-08,-999.92899605
2013-03-09,130.92349379000007
2013-03-10,-1688.96915788613
2013-03-11,-6169.50223658658
2013-03-12,499.1157315488399
2013-03-13,-2210.5718239899998
2013-03-14,841.6943121291401
2013-03-15,354.79981172376006
2013-03-16,-604.5429544656299
2013-03-17,-76.18444925025494
2013-03-18,190.8307107400001
2013-03-19,901.03795597
2013-03-20,1483.9842099716698
2013-03-21,-531.4530773300003
2013-03-22,-280.2007640230604
2013-03-23,2784.92729593513
2013-03-24,-816.81560117975
2013-03-25,208.91449242044018
2013-03-26,2733.46135695
2013-03-27,-6395.51242233206
2013-03-28,1536.2224606901505
2013-03-29,-394.57577303000016
2013-03-30,-1625.5801855334198
2013-03-31,-1323.98895107
2013-04-01,381.13597470211016
2013-04-02,218.91663838785098
2013-04-03,897.1106536400002
2013-04-04,650.7636868950103
2013-04-05,2569.26380885974
2013-04-06,405.3913641126496
2013-04-07,692.2332181404599
2013-04-08,1541.4325802573298
2013-04-09,-967.09748654348
2013-04-10,4823.14122312739
2013-04-11,-2039.0644561399968
2013-04-12,-3494.5059667325004
2013-04-13,-879.7571506849799
2013-04-14,2364.1314691170096
2013-04-15,1076.26234974432
2013-04-16,1996.8788130190387
2013-04-17,-4970.504204773599
2013-04-18,808.03021482226
2013-04-19,1539.5928178793502
2013-04-20,1033.1643533450006
2013-04-21,-2073.89071810518
2013-04-22,15.2443632220793
2013-04-23,904.9714036555897
2013-04-24,-505.3972158432698
2013-04-25,605.4008801067293
2013-04-26,753.0224813064901
2013-04-27,-2862.5129225084593
2013-04-28,350.7377063061699
2013-04-29,-84.95732046994999
2013-04-30,-74.92975019000005
2013-05-01,613.1405467208006
2013-05-02,572.8043885958905
2013-05-03,1216.1243312361003
2013-05-04,-437.4318697123499
2013-05-05,790.1323442873099
2013-05-06,751.6757543500498
2013-05-07,-302.28514598564016
2013-05-08,438.02813855776003
2013-05-09,-1260.34065579239
2013-05-10,175.06504054901052
2013-05-11,-623.1492642030998
2013-05-12,504.65977140560017
2013-05-13,-198.70783902350013
2013-05-14,650.7068168420801
2013-05-15,2047.0119880502389
2013-05-16,4357.18886279007
2013-05-17,1996.1334820032898
2013-05-18,609.8302252653693
2013-05-19,1423.5659792823294
2013-05-20,1294.2705566731597
2013-05-21,-125.6656243922398
2013-05-22,1640.2717703920807
2013-05-23,-1850.564675394351
2013-05-24,-4375.4261578154
2013-05-25,45.042894040329884
2013-05-26,736.2781542841099
2013-05-27,1251.3337218678103
2013-05-28,-1117.8370165996103
2013-05-29,1261.7788186062203
2013-05-30,-1125.77471796202
2013-05-31,-3306.406420103809
2013-06-01,426.58828796711987
2013-06-02,-2514.22017045169
2013-06-03,434.64406564103047
2013-06-04,-2260.28808582853
2013-06-05,-378.8628995839299
2013-06-06,263.12586576533977
2013-06-07,536.9630861865007
2013-06-08,1790.2986841564798
2013-06-09,1285.4895811241986
2013-06-10,-474.2173341764301
2013-06-11,-744.2733237960101
2013-06-12,-248.57634905347004
2013-06-13,-2885.245146444
2013-06-14,220.19903470540066
2013-06-15,-496.56072507258
2013-06-16,5379.8688983804195
2013-06-17,-55.53755572944965
2013-06-18,290.32032715932974
2013-06-19,335.6064508671202
2013-06-20,2591.18209438179
2013-06-21,1712.3949247972996
2013-06-22,-2305.5611048400006
2013-06-23,610.33618816586
2013-06-24,-804.6492298040603
2013-06-25,-507.20635102550114
2013-06-26,438.5827356385598
2013-06-27,2048.9906116513703
2013-06-28,-3605.815833599001
2013-06-29,218.11656471119977
2013-06-30,-238.14574261635062
2013-07-01,2636.6857965609015
2013-07-02,-149.00262293590094
2013-07-03,-15.524425402199995
2013-07-04,2822.3213986723003
2013-07-05,2326.5521249019002
2013-07-06,-1013.21774725465
2013-07-07,374.83756200785
2013-07-08,-1204.5751122503598
2013-07-09,-3022.6067236282706
2013-07-10,1920.5490782706001
2013-07-11,-678.6287206075594
2013-07-12,-105.55702971579922
2013-07-13,3570.0546541167105
2013-07-14,-2042.2556334434403
2013-07-15,435.04717316470123
2013-07-16,-771.4757738156295
2013-07-17,61.45972483365949
2013-07-18,1351.8543522588952
2013-07-19,39.62214424870035
2013-07-20,672.9085269790603
2013-07-21,-1350.9885400761295
2013-07-22,365.98143731510027
2013-07-23,914.4540828977597
2013-07-24,-1330.5759263938608
2013-07-25,-760.7995859897101
2013-07-26,-161.85097230282008
2013-07-27,-157.21212003544042
2013-07-28,-1411.4963582098299
2013-07-29,488.91237049309893
2013-07-30,221.57991142254014
2013-07-31,4255.032629969499
2013-08-01,6.8158352193495375
2013-08-02,1269.6104040218015
2013-08-03,6045.83660290756
2013-08-04,-315.51395674365017
2013-08-05,6801.006169833701
2013-08-06,-7.163808432340375
2013-08-07,4653.28173321935
2013-08-08,-846.0345358071991
2013-08-09,111.03314666612005
2013-08-10,5749.80556574696
2013-08-11,-1720.2626189489001
2013-08-12,499.31334148824953
2013-08-13,569.5796521337197
2013-08-14,4845.09517027984
2013-08-15,739.2127844667993
2013-08-16,792.643266585621
2013-08-17,-23640.0170967565
2013-08-18,-159.21632131690967
2013-08-19,-398.385516627799
2013-08-20,-176.14644682180005
2013-08-21,-71.7838542456011
2013-08-22,-2489.2524988604
2013-08-23,512.2445934003008
2013-08-24,177.44401562306984
2013-08-25,-1019.3335787393898
2013-08-26,3470.942402767201
2013-08-27,1213.8674249139985
2013-08-28,157.12748203880983
2013-08-29,-728.1361243358697
2013-08-30,2240.1099799024596
2013-08-31,3848.88462557852
2013-09-01,3293.5278450002
2013-09-02,4694.84586495637
2013-09-03,136.61789021050026
2013-09-04,-2796.705836794101
2013-09-05,9366.126625748298
2013-09-06,4103.87365959762
2013-09-07,876.6502304452597
2013-09-08,2205.72835669694
2013-09-09,2470.165110469089
2013-09-10,-6076.63866060303
2013-09-11,-854.9343554683592
2013-09-12,4489.983715950551
2013-09-13,3133.7234375325006
2013-09-14,315.3730173858903
2013-09-15,-1039.5842470093999
2013-09-16,-2194.1381055522097
2013-09-17,1102.5751330372004
2013-09-18,10334.619144020828
2013-09-19,1860.5749744818504
2013-09-20,-2280.3183147725504
2013-09-21,-110.70892912990985
2013-09-22,-516.7258866986499
2013-09-23,1834.0898015046696
2013-09-24,1638.4622818479002
2013-09-25,-1570.7778328733111
2013-09-26,1556.68256317531
2013-09-27,-1923.4931202129992
2013-09-28,-2877.2859850575805
2013-09-29,830.4805008082694
2013-09-30,-414.59736800879
2013-10-01,20769.631263070005
2013-10-02,-3743.1076156604977
2013-10-03,177.38385930360164
2013-10-04,3433.286918211599
2013-10-05,-1836.32495130683
2013-10-06,2336.165433620459
2013-10-07,3333.55040088646
2013-10-08,481.3431806302997
2013-10-09,5504.1389573749
2013-10-10,-2241.104840882401
