Date,transactions/transfers_volume_adjusted_median
2012-03-16,4.03
2012-03-17,3.17
2012-03-18,2.85
2012-03-19,4.92
2012-03-20,4.96
2012-03-21,5.5
2012-03-22,5.0
2012-03-23,4.1
2012-03-24,4.6
2012-03-25,2.99026399
2012-03-26,5.0
2012-03-27,4.96
2012-03-28,5.0585
2012-03-29,6.29906316
2012-03-30,6.969595
2012-03-31,5.01352735
2012-04-01,5.0
2012-04-02,5.0
2012-04-03,6.0
2012-04-04,5.0995
2012-04-05,5.10183512
2012-04-06,5.12004383
2012-04-07,4.29
2012-04-08,3.20303287
2012-04-09,4.79203033
2012-04-10,2.85301221
2012-04-11,4.9995
2012-04-12,5.20076306
2012-04-13,7.89107
2012-04-14,4.2895
2012-04-15,3.30026216
2012-04-16,6.74183462
2012-04-17,6.6766
2012-04-18,5.057
2012-04-19,6.40777784
2012-04-20,10.01
2012-04-21,5.04325836
2012-04-22,3.74614
2012-04-23,5.0
2012-04-24,6.75975334
2012-04-25,3.6
2012-04-26,3.50268854
2012-04-27,4.93202989
2012-04-28,3.2451314
2012-04-29,1.75135
2012-04-30,2.59345963
2012-05-01,2.0
2012-05-02,2.7495
2012-05-03,1.73435052
2012-05-04,1.18734573
2012-05-05,1.3595
2012-05-06,1.4772
2012-05-07,1.34712285
2012-05-08,1.35366666
2012-05-09,1.46884549
2012-05-10,1.48
2012-05-11,0.95445056
2012-05-12,1.0
2012-05-13,1.01243103
2012-05-14,1.06
2012-05-15,1.098
2012-05-16,1.0140476
2012-05-17,0.76899995
2012-05-18,0.4995
2012-05-19,0.4278528
2012-05-20,0.66147334
2012-05-21,0.4995
2012-05-22,0.91004
2012-05-23,0.83605097
2012-05-24,0.78
2012-05-25,0.68527795
2012-05-26,0.50250999
2012-05-27,0.60867905
2012-05-28,0.51142394
2012-05-29,0.8995
2012-05-30,0.75099998
2012-05-31,1.00522399
2012-06-01,0.64
2012-06-02,1.13
2012-06-03,0.51351999
2012-06-04,0.31942636
2012-06-05,0.4995
2012-06-06,1.91393686
2012-06-07,0.98316642
2012-06-08,0.73371318
2012-06-09,0.5685671
2012-06-10,0.31338124
2012-06-11,0.40849496
2012-06-12,0.9995
2012-06-13,0.39138749
2012-06-14,0.16666201
2012-06-15,0.31338124
2012-06-16,0.51399998
2012-06-17,0.35182499
2012-06-18,0.48318578
2012-06-19,0.6995
2012-06-20,0.56476561
2012-06-21,0.59631416
2012-06-22,0.6995
2012-06-23,0.6700658
2012-06-24,0.62237388
2012-06-25,0.59110515
2012-06-26,0.66336
2012-06-27,0.9321551
2012-06-28,0.92543334
2012-06-29,0.90275423
2012-06-30,0.78146055
2012-07-01,0.79049564
2012-07-02,0.97248
2012-07-03,1.63
2012-07-04,1.32549994
2012-07-05,0.96450413
2012-07-06,0.91731
2012-07-07,0.97939857
2012-07-08,0.87185327
2012-07-09,1.26015406
2012-07-10,0.9995
2012-07-11,0.9955
2012-07-12,1.17845334
2012-07-13,1.07
2012-07-14,1.79857277
2012-07-15,1.05251577
2012-07-16,1.28092108
