Date,indicators/realized_profit
2015-05-09,876161.330783694
2015-05-10,551736.853253504
2015-05-11,920554.753279151
2015-05-12,643807.510239118
2015-05-13,559452.63976385
2015-05-14,353584.392677115
2015-05-15,444617.17306694
2015-05-16,229682.694022809
2015-05-17,198017.703269959
2015-05-18,284300.245701984
2015-05-19,424347.076196075
2015-05-20,361333.783156737
2015-05-21,308400.055959958
2015-05-22,1041660.73539568
2015-05-23,399367.811710604
2015-05-24,345726.604729335
2015-05-25,421896.174178062
2015-05-26,332288.30081799
2015-05-27,380833.761953746
2015-05-28,291109.180174004
2015-05-29,351565.80293233
2015-05-30,200122.246354625
2015-05-31,276260.990194124
2015-06-01,314168.711095056
2015-06-02,398685.157149591
2015-06-03,317942.277126666
2015-06-04,169168.224428334
2015-06-05,300619.744805723
2015-06-06,116824.957092978
2015-06-07,92603.7126482391
2015-06-08,534489.037749325
2015-06-09,787719.0074339
2015-06-10,451867.437874951
2015-06-11,391590.402114807
2015-06-12,1139427.71883921
2015-06-13,374467.34251042
2015-06-14,677691.504190321
2015-06-15,1083228.76650516
2015-06-16,3476079.94627844
2015-06-17,3335888.83361799
2015-06-18,1726374.92932842
2015-06-19,2480043.85113406
2015-06-20,2078463.78518183
2015-06-21,1144655.73937786
2015-06-22,1011550.07564221
2015-06-23,803338.716446624
2015-06-24,548160.248128647
2015-06-25,328786.801218961
2015-06-26,428611.686622355
2015-06-27,1026133.75822663
2015-06-28,850561.497096795
2015-06-29,2294910.00932577
2015-06-30,4290963.94019817
2015-07-01,1517615.70697568
2015-07-02,1129755.75569709
2015-07-03,696594.977462683
2015-07-04,593470.632277606
2015-07-05,2554187.61640313
2015-07-06,4711836.0145695
2015-07-07,3053609.93824144
2015-07-08,3266802.12679498
2015-07-09,1636125.63780737
2015-07-10,6022834.52531908
2015-07-11,3722764.16889681
2015-07-12,6591402.57606522
2015-07-13,2590832.69494054
2015-07-14,2516513.02636759
2015-07-15,2079809.51771058
2015-07-16,1758201.2332862
2015-07-17,2402622.21889022
2015-07-18,569654.912859418
2015-07-19,497237.933976085
2015-07-20,1095496.51081595
2015-07-21,1182432.94067247
2015-07-22,804975.531139834
2015-07-23,1155429.09569925
2015-07-24,1977345.22132549
2015-07-25,2317461.17430198
2015-07-26,1569546.3026023
2015-07-27,2065700.51315168
2015-07-28,2160183.40005305
2015-07-29,1321025.98120954
2015-07-30,840000.06192087
2015-07-31,1483873.55828377
2015-08-01,446069.253709254
2015-08-02,536719.868997644
2015-08-03,1037529.72105532
2015-08-04,963564.146469578
2015-08-05,750754.451729654
2015-08-06,606676.871265955
2015-08-07,551473.990323979
2015-08-08,3564897.90102368
2015-08-09,1258424.09736192
2015-08-10,607555.436767613
2015-08-11,1026434.96216928
2015-08-12,1117326.98174331
2015-08-13,554464.834134069
2015-08-14,1037430.78124363
2015-08-15,411621.841649165
2015-08-16,578918.551233713
2015-08-17,667900.411932946
2015-08-18,504868.50353302
2015-08-19,1419085.34039805
2015-08-20,1300150.05816761
2015-08-21,470055.498109428
2015-08-22,924020.759122155
2015-08-23,1674086.42380472
2015-08-24,1806855.33159323
2015-08-25,3093100.34535536
2015-08-26,1666524.68946448
2015-08-27,1241855.31973998
2015-08-28,2104248.05746615
2015-08-29,644435.626999939
2015-08-30,859026.642544464
2015-08-31,1177734.04202665
2015-09-01,605374.40202812
2015-09-02,752065.756047091
2015-09-03,498440.642845442
2015-09-04,611829.631806155
2015-09-05,863412.590584483
2015-09-06,1959573.09708458
2015-09-07,1254530.43238412
2015-09-08,2247553.24333826
2015-09-09,1579644.9308307
2015-09-10,1293091.48828793
2015-09-11,576841.084947682
2015-09-12,191905.664169023
2015-09-13,160123.359366663
2015-09-14,478489.996476378
2015-09-15,292148.619594053
2015-09-16,460011.390822314
2015-09-17,860272.898209874
2015-09-18,624092.390739942
2015-09-19,270755.054439124
2015-09-20,291357.275143903
2015-09-21,1763031.3712353
2015-09-22,807451.687445342
2015-09-23,350930.60572341
2015-09-24,804354.089661111
2015-09-25,954285.362515962
2015-09-26,344565.651414987
2015-09-27,208144.326200483
2015-09-28,1357428.25478399
2015-09-29,983119.175067767
2015-09-30,687233.809533192
2015-10-01,782757.026604685
2015-10-02,585895.697945486
2015-10-03,782147.854902295
2015-10-04,417698.23527616
2015-10-05,678404.584587866
2015-10-06,2039048.95558936
2015-10-07,1378304.06504594
2015-10-08,704958.159359477
2015-10-09,629335.178832248
2015-10-10,601527.926069391
2015-10-11,651784.262269075
2015-10-12,878420.412875813
2015-10-13,1702409.70464253
2015-10-14,2096737.33140043
2015-10-15,1936354.05807744
2015-10-16,3377077.26394613
2015-10-17,3881791.66018248
