Date,mining/thermocap
2016-07-23,1853044593.8459704
2016-07-24,1854064870.0695922
2016-07-25,1855141605.068518
2016-07-26,1856195761.435419
2016-07-27,1857242224.0863247
2016-07-28,1858357917.955015
2016-07-29,1859563916.4644938
2016-07-30,1860540331.720314
2016-07-31,1861767181.8239477
2016-08-01,1862953339.0922523
2016-08-02,1864092642.0459318
2016-08-03,1865239523.2197561
2016-08-04,1866343388.0386086
2016-08-05,1867560720.3163257
2016-08-06,1868760982.114077
2016-08-07,1869857361.654407
2016-08-08,1870951610.3255527
2016-08-09,1871863354.732814
2016-08-10,1872979509.7704499
2016-08-11,1874091215.6328669
2016-08-12,1875184638.4997401
2016-08-13,1876381225.5100164
2016-08-14,1877555258.9513178
2016-08-15,1878593542.8442295
2016-08-16,1879558938.416638
2016-08-17,1880442902.771821
2016-08-18,1881547618.223977
2016-08-19,1882651616.9677222
2016-08-20,1883769896.8520324
2016-08-21,1884953297.6040893
2016-08-22,1886101287.049864
2016-08-23,1887171867.4850972
2016-08-24,1888272558.7941117
2016-08-25,1889207008.752472
2016-08-26,1890159962.8404124
2016-08-27,1891192093.359493
2016-08-28,1892278095.819395
2016-08-29,1893346868.3627493
2016-08-30,1894525191.4789839
2016-08-31,1895483766.205607
2016-09-01,1896483350.6391294
2016-09-02,1897578129.2488558
2016-09-03,1898489864.3224597
2016-09-04,1899840758.742704
2016-09-05,1900900000.4337785
2016-09-06,1901933001.8740468
2016-09-07,1903095829.567912
2016-09-08,1904215978.6805894
2016-09-09,1905320467.888537
2016-09-10,1906527652.4887667
2016-09-11,1907798719.52377
2016-09-12,1909034517.5461955
2016-09-13,1910287762.399675
2016-09-14,1911475473.4242995
2016-09-15,1912645297.754052
2016-09-16,1913699672.2620227
2016-09-17,1914935321.2252955
2016-09-18,1916036619.6630957
2016-09-19,1917048854.6545923
2016-09-20,1918196707.783581
2016-09-21,1919434975.9423723
2016-09-22,1920485813.9594026
2016-09-23,1921503282.7736201
2016-09-24,1922754022.0130708
2016-09-25,1924144222.6541002
2016-09-26,1925299232.987169
2016-09-27,1926561153.4541628
2016-09-28,1927679049.354846
2016-09-29,1928760279.3394663
2016-09-30,1929835583.1046987
2016-10-01,1931039007.0750494
2016-10-02,1932116834.6577933
2016-10-03,1933271933.6140716
2016-10-04,1934475863.809356
2016-10-05,1935750363.4336052
2016-10-06,1936980766.1165986
2016-10-07,1938078150.3275588
2016-10-08,1939382189.913841
2016-10-09,1940614315.0200353
2016-10-10,1941569632.9363868
2016-10-11,1942666496.5299075
2016-10-12,1943814818.0091035
2016-10-13,1944832226.8366861
2016-10-14,1945914079.8395388
2016-10-15,1947047741.9680738
2016-10-16,1948087898.728815
2016-10-17,1949085016.4671953
2016-10-18,1950318842.3767045
2016-10-19,1951306749.599615
2016-10-20,1952359030.6603754
2016-10-21,1953649731.0083063
2016-10-22,1954841338.6823163
2016-10-23,1956014422.0200677
2016-10-24,1957173636.3550339
2016-10-25,1958308343.3992393
2016-10-26,1959453072.8357203
2016-10-27,1960834183.593948
2016-10-28,1962138584.8303554
2016-10-29,1963455467.4422445
2016-10-30,1964935743.4654045
2016-10-31,1966219911.9609714
2016-11-01,1967517668.4547012
2016-11-02,1968724003.60229
2016-11-03,1970128715.9477618
2016-11-04,1971143018.115739
2016-11-05,1972436948.3842123
2016-11-06,1973797185.7280347
2016-11-07,1975086265.867219
2016-11-08,1976581443.7381225
2016-11-09,1977916909.1664226
2016-11-10,1979418712.6317582
2016-11-11,1980875940.2105014
2016-11-12,1982366635.9127157
2016-11-13,1983601487.890313
2016-11-14,1985111201.470665
2016-11-15,1986497889.3648784
2016-11-16,1988043176.3436499
2016-11-17,1989519893.04594
2016-11-18,1990893734.545707
2016-11-19,1992222335.8274012
