Date,transactions/transfers_volume_to_exchanges_sum
2012-09-15,619.00272383
2012-09-16,729.44548323
2012-09-17,744.58878934
2012-09-18,3788.11531011
2012-09-19,2203.96762238
2012-09-20,1544.9581646
2012-09-21,6160.13150243
2012-09-22,1354.08422605
2012-09-23,1284.91646727
2012-09-24,2096.10930045
2012-09-25,2460.94737248
2012-09-26,3035.13753334
2012-09-27,2270.51257581
2012-09-28,2423.92002275
2012-09-29,641.29074539
2012-09-30,522.90814367
2012-10-01,2270.71486276
2012-10-02,2917.30184518
2012-10-03,5624.36317659
2012-10-04,3824.95408734
2012-10-05,7238.82781931
2012-10-06,2115.05565759
2012-10-07,4619.89336134
2012-10-08,3910.825629
2012-10-09,1447.87360685
2012-10-10,2643.23446534
2012-10-11,1591.52593725
2012-10-12,1553.48889588
2012-10-13,1228.07970502
2012-10-14,918.47723415
2012-10-15,1490.37643358
2012-10-16,3550.66148358
2012-10-17,1875.45476263
2012-10-18,2371.72670142
2012-10-19,1815.87583244
2012-10-20,649.60364103
2012-10-21,1411.16975496
2012-10-22,3518.7033127
2012-10-23,5426.79836217
2012-10-24,8882.31399528
2012-10-25,6801.02411552
2012-10-26,3644.4657841
2012-10-27,1173.36527438
2012-10-28,6176.24127715
2012-10-29,1058.42015894
2012-10-30,2260.8451382
2012-10-31,2782.2095878
2012-11-01,2129.36357556
2012-11-02,1644.35925529
2012-11-03,2442.35433022
2012-11-04,2788.27414094
2012-11-05,7319.07513586
2012-11-06,1954.2529202
2012-11-07,7002.25251207
2012-11-08,9054.92371574
2012-11-09,4191.66753202
2012-11-10,1133.07648193
2012-11-11,505.99521651
2012-11-12,1109.62224395
2012-11-13,1982.61397592
2012-11-14,1580.59087025
2012-11-15,2764.97264061
2012-11-16,7593.3239693
2012-11-17,1200.76899768
2012-11-18,1153.68535091
2012-11-19,5000.16003042
2012-11-20,4907.3675059
2012-11-21,1896.88107662
2012-11-22,12072.51652608
2012-11-23,3212.97399419
2012-11-24,2669.72261723
2012-11-25,823.9610628
2012-11-26,3554.89924045
2012-11-27,3268.17279225
2012-11-28,4259.65446843
2012-11-29,3630.33564535
2012-11-30,3291.45892572
2012-12-01,1982.21625179
2012-12-02,2449.88859221
2012-12-03,3760.85933334
2012-12-04,5421.3195145
2012-12-05,9200.94472518
2012-12-06,4720.61201214
2012-12-07,3458.37228869
2012-12-08,1219.82391649
2012-12-09,1126.42379626
2012-12-10,2703.99752222
2012-12-11,3550.67441669
2012-12-12,3198.63648663
2012-12-13,3963.20223818
2012-12-14,5517.48799487
2012-12-15,1795.41317208
2012-12-16,2168.42352212
2012-12-17,4337.63920072
2012-12-18,5516.25566166
2012-12-19,3308.40064934
2012-12-20,2940.83064561
2012-12-21,2117.91175994
2012-12-22,1674.8822418
2012-12-23,1333.43302196
2012-12-24,2181.93628328
2012-12-25,1778.86287999
2012-12-26,1477.95510065
2012-12-27,4622.07034781
2012-12-28,1888.82075876
2012-12-29,1192.18104659
2012-12-30,855.26621667
2012-12-31,3635.75026157
2013-01-01,189.08777852
2013-01-02,3274.88853539
2013-01-03,1917.75041303
2013-01-04,3112.89527586
2013-01-05,2482.87133287
2013-01-06,857.36737182
2013-01-07,1829.34662717
2013-01-08,7413.14017568
2013-01-09,1892.76299657
2013-01-10,3077.55374107
2013-01-11,3420.74366586
2013-01-12,2388.77558039
2013-01-13,2562.79066337
2013-01-14,2819.96258827
2013-01-15,5466.6310815
2013-01-16,8254.59462119
2013-01-17,4353.42106872
2013-01-18,4464.89461198
2013-01-19,1348.04706155
