Date,supply/profit_relative
2012-07-02,0.844285558908623
2012-07-03,0.744064938364736
2012-07-04,0.749770799844055
2012-07-05,0.809656517507574
2012-07-06,0.824824312479909
2012-07-07,0.845010888025136
2012-07-08,0.842712468746797
2012-07-09,0.849401725458455
2012-07-10,0.862436505390818
2012-07-11,0.855543090589935
2012-07-12,0.868514525006665
2012-07-13,0.849968519377933
2012-07-14,0.83100270574269
2012-07-15,0.85930791696089
2012-07-16,0.881846394206561
2012-07-17,0.887583455471758
2012-07-18,0.878141885991971
2012-07-19,0.852977617204772
2012-07-20,0.851029287670546
2012-07-21,0.864551973270271
2012-07-22,0.815884808446064
2012-07-23,0.813885921352765
2012-07-24,0.826527222671181
2012-07-25,0.870257290318024
2012-07-26,0.875449896602256
2012-07-27,0.869053055405213
2012-07-28,0.841122635814057
2012-07-29,0.818578228087489
2012-07-30,0.880723164959433
2012-07-31,0.891548235613986
2012-08-01,0.89228658993742
2012-08-02,0.894312895928852
2012-08-03,0.900099399000987
2012-08-04,0.889164874483424
2012-08-05,0.901334359316154
2012-08-06,0.886025163073879
2012-08-07,0.902069508032763
2012-08-08,0.908196709364036
2012-08-09,0.89126817192867
2012-08-10,0.899981142727216
2012-08-11,0.907937796898052
2012-08-12,0.902628394309263
2012-08-13,0.912168403163618
2012-08-14,0.907769422636076
2012-08-15,0.916078122625165
2012-08-16,0.918257752495832
2012-08-17,0.840981885254779
2012-08-18,0.834515821045372
2012-08-19,0.701141731896481
2012-08-20,0.80403774550487
2012-08-21,0.796556241654762
2012-08-22,0.751774260366695
2012-08-23,0.819371473079012
2012-08-24,0.841969973188233
2012-08-25,0.844489268965945
2012-08-26,0.841104974159725
2012-08-27,0.850584421312976
2012-08-28,0.83647310180824
2012-08-29,0.812254270911051
2012-08-30,0.818055935155341
2012-08-31,0.748382063928478
2012-09-01,0.73983892958649
2012-09-02,0.777613699988317
2012-09-03,0.813208072095347
2012-09-04,0.771821687523585
2012-09-05,0.864565637021615
2012-09-06,0.880491087596056
2012-09-07,0.865132930039119
2012-09-08,0.857178020733008
2012-09-09,0.858458976124208
2012-09-10,0.851635114555424
2012-09-11,0.884855198604646
2012-09-12,0.866019641884059
2012-09-13,0.882719404622404
2012-09-14,0.896350721188708
2012-09-15,0.851106405167394
2012-09-16,0.884581529583013
2012-09-17,0.892618959365765
2012-09-18,0.891548589347336
2012-09-19,0.88576085870705
2012-09-20,0.855350194936219
2012-09-21,0.844399752093992
2012-09-22,0.844667692252647
2012-09-23,0.850694437507819
2012-09-24,0.833053366445569
2012-09-25,0.872415684354459
2012-09-26,0.896440892545981
2012-09-27,0.877770266286326
2012-09-28,0.804613152052269
2012-09-29,0.875923459832334
2012-09-30,0.834205123102543
2012-10-01,0.823521441257409
2012-10-02,0.911692911085301
2012-10-03,0.908780680969137
2012-10-04,0.87737163980395
2012-10-05,0.860641744526517
2012-10-06,0.83759754630045
2012-10-07,0.748137999801688
2012-10-08,0.748613117784951
2012-10-09,0.763029636963544
2012-10-10,0.787971366190219
2012-10-11,0.758664897795115
2012-10-12,0.75641181513376
2012-10-13,0.733549689570346
2012-10-14,0.71979535054608
2012-10-15,0.721510455682923
2012-10-16,0.745667855086485
2012-10-17,0.732902718704437
2012-10-18,0.76079303368159
2012-10-19,0.725034548199835
2012-10-20,0.718522546088595
2012-10-21,0.712893233633394
2012-10-22,0.72253122088091
2012-10-23,0.753967855306836
2012-10-24,0.728693690400445
2012-10-25,0.655282341002678
2012-10-26,0.625270248089711
2012-10-27,0.635819367117882
2012-10-28,0.678769432411355
2012-10-29,0.676243092629976
2012-10-30,0.710323169792112
2012-10-31,0.731705703120333
2012-11-01,0.654966026399961
2012-11-02,0.624800268174806
2012-11-03,0.677037939151027
2012-11-04,0.708374613026898
2012-11-05,0.686071488362163
2012-11-06,0.714821896434544
2012-11-07,0.696111701042026
2012-11-08,0.723855316004152
2012-11-09,0.693688477764801
2012-11-10,0.720748318364443
2012-11-11,0.710008523908
2012-11-12,0.725600503608279
2012-11-13,0.700629014354453
2012-11-14,0.745693514908624
2012-11-15,0.769972515383723
2012-11-16,0.800204752656428
2012-11-17,0.813269869286331
2012-11-18,0.750963082202501
2012-11-19,0.800995945957489
2012-11-20,0.802615003584898
2012-11-21,0.789496446981199
2012-11-22,0.86183157398561
2012-11-23,0.87476546824545
2012-11-24,0.890439113370851
2012-11-25,0.901621093326012
2012-11-26,0.83434180276373
2012-11-27,0.832815094270869
2012-11-28,0.846661748997127
2012-11-29,0.904463785800631
2012-11-30,0.87856584657204
2012-12-01,0.895321155296277
2012-12-02,0.874681207622007
2012-12-03,0.907388355874024
2012-12-04,0.922399134260252
2012-12-05,0.916275498582326
2012-12-06,0.886266776502847
2012-12-07,0.917739337172357
2012-12-08,0.882184148787507
2012-12-09,0.894513903170789
2012-12-10,0.911337118746448
2012-12-11,0.917906295795228
2012-12-12,0.933127515872362
2012-12-13,0.937272010274952
2012-12-14,0.882386224932916
2012-12-15,0.880336254963368
2012-12-16,0.841728888096034
2012-12-17,0.836407823078879
2012-12-18,0.848640139913662
2012-12-19,0.883074337624306
2012-12-20,0.910472253750578
2012-12-21,0.890797341613321
2012-12-22,0.873690888850038
2012-12-23,0.846789677169955
