Date,fees/fee_ratio_multiple
2012-05-12,586.4022555056802
2012-05-13,593.9026607325105
2012-05-14,250.87543943040848
2012-05-15,319.6207561960326
2012-05-16,466.08828438421995
2012-05-17,496.0253650698339
2012-05-18,424.13334006245685
2012-05-19,234.92337888016613
2012-05-20,345.88308222094554
2012-05-21,322.9633872751798
2012-05-22,451.32077888001936
2012-05-23,341.34535987226644
2012-05-24,322.7509577985472
2012-05-25,314.8375589794341
2012-05-26,456.33927911045754
2012-05-27,453.56960783144206
2012-05-28,365.24589187233164
2012-05-29,372.139553057585
2012-05-30,348.1133740997659
2012-05-31,551.7627959760053
2012-06-01,463.9078406665536
2012-06-02,1122.1427649000354
2012-06-03,397.969235059157
2012-06-04,270.4661417673917
2012-06-05,244.85075407416858
2012-06-06,679.5744050484034
2012-06-07,325.59791157626887
2012-06-08,428.3948103985868
2012-06-09,377.4637854790044
2012-06-10,328.58693940789556
2012-06-11,384.5612098334804
2012-06-12,693.7155062229307
2012-06-13,198.65020574964765
2012-06-14,202.44200107756694
2012-06-15,237.87582934790322
2012-06-16,283.5404737979017
2012-06-17,310.2227402617382
2012-06-18,314.7825850838128
2012-06-19,292.27699353065475
2012-06-20,335.0976204261036
2012-06-21,217.1672123120233
2012-06-22,334.2960133575536
2012-06-23,463.4114295103718
2012-06-24,448.3285924711523
2012-06-25,478.4095996185544
2012-06-26,408.5719506979042
2012-06-27,449.27805998757884
2012-06-28,435.41809978698035
2012-06-29,617.6808944804654
2012-06-30,474.40290059250697
2012-07-01,736.4144587487551
2012-07-02,414.7296743341512
2012-07-03,648.5765267266825
2012-07-04,565.5158509626759
2012-07-05,570.036184340764
2012-07-06,474.00305724580045
2012-07-07,194.60889060497794
2012-07-08,666.0712103872731
2012-07-09,513.6691118010028
2012-07-10,313.08492899496747
2012-07-11,350.4434591355864
2012-07-12,555.3209116617144
2012-07-13,566.9804501630164
2012-07-14,526.3279568759964
2012-07-15,398.66964158420944
2012-07-16,353.33460120047
2012-07-17,427.9281740865198
2012-07-18,294.4428516680303
2012-07-19,335.26871293328287
2012-07-20,198.49034279029166
2012-07-21,353.1967182990203
2012-07-22,429.044078976249
2012-07-23,325.5610459747144
2012-07-24,504.5340792684264
2012-07-25,530.8250094356205
2012-07-26,465.731957316199
2012-07-27,518.8256837000868
2012-07-28,373.016182750634
2012-07-29,450.45590814499707
2012-07-30,441.4583453587638
2012-07-31,309.16948417792395
2012-08-01,335.62753428995643
2012-08-02,417.3408471511587
2012-08-03,327.7216948313117
2012-08-04,477.65109545516094
2012-08-05,271.6817260726684
2012-08-06,280.9838209669152
2012-08-07,434.14958881268007
2012-08-08,158.8686496133609
2012-08-09,489.989896585103
2012-08-10,176.16050979843882
2012-08-11,439.92284337946694
2012-08-12,462.6412286380965
2012-08-13,314.06843983371436
2012-08-14,380.66155194281606
2012-08-15,246.7566058191745
2012-08-16,272.63072939378094
2012-08-17,224.54936134401646
2012-08-18,415.94000581132553
2012-08-19,418.9990466663589
2012-08-20,316.70851937334805
2012-08-21,353.13751819286426
2012-08-22,342.4688628456638
2012-08-23,397.01128790575046
2012-08-24,385.4704158886369
2012-08-25,289.5785213415569
2012-08-26,435.85666826130796
2012-08-27,252.55873783118741
2012-08-28,301.76712295983157
2012-08-29,348.7529460881303
2012-08-30,265.62098479483734
2012-08-31,230.61482804064838
2012-09-01,228.8348414965857
2012-09-02,269.373684762346
2012-09-03,233.26661482909782
2012-09-04,258.87731114163313
2012-09-05,344.4668783440317
2012-09-06,335.5819938561699
2012-09-07,421.7721043987947
2012-09-08,326.91641086499044
2012-09-09,361.2999908301613
2012-09-10,312.73844298699953
2012-09-11,236.45243682075943
2012-09-12,378.9727242630978
2012-09-13,331.206759455203
2012-09-14,401.5909783194594
2012-09-15,489.67679266337154
2012-09-16,546.1736877317175
2012-09-17,575.3356683084396
2012-09-18,373.7468813113259
2012-09-19,329.76537825355393
2012-09-20,423.48574230555636
2012-09-21,289.2399107679096
2012-09-22,516.2546704691839
2012-09-23,435.5423304631255
2012-09-24,272.0010447653533
2012-09-25,484.4107716815522
2012-09-26,359.0222227411271
2012-09-27,500.510873678156
2012-09-28,134.01414056861572
2012-09-29,588.5406125120538
2012-09-30,694.954557868833
2012-10-01,395.79777658041337
2012-10-02,240.63050273765177
2012-10-03,362.5664315522315
2012-10-04,50.879974552108166
2012-10-05,247.34280709359604
2012-10-06,347.9768592151485
2012-10-07,237.48931376097374
2012-10-08,327.6814307464006
2012-10-09,276.80719675535477
2012-10-10,318.8151625075888
2012-10-11,307.12934245825454
2012-10-12,365.2967103915611
2012-10-13,352.62071039655063
2012-10-14,372.0035057593588
2012-10-15,389.9324475074802
2012-10-16,310.8706151359772
2012-10-17,107.34036385030379
2012-10-18,461.9471670043547
2012-10-19,429.0449699479614
2012-10-20,440.739126444265
2012-10-21,325.73433899225637
2012-10-22,312.2031827641485
2012-10-23,310.49094585928185
2012-10-24,381.20865295112173
2012-10-25,429.9279389910369
2012-10-26,453.09826209630427
2012-10-27,698.5019253125716
2012-10-28,654.1065803731473
2012-10-29,455.6922455796203
2012-10-30,302.8732997559
2012-10-31,314.59231853803874
2012-11-01,339.77665501583743
2012-11-02,265.1096117299812
2012-11-03,390.2879425668503
2012-11-04,403.3686209518714
2012-11-05,311.5104072340963
2012-11-06,263.7887994157913
2012-11-07,269.4050538278215
2012-11-08,306.09653624286744
2012-11-09,392.7159104892963
2012-11-10,335.08277410575903
2012-11-11,422.49979453863483
2012-11-12,370.76624826596014
2012-11-13,341.86492018295104
2012-11-14,311.68281566800607
2012-11-15,215.9073688402551
2012-11-16,228.05012235048378
2012-11-17,274.3731308791704
2012-11-18,269.4697240440161
2012-11-19,262.2407192583836
2012-11-20,262.31555895097813
2012-11-21,247.8463558362045
2012-11-22,329.9612633071616
2012-11-23,307.40362592351437
2012-11-24,348.0000285799335
2012-11-25,248.33923211651546
2012-11-26,297.18725645658543
2012-11-27,91.22545305035983
2012-11-28,164.44003513695122
2012-11-29,140.90574731849188
2012-11-30,139.7000660710303
2012-12-01,158.85943608913817
2012-12-02,235.97148430431727
2012-12-03,201.93684543301904
2012-12-04,100.44365978168193
2012-12-05,113.03161176815327
2012-12-06,110.9518215163054
2012-12-07,133.543182309875
2012-12-08,134.78576229441654
2012-12-09,130.5126637583355
2012-12-10,117.11202978155146
2012-12-11,115.29879634537866
2012-12-12,114.50161765107283
2012-12-13,73.56180302128257
2012-12-14,83.52775590225625
2012-12-15,120.14313657952631
2012-12-16,100.74065019203178
2012-12-17,101.85039193930356
2012-12-18,79.08824195135156
2012-12-19,102.43690461519543
2012-12-20,85.9907461867084
2012-12-21,86.25498578768939
2012-12-22,94.51249563424385
2012-12-23,97.9809359280041
2012-12-24,118.68922995845897
2012-12-25,133.97262333079235
2012-12-26,132.65886826112074
2012-12-27,106.58753874451143
2012-12-28,113.98674452536791
2012-12-29,121.48228141585429
2012-12-30,119.43118672514382
2012-12-31,162.7421887803545
2013-01-01,160.39222762851097
2013-01-02,120.27745240590002
2013-01-03,108.52451943542846
2013-01-04,100.3426162486667
2013-01-05,113.43805969106354
2013-01-06,104.9689855049621
2013-01-07,117.85573034434434
2013-01-08,103.60041343393567
2013-01-09,100.1276038234294
2013-01-10,24.95758757722834
2013-01-11,69.76853600638118
2013-01-12,84.18603570626611
2013-01-13,85.87830550229303
2013-01-14,113.53163035840684
2013-01-15,91.1068435895705
2013-01-16,80.44717680266544
2013-01-17,74.27141416521238
2013-01-18,81.4377137560946
2013-01-19,61.589034815449445
2013-01-20,99.5171512437161
2013-01-21,112.47369905978309
2013-01-22,109.50409046270303
2013-01-23,71.93327702303019
2013-01-24,89.58939921467514
2013-01-25,83.69454852884671
2013-01-26,82.40148215493102
2013-01-27,80.10294290569729
2013-01-28,86.17468291115159
2013-01-29,80.6098237165673
2013-01-30,110.61976231448715
2013-01-31,101.9432157299981
2013-02-01,71.28647218421106
2013-02-02,52.768024278867195
2013-02-03,90.32893784525105
2013-02-04,91.66680004917617
2013-02-05,99.56304150918633
2013-02-06,114.197843051386
2013-02-07,80.28001974854172
2013-02-08,77.63092297752225
2013-02-09,80.1923291532159
2013-02-10,90.03227947821536
2013-02-11,82.47703350427363
2013-02-12,72.67749975336596
2013-02-13,77.1671146440711
2013-02-14,87.87506237758929
2013-02-15,79.08801093071057
2013-02-16,94.05322701835341
2013-02-17,101.390648936061
2013-02-18,90.26690902717483
2013-02-19,86.6437880693802
2013-02-20,97.64828702219604
2013-02-21,86.45032262636434
2013-02-22,80.81038653624815
2013-02-23,86.09756487494116
2013-02-24,87.61760745471888
2013-02-25,77.54388108763149
2013-02-26,73.9062434656297
2013-02-27,89.46314772783687
2013-02-28,70.17812611357326
2013-03-01,56.87309057137037
2013-03-02,71.84957346930652
2013-03-03,90.50583476606435
2013-03-04,82.00829461343066
2013-03-05,68.62046778397303
2013-03-06,25.639473660371564
2013-03-07,65.86530754078585
2013-03-08,84.99550845945875
2013-03-09,82.06940057384227
2013-03-10,75.63073245782631
2013-03-11,83.13306779122227
2013-03-12,51.63720415106011
2013-03-13,75.482519695555
2013-03-14,86.08671915777602
2013-03-15,67.13720696866869
2013-03-16,140.16109656432513
2013-03-17,165.8408232462538
2013-03-18,126.5526720914489
2013-03-19,83.27772544215348
2013-03-20,143.2194215346219
2013-03-21,108.68550594441223
2013-03-22,85.4732957002691
2013-03-23,104.14177791259668
2013-03-24,117.29890792553975
2013-03-25,82.1357781628934
2013-03-26,84.27163869974343
2013-03-27,55.55476583022341
2013-03-28,75.79993284035301
2013-03-29,72.63987163010492
2013-03-30,68.49518712498327
2013-03-31,93.13907047785324
2013-04-01,115.73530654135375
2013-04-02,74.93646392078425
2013-04-03,62.81604062202834
2013-04-04,51.463300957730084
2013-04-05,70.00930534751045
2013-04-06,105.88239450238662
2013-04-07,76.98326016427691
2013-04-08,84.74685162140045
2013-04-09,90.30189025035068
2013-04-10,74.83944708179561
2013-04-11,64.1227076811173
2013-04-12,77.65790371588241
2013-04-13,104.66924705696547
2013-04-14,72.65858240424498
2013-04-15,56.20265827566154
2013-04-16,86.04386222334126
2013-04-17,53.463812773118114
2013-04-18,87.39598101638012
2013-04-19,62.882631797186086
2013-04-20,84.29344467960055
2013-04-21,134.68164373225855
2013-04-22,83.31940470547518
2013-04-23,69.5846617495651
2013-04-24,65.80842605973716
2013-04-25,71.99202097232416
2013-04-26,106.29815976790567
2013-04-27,95.18505202386697
2013-04-28,135.94168859041412
2013-04-29,96.13579662724439
2013-04-30,82.42316513306673
2013-05-01,93.33003394455854
2013-05-02,64.74395386456939
2013-05-03,76.3428738314027
2013-05-04,88.04148704512598
2013-05-05,113.81259463369963
2013-05-06,79.38306489391606
2013-05-07,90.90759397032281
2013-05-08,80.32289390103618
2013-05-09,63.225813704621444
2013-05-10,67.89865328401156
2013-05-11,74.74663404842993
2013-05-12,75.23836075138205
2013-05-13,75.34673367127469
2013-05-14,68.08712202467669
2013-05-15,59.279359438039606
2013-05-16,48.8229952695609
2013-05-17,73.64847535715857
2013-05-18,95.14810541381058
2013-05-19,83.72641796783995
2013-05-20,75.21388618316374
2013-05-21,82.16633975592059
2013-05-22,79.1739594331259
2013-05-23,78.0435606404803
2013-05-24,88.41649529200713
2013-05-25,88.25309583497253
2013-05-26,130.24633808729064
2013-05-27,91.00076722176755
2013-05-28,73.09440908226252
2013-05-29,81.53154505782022
2013-05-30,95.24772779874782
2013-05-31,98.08999087593315
2013-06-01,130.08887574552688
2013-06-02,102.88918365430858
2013-06-03,91.43134090771028
2013-06-04,99.22414640900433
2013-06-05,77.50342215989458
2013-06-06,110.66458849557117
2013-06-07,103.77860482210255
2013-06-08,99.20843986077861
2013-06-09,111.26564368625141
2013-06-10,127.16862880308952
2013-06-11,95.40361004171133
2013-06-12,120.27810486103482
2013-06-13,114.75091681404261
2013-06-14,124.89653986839733
2013-06-15,131.9960231951657
2013-06-16,148.8274118986988
2013-06-17,99.36331190521551
2013-06-18,93.6624717403785
2013-06-19,91.88825416928081
2013-06-20,56.08601424581046
2013-06-21,98.69469688840701
2013-06-22,80.1590750969757
2013-06-23,126.3911001229085
2013-06-24,96.68191944825635
2013-06-25,117.13890065991579
2013-06-26,108.95257125074812
2013-06-27,136.7954458640081
2013-06-28,88.85368682558916
2013-06-29,174.24533948447754
2013-06-30,132.45756821377034
2013-07-01,163.67177534897354
2013-07-02,108.4955016160715
2013-07-03,164.26599175269368
2013-07-04,177.80085404593342
2013-07-05,144.21563310214145
2013-07-06,157.81077267078655
2013-07-07,253.43007964059896
2013-07-08,147.32447888996927
2013-07-09,134.09252271548502
2013-07-10,185.66190833219915
2013-07-11,124.15931227057472
2013-07-12,126.08489739413226
2013-07-13,117.78815120417389
2013-07-14,188.50935450919445
2013-07-15,184.58741035380856
2013-07-16,115.27897572835522
2013-07-17,137.5657543683281
2013-07-18,108.64968625085727
2013-07-19,203.4183033548575
2013-07-20,203.37396102378045
2013-07-21,203.5983718053775
2013-07-22,126.87932237741761
2013-07-23,165.34578719335656
2013-07-24,112.59441740883693
2013-07-25,109.03865508469157
2013-07-26,202.73399004563404
2013-07-27,141.78340196831675
2013-07-28,177.30632474370472
2013-07-29,147.3285065607264
2013-07-30,131.75116204099697
2013-07-31,97.45259339876164
2013-08-01,116.41298690626206
2013-08-02,165.7774044699908
2013-08-03,161.76990618441215
2013-08-04,143.02336333963706
2013-08-05,170.66660578035388
2013-08-06,114.96173502264675
2013-08-07,148.35892753503526
2013-08-08,105.35736520093062
2013-08-09,112.0785916033895
2013-08-10,178.09014970185265
2013-08-11,165.4182347718091
2013-08-12,213.84493348390077
2013-08-13,154.78914101168064
2013-08-14,96.00627011523648
2013-08-15,68.14070307411238
2013-08-16,90.46256121033498
2013-08-17,165.23722150984145
2013-08-18,106.55327366184204
2013-08-19,91.95822311217987
2013-08-20,139.98762045194243
2013-08-21,153.41596739734615
2013-08-22,140.27737820301604
2013-08-23,145.68414741224674
2013-08-24,165.98272810965378
2013-08-25,125.70949645455279
2013-08-26,102.69964943626017
2013-08-27,107.03216949517098
2013-08-28,18.060594998804383
2013-08-29,175.74308010329855
2013-08-30,117.7108536387647
2013-08-31,179.53793235052734
2013-09-01,222.43110457178057
2013-09-02,114.38485727726551
2013-09-03,156.2884580203036
2013-09-04,151.58242677508238
2013-09-05,138.17556388211875
2013-09-06,139.09736319931355
2013-09-07,148.9645136572197
2013-09-08,151.14021638798602
2013-09-09,167.2244601447634
2013-09-10,188.0809416291947
2013-09-11,222.6803073705287
2013-09-12,176.48419596053955
2013-09-13,244.2830479469181
2013-09-14,270.30196523939276
2013-09-15,164.67541987656367
2013-09-16,94.44549758380514
2013-09-17,15.780964905126691
2013-09-18,39.368753224946616
2013-09-19,52.77344521631087
2013-09-20,186.12451946876743
2013-09-21,177.6004183330892
2013-09-22,194.0368154744166
2013-09-23,133.99931165053593
2013-09-24,173.86239790572284
2013-09-25,166.78694864478342
2013-09-26,149.73290324779546
2013-09-27,54.86113861451145
2013-09-28,170.63060536702056
2013-09-29,165.43870337643278
2013-09-30,159.24113325361105
2013-10-01,120.44380160613682
2013-10-02,120.60514086310484
2013-10-03,136.91802194471842
2013-10-04,182.65088018322436
2013-10-05,211.0725478579979
2013-10-06,219.6001509553859
2013-10-07,120.7158078592987
2013-10-08,235.94178168041182
2013-10-09,148.32473290763372
2013-10-10,155.55013152807027
2013-10-11,204.1185029253026
2013-10-12,167.41902981038356
2013-10-13,180.35790958475195
2013-10-14,190.1835285562257
2013-10-15,169.20597688052166
2013-10-16,112.23106181715902
2013-10-17,115.32240673596404
2013-10-18,126.13683067197195
2013-10-19,154.7410777220427
2013-10-20,175.6404059875312
2013-10-21,141.05227868272644
2013-10-22,147.9526888992267
2013-10-23,121.69164274099205
2013-10-24,106.88011867658298
2013-10-25,116.02651108511662
2013-10-26,129.7373425260918
2013-10-27,78.48877692251818
2013-10-28,141.2986012618442
2013-10-29,117.09314187600656
2013-10-30,165.01701000055786
2013-10-31,176.95815130080365
2013-11-01,149.55611281819847
2013-11-02,215.6108713991019
2013-11-03,118.4184572607739
2013-11-04,95.05775721675762
2013-11-05,93.00669437408716
