Date,indicators/cdd_supply_adjusted
2009-12-07,0.0
2009-12-08,0.002071347049388227
2009-12-09,0.0018108366661347824
2009-12-10,0.0
2009-12-11,0.0
2009-12-12,0.00954874668203866
2009-12-13,0.0
2009-12-14,0.13876013243533591
2009-12-15,0.011498802233503164
2009-12-16,0.001394035708068991
2009-12-17,0.027645070038685115
2009-12-18,0.0
2009-12-19,0.00010716450809977119
2009-12-20,0.0
2009-12-21,9.95442187008131e-05
2009-12-22,0.0
2009-12-23,0.0
2009-12-24,0.0
2009-12-25,2.3526386629960525e-05
2009-12-26,0.0
2009-12-27,0.00084574254888371
2009-12-28,0.0
2009-12-29,0.0
2009-12-30,0.0
2009-12-31,0.0
2010-01-01,9.548300676300832e-05
2010-01-02,0.0
2010-01-03,0.0
2010-01-04,0.2623105352884306
2010-01-05,0.0
2010-01-06,0.0
2010-01-07,0.0
2010-01-08,0.0
2010-01-09,0.0
2010-01-10,0.0
2010-01-11,0.0
2010-01-12,0.2796895202293926
2010-01-13,0.00012197256657483905
2010-01-14,0.003346949299366992
2010-01-15,0.0004395641526809126
2010-01-16,0.0007159852854067857
2010-01-17,0.0
2010-01-18,0.00013153609827399904
2010-01-19,0.0
2010-01-20,0.0
2010-01-21,9.080639886135747e-05
2010-01-22,0.00013269018649167007
2010-01-23,2.871750095366181e-05
2010-01-24,3.2349177096931085e-05
2010-01-25,0.005014352602547353
2010-01-26,0.0004865409474357765
2010-01-27,0.0005654797452916261
2010-01-28,0.0006027123370187801
2010-01-29,0.00071874410679167
2010-01-30,0.00885655967756179
2010-01-31,0.0006478085876456286
2010-02-01,0.0007266342427943521
2010-02-02,0.000953366423624271
2010-02-03,0.0002954519932212685
2010-02-04,0.002055035344386843
2010-02-05,0.1003868617368826
2010-02-06,0.0033167124645878824
2010-02-07,0.0005263831069029163
2010-02-08,0.09886867582116361
2010-02-09,0.6456215116067122
2010-02-10,0.4317040984560804
2010-02-11,0.0073224421348775754
2010-02-12,0.007251560371272435
2010-02-13,0.018089812391106224
2010-02-14,0.004050790026012138
2010-02-15,0.01150866706998874
2010-02-16,0.0011035974910665832
2010-02-17,0.08634279087564486
2010-02-18,0.004762401373212587
2010-02-19,9.61700737250398e-05
2010-02-20,0.0006055336885550639
2010-02-21,0.011680915788398352
2010-02-22,0.09342147058771691
2010-02-23,2.0098289823225965e-05
2010-02-24,0.05726576973387414
2010-02-25,0.02275207011187539
2010-02-26,0.022497472695695995
2010-02-27,0.0009319184828968585
2010-02-28,0.03754040787835195
2010-03-01,0.0026959641632531553
2010-03-02,0.0026147584883641673
2010-03-03,0.02052704210042739
2010-03-04,0.4994967334152407
2010-03-05,0.0009642891874551651
2010-03-06,0.033374933336111086
2010-03-07,0.014471714668901724
2010-03-08,0.17326087291167466
2010-03-09,0.01439749855761847
2010-03-10,0.008546059060992787
2010-03-11,0.028116846347015008
2010-03-12,0.0007539397242393507
2010-03-13,0.01331491328051226
2010-03-14,0.001715467626414337
2010-03-15,0.0003912599185974109
2010-03-16,0.043234020986232
2010-03-17,0.0323906206191423
2010-03-18,0.017264540728946034
2010-03-19,0.02659809851945251
2010-03-20,0.025737163329276093
2010-03-21,0.0003276401038496985
2010-03-22,0.004139436403032467
2010-03-23,0.05811254119236741
2010-03-24,0.004106261793318322
2010-03-25,0.08781100382491236
2010-03-26,0.00632840135655048
2010-03-27,0.00783875386899122
2010-03-28,0.026334451730826276
2010-03-29,0.0064169094915820695
2010-03-30,0.001549568970496833
2010-03-31,0.00292015723515505
2010-04-01,0.0016347623801947469
2010-04-02,0.0010289178557336472
2010-04-03,0.002808168209971445
2010-04-04,0.015801429985386892
2010-04-05,0.08313482504908017
2010-04-06,0.08263996057917265
2010-04-07,0.11554875255926525
2010-04-08,0.014628201233890416
2010-04-09,0.07957502659098874
2010-04-10,0.30412249718096385
2010-04-11,0.10623293658486742
2010-04-12,0.061442773900370576
2010-04-13,0.0013387435841108746
2010-04-14,0.011502260962049012
2010-04-15,3.5166752430749955
2010-04-16,0.17926809184951817
2010-04-17,0.005367909073804445
2010-04-18,0.02331353050315144
2010-04-19,0.06532495080099342
2010-04-20,0.1306308045534909
2010-04-21,0.027670178785512114
2010-04-22,0.04460030768605686
2010-04-23,0.0016265383115788565
2010-04-24,0.03313963728857658
2010-04-25,0.12146787501081925
2010-04-26,0.07768216241449657
2010-04-27,0.005956642446998296
2010-04-28,0.021694119838721247
2010-04-29,0.0028098888259479155
2010-04-30,0.4805883870691663
2010-05-01,0.004328575546402264
2010-05-02,0.0021339336890565724
2010-05-03,0.016793277866671966
2010-05-04,0.07103671666223339
2010-05-05,0.10384721875647807
2010-05-06,0.14265352453450278
2010-05-07,0.11051747590122199
2010-05-08,0.10275658220570105
2010-05-09,0.04045924932115674
2010-05-10,0.03612132848088737
2010-05-11,0.0019301233414034439
2010-05-12,0.1100435396823569
2010-05-13,0.034016062960652786
2010-05-14,0.061817288990091146
2010-05-15,0.007923918410640206
2010-05-16,0.0032922484364416166
2010-05-17,0.10624458688638572
2010-05-18,0.015976737482600683
2010-05-19,0.04806035916687061
2010-05-20,0.002323933950954639
2010-05-21,0.13293157965584
2010-05-22,0.15020060774676602
2010-05-23,0.011440682562765134
2010-05-24,0.004698422762899797
2010-05-25,0.004704078347232865
2010-05-26,0.07133279181228602
2010-05-27,0.04057162312020372
2010-05-28,1.0224231747485029
2010-05-29,0.07762085664522922
2010-05-30,0.013527682584106316
2010-05-31,0.011255682288675531
2010-06-01,0.04955320971513053
2010-06-02,0.030327241217115202
2010-06-03,0.028269756854391325
2010-06-04,0.2547303718290449
2010-06-05,0.005082376508985451
2010-06-06,0.008812471792529497
2010-06-07,0.2352219287704107
2010-06-08,0.040830536723688256
2010-06-09,0.44229673170348277
2010-06-10,0.1287673934546542
2010-06-11,0.06009174685078686
2010-06-12,0.011438803880621781
2010-06-13,0.019039255294383457
2010-06-14,0.22356739527886987
2010-06-15,0.04195832395040616
2010-06-16,0.08452258022900563
2010-06-17,0.22003982672615588
2010-06-18,0.02591860604920469
2010-06-19,0.4875000307125419
2010-06-20,0.042211355899131914
2010-06-21,0.0031333702525781467
2010-06-22,0.023295033308018482
2010-06-23,0.0866392112781254
2010-06-24,0.1583368694357067
2010-06-25,0.10374913965594242
2010-06-26,0.080846860967879
2010-06-27,0.0031884069622040946
2010-06-28,0.027242102242298873
2010-06-29,0.1895807585261745
2010-06-30,0.41540140553086125
2010-07-01,0.023786724770180546
2010-07-02,0.2088686385665358
2010-07-03,0.0357466793203526
2010-07-04,0.11760082189458192
2010-07-05,0.12539428282252016
2010-07-06,0.01589470427136566
2010-07-07,0.1985927503615652
2010-07-08,0.061467588186844994
2010-07-09,0.003673957814762536
2010-07-10,0.04443087423236103
2010-07-11,0.08050827296066485
2010-07-12,0.7841643498279725
2010-07-13,0.07758476444658984
2010-07-14,0.10100206098857968
2010-07-15,0.9254202320823395
2010-07-16,0.08391564677235559
2010-07-17,0.16719026420945624
2010-07-18,0.4910412142348503
2010-07-19,0.12943187810852097
2010-07-20,0.026139114816411242
2010-07-21,0.25798981427798573
2010-07-22,0.07772715382992423
2010-07-23,0.09953147290632534
2010-07-24,0.7411556532173648
2010-07-25,0.18914757748610664
2010-07-26,1.444142921326191
2010-07-27,0.4381719128436044
2010-07-28,0.07930689264195849
2010-07-29,0.019192184567288776
2010-07-30,0.033582980851483
2010-07-31,0.13885096386861068
2010-08-01,0.20552978088932364
2010-08-02,0.02870999844382964
2010-08-03,0.10176144058977864
2010-08-04,0.2282095467658272
2010-08-05,0.03999185559347575
2010-08-06,0.07967434550166123
2010-08-07,0.2822708111383771
2010-08-08,0.14007797483701587
2010-08-09,0.18318501741730955
2010-08-10,0.13629362043043952
2010-08-11,0.0838939965335397
2010-08-12,0.017089267568648408
2010-08-13,0.10952595305018084
2010-08-14,0.012113115263994759
2010-08-15,0.041376504369868304
2010-08-16,0.11632021253403568
2010-08-17,0.04429536448926305
2010-08-18,0.13829038817929967
2010-08-19,0.027417457532499835
2010-08-20,0.03028225561340577
2010-08-21,0.1283280494646247
2010-08-22,0.13530020603874476
2010-08-23,0.013228519873661446
2010-08-24,0.036024528148343504
2010-08-25,0.012802654807265852
2010-08-26,0.013302696523115887
2010-08-27,0.12317257285757931
2010-08-28,0.01712148589530024
2010-08-29,0.02280950751639458
2010-08-30,0.02461781065783222
2010-08-31,0.2645315644641525
2010-09-01,0.07733809365274527
2010-09-02,0.035927724996924364
2010-09-03,0.11158752313481048
2010-09-04,0.02930250354914007
2010-09-05,0.570383009952113
2010-09-06,0.09665392618971237
2010-09-07,0.0830782482983925
2010-09-08,0.02494425048539654
2010-09-09,0.24388673293700536
2010-09-10,0.01087761981664289
2010-09-11,0.024213309960601608
2010-09-12,0.0931558739841429
2010-09-13,0.13278199188807324
2010-09-14,0.046899696764046775
2010-09-15,0.20160944474352416
2010-09-16,0.22283493362432355
2010-09-17,2.5128016595856333
2010-09-18,0.07962566758906207
2010-09-19,0.060872195998556866
2010-09-20,0.09109807702670814
2010-09-21,0.032396503285133556
2010-09-22,0.08106522860728645
2010-09-23,0.22882266029838078
2010-09-24,0.0235564936661733
2010-09-25,0.09179717754521245
2010-09-26,0.03550738040653519
2010-09-27,0.7758180227027038
2010-09-28,4.638028112411088
2010-09-29,0.20261349332899603
2010-09-30,0.10530793978424227
2010-10-01,1.8786548073695377
2010-10-02,2.7006795499695384
2010-10-03,0.08310740527058771
2010-10-04,0.38227893115764006
2010-10-05,1.564150719319073
2010-10-06,0.10106745577434101
2010-10-07,0.18373943528609257
2010-10-08,0.46747865733683946
2010-10-09,0.3389834267353207
2010-10-10,0.27753713730451973
2010-10-11,0.12613253593770019
2010-10-12,0.0926214831184618
2010-10-13,0.9223724407808013
2010-10-14,0.21024318465889066
2010-10-15,0.42795034962844186
2010-10-16,0.9473001216336736
2010-10-17,0.057549351406593376
2010-10-18,0.04140375626483633
2010-10-19,0.0708729715701388
2010-10-20,0.086878390912946
2010-10-21,0.3168407140819335
2010-10-22,0.06355363727847442
2010-10-23,0.1531699432070153
2010-10-24,0.2924795727558738
2010-10-25,0.15237721380349314
2010-10-26,0.11740405448339085
2010-10-27,0.25956688963748237
2010-10-28,0.6748996507780279
2010-10-29,0.10934868365426194
2010-10-30,0.1304653831175855
2010-10-31,0.12317707643599586
2010-11-01,0.12156401135067521
2010-11-02,0.17550189702331825
2010-11-03,0.07026839952767856
2010-11-04,0.4947294183504825
2010-11-05,0.2993934413552684
2010-11-06,1.483628297831403
2010-11-07,0.08779617447508897
2010-11-08,1.4062662883712131
2010-11-09,0.17534920227816336
2010-11-10,0.03438850154887331
2010-11-11,0.030242788444666276
2010-11-12,0.018520252798125865
2010-11-13,0.13175749848980345
2010-11-14,0.22948987729264342
2010-11-15,1.9927295882228113
2010-11-16,0.10906634775264712
2010-11-17,0.04554169919284076
2010-11-18,0.053674736053540284
2010-11-19,0.21659324639617983
2010-11-20,0.15579651796720626
2010-11-21,0.04729258863780284
2010-11-22,0.044424808856882596
2010-11-23,0.1697484145241377
2010-11-24,0.1923852748454832
2010-11-25,0.2724777876449145
2010-11-26,0.25769415301529364
2010-11-27,0.12044708383209692
2010-11-28,0.03858043996558655
2010-11-29,0.057446557091995344
2010-11-30,0.23263781453083832
2010-12-01,0.10427260077734814
2010-12-02,0.4709142886849251
