Date,supply/active_6m_12m
2012-08-12,1541299.82705858
2012-08-13,1542489.01674333
2012-08-14,1547975.44325092
2012-08-15,1540717.69805602
2012-08-16,1544003.31675431
2012-08-17,1526341.8143255
2012-08-18,1505629.28017511
2012-08-19,1495918.99267554
2012-08-20,1495725.15045061
2012-08-21,1492601.93941657
2012-08-22,1488143.78148816
2012-08-23,1509113.44906378
2012-08-24,1460156.46441088
2012-08-25,1463348.78392555
2012-08-26,1465088.19972319
2012-08-27,1448833.35070876
2012-08-28,1451585.85106111
2012-08-29,1466858.89273353
2012-08-30,1465240.78230826
2012-08-31,1428402.80023069
2012-09-01,1421026.86945358
2012-09-02,1419800.86737911
2012-09-03,1421137.01352754
2012-09-04,1424929.03570317
2012-09-05,1422370.73010634
2012-09-06,1418625.15552418
2012-09-07,1418172.58314512
2012-09-08,1417134.74456558
2012-09-09,1417112.07834046
2012-09-10,1390609.03472077
2012-09-11,1390877.84041734
2012-09-12,1394256.80890539
2012-09-13,1392933.95810855
2012-09-14,1391166.26996251
2012-09-15,1392005.32949866
2012-09-16,1396364.84019532
2012-09-17,1399193.55986286
2012-09-18,1397722.89067831
2012-09-19,1401626.17482856
2012-09-20,1395795.68727262
2012-09-21,1393244.66489433
2012-09-22,1388423.48898036
2012-09-23,1391587.59887855
2012-09-24,1399376.27032874
2012-09-25,1398733.66867738
2012-09-26,1445625.49853763
2012-09-27,1444537.7517412
2012-09-28,1443675.18868447
2012-09-29,1442120.16969616
2012-09-30,1443007.73314016
2012-10-01,1440350.55940704
2012-10-02,1441807.70056956
2012-10-03,1438844.37695639
2012-10-04,1438211.40395871
2012-10-05,1438665.50507603
2012-10-06,1436856.32759242
2012-10-07,1438200.70417427
2012-10-08,1413104.24448719
2012-10-09,1422268.02989626
2012-10-10,1419246.52841279
2012-10-11,1418890.81806473
2012-10-12,1416552.25585152
2012-10-13,1419893.09887338
2012-10-14,1421116.01297279
2012-10-15,1417921.4490282
2012-10-16,1402544.83291154
2012-10-17,1401123.48282737
2012-10-18,1399653.08126745
2012-10-19,1398129.82582395
2012-10-20,1397270.03171707
2012-10-21,1397441.54453251
2012-10-22,1390654.54917434
2012-10-23,1386898.39597599
2012-10-24,1385227.79454033
2012-10-25,1368037.16895081
2012-10-26,1360148.57739078
2012-10-27,1358688.72436974
2012-10-28,1341784.9208533
2012-10-29,1342723.28321359
2012-10-30,1340414.32006866
2012-10-31,1337069.71886198
2012-11-01,1335069.79398044
2012-11-02,1421986.44392475
2012-11-03,1421991.18617404
2012-11-04,1410457.82186267
2012-11-05,1413859.12778519
2012-11-06,1412789.54022298
2012-11-07,1412449.46628148
2012-11-08,1438512.39705398
2012-11-09,1439500.50913344
2012-11-10,1444489.36365341
2012-11-11,1440010.24655874
2012-11-12,1432083.61935654
2012-11-13,1429188.66772891
2012-11-14,1461043.14975358
2012-11-15,1263636.1873918
2012-11-16,1257832.00972589
2012-11-17,1255861.2702712
2012-11-18,1255180.13414899
2012-11-19,1258824.89144553
2012-11-20,1253474.67265945
2012-11-21,1252528.70539927
2012-11-22,1253149.85983085
2012-11-23,1257450.25239345
2012-11-24,1258353.8782803
2012-11-25,1230053.74585152
2012-11-26,1234992.23052634
2012-11-27,1229907.7505689
2012-11-28,1229103.39304368
2012-11-29,1230698.12390307
2012-11-30,1224698.38840617
2012-12-01,1228916.91867963
2012-12-02,1231410.10171323
2012-12-03,1230514.53498016
2012-12-04,1232962.07226845
2012-12-05,1233169.73703613
2012-12-06,1230471.88948358
2012-12-07,1221755.12565788
2012-12-08,1225206.55320342
2012-12-09,1227982.36906371
2012-12-10,1255619.40665443
2012-12-11,1253757.17913299
2012-12-12,1251256.64677017
2012-12-13,1242828.77755663
2012-12-14,1244037.26586831
2012-12-15,1243346.36249855
2012-12-16,1247061.65953174
2012-12-17,1250158.01439095
2012-12-18,1245610.65266583
2012-12-19,1218121.70542713
2012-12-20,1210036.60518405
2012-12-21,1192628.30242995
2012-12-22,1198687.69964798
2012-12-23,1201314.43818548
2012-12-24,1203100.49336165
2012-12-25,1206183.44683044
2012-12-26,1208167.77153385
2012-12-27,1208983.20255771
2012-12-28,1206280.83485634
2012-12-29,1210196.07085993
2012-12-30,1219919.47162522
2012-12-31,1177062.93687474
2013-01-01,1183193.14434217
2013-01-02,1181136.79452006
2013-01-03,1188058.77421783
2013-01-04,1185928.70501153
2013-01-05,1184460.85848896
2013-01-06,1188957.58019008
2013-01-07,1186285.87482374
2013-01-08,1183702.03053065
2013-01-09,1196240.35861777
2013-01-10,1246884.51866947
2013-01-11,1244336.08216207
2013-01-12,1236627.67028895
2013-01-13,1261273.07135162
2013-01-14,1265788.63203359
2013-01-15,1267946.31609605
2013-01-16,1268802.51843396
2013-01-17,1272667.85210531
2013-01-18,1277473.74371524
2013-01-19,1290714.41555275
2013-01-20,1296865.4776251
2013-01-21,1303845.3465891
2013-01-22,1290619.94779701
2013-01-23,1305183.31089157
2013-01-24,1303744.87537483
2013-01-25,1305014.11491634
2013-01-26,1314279.29616694
2013-01-27,1311903.99572373
2013-01-28,1309546.62882271
2013-01-29,1295336.76870319
2013-01-30,1286023.43552129
2013-01-31,1265194.88070689
2013-02-01,1260698.19512129
2013-02-02,1261998.51234543
2013-02-03,1261664.43277454
2013-02-04,1289620.18140947
2013-02-05,1289621.35049954
2013-02-06,1294363.30917917
2013-02-07,1292787.40745127
2013-02-08,1293084.45576014
2013-02-09,1300827.07382931
2013-02-10,1306286.8255063
2013-02-11,1306320.34409533
2013-02-12,1314694.37202572
2013-02-13,1332373.54538336
2013-02-14,1344264.75191949
2013-02-15,1342079.04370457
2013-02-16,1349516.4112893
2013-02-17,1352633.56956493
2013-02-18,1357964.32130756
2013-02-19,1357736.74639263
2013-02-20,1357426.35079846
2013-02-21,1354422.84884261
2013-02-22,1368849.56914591
2013-02-23,1372110.14900683
2013-02-24,1382069.10821606
2013-02-25,1332582.51880182
2013-02-26,1328038.96736622
2013-02-27,1332954.86754271
2013-02-28,1294159.44770464
2013-03-01,1293335.60558671
2013-03-02,1291050.32324628
2013-03-03,1290975.68451427
2013-03-04,1296532.26529493
2013-03-05,1293773.83518679
2013-03-06,1287394.1993972
2013-03-07,1286744.81912332
2013-03-08,1287639.54084715
2013-03-09,1287035.34318065
2013-03-10,1287805.54518096
2013-03-11,1284321.890816
2013-03-12,1277189.69786123
2013-03-13,1274718.54690293
2013-03-14,1289671.85763447
2013-03-15,1284893.14359918
2013-03-16,1304018.08251997
2013-03-17,1322591.24962327
2013-03-18,1326103.59647791
2013-03-19,1329172.93700363
2013-03-20,1328812.94809807
2013-03-21,1316236.91725344
2013-03-22,1324860.56981036
2013-03-23,1332626.72127985
2013-03-24,1324739.47806626
2013-03-25,1327402.54554675
2013-03-26,1333860.36925215
2013-03-27,1331597.07417438
2013-03-28,1337076.52169591
2013-03-29,1339888.51789869
2013-03-30,1324534.78416853
2013-03-31,1333269.73735562
2013-04-01,1341127.234348
2013-04-02,1331878.50765535
