Date,market/price_drawdown_relative
2018-03-05,-0.39831154753195275
2018-03-06,-0.42420148095522037
2018-03-07,-0.46939415596406575
2018-03-08,-0.5033908602537049
2018-03-09,-0.4862497832696886
2018-03-10,-0.5158702973046503
2018-03-11,-0.4901805310632683
2018-03-12,-0.5067492990624565
2018-03-13,-0.5130954445050584
2018-03-14,-0.5670390903952174
2018-03-15,-0.5691443698751211
2018-03-16,-0.5759373674068624
2018-03-17,-0.6103936104380138
2018-03-18,-0.6203561566209524
2018-03-19,-0.6092757754011449
2018-03-20,-0.6072952480029095
2018-03-21,-0.6040834105104687
2018-03-22,-0.6199642800254297
2018-03-23,-0.6211258135315834
2018-03-24,-0.6283536813141116
2018-03-25,-0.6303701542274041
2018-03-26,-0.6547137256892024
2018-03-27,-0.6828541302806428
2018-03-28,-0.6837520633430456
2018-03-29,-0.7279671613051464
2018-03-30,-0.7218486707912384
2018-03-31,-0.720525030060318
2018-04-01,-0.7324476640348911
2018-04-02,-0.7279262820919444
2018-04-03,-0.7065873328004939
2018-04-04,-0.731435551101131
2018-04-05,-0.7298927132097653
2018-04-06,-0.739106042088674
2018-04-07,-0.7283075864771562
2018-04-08,-0.7182322700509016
2018-04-09,-0.7200922742515932
2018-04-10,-0.7080977492469063
2018-04-11,-0.7037215589922288
2018-04-16,-0.6397702588218047
2018-04-17,-0.6453594340061488
2018-04-18,-0.6304963159371137
2018-04-19,-0.6000356635894486
2018-04-20,-0.5660001945286697
2018-04-21,-0.5744276557744707
2018-04-22,-0.5615753721065623
2018-04-23,-0.5466861759187603
2018-04-24,-0.5012573882129723
2018-04-25,-0.5681604495021899
2018-04-26,-0.5325807329220038
2018-04-27,-0.5439627745426814
2018-04-28,-0.518225785761911
2018-04-29,-0.5141005092986115
2018-04-30,-0.5279508096198656
2018-05-01,-0.5248200257398081
2018-05-02,-0.5161226207240696
2018-05-03,-0.449232246087225
2018-05-04,-0.4467858366212908
2018-05-05,-0.42494928863120895
2018-05-06,-0.44105006012063597
2018-05-07,-0.4704541962512352
2018-05-08,-0.4684722592249584
2018-05-09,-0.470165927316759
2018-05-10,-0.48783702444435995
2018-05-11,-0.5202246383246854
2018-05-12,-0.5165257743439239
2018-05-13,-0.4823225595462125
2018-05-14,-0.48429321954815785
2018-05-15,-0.4996511170597414
2018-05-16,-0.5016612466468473
2018-05-17,-0.5259019152616199
2018-05-18,-0.5108611840593623
2018-05-19,-0.5092556177201522
2018-05-20,-0.4955251357824212
2018-05-21,-0.5068169612084459
2018-05-22,-0.5431212266019365
2018-05-23,-0.587848724357104
2018-05-24,-0.5753699921201793
2018-05-25,-0.5881510895719947
2018-05-26,-0.586050743790236
2018-05-27,-0.5954430954304089
2018-05-28,-0.6359353657350435
2018-05-29,-0.6015679292705034
2018-05-30,-0.6053245880009642
2018-05-31,-0.5934576343340283
2018-06-01,-0.5905354754041052
2018-06-02,-0.5828501833221269
2018-06-03,-0.5641930513795326
2018-06-04,-0.5824399815620652
2018-06-05,-0.5705765519652329
2018-06-06,-0.5721341909510338
2018-06-07,-0.5737630161529277
2018-06-08,-0.5759169278002614
2018-06-09,-0.5772708755340729
2018-06-10,-0.6294179504854054
2018-06-11,-0.6249592969903032
2018-06-12,-0.6510331868729798
2018-06-13,-0.6643224552337375
2018-06-14,-0.6338892906328808
2018-06-15,-0.6538693584923746
2018-06-16,-0.6477135128353682
2018-06-17,-0.6472194382068404
2018-06-18,-0.6344108530082168
2018-06-19,-0.6207374610061643
2018-06-20,-0.6217643750343598
2018-06-21,-0.6281950981594486
2018-06-22,-0.6719774403128247
2018-06-23,-0.6655516508858808
2018-06-24,-0.6770309568414183
2018-06-25,-0.6752104222258872
2018-06-26,-0.6940649020942844
2018-06-27,-0.6883474507581684
2018-06-28,-0.7023112261367592
2018-06-29,-0.6924255046820795
2018-06-30,-0.6793159638966066
2018-07-01,-0.680084915993217
2018-07-02,-0.6650455944190007
2018-07-03,-0.6731509556573307
2018-07-04,-0.6713614328587116
2018-07-05,-0.6654734165295804
2018-07-06,-0.6658089080034452
2018-07-07,-0.6535994147224372
2018-07-08,-0.6551316804034919
2018-07-09,-0.6640666077442146
2018-07-10,-0.6938654397264195
2018-07-11,-0.685620525311986
2018-07-12,-0.6968778148509953
2018-07-13,-0.6942608403920458
2018-07-14,-0.6925023294103385
2018-07-15,-0.6829394127771504
2018-07-16,-0.6613439111821564
2018-07-17,-0.6469523136929858
2018-07-18,-0.6613277004596798
2018-07-19,-0.6690059444014508
2018-07-20,-0.6824072781915036
2018-07-21,-0.6740397261374642
2018-07-22,-0.6760273016759069
2018-07-23,-0.6821464970038356
2018-07-24,-0.6621311884433054
2018-07-25,-0.6667745032118375
2018-07-26,-0.6729402162651341
2018-07-27,-0.6689939625630985
2018-07-28,-0.6709448877724635
2018-07-29,-0.6710019777081422
2018-07-30,-0.677745494937321
2018-07-31,-0.6938665883209498
2018-08-01,-0.7034516436114953
2018-08-02,-0.7091787818910724
2018-08-03,-0.7049027568356387
2018-08-04,-0.7128804087498433
2018-08-05,-0.7108751030924421
2018-08-06,-0.7134752209521473
2018-08-07,-0.7318704340427992
2018-08-08,-0.7486541374232282
2018-08-09,-0.7421948621609316
2018-08-10,-0.7644432292210255
2018-08-11,-0.7729712817120497
2018-08-12,-0.7749047564437622
2018-08-13,-0.798174789521389
2018-08-14,-0.803405089911715
2018-08-15,-0.8008849282633241
2018-08-16,-0.7974602015239489
2018-08-17,-0.7774698093139764
