Date,addresses/new_non_zero_count
2016-08-31,1956.0
2016-09-01,2079.0
2016-09-02,1902.0
2016-09-03,1778.0
2016-09-04,1696.0
2016-09-05,1516.0
2016-09-06,1766.0
2016-09-07,1702.0
2016-09-08,2169.0
2016-09-09,1812.0
2016-09-10,1739.0
2016-09-11,1755.0
2016-09-12,1729.0
2016-09-13,1967.0
2016-09-14,1782.0
2016-09-15,1800.0
2016-09-16,1692.0
2016-09-17,1833.0
2016-09-18,1532.0
2016-09-19,1003.0
2016-09-20,2384.0
2016-09-21,2796.0
2016-09-22,1741.0
2016-09-23,1618.0
2016-09-24,1524.0
2016-09-25,2066.0
2016-09-26,1779.0
2016-09-27,1791.0
2016-09-28,1744.0
2016-09-29,3551.0
2016-09-30,2090.0
2016-10-01,1856.0
2016-10-02,1972.0
2016-10-03,1726.0
2016-10-04,17544.0
2016-10-05,1600.0
2016-10-06,1758.0
2016-10-07,2150.0
2016-10-08,2532.0
2016-10-09,2072.0
2016-10-10,17761.0
2016-10-11,1750.0
2016-10-12,1317.0
2016-10-13,851.0
2016-10-14,1295.0
2016-10-15,1226.0
2016-10-16,1449.0
2016-10-17,1363.0
2016-10-18,1486.0
2016-10-19,1273.0
2016-10-20,1477.0
2016-10-21,1460.0
2016-10-22,1471.0
2016-10-23,1291.0
2016-10-24,1498.0
2016-10-25,2027.0
2016-10-26,1618.0
2016-10-27,1663.0
2016-10-28,1898.0
2016-10-29,1751.0
2016-10-30,1625.0
2016-10-31,1697.0
2016-11-01,1775.0
2016-11-02,4918.0
2016-11-03,1919.0
2016-11-04,1562.0
2016-11-05,1452.0
2016-11-06,1607.0
2016-11-07,1751.0
2016-11-08,1892.0
2016-11-09,2304.0
2016-11-10,1528.0
2016-11-11,2091.0
2016-11-12,1736.0
2016-11-13,2261.0
2016-11-14,1588.0
2016-11-15,1962.0
2016-11-16,1597.0
2016-11-17,1717.0
2016-11-18,1850.0
2016-11-19,1505.0
2016-11-20,1445.0
2016-11-21,1603.0
2016-11-22,1500.0
2016-11-23,1577.0
2016-11-24,1121.0
2016-11-25,7516.0
2016-11-26,1534.0
2016-11-27,1645.0
2016-11-28,1612.0
2016-11-29,1629.0
2016-11-30,1748.0
2016-12-01,1511.0
2016-12-02,2514.0
2016-12-03,2729.0
2016-12-04,2856.0
2016-12-05,3453.0
2016-12-06,2149.0
2016-12-07,1673.0
2016-12-08,1542.0
2016-12-09,1543.0
2016-12-10,2019.0
2016-12-11,1517.0
2016-12-12,1475.0
2016-12-13,1426.0
2016-12-14,1529.0
2016-12-15,1744.0
2016-12-16,1459.0
2016-12-17,1711.0
2016-12-18,1417.0
2016-12-19,1501.0
2016-12-20,2115.0
2016-12-21,1742.0
2016-12-22,8507.0
2016-12-23,4064.0
2016-12-24,1543.0
2016-12-25,1255.0
2016-12-26,1312.0
2016-12-27,1437.0
2016-12-28,1857.0
2016-12-29,2278.0
2016-12-30,2163.0
2016-12-31,2214.0
2017-01-01,1357.0
2017-01-02,1901.0
2017-01-03,2518.0
2017-01-04,3245.0
2017-01-05,3123.0
2017-01-06,2796.0
2017-01-07,2209.0
2017-01-08,1984.0
2017-01-09,2166.0
2017-01-10,2138.0
2017-01-11,2078.0
2017-01-12,2284.0
2017-01-13,1821.0
2017-01-14,2226.0
2017-01-15,2190.0
2017-01-16,2330.0
2017-01-17,2514.0
2017-01-18,2282.0
2017-01-19,2313.0
