Date,transactions/transfers_volume_mean
2016-02-13,69.1049962458301
2016-02-14,56.60647345098
2016-02-15,44.2342937528443
2016-02-16,77.3110205695945
2016-02-17,44.7022622633483
2016-02-18,69.0695165086431
2016-02-19,28.8002840005131
2016-02-20,73.5256520768158
2016-02-21,28.5506389314424
2016-02-22,45.8662354086634
2016-02-23,89.1729204906667
2016-02-24,115.499956475062
2016-02-25,48.3717133467488
2016-02-26,222.362156200194
2016-02-27,118.152033965488
2016-02-28,42.1673632124949
2016-02-29,36.9538291944317
2016-03-01,61.7039898189196
2016-03-02,154.078719511322
2016-03-03,86.1993733507951
2016-03-04,64.046573043974
2016-03-05,108.614737098557
2016-03-06,64.8021994474233
2016-03-07,65.5747811377266
2016-03-08,91.2310727100252
2016-03-09,46.9896017962051
2016-03-10,35.2104454651347
