Date,blockchain/block_height
2017-07-01,3960167.0
2017-07-02,3965201.0
2017-07-03,3970253.0
2017-07-04,3975331.0
2017-07-05,3980316.0
2017-07-06,3985362.0
2017-07-07,3990446.0
2017-07-08,3995533.0
2017-07-09,4000627.0
2017-07-10,4005221.0
2017-07-11,4009741.0
2017-07-12,4014250.0
2017-07-13,4018762.0
2017-07-14,4023264.0
2017-07-15,4027867.0
2017-07-16,4032442.0
2017-07-17,4036901.0
2017-07-18,4041452.0
2017-07-19,4046089.0
2017-07-20,4050721.0
2017-07-21,4055264.0
2017-07-22,4059913.0
2017-07-23,4064573.0
2017-07-24,4069155.0
2017-07-25,4073841.0
2017-07-26,4078491.0
2017-07-27,4083125.0
2017-07-28,4087772.0
2017-07-29,4092455.0
2017-07-30,4097159.0
2017-07-31,4101694.0
2017-08-01,4105781.0
2017-08-02,4109825.0
2017-08-03,4113801.0
2017-08-04,4117841.0
2017-08-05,4121875.0
2017-08-06,4125907.0
2017-08-07,4130001.0
2017-08-08,4134094.0
2017-08-09,4138207.0
2017-08-10,4142236.0
2017-08-11,4146341.0
2017-08-12,4150454.0
2017-08-13,4154583.0
2017-08-14,4158716.0
2017-08-15,4162848.0
2017-08-16,4167014.0
2017-08-17,4171158.0
2017-08-18,4175294.0
2017-08-19,4179505.0
2017-08-20,4183661.0
2017-08-21,4187894.0
2017-08-22,4192079.0
2017-08-23,4196295.0
2017-08-24,4200479.0
2017-08-25,4204033.0
2017-08-26,4207532.0
2017-08-27,4211046.0
2017-08-28,4214492.0
2017-08-29,4218033.0
2017-08-30,4221564.0
2017-08-31,4225037.0
2017-09-01,4228558.0
2017-09-02,4232099.0
2017-09-03,4235638.0
2017-09-04,4239165.0
2017-09-05,4242724.0
2017-09-06,4246234.0
2017-09-07,4249781.0
2017-09-08,4253373.0
2017-09-09,4256934.0
2017-09-10,4260508.0
2017-09-11,4264059.0
2017-09-12,4267662.0
2017-09-13,4271198.0
2017-09-14,4274797.0
2017-09-15,4278413.0
2017-09-16,4282022.0
2017-09-17,4285652.0
2017-09-18,4289209.0
2017-09-19,4292837.0
2017-09-20,4296437.0
2017-09-21,4300082.0
2017-09-22,4303083.0
2017-09-23,4305967.0
2017-09-24,4308905.0
2017-09-25,4311741.0
2017-09-26,4314631.0
2017-09-27,4317535.0
2017-09-28,4320391.0
2017-09-29,4323220.0
2017-09-30,4326060.0
2017-10-01,4328922.0
2017-10-02,4331764.0
