Date,transactions/transfers_volume_sum
2016-05-21,991869.54786954
2016-05-22,665243.227262121
2016-05-23,1245172.89625626
2016-05-24,1757888.36243456
2016-05-25,1707748.7823633
2016-05-26,1273153.13031181
2016-05-27,2575346.8062406
2016-05-28,2198904.97175441
2016-05-29,1005242.21239161
2016-05-30,1012347.28379215
2016-05-31,1020980.25298749
2016-06-01,787919.481614185
2016-06-02,499508.988654318
2016-06-03,626453.602571851
2016-06-04,465183.556639321
2016-06-05,455014.181594933
2016-06-06,480216.165709616
2016-06-07,1000226.48896979
2016-06-08,2152073.62169058
2016-06-09,462154.767258949
2016-06-10,895150.020121639
2016-06-11,527044.153382747
2016-06-12,1099987.13519248
2016-06-13,1180267.77918233
2016-06-14,1414059.83275396
2016-06-15,916505.685070861
2016-06-16,1482055.27210547
2016-06-17,4205505.53308347
2016-06-18,5143518.02755798
2016-06-19,1814519.77568902
2016-06-20,2614718.85476017
2016-06-21,1786910.55877093
2016-06-22,2062567.48905222
2016-06-23,1776365.06384548
2016-06-24,1123194.87688605
2016-06-25,1257328.52210809
2016-06-26,622549.084973051
2016-06-27,652661.409397129
2016-06-28,1559137.64014088
2016-06-29,1266233.02001565
2016-06-30,867842.400838285
2016-07-01,859836.074760343
2016-07-02,462875.23667799
2016-07-03,513972.594494782
2016-07-04,1169940.87640702
2016-07-05,3549587.39398926
2016-07-06,1061766.91770774
2016-07-07,985945.658941771
2016-07-08,689323.558616897
2016-07-09,592148.803642639
2016-07-10,664293.225944167
2016-07-11,806094.315643323
2016-07-12,865746.986283288
2016-07-13,942433.159665489
2016-07-14,929945.58542697
2016-07-15,3905574.10095375
2016-07-16,781953.890673747
2016-07-17,764327.850679675
2016-07-18,2860539.92121062
2016-07-19,9752065.52686743
2016-07-20,14045533.6368964
2016-07-21,1758734.91994008
2016-07-22,3021109.49587112
2016-07-23,2628856.28923698
2016-07-24,12465332.7711747
2016-07-25,9712784.49243938
2016-07-26,20749743.5986851
2016-07-27,12384900.4587759
2016-07-28,7431830.25038845
2016-07-29,5318424.89020623
2016-07-30,3547109.30043526
2016-07-31,3623233.8321421
2016-08-01,5348687.33827893
2016-08-02,10150225.7797961
2016-08-03,8755882.24894129
2016-08-04,3683299.42278336
2016-08-05,4194823.11639095
2016-08-06,1805420.16262209
2016-08-07,2096545.77760866
2016-08-08,2104359.46697548
2016-08-09,3168041.8831613
2016-08-10,4821276.45791814
2016-08-11,3890362.38897317
2016-08-12,2295364.00139968
2016-08-13,1996837.87723023
2016-08-14,1610520.96351774
2016-08-15,1431506.60268316
2016-08-16,933774.262001964
2016-08-17,1764984.11086391
2016-08-18,1167707.78752202
2016-08-19,1024505.31710418
2016-08-20,1548159.82648844
2016-08-21,3552708.91981742
2016-08-22,2227019.07528938
2016-08-23,4477925.14474802
2016-08-24,1000820.6423136
2016-08-25,889387.117247497
2016-08-26,1911011.2835175
2016-08-27,895305.584619302
2016-08-28,750355.791683248
2016-08-29,1112478.93987078
2016-08-30,778415.076753709
2016-08-31,1009860.88164271
2016-09-01,1901515.05662353
2016-09-02,1676668.61079621
2016-09-03,1163002.6969053
2016-09-04,1388054.01895211
2016-09-05,733547.707508383
2016-09-06,868463.887722148
2016-09-07,802559.593841556
2016-09-08,1437381.33429635
2016-09-09,616725.812505127
2016-09-10,588599.106295704
2016-09-11,766785.770349526
2016-09-12,901550.803421128
2016-09-13,956766.586964347
2016-09-14,752490.105574902
2016-09-15,616572.431580608
2016-09-16,2269457.04201645
2016-09-17,798843.31084672
2016-09-18,1565682.40880372
2016-09-19,917266.592222931
2016-09-20,3685741.74488586
2016-09-21,4006225.92035333
2016-09-22,1871869.81365202
2016-09-23,2000207.96629531
2016-09-24,1338851.16342273
2016-09-25,2416559.26278421
2016-09-26,987325.270424549
2016-09-27,1130364.50837088
2016-09-28,2492728.15973329
2016-09-29,2106884.28995073
2016-09-30,909819.303607551
2016-10-01,821417.015741905
2016-10-02,1751125.17117797
2016-10-03,610390.494451653
2016-10-04,699967.085459313
2016-10-05,968832.977808938
2016-10-06,931422.036195359
2016-10-07,935729.963686643
2016-10-08,1051596.18905313
2016-10-09,2585044.48355533
2016-10-10,2585024.53552616
2016-10-11,2300391.44757651
2016-10-12,2628554.09505047
2016-10-13,1020347.245341
2016-10-14,2626629.38901363
2016-10-15,976338.328339548
2016-10-16,1598628.10821204
2016-10-17,1830108.17805942
2016-10-18,2767128.56201558
2016-10-19,664705.418224685
2016-10-20,726414.079497814
2016-10-21,619930.583215963
2016-10-22,501736.985689788
2016-10-23,432743.420850938
2016-10-24,651058.996584697
2016-10-25,1105436.91701159
2016-10-26,931704.972015143
2016-10-27,926220.752789826
2016-10-28,1541012.31677381
2016-10-29,1868190.419297
2016-10-30,2428219.73044014
2016-10-31,1227410.65685238
2016-11-01,2875133.32915795
2016-11-02,4310251.82960557
2016-11-03,9944862.58584996
2016-11-04,1198476.61144169
2016-11-05,863566.167271743
2016-11-06,514304.597468458
2016-11-07,641476.328596562
2016-11-08,675495.904675617
2016-11-09,2036177.39782754
2016-11-10,1020873.29680085
2016-11-11,3569496.60755278
2016-11-12,1242507.66742589
2016-11-13,1266523.66420967
2016-11-14,534346.483157429
2016-11-15,1030273.11474321
2016-11-16,1081713.73398546
2016-11-17,3211389.64814241
2016-11-18,1081674.62938078
2016-11-19,860708.716478056
2016-11-20,637543.756861949
2016-11-21,660726.505209948
2016-11-22,2588963.32987673
2016-11-23,2426620.2300188
2016-11-24,836693.762789791
2016-11-25,1514995.77216536
2016-11-26,702975.907515435
2016-11-27,712573.555816801
2016-11-28,795059.332640637
2016-11-29,1317858.1669532
2016-11-30,1186508.222145
2016-12-01,1037290.98493082
2016-12-02,3315280.19416608
2016-12-03,4825980.31107962
2016-12-04,1692306.57754095
2016-12-05,3643135.24191494
2016-12-06,6260358.79000011
2016-12-07,2444028.29682136
2016-12-08,2505143.35135772
2016-12-09,2526924.58607837
2016-12-10,1412824.70913524
2016-12-11,1947010.3047585
2016-12-12,1064170.17661696
2016-12-13,1106448.27262145
2016-12-14,1052644.11122994
2016-12-15,2119882.77373495
2016-12-16,1379348.38013154
2016-12-17,3105235.57018185
2016-12-18,2159771.27087318
2016-12-19,1382396.03698056
2016-12-20,1392213.35072723
2016-12-21,2078876.49884082
2016-12-22,3335093.1333926
2016-12-23,6254070.76942383
2016-12-24,2353296.85169778
2016-12-25,1059724.00319435
2016-12-26,831195.746193383
