Date,fees/gas_price_median
2016-07-06,20000000000.0
2016-07-07,20000000000.0
2016-07-08,20000000000.0
2016-07-09,20000000000.0
2016-07-10,20000000000.0
2016-07-11,20000000000.0
2016-07-12,20000000000.0
2016-07-13,20000000000.0
2016-07-14,20000000000.0
2016-07-15,20000000000.0
2016-07-16,20000000000.0
2016-07-17,20000000000.0
2016-07-18,20000000000.0
2016-07-19,20000000000.0
2016-07-20,20000000000.0
2016-07-21,20000000000.0
2016-07-22,20000000000.0
2016-07-23,20000000000.0
2016-07-24,20000000000.0
2016-07-25,20000000000.0
2016-07-26,20000000000.0
2016-07-27,20000000000.0
2016-07-28,20000000000.0
2016-07-29,20000000000.0
2016-07-30,20000000000.0
2016-07-31,20000000000.0
2016-08-01,20000000000.0
2016-08-02,20000000000.0
2016-08-03,20000000000.0
2016-08-04,20000000000.0
2016-08-05,20000000000.0
2016-08-06,20000000000.0
2016-08-07,20000000000.0
2016-08-08,20000000000.0
2016-08-09,20000000000.0
2016-08-10,20000000000.0
2016-08-11,20000000000.0
2016-08-12,20000000000.0
2016-08-13,20000000000.0
2016-08-14,20000000000.0
2016-08-15,20000000000.0
2016-08-16,20000000000.0
2016-08-17,20000000000.0
2016-08-18,20000000000.0
2016-08-19,20000000000.0
2016-08-20,20000000000.0
2016-08-21,20000000000.0
2016-08-22,20000000000.0
2016-08-23,20000000000.0
2016-08-24,20000000000.0
2016-08-25,20000000000.0
2016-08-26,20000000000.0
2016-08-27,20000000000.0
2016-08-28,20000000000.0
2016-08-29,20000000000.0
2016-08-30,20000000000.0
2016-08-31,20000000000.0
2016-09-01,20000000000.0
2016-09-02,20000000000.0
2016-09-03,20000000000.0
2016-09-04,20000000000.0
2016-09-05,20000000000.0
2016-09-06,20000000000.0
2016-09-07,20000000000.0
2016-09-08,20000000000.0
2016-09-09,20000000000.0
2016-09-10,20000000000.0
2016-09-11,20000000000.0
2016-09-12,20000000000.0
2016-09-13,20000000000.0
2016-09-14,20000000000.0
2016-09-15,20000000000.0
2016-09-16,20000000000.0
2016-09-17,20000000000.0
2016-09-18,20000000000.0
2016-09-19,20000000000.0
2016-09-20,20000000000.0
2016-09-21,20000000000.0
2016-09-22,20000000000.0
2016-09-23,31580275577.999996
2016-09-24,32502259596.0
2016-09-25,41308643970.0
2016-09-26,45999426069.0
2016-09-27,30436126128.0
2016-09-28,29999999999.999996
2016-09-29,29999999999.999996
2016-09-30,23537242044.0
2016-10-01,23342373578.0
2016-10-02,23790603761.0
2016-10-03,23868748352.0
2016-10-04,20000000000.0
2016-10-05,22787139656.0
2016-10-06,22146201908.0
2016-10-07,22181299858.0
2016-10-08,21934341834.0
2016-10-09,23132786702.0
2016-10-10,22278619502.0
2016-10-11,21392473560.0
2016-10-12,22604972419.0
2016-10-13,70000000001.0
2016-10-14,49709912104.0
2016-10-15,59999999999.99999
2016-10-16,57502963949.0
2016-10-17,51288269414.0
2016-10-18,46699768616.0
2016-10-19,21000000000.0
2016-10-20,22996195702.0
2016-10-21,22702325977.0
2016-10-22,22107691843.0
2016-10-23,20000000000.0
2016-10-24,22091153610.0
2016-10-25,21681940683.0
2016-10-26,21284313934.0
2016-10-27,21418928636.0
2016-10-28,22000000000.0
2016-10-29,22053999998.0
2016-10-30,20783145948.0
2016-10-31,21416173744.0
2016-11-01,22371557950.0
2016-11-02,21000000000.0
2016-11-03,20000000000.0
2016-11-04,20000000000.0
2016-11-05,21000000000.0
2016-11-06,20652021786.0
2016-11-07,20000000000.0
2016-11-08,20543595473.0
2016-11-09,20440645650.0
2016-11-10,21178065283.0
2016-11-11,20000000000.0
2016-11-12,20821081237.0
2016-11-13,20512184678.0
2016-11-14,21265478366.0
2016-11-15,20440635545.0
2016-11-16,20100808013.0
2016-11-17,20000000000.0
2016-11-18,20838805240.0
2016-11-19,21028390711.0
2016-11-20,20967149332.0
2016-11-21,21420362673.0
2016-11-22,20000000000.0
2016-11-23,22362757308.0
2016-11-24,25000000000.0
2016-11-25,20000000000.0
2016-11-26,22595307348.0
2016-11-27,25000000000.0
2016-11-28,25000000000.0
2016-11-29,24549725769.0
2016-11-30,20000000000.0
2016-12-01,20000000000.0
2016-12-02,20000000000.0
2016-12-03,20000000000.0
2016-12-04,20000000000.0
2016-12-05,20000000000.0
2016-12-06,20000000000.0
2016-12-07,20000000000.0
2016-12-08,20000000000.0
2016-12-09,20000000000.0
2016-12-10,20000000000.0
2016-12-11,20000000000.0
2016-12-12,20000000000.0
2016-12-13,20000000000.0
2016-12-14,20000000000.0
2016-12-15,20000000000.0
2016-12-16,20000000000.0
2016-12-17,20000000000.0
2016-12-18,20000000000.0
2016-12-19,20000000000.0
2016-12-20,20000000000.0
2016-12-21,20000000000.0
2016-12-22,20000000000.0
2016-12-23,20000000000.0
2016-12-24,20000000000.0
2016-12-25,20000000000.0
2016-12-26,20000000000.0
2016-12-27,20000000000.0
2016-12-28,20000000000.0
2016-12-29,20000000000.0
2016-12-30,20000000000.0
2016-12-31,20000000000.0
2017-01-01,20000000000.0
2017-01-02,20000000000.0
2017-01-03,20000000000.0
2017-01-04,20000000000.0
2017-01-05,20000000000.0
2017-01-06,20000000000.0
2017-01-07,20000000000.0
2017-01-08,20000000000.0
2017-01-09,20000000000.0
2017-01-10,20000000000.0
2017-01-11,20000000000.0
2017-01-12,20000000000.0
2017-01-13,20000000000.0
2017-01-14,20000000000.0
2017-01-15,20000000000.0
2017-01-16,20000000000.0
2017-01-17,20000000000.0
2017-01-18,20000000000.0
2017-01-19,20000000000.0
2017-01-20,20000000000.0
2017-01-21,20000000000.0
2017-01-22,20000000000.0
2017-01-23,20000000000.0
2017-01-24,20000000000.0
2017-01-25,20000000000.0
2017-01-26,20000000000.0
2017-01-27,20000000000.0
2017-01-28,20000000000.0
2017-01-29,20000000000.0
2017-01-30,20000000000.0
2017-01-31,20000000000.0
2017-02-01,20000000000.0
2017-02-02,20000000000.0
2017-02-03,20000000000.0
2017-02-04,20000000000.0
2017-02-05,20000000000.0
2017-02-06,20000000000.0
2017-02-07,20000000000.0
2017-02-08,20000000000.0
2017-02-09,20000000000.0
2017-02-10,20000000000.0
2017-02-11,20000000000.0
2017-02-12,20000000000.0
2017-02-13,20000000000.0
2017-02-14,20000000000.0
2017-02-15,20000000000.0
2017-02-16,20000000000.0
2017-02-17,20000000000.0
2017-02-18,20000000000.0
2017-02-19,20000000000.0
2017-02-20,20000000000.0
2017-02-21,20000000000.0
2017-02-22,20000000000.0
2017-02-23,20000000000.0
2017-02-24,20000000000.0
2017-02-25,20000000000.0
2017-02-26,20000000000.0
2017-02-27,20000000000.0
2017-02-28,20000000000.0
2017-03-01,20000000000.0
2017-03-02,20000000000.0
2017-03-03,20000000000.0
2017-03-04,20000000000.0
2017-03-05,20000000000.0
2017-03-06,20000000000.0
2017-03-07,20000000000.0
2017-03-08,20000000000.0
2017-03-09,20000000000.0
2017-03-10,20000000000.0
2017-03-11,20000000000.0
2017-03-12,20000000000.0
2017-03-13,20000000000.0
2017-03-14,20000000000.0
2017-03-15,20000000000.0
2017-03-16,20000000000.0
2017-03-17,20000000000.0
2017-03-18,20000000000.0
2017-03-19,20000000000.0
2017-03-20,20000000000.0
2017-03-21,20000000000.0
2017-03-22,20000000000.0
2017-03-23,20000000000.0
2017-03-24,20000000000.0
2017-03-25,20000000000.0
2017-03-26,20000000000.0
2017-03-27,20000000000.0
2017-03-28,20000000000.0
2017-03-29,20000000000.0
2017-03-30,20000000000.0
2017-03-31,20000000000.0
2017-04-01,20000000000.0
2017-04-02,20000000000.0
2017-04-03,20000000000.0
2017-04-04,20000000000.0
2017-04-05,20000000000.0
2017-04-06,20000000000.0
2017-04-07,20000000000.0
2017-04-08,20000000000.0
2017-04-09,20000000000.0
2017-04-10,20000000000.0
2017-04-11,20000000000.0
2017-04-12,20000000000.0
2017-04-13,20000000000.0
2017-04-14,20000000000.0
2017-04-15,20000000000.0
2017-04-16,20000000000.0
2017-04-17,20000000000.0
2017-04-18,20000000000.0
2017-04-19,20000000000.0
2017-04-20,20000000000.0
2017-04-21,20000000000.0
2017-04-22,20000000000.0
2017-04-23,20000000000.0
2017-04-24,20000000000.0
2017-04-25,20000000000.0
2017-04-26,20000000000.0
2017-04-27,20000000000.0
2017-04-28,20000000000.0
2017-04-29,20000000000.0
2017-04-30,20000000000.0
2017-05-01,20000000000.0
2017-05-02,20000000000.0
2017-05-03,20000000000.0
2017-05-04,20343286631.0
2017-05-05,20343286631.0
2017-05-06,20000000000.0
2017-05-07,20000000000.0
2017-05-08,20000000000.0
2017-05-09,20000000000.0
2017-05-10,20000000000.0
2017-05-11,20000000000.0
2017-05-12,20000000000.0
2017-05-13,20000000000.0
2017-05-14,20000000000.0
2017-05-15,20000000000.0
2017-05-16,20000000000.0
2017-05-17,20000000000.0
2017-05-18,20000000000.0
2017-05-19,20082189118.0
2017-05-20,21000000000.0
2017-05-21,20953064200.0
2017-05-22,20000000000.0
2017-05-23,20000000000.0
2017-05-24,21000000000.0
2017-05-25,20000000000.0
2017-05-26,21000000000.0
2017-05-27,20000000000.0
2017-05-28,20000000000.0
2017-05-29,20000000000.0
2017-05-30,21000000000.0
2017-05-31,23312316606.0
2017-06-01,21872873662.0
2017-06-02,21000000000.0
2017-06-03,21285784423.0
2017-06-04,21411328737.0
2017-06-05,20304309836.0
2017-06-06,22000804100.0
2017-06-07,22074227857.0
2017-06-08,22881767957.0
2017-06-09,20229599175.0
2017-06-10,21000000000.0
2017-06-11,22061831512.0
2017-06-12,22771277057.0
2017-06-13,21000000010.0
2017-06-14,21000000000.0
2017-06-15,21000000000.0
2017-06-16,21000000000.0
2017-06-17,20000000010.0
2017-06-18,20860706389.0
2017-06-19,20000000000.0
2017-06-20,24313966618.0
2017-06-21,50000000000.0
2017-06-22,33452104088.0
2017-06-23,49000000000.0
2017-06-24,40000000000.0
2017-06-25,31000000000.0
2017-06-26,37282495770.0
2017-06-27,21768734821.0
2017-06-28,35082752902.0
2017-06-29,31499999999.999996
2017-06-30,21000000000.0
2017-07-01,21000000000.0
2017-07-02,20000000000.0
2017-07-03,22651614524.0
2017-07-04,20000000000.0
2017-07-05,21000000000.0
2017-07-06,21000000000.0
2017-07-07,21753372638.0
2017-07-08,21000000000.0
2017-07-09,21000000000.0
2017-07-10,20000000000.0
2017-07-11,20000000000.0
2017-07-12,21000000000.0
2017-07-13,20000000000.0
2017-07-14,20000000000.0
2017-07-15,20000000000.0
2017-07-16,21000000000.0
2017-07-17,21000000000.0
2017-07-18,22528622017.0
2017-07-19,21000000000.0
2017-07-20,20000000000.0
2017-07-21,21000000000.0
2017-07-22,20000000000.0
2017-07-23,20834209434.0
2017-07-24,20000000000.0
2017-07-25,22000000000.0
2017-07-26,21000000000.0
2017-07-27,21000000000.0
2017-07-28,21000000000.0
2017-07-29,20000000000.0
2017-07-30,21000000000.0
2017-07-31,20000000000.0
2017-08-01,21000000000.0
2017-08-02,21000000000.0
2017-08-03,21000000000.0
2017-08-04,20000000000.0
2017-08-05,20424698520.0
2017-08-06,21000000000.0
2017-08-07,21000000000.0
2017-08-08,20000000000.0
2017-08-09,21362625024.0
2017-08-10,20873010101.0
2017-08-11,21000000000.0
2017-08-12,21000000000.0
2017-08-13,21000000000.0
2017-08-14,21000000000.0
2017-08-15,21000000000.0
2017-08-16,22000000010.0
2017-08-17,22000001337.0
2017-08-18,29999999999.999996
2017-08-19,22127224645.0
2017-08-20,21000000000.0
2017-08-21,21000000000.0
2017-08-22,20000000000.0
2017-08-23,20000000000.0
2017-08-24,21000000000.0
2017-08-25,21000000000.0
2017-08-26,21000000000.0
2017-08-27,20000000000.0
2017-08-28,21000000000.0
2017-08-29,22000001337.0
2017-08-30,23369866721.0
2017-08-31,29999999999.999996
2017-09-01,29999999999.999996
2017-09-02,26047199214.0
2017-09-03,21000000000.0
2017-09-04,25523599620.0
2017-09-05,27221063327.0
2017-09-06,35500000000.0
2017-09-07,37585215805.0
2017-09-08,40936132837.0
2017-09-09,22511273639.0
2017-09-10,24165452985.0
2017-09-11,21000000000.0
2017-09-12,22930166766.0
2017-09-13,22463230501.0
2017-09-14,25000000000.0
2017-09-15,29999999999.999996
2017-09-16,31398630945.0
2017-09-17,29999999999.999996
2017-09-18,21000000000.0
2017-09-19,21000000000.0
2017-09-20,21509464631.0
2017-09-21,21000000000.0
