Date,addresses/receiving_count
2017-08-11,124701.0
2017-08-12,115368.0
2017-08-13,118886.0
2017-08-14,152639.0
2017-08-15,145503.0
2017-08-16,141058.0
2017-08-17,145040.0
2017-08-18,151084.0
2017-08-19,130377.0
2017-08-20,106187.0
2017-08-21,139498.0
2017-08-22,122284.0
2017-08-23,135683.0
2017-08-24,127325.0
2017-08-25,132645.0
2017-08-26,109364.0
2017-08-27,114487.0
2017-08-28,130134.0
2017-08-29,137048.0
2017-08-30,146242.0
2017-08-31,145857.0
2017-09-01,140169.0
2017-09-02,123564.0
2017-09-03,112419.0
2017-09-04,151456.0
2017-09-05,154612.0
2017-09-06,164314.0
2017-09-07,141749.0
2017-09-08,150511.0
2017-09-09,127568.0
2017-09-10,119720.0
2017-09-11,132142.0
2017-09-12,147154.0
2017-09-13,126600.0
2017-09-14,136337.0
2017-09-15,158783.0
2017-09-16,122757.0
2017-09-17,107166.0
2017-09-18,121981.0
2017-09-19,126677.0
2017-09-20,115506.0
2017-09-21,114465.0
2017-09-22,97172.0
2017-09-23,90767.0
2017-09-24,93010.0
2017-09-25,102635.0
2017-09-26,100254.0
2017-09-27,106672.0
2017-09-28,110175.0
2017-09-29,110580.0
2017-09-30,98669.0
2017-10-01,95866.0
2017-10-02,108566.0
2017-10-03,109504.0
2017-10-04,100943.0
2017-10-05,103943.0
2017-10-06,104617.0
2017-10-07,97373.0
2017-10-08,99905.0
2017-10-09,106172.0
2017-10-10,118833.0
2017-10-11,109336.0
2017-10-12,117102.0
2017-10-13,128696.0
2017-10-14,111520.0
2017-10-15,110038.0
2017-10-16,113091.0
2017-10-17,123733.0
2017-10-18,124001.0
2017-10-19,126794.0
2017-10-20,127193.0
2017-10-21,127568.0
2017-10-22,112703.0
2017-10-23,132705.0
2017-10-24,134268.0
2017-10-25,122333.0
2017-10-26,131056.0
2017-10-27,121848.0
2017-10-28,114661.0
2017-10-29,117079.0
2017-10-30,127916.0
2017-10-31,142678.0
2017-11-01,140681.0
2017-11-02,158332.0
2017-11-03,142757.0
2017-11-04,110387.0
2017-11-05,111338.0
2017-11-06,132235.0
2017-11-07,131503.0
2017-11-08,142639.0
2017-11-09,144549.0
2017-11-10,148580.0
2017-11-11,119983.0
2017-11-12,147581.0
2017-11-13,140907.0
2017-11-14,149983.0
2017-11-15,174710.0
2017-11-16,155175.0
2017-11-17,161656.0
2017-11-18,144106.0
2017-11-19,145312.0
2017-11-20,160188.0
2017-11-21,171760.0
2017-11-22,172288.0
2017-11-23,172030.0
2017-11-24,172591.0
2017-11-25,167287.0
2017-11-26,169845.0
2017-11-27,199564.0
