Date,supply/active_1w_1m
2009-12-07,"108500,0"
2009-12-08,"119100,0"
2009-12-09,"120650,0"
2009-12-10,"121150,0"
2009-12-11,"119600,0"
2009-12-12,"120550,0"
2009-12-13,"121250,0"
2009-12-14,"110145,65"
2009-12-15,"109695,65"
2009-12-16,"108598,65"
2009-12-17,"108248,65"
2009-12-18,"109948,65"
2009-12-19,"88798,65"
2009-12-20,"89898,65"
2009-12-21,"108091,0"
2009-12-22,"114650,0"
2009-12-23,"118750,0"
2009-12-24,"123700,0"
2009-12-25,"130900,0"
2009-12-26,"137450,0"
2009-12-27,"143050,0"
2009-12-28,"149000,0"
2009-12-29,"154650,0"
2009-12-30,"159400,0"
2009-12-31,"153750,0"
2010-01-01,"157200,0"
2010-01-02,"162550,0"
2010-01-03,"169900,0"
2010-01-04,"152850,0"
2010-01-05,"158150,0"
2010-01-06,"161450,0"
2010-01-07,"164650,0"
2010-01-08,"168197,0"
2010-01-09,"171197,0"
2010-01-10,"175697,0"
2010-01-11,"201151,35"
2010-01-12,"205001,35"
2010-01-13,"207905,35"
2010-01-14,"204554,35"
2010-01-15,"206054,35"
2010-01-16,"205704,35"
2010-01-17,"203904,35"
2010-01-18,"201854,35"
2010-01-19,"212053,61"
2010-01-20,"211505,61"
2010-01-21,"210910,61"
2010-01-22,"210461,35"
2010-01-23,"209262,35"
2010-01-24,"208362,35"
2010-01-25,"205962,35"
2010-01-26,"203612,35"
2010-01-27,"204212,35"
2010-01-28,"203562,35"
2010-01-29,"203063,35"
2010-01-30,"203363,35"
2010-01-31,"204013,35"
2010-02-01,"210538,35"
2010-02-02,"211012,35"
2010-02-03,"189208,0"
2010-02-04,"188258,0"
2010-02-05,"181608,0"
2010-02-06,"185608,0"
2010-02-07,"186208,0"
2010-02-08,"185558,0"
2010-02-09,"179908,0"
2010-02-10,"170608,0"
2010-02-11,"164808,74"
2010-02-12,"178506,74"
2010-02-13,"178102,74"
2010-02-14,"179302,0"
2010-02-15,"187501,02"
2010-02-16,"211351,02"
2010-02-17,"223701,02"
2010-02-18,"227801,02"
2010-02-19,"231401,02"
2010-02-20,"234466,85"
2010-02-21,"239699,02"
2010-02-22,"235485,63"
2010-02-23,"237048,0"
2010-02-24,"258832,17"
2010-02-25,"262782,17"
2010-02-26,"263582,17"
2010-02-27,"265031,17"
2010-02-28,"266798,0"
2010-03-01,"273648,0"
2010-03-02,"278598,0"
2010-03-03,"283248,0"
2010-03-04,"287948,0"
2010-03-05,"294798,0"
2010-03-06,"288801,59"
2010-03-07,"279734,79"
2010-03-08,"280634,79"
2010-03-09,"281384,79"
2010-03-10,"281634,79"
2010-03-11,"278584,79"
2010-03-12,"249384,79"
2010-03-13,"269282,18"
2010-03-14,"274537,0"
2010-03-15,"280833,18"
2010-03-16,"281883,18"
2010-03-17,"281646,57"
2010-03-18,"281184,2"
2010-03-19,"249150,96"
2010-03-20,"247400,96"
2010-03-21,"247800,96"
2010-03-22,"246303,96"
2010-03-23,"238790,8"
2010-03-24,"231340,8"
2010-03-25,"222240,8"
2010-03-26,"223431,8"
2010-03-27,"219985,8"
2010-03-28,"210487,8"
2010-03-29,"212436,8"
2010-03-30,"213323,73"
2010-03-31,"213172,83"
2010-04-01,"228722,83"
2010-04-02,"228222,83"
2010-04-03,"230899,53"
2010-04-04,"234449,53"
2010-04-05,"214632,7"
2010-04-06,"211127,88"
2010-04-07,"206691,87"
2010-04-08,"203891,87"
2010-04-09,"199033,98"
2010-04-10,"198733,98"
2010-04-11,"203934,24"
2010-04-12,"201573,8"
2010-04-13,"208504,8"
2010-04-14,"215357,93"
2010-04-15,"220309,55"
2010-04-16,"225911,83"
2010-04-17,"225755,12"
2010-04-18,"227800,88"
2010-04-19,"228494,88"
2010-04-20,"227512,87"
2010-04-21,"227264,18"
2010-04-22,"271536,23"
2010-04-23,"278975,93"
2010-04-24,"263947,77"
2010-04-25,"259745,2"
2010-04-26,"272416,9"
2010-04-27,"281907,9"
2010-04-28,"283852,7"
2010-04-29,"299745,55"
2010-04-30,"292500,39"
2010-05-01,"301944,45"
2010-05-02,"307232,45"
2010-05-03,"307602,64"
2010-05-04,"304859,36"
2010-05-05,"300955,94"
2010-05-06,"292853,0"
2010-05-07,"309189,22"
2010-05-08,"305421,08"
2010-05-09,"303777,19"
2010-05-10,"303761,12"
2010-05-11,"304555,03"
2010-05-12,"310720,61"
2010-05-13,"314208,62"
2010-05-14,"325335,26"
2010-05-15,"292785,93"
2010-05-16,"291982,25"
2010-05-17,"287581,01"
2010-05-18,"279269,59"
2010-05-19,"272866,4"
2010-05-20,"269375,96"
2010-05-21,"254363,78"
2010-05-22,"233844,78"
2010-05-23,"233514,26"
2010-05-24,"225258,8"
2010-05-25,"224094,8"
2010-05-26,"228138,4"
2010-05-27,"218440,63"
2010-05-28,"250123,52"
2010-05-29,"263053,97"
2010-05-30,"251079,95"
2010-05-31,"251028,95"
2010-06-01,"254897,94"
2010-06-02,"263615,69"
2010-06-03,"268149,3"
2010-06-04,"267678,57"
2010-06-05,"284071,1"
2010-06-06,"275833,4"
2010-06-07,"273995,27"
2010-06-08,"279169,19"
2010-06-09,"269020,29"
2010-06-10,"272658,55"
2010-06-11,"289635,79"
2010-06-12,"291903,47"
2010-06-13,"281563,76"
2010-06-14,"306087,56"
2010-06-15,"305746,81"
2010-06-16,"313827,57"
2010-06-17,"330060,57"
2010-06-18,"321548,13"
2010-06-19,"311831,94"
2010-06-20,"277572,94"
2010-06-21,"268986,35"
2010-06-22,"265541,34"
2010-06-23,"272705,42"
2010-06-24,"283697,56"
2010-06-25,"284097,06"
2010-06-26,"304369,83"
2010-06-27,"315774,55"
2010-06-28,"313791,64"
2010-06-29,"315437,69"
2010-06-30,"301322,93"
2010-07-01,"308353,8"
2010-07-02,"308157,8"
2010-07-03,"326993,63"
2010-07-04,"307892,28"
2010-07-05,"310208,33"
2010-07-06,"328979,87"
2010-07-07,"313053,46"
2010-07-08,"318265,37"
2010-07-09,"340978,05"
2010-07-10,"343644,84"
2010-07-11,"351604,19"
2010-07-12,"307882,94"
2010-07-13,"317906,8"
2010-07-14,"315874,44"
2010-07-15,"291098,37"
2010-07-16,"275173,15"
2010-07-17,"270904,34"
2010-07-18,"282198,53"
2010-07-19,"335075,42"
2010-07-20,"350669,73"
2010-07-21,"399002,85"
2010-07-22,"477074,76"
2010-07-23,"500740,91"
2010-07-24,"507270,04"
2010-07-25,"513493,33"
2010-07-26,"497010,42"
2010-07-27,"504188,34"
2010-07-28,"506471,78"
2010-07-29,"523926,05"
2010-07-30,"531936,77"
2010-07-31,"562176,82"
2010-08-01,"576305,0"
2010-08-02,"588906,61"
2010-08-03,"584942,13"
2010-08-04,"588392,21"
2010-08-05,"570564,82"
2010-08-06,"575090,44"
2010-08-07,"577364,67"
2010-08-08,"586635,000000001"
2010-08-09,"626654,530000001"
2010-08-10,"625972,210000001"
2010-08-11,"534159,060000001"
2010-08-12,"515867,120000001"
2010-08-13,"472721,060000001"
2010-08-14,"402053,770000001"
2010-08-15,"381241,030000001"
2010-08-16,"391831,630000001"
2010-08-17,"382320,360000001"
2010-08-18,"388042,610000001"
2010-08-19,"386410,200000002"
2010-08-20,"393956,650000002"
2010-08-21,"383462,230000002"
2010-08-22,"380050,450000002"
