Date,indicators/net_realized_profit_loss
2011-03-29,"-1175,21959619965"
2011-03-30,"-1644,76760500607"
2011-03-31,"-699,746074911767"
2011-04-01,"-65,6715045585325"
2011-04-02,"-1968,23219298054"
2011-04-03,"-305,975642916697"
2011-04-04,"4866,90391440491"
2011-04-05,"560,702056844861"
2011-04-06,"-905,990855716429"
2011-04-07,"389,685980796779"
2011-04-08,"58,5530616226874"
2011-04-09,"30,5248524333949"
2011-04-10,"-960,478177859599"
2011-04-11,"860,280380782221"
2011-04-12,"4820,81377651494"
2011-04-13,"6912,50879756463"
2011-04-14,"9060,37547770946"
2011-04-15,"8336,06439057846"
2011-04-16,"14761,8467932696"
2011-04-17,"10355,0817802076"
2011-04-18,"26471,5689336308"
2011-04-19,"23637,9300475036"
2011-04-20,"9486,13176637713"
2011-04-21,"11403,9441307528"
2011-04-22,"31257,4661002711"
2011-04-23,"45631,502518812"
2011-04-24,"34811,4733170307"
2011-04-25,"7911,45620071865"
2011-04-26,"12452,9799954189"
2011-04-27,"32048,4041552155"
2011-04-28,"50012,8465393447"
2011-04-29,"574201,155805692"
2011-04-30,"515297,337774043"
2011-05-01,"53931,2607590528"
2011-05-02,"21337,6901592107"
2011-05-03,"89287,5894908882"
2011-05-04,"254692,162011109"
2011-05-05,"35644,994443988"
2011-05-06,"152464,997613008"
2011-05-07,"25972,0169984446"
2011-05-08,"36395,2939660642"
2011-05-09,"51043,486983725"
2011-05-10,"320038,40535236"
2011-05-11,"223006,528351892"
2011-05-12,"330089,845681221"
2011-05-13,"763788,414712001"
2011-05-14,"572600,442047813"
2011-05-15,"333495,34517954"
2011-05-16,"349849,648732291"
2011-05-17,"226116,532512154"
2011-05-18,"106996,134756205"
2011-05-19,"83406,3219461688"
2011-05-20,"124929,144761219"
2011-05-21,"-532694,070676364"
2011-05-22,"240285,665665924"
2011-05-23,"153570,131496932"
2011-05-24,"76806,9432621459"
2011-05-25,"103430,6929436"
2011-05-26,"172591,007954904"
2011-05-27,"681495,417171773"
2011-05-28,"31090,083109601"
2011-05-29,"44229,8576199123"
2011-05-30,"139203,156915998"
2011-05-31,"163568,586845761"
2011-06-01,"113362,303977237"
2011-06-02,"232147,929027906"
2011-06-03,"637883,112440596"
2011-06-04,"604141,564773477"
2011-06-05,"816275,084442587"
2011-06-06,"3341733,01591769"
2011-06-07,"499779,88149673"
2011-06-08,"3618877,53835479"
2011-06-09,"2255099,55143916"
2011-06-10,"1823233,89862529"
2011-06-11,"-431437,330601861"
2011-06-12,"3010792,33152841"
2011-06-13,"246396,492249212"
2011-06-14,"1398983,73256916"
2011-06-15,"2266450,21575555"
2011-06-16,"201988,915737304"
2011-06-17,"-181882,278480831"
2011-06-18,"328184,906275377"
2011-06-19,"75443,6114110306"
2011-06-20,"161062,851739119"
2011-06-21,"428598,565712377"
2011-06-22,"7218,93279264666"
2011-06-23,"500744,667441201"
2011-06-24,"144868,29629355"
2011-06-25,"67491,6394312982"
2011-06-26,"147895,106602563"
2011-06-27,"623097,88915302"
2011-06-28,"342991,317712365"
2011-06-29,"179223,211989675"
2011-06-30,"368682,656404577"
2011-07-01,"-137449,636782529"
2011-07-02,"-120471,399954766"
2011-07-03,"9738,30249063573"
2011-07-04,"-114731,640271715"
2011-07-05,"-49076,5644649952"
2011-07-06,"27047,2595636629"
2011-07-07,"-4885,60928401405"
2011-07-08,"-85016,2012465133"
2011-07-09,"-31207,8236661019"
2011-07-10,"199081,11222665"
2011-07-11,"11532,1004185992"
2011-07-12,"-1916,12740800987"
2011-07-13,"24325,6049038438"
2011-07-14,"-17372,1372402701"
2011-07-15,"16398,8792003941"
2011-07-16,"-34789,6298035902"
2011-07-17,"2866,48023176822"
2011-07-18,"-2231028,1352508"
2011-07-19,"99248,9347913187"
2011-07-20,"-495648,089687762"
2011-07-21,"-22067,2531909421"
2011-07-22,"-30172,9650297381"
2011-07-23,"1920,87297501833"
2011-07-24,"16437,6087528333"
2011-07-25,"36284,884891393"
2011-07-26,"5115,96599539772"
2011-07-27,"32167,1648033164"
2011-07-28,"-81206,601676844"
2011-07-29,"12590,7626673894"
2011-07-30,"22814,1059767075"
2011-07-31,"-70822,6751257117"
2011-08-01,"-52105,4476745114"
2011-08-02,"-52258,1877585028"
2011-08-03,"-344735,726906811"
2011-08-04,"-90712,2054372087"
2011-08-05,"-108681,457447218"
2011-08-06,"-484949,212495363"
2011-08-07,"-408550,750478938"
2011-08-08,"-748738,031288751"
2011-08-09,"91516,4485959394"
2011-08-10,"-50188,7142969663"
2011-08-11,"-79259,8689271479"
2011-08-12,"-36215,5282632157"
2011-08-13,"-4738,23051633558"
2011-08-14,"3312,67489925137"
2011-08-15,"90703,0530717185"
2011-08-16,"60737,1771789658"
2011-08-17,"44460,7826402926"
2011-08-18,"10249,3724675691"
2011-08-19,"19866,1692852364"
2011-08-20,"24551,5974591153"
2011-08-21,"-7149,51671182353"
2011-08-22,"-2689,56885103782"
2011-08-23,"-30647,9908832464"
2011-08-24,"-12979,2810227271"
2011-08-25,"451652,833428539"
2011-08-26,"603,408859188959"
2011-08-27,"-2669433,83132357"
2011-08-28,"-7381,95135539031"
2011-08-29,"35856,9920057548"
2011-08-30,"-36926,7987135573"
2011-08-31,"-42181,3847023266"
2011-09-01,"-76586,0346195388"
2011-09-02,"-3945,99868155265"
2011-09-03,"-9583,36498503971"
2011-09-04,"-37741,8088953658"
2011-09-05,"-90801,891249619"
2011-09-06,"-187027,375451561"
2011-09-07,"-95629,5464848431"
2011-09-08,"-159851,151653961"
2011-09-09,"-151223,674942507"
2011-09-10,"-74338,173752646"
2011-09-11,"-1788643,5518804"
2011-09-12,"-113292,928535867"
2011-09-13,"-152570,159133638"
2011-09-14,"-60283,4425710283"
2011-09-15,"-80229,6038158612"
2011-09-16,"-112113,115163421"
2011-09-17,"-42045,9630945771"
2011-09-18,"-26346,0072269871"
2011-09-19,"-54997,2519687992"
2011-09-20,"-11317,0892539284"
2011-09-21,"-4262,93947034406"
2011-09-22,"-76057,2128887105"
2011-09-23,"-36763,6155294178"
2011-09-24,"-18966,9538612704"
2011-09-25,"-258568,204666565"
2011-09-26,"-49492,776843702"
2011-09-27,"-44828,4302069678"
2011-09-28,"-39885,3479390959"
2011-09-29,"-23337,9398346793"
2011-09-30,"-7431,12222442182"
2011-10-01,"-67766,0597994702"
2011-10-02,"-59660,0408688175"
2011-10-03,"-40972,9887406128"
2011-10-04,"-33034,0072056567"
2011-10-05,"-37306,9474118354"
2011-10-06,"-90874,5391593803"
2011-10-07,"-110845,534271889"
2011-10-08,"-53855,9540268"
2011-10-09,"-76421,5107273497"
2011-10-10,"-38035,4360395128"
2011-10-11,"-137973,589206603"
2011-10-12,"-83611,943299708"
2011-10-13,"-34230,3955140672"
2011-10-14,"-64189,1118816449"
2011-10-15,"-32676,0503789299"
2011-10-16,"-49075,918334178"
2011-10-17,"-263690,200519987"
2011-10-18,"-144866,532669225"
2011-10-19,"-271682,640230802"
2011-10-20,"-46531,0830732093"
2011-10-21,"-50493,8658910942"
2011-10-22,"-65587,4911841806"
2011-10-23,"-18691,3630823086"
2011-10-24,"-48740,656707609"
2011-10-25,"-35825,6338716949"
2011-10-26,"-147189,862009923"
2011-10-27,"-24817,1845846329"
2011-10-28,"15533,0800807617"
2011-10-29,"2959,68753132814"
2011-10-30,"-11760,6958906432"
2011-10-31,"-30237,3408938497"
2011-11-01,"-31626,8067029403"
2011-11-02,"-9898,78001614779"
2011-11-03,"-93025,1667363029"
2011-11-04,"-45462,535594669"
2011-11-05,"-24142,6423573631"
2011-11-06,"-13088,8734530734"
2011-11-07,"-19321,191977317"
2011-11-08,"-56397,2460671814"
2011-11-09,"-1299956,95831866"
2011-11-10,"-24800,204755402"
2011-11-11,"-45721,1671371066"
2011-11-12,"-14103,7860020215"
2011-11-13,"-10223,1369924097"
2011-11-14,"-102916,616356262"
2011-11-15,"-45066,2346447623"
2011-11-16,"-2667095,32264093"
2011-11-17,"-126782,525986075"
2011-11-18,"-307788,013570586"
2011-11-19,"-78922,4512262378"
2011-11-20,"-15729,9923457667"
2011-11-21,"-46510,7273312515"
2011-11-22,"-18363,8732744588"
2011-11-23,"-80804,5560463088"
2011-11-24,"31734,9393102285"
2011-11-25,"60207,778282818"
2011-11-26,"-171832,051208505"
2011-11-27,"-14012,8999057529"
2011-11-28,"-407261,627827014"
2011-11-29,"143028,500911803"
2011-11-30,"137927,238219065"
2011-12-01,"2198,31861163996"
2011-12-02,"16008,2123886703"
2011-12-03,"-163609,990593401"
2011-12-04,"-14391,1079450309"
2011-12-05,"-17491,861075278"
2011-12-06,"64211,0333093755"
2011-12-07,"-228342,655243966"
2011-12-08,"-23666,0592633148"
2011-12-09,"23036,6029266167"
2011-12-10,"-6533,22013694346"
2011-12-11,"63581,7331513753"
2011-12-12,"19093,5511560219"
2011-12-13,"-720,712230682933"
2011-12-14,"-55823,6225108655"
2011-12-15,"4731,37925503045"
2011-12-16,"1065,30944025344"
2011-12-17,"-2634,78473674079"
2011-12-18,"-6103,7044687443"
2011-12-19,"38184,4194571768"
2011-12-20,"141863,936195328"
2011-12-21,"49271,9854961337"
2011-12-22,"30425,6359832123"
2011-12-23,"38541,1631249366"
2011-12-24,"-2345,39621203386"
2011-12-25,"-12204,2018820191"
2011-12-26,"16136,9559240865"
2011-12-27,"17503,4147390982"
2011-12-28,"25049,995643357"
2011-12-29,"5416,93286019754"
2011-12-30,"23676,6658348395"
2011-12-31,"53046,1081587598"
2012-01-01,"86991,0344048897"
2012-01-02,"-48889,6302223021"
2012-01-03,"32746,5936181796"
2012-01-04,"99251,3990860141"
2012-01-05,"376569,524272718"
