Date,transactions/transfers_volume_from_exchanges_sum
2016-08-13,"905872,626580906"
2016-08-14,"290204,08055538"
2016-08-15,"376840,152739846"
2016-08-16,"161254,569580495"
2016-08-17,"458706,693532146"
2016-08-18,"201993,517597881"
2016-08-19,"161181,589992792"
2016-08-20,"195440,62546798"
2016-08-21,"128935,403041839"
2016-08-22,"667252,452684834"
2016-08-23,"184575,280770854"
2016-08-24,"106711,790409819"
2016-08-25,"160086,366333457"
2016-08-26,"149165,827746819"
2016-08-27,"83613,7146927247"
2016-08-28,"166052,953535965"
2016-08-29,"357675,369230394"
2016-08-30,"209758,330352471"
2016-08-31,"209540,020476247"
2016-09-01,"350220,286175539"
2016-09-02,"192418,808495154"
2016-09-03,"238604,420431571"
2016-09-04,"401847,960968631"
2016-09-05,"158475,628291885"
2016-09-06,"169389,597663596"
2016-09-07,"147958,846650847"
2016-09-08,"358771,0856704"
2016-09-09,"113403,547020196"
2016-09-10,"156434,847325487"
2016-09-11,"316604,621403999"
2016-09-12,"465004,787865347"
2016-09-13,"184569,247003023"
2016-09-14,"128674,328092802"
2016-09-15,"96815,5319796501"
2016-09-16,"325771,874022986"
2016-09-17,"81463,3024817033"
2016-09-18,"164606,433055093"
2016-09-19,"308957,621904134"
2016-09-20,"389207,17492993"
2016-09-21,"311612,847147862"
2016-09-22,"425116,194233942"
2016-09-23,"310602,216026716"
2016-09-24,"243122,965561244"
2016-09-25,"180703,842926882"
2016-09-26,"109345,168986241"
2016-09-27,"111707,254774656"
2016-09-28,"139817,594631859"
2016-09-29,"181081,363208602"
2016-09-30,"285592,079803714"
2016-10-01,"144402,408390684"
2016-10-02,"198459,028024689"
2016-10-03,"101985,705178778"
2016-10-04,"137169,690126604"
2016-10-05,"198484,954530324"
2016-10-06,"216768,915320373"
2016-10-07,"136056,507808151"
2016-10-08,"138270,851774986"
2016-10-09,"155354,89455643"
2016-10-10,"174417,674053547"
2016-10-11,"187124,902284967"
2016-10-12,"93129,039516427"
2016-10-13,"315266,265998538"
2016-10-14,"124612,410211685"
2016-10-15,"193492,810059967"
2016-10-16,"225042,327201796"
2016-10-17,"136317,999359768"
2016-10-18,"224605,511769819"
2016-10-19,"147843,584950907"
2016-10-20,"111518,039309718"
2016-10-21,"107901,943788882"
2016-10-22,"58136,9341035628"
2016-10-23,"82677,6816538786"
2016-10-24,"77410,6567834435"
2016-10-25,"240532,71665083"
2016-10-26,"173632,393235106"
2016-10-27,"197152,133623543"
2016-10-28,"315173,446464215"
2016-10-29,"369998,948228075"
2016-10-30,"1378177,65920406"
2016-10-31,"178470,370895255"
2016-11-01,"278973,243543316"
2016-11-02,"105424,996683974"
2016-11-03,"157211,538773432"
2016-11-04,"172604,882530395"
2016-11-05,"99150,1956350257"
2016-11-06,"75641,995726306"
2016-11-07,"86047,1569240695"
2016-11-08,"100210,125042832"
2016-11-09,"204512,148738728"
2016-11-10,"140221,202066653"
2016-11-11,"252444,435472929"
2016-11-12,"158310,655601835"
2016-11-13,"223602,101863619"
2016-11-14,"84550,5422806634"
2016-11-15,"135258,641434668"
2016-11-16,"162765,41076623"
2016-11-17,"763243,125552819"
2016-11-18,"210209,74200881"
2016-11-19,"102649,99846768"
2016-11-20,"95658,7016558542"
2016-11-21,"69901,3777348215"
2016-11-22,"54610,9740871998"
2016-11-23,"108695,098141439"
2016-11-24,"130329,402390172"
2016-11-25,"148727,326391912"
2016-11-26,"43322,6408678747"
2016-11-27,"85263,0970801283"
2016-11-28,"116211,95931312"
2016-11-29,"238238,520176556"
2016-11-30,"165691,535936625"
2016-12-01,"229347,919482454"
2016-12-02,"497869,43561717"
2016-12-03,"907692,882422148"
2016-12-04,"203700,698784567"
2016-12-05,"366352,02257777"
2016-12-06,"1035513,08069301"
2016-12-07,"558532,646063548"
2016-12-08,"437019,871457544"
2016-12-09,"223462,22411454"
2016-12-10,"145048,700825991"
2016-12-11,"49636,1703425966"
2016-12-12,"209972,142667427"
2016-12-13,"141850,92868407"
2016-12-14,"117366,784857373"
2016-12-15,"174682,353040871"
2016-12-16,"100245,169467325"
2016-12-17,"167660,994891842"
2016-12-18,"83004,12807457"
2016-12-19,"170963,134682657"
2016-12-20,"146361,965232047"
2016-12-21,"280686,622125287"
2016-12-22,"345546,399121571"
2016-12-23,"391977,75451663"
2016-12-24,"128969,910162203"
2016-12-25,"147737,70982443"
2016-12-26,"136629,717102737"
2016-12-27,"165375,765528643"
2016-12-28,"399643,083087474"
2016-12-29,"471493,493177281"
2016-12-30,"750730,331041561"
2016-12-31,"211266,975768784"
2017-01-01,"224301,997007527"
2017-01-02,"195119,970974768"
2017-01-03,"387901,9996651"
2017-01-04,"572120,388371094"
2017-01-05,"537485,365598926"
2017-01-06,"525275,394469834"
2017-01-07,"337138,506232044"
2017-01-08,"188924,010392473"
2017-01-09,"679227,031319225"
2017-01-10,"220632,915066853"
2017-01-11,"366326,163039819"
2017-01-12,"270747,548146398"
2017-01-13,"116376,558578131"
2017-01-14,"112672,012418475"
2017-01-15,"97963,1730551221"
2017-01-16,"128616,246772031"
2017-01-17,"215948,033186857"
2017-01-18,"171896,053034522"
2017-01-19,"151685,666538694"
2017-01-20,"956172,323446351"
2017-01-21,"179931,36617645"
2017-01-22,"198467,989094531"
2017-01-23,"148184,664507418"
2017-01-24,"167252,661595554"
2017-01-25,"174222,516298406"
2017-01-26,"240322,563804831"
2017-01-27,"208501,54891168"
2017-01-28,"103638,931023292"
2017-01-29,"64067,4399141168"
2017-01-30,"133361,233499646"
2017-01-31,"293837,778547977"
2017-02-01,"299357,292763427"
2017-02-02,"282734,32191729"
2017-02-03,"267342,369293618"
2017-02-04,"398750,795664912"
2017-02-05,"72128,31852506"
2017-02-06,"328944,70135377"
2017-02-07,"195755,876645347"
2017-02-08,"195434,925681903"
2017-02-09,"286501,914240285"
2017-02-10,"292672,049329966"
2017-02-11,"201370,178845708"
2017-02-12,"137708,619080091"
2017-02-13,"230664,90983099"
2017-02-14,"742779,999546848"
2017-02-15,"344827,462442591"
2017-02-16,"419352,956833382"
2017-02-17,"208167,406934225"
2017-02-18,"172268,984491646"
2017-02-19,"125625,138165105"
2017-02-20,"359331,667154738"
2017-02-21,"372763,156640197"
2017-02-22,"238187,758953616"
2017-02-23,"193723,832033056"
2017-02-24,"305065,230138036"
2017-02-25,"286216,361672125"
2017-02-26,"245890,553510378"
2017-02-27,"694166,430701451"
2017-02-28,"794572,666551409"
2017-03-01,"942815,965738624"
2017-03-02,"1016430,38735306"
2017-03-03,"840748,665451183"
2017-03-04,"315562,399962315"
2017-03-05,"246913,935846339"
2017-03-06,"426742,685812335"
2017-03-07,"486858,122115234"
2017-03-08,"506643,732292019"
2017-03-09,"368307,298780692"
2017-03-10,"540742,842998181"
2017-03-11,"602635,53785372"
2017-03-12,"470262,726074828"
2017-03-13,"1164770,43633933"
2017-03-14,"533348,629065662"
2017-03-15,"560646,588045498"
2017-03-16,"1091455,21112225"
2017-03-17,"1054968,72741508"
2017-03-18,"751657,466411052"
2017-03-19,"420855,421230987"
2017-03-20,"605848,96613426"
2017-03-21,"498097,009419318"
2017-03-22,"450035,224221301"
2017-03-23,"382880,002214211"
2017-03-24,"599502,520011741"
2017-03-25,"596505,197369534"
2017-03-26,"331887,204574041"
2017-03-27,"363851,374440309"
2017-03-28,"441428,472688064"
2017-03-29,"513640,262862437"
2017-03-30,"306382,209589862"
2017-03-31,"476563,580664114"
2017-04-01,"334372,724626329"
2017-04-02,"501636,236060558"
2017-04-03,"1165502,48112097"
2017-04-04,"528642,424603788"
2017-04-05,"499152,052445577"
2017-04-06,"807031,751252354"
2017-04-07,"465503,086369401"
2017-04-08,"325145,850416938"
2017-04-09,"247379,284897196"
2017-04-10,"382667,975460859"
2017-04-11,"318304,507532706"
2017-04-12,"272230,89832707"
2017-04-13,"386506,729309099"
2017-04-14,"298581,692703903"
2017-04-15,"415912,557943297"
2017-04-16,"121681,931471825"
2017-04-17,"270246,124077006"
2017-04-18,"460459,52832685"
2017-04-19,"408283,661737966"
2017-04-20,"369303,680399739"
2017-04-21,"263747,833839851"
2017-04-22,"209000,158448418"
2017-04-23,"159930,353164117"
2017-04-24,"258870,832021311"
2017-04-25,"168340,424220026"
2017-04-26,"329471,801725533"
2017-04-27,"406597,009376408"
