Date,transactions/contract_calls_internal_count
2017-02-14,11857.0
2017-02-15,15209.0
2017-02-16,10499.0
2017-02-17,9930.0
2017-02-18,9361.0
2017-02-19,5623.0
2017-02-20,8096.0
2017-02-21,8585.0
2017-02-22,12156.0
2017-02-23,8059.0
2017-02-24,6926.0
2017-02-25,17512.0
2017-02-26,5535.0
2017-02-27,12852.0
2017-02-28,10397.0
2017-03-01,8705.0
2017-03-02,7052.0
2017-03-03,8971.0
2017-03-04,5511.0
2017-03-05,5391.0
2017-03-06,5505.0
2017-03-07,4509.0
2017-03-08,5796.0
2017-03-09,9329.0
2017-03-10,9338.0
2017-03-11,8918.0
2017-03-12,6846.0
2017-03-13,9715.0
2017-03-14,11060.0
2017-03-15,13806.0
2017-03-16,13509.0
2017-03-17,17670.0
2017-03-18,9094.0
2017-03-19,7350.0
2017-03-20,10563.0
2017-03-21,8800.0
2017-03-22,12962.0
2017-03-23,10150.0
2017-03-24,14000.0
2017-03-25,10559.0
2017-03-26,12997.0
2017-03-27,21422.0
2017-03-28,17395.0
2017-03-29,16070.0
2017-03-30,12133.0
2017-03-31,16757.0
2017-04-01,10011.0
2017-04-02,16572.0
2017-04-03,21305.0
2017-04-04,13406.0
2017-04-05,14183.0
2017-04-06,13537.0
2017-04-07,12774.0
2017-04-08,9334.0
2017-04-09,15666.0
2017-04-10,15188.0
2017-04-11,12111.0
2017-04-12,10229.0
2017-04-13,12145.0
2017-04-14,15410.0
2017-04-15,14345.0
2017-04-16,13112.0
2017-04-17,17629.0
2017-04-18,24671.0
2017-04-19,27141.0
2017-04-20,19171.0
2017-04-21,16618.0
2017-04-22,18143.0
2017-04-23,24857.0
2017-04-24,19654.0
2017-04-25,20514.0
2017-04-26,22898.0
2017-04-27,30877.0
2017-04-28,22351.0
2017-04-29,19241.0
2017-04-30,33659.0
2017-05-01,35379.0
2017-05-02,32544.0
2017-05-03,24012.0
2017-05-04,23672.0
2017-05-05,23167.0
2017-05-06,23622.0
2017-05-07,21591.0
2017-05-08,30280.0
2017-05-09,29064.0
2017-05-10,37066.0
2017-05-11,35043.0
2017-05-12,36766.0
2017-05-13,38436.0
2017-05-14,39004.0
2017-05-15,47597.0
2017-05-16,44816.0
2017-05-17,64708.0
2017-05-18,74028.0
2017-05-19,65411.0
2017-05-20,60929.0
2017-05-21,65535.0
2017-05-22,59687.0
2017-05-23,74557.0
2017-05-24,85279.0
2017-05-25,74763.0
2017-05-26,68326.0
2017-05-27,60414.0
2017-05-28,67811.0
2017-05-29,77926.0
2017-05-30,116638.0
2017-05-31,79902.0
2017-06-01,88406.0
2017-06-02,169231.0
2017-06-03,91593.0
2017-06-04,87410.0
2017-06-05,90994.0
2017-06-06,90644.0
2017-06-07,105674.0
2017-06-08,86925.0
2017-06-09,89136.0
2017-06-10,80978.0
2017-06-11,80897.0
2017-06-12,134105.0
2017-06-13,114269.0
2017-06-14,98078.0
2017-06-15,92834.0
2017-06-16,97403.0
2017-06-17,101114.0
2017-06-18,99178.0
2017-06-19,113855.0
2017-06-20,81129.0
2017-06-21,99323.0
2017-06-22,100851.0
2017-06-23,120533.0
2017-06-24,91432.0
2017-06-25,89683.0
2017-06-26,97686.0
2017-06-27,118092.0
2017-06-28,132468.0
2017-06-29,126116.0
2017-06-30,116826.0
2017-07-01,85538.0
2017-07-02,105038.0
2017-07-03,112784.0
2017-07-04,110482.0
2017-07-05,112756.0
2017-07-06,114982.0
2017-07-07,125247.0
2017-07-08,99197.0
2017-07-09,82713.0
2017-07-10,94332.0
2017-07-11,142453.0
2017-07-12,121883.0
2017-07-13,119126.0
2017-07-14,108040.0
2017-07-15,98013.0
2017-07-16,117370.0
2017-07-17,126134.0
2017-07-18,104013.0
2017-07-19,107414.0
2017-07-20,116458.0
2017-07-21,97845.0
2017-07-22,82581.0
2017-07-23,97826.0
2017-07-24,108307.0
2017-07-25,90654.0
2017-07-26,77737.0
2017-07-27,68019.0
2017-07-28,98376.0
2017-07-29,62899.0
2017-07-30,69704.0
2017-07-31,81569.0
2017-08-01,109650.0
2017-08-02,115118.0
2017-08-03,130773.0
2017-08-04,116099.0
2017-08-05,126764.0
2017-08-06,119671.0
2017-08-07,136500.0
2017-08-08,133454.0
2017-08-09,196385.0
2017-08-10,149479.0
2017-08-11,158792.0
2017-08-12,163674.0
2017-08-13,189603.0
2017-08-14,191742.0
2017-08-15,386037.0
2017-08-16,290543.0
2017-08-17,209755.0
2017-08-18,208889.0
2017-08-19,225151.0
2017-08-20,189620.0
2017-08-21,186197.0
2017-08-22,151697.0
2017-08-23,160796.0
2017-08-24,151479.0
2017-08-25,135579.0
2017-08-26,141935.0
2017-08-27,132067.0
2017-08-28,173070.0
2017-08-29,190678.0
2017-08-30,186510.0
2017-08-31,178646.0
2017-09-01,198717.0
2017-09-02,171907.0
2017-09-03,158319.0
2017-09-04,205927.0
2017-09-05,185661.0
2017-09-06,181720.0
2017-09-07,202513.0
2017-09-08,225232.0
2017-09-09,179432.0
2017-09-10,155446.0
2017-09-11,164769.0
2017-09-12,188009.0
2017-09-13,182806.0
2017-09-14,213184.0
2017-09-15,264201.0
2017-09-16,205876.0
2017-09-17,215567.0
2017-09-18,241831.0
2017-09-19,235372.0
2017-09-20,210648.0
2017-09-21,241667.0
2017-09-22,225588.0
2017-09-23,180003.0
2017-09-24,118674.0
2017-09-25,158048.0
2017-09-26,152560.0
2017-09-27,156505.0
2017-09-28,153783.0
2017-09-29,142739.0
2017-09-30,144986.0
2017-10-01,152708.0
2017-10-02,152301.0
2017-10-03,151180.0
2017-10-04,149379.0
2017-10-05,126666.0
2017-10-06,150014.0
2017-10-07,157007.0
2017-10-08,160921.0
2017-10-09,144833.0
2017-10-10,139280.0
2017-10-11,126151.0
2017-10-12,154488.0
2017-10-13,197050.0
2017-10-14,215854.0
2017-10-15,153504.0
2017-10-16,300195.0
2017-10-17,207356.0
2017-10-18,290858.0
2017-10-19,317739.0
2017-10-20,195011.0
2017-10-21,141540.0
2017-10-22,165912.0
2017-10-23,282175.0
2017-10-24,337910.0
2017-10-25,275532.0
2017-10-26,253771.0
2017-10-27,264240.0
2017-10-28,302089.0
2017-10-29,291582.0
2017-10-30,303049.0
2017-10-31,351813.0
2017-11-01,272804.0
2017-11-02,277386.0
2017-11-03,290568.0
2017-11-04,257005.0
2017-11-05,169587.0
2017-11-06,176109.0
2017-11-07,176938.0
