Date,indicators/nvt
2016-02-09,49.283703888712616
2016-02-10,39.87824071634495
2016-02-11,42.996527121106034
2016-02-12,36.76191704614673
2016-02-13,59.843690453383566
2016-02-14,84.10892436891965
2016-02-15,105.60944149463384
2016-02-16,59.557901038659345
2016-02-17,102.68925884505717
2016-02-18,68.7417995743972
2016-02-19,156.83794301387636
2016-02-20,65.02259943697447
2016-02-21,162.51543486020762
2016-02-22,96.40767839337146
2016-02-23,50.04072945804076
2016-02-24,37.04724427564563
2016-02-25,84.12993270502898
2016-02-26,19.35891461802817
2016-02-27,35.754077405303455
2016-02-28,99.71194589246176
2016-02-29,109.25294824566785
2016-03-01,59.64717329893616
2016-03-02,21.859974813955212
2016-03-03,37.08020731888982
2016-03-04,51.50917441143167
2016-03-05,27.190410950637688
