Date,distribution/balance_exchanges
2018-04-28,6626434.054715132
2018-04-29,6574725.121564725
2018-04-30,6472414.966616935
2018-05-01,6529806.901504069
2018-05-02,6528903.751832973
2018-05-03,6533592.291978059
2018-05-04,6672344.625557997
2018-05-05,6731657.844031634
2018-05-06,6687796.848210136
2018-05-07,6842362.023410954
2018-05-08,6825801.3470745385
2018-05-09,6778740.291522919
2018-05-10,6704817.121962092
2018-05-11,6703701.175323914
2018-05-12,6741201.823229219
2018-05-13,6652965.752810938
2018-05-14,6608637.370363767
2018-05-15,6616666.270015708
2018-05-16,6573298.861245206
2018-05-17,6564286.94210574
2018-05-18,6607598.968711927
2018-05-19,6622224.985030211
2018-05-20,6605619.010327735
2018-05-21,6630820.577111891
2018-05-22,6636317.453275609
2018-05-23,6728423.599558363
2018-05-24,6717109.8169035595
2018-05-25,6647422.362674131
2018-05-26,6574116.426894251
2018-05-27,6977502.317859314
2018-05-28,6978039.205691344
2018-05-29,7035365.149564421
2018-05-30,7008249.253956804
2018-05-31,6951462.871646586
2018-06-01,7224659.495500695
2018-06-02,7274150.642212363
2018-06-03,7297596.116573067
2018-06-04,7331898.103774994
2018-06-05,7350528.29910425
2018-06-06,7377215.451004286
2018-06-07,7436697.345572546
2018-06-08,7412230.11637801
2018-06-09,7410139.441928983
2018-06-10,7546648.224946135
2018-06-11,7539743.384052373
2018-06-12,7671852.546773727
2018-06-13,7769589.403249696
2018-06-14,7714643.232292065
2018-06-15,7683368.431236123
2018-06-16,7634513.049460292
2018-06-17,7597244.367065198
2018-06-18,7648669.391532692
2018-06-19,7673565.136838213
2018-06-20,7616309.225133397
2018-06-21,7690053.569169078
2018-06-22,7751256.226882025
2018-06-23,7713581.310042907
2018-06-24,7847111.815486049
2018-06-25,7986282.303684848
2018-06-26,8016445.558757823
2018-06-27,8015469.497213442
2018-06-28,8040500.845167192
2018-06-29,8086202.5662383195
2018-06-30,8092454.495322298
2018-07-01,8085668.97770635
2018-07-02,8076679.327481138
2018-07-03,8063186.307621808
2018-07-04,8047605.875940632
2018-07-05,7998602.07654059
2018-07-06,7978675.824777765
2018-07-07,8034506.742972849
2018-07-08,8097187.254980804
2018-07-09,8105120.114883437
2018-07-10,8237980.557150388
2018-07-11,8217749.670981099
