Date,supply/active_1w_1m
2016-05-03,4241337.91351538
2016-05-04,4127474.09352309
2016-05-05,3989534.04327833
2016-05-06,3814141.17581634
2016-05-07,3859877.30198073
2016-05-08,3816668.66931515
2016-05-09,3618251.51454379
2016-05-10,3528941.35227303
2016-05-11,3646114.2402176
2016-05-12,3525107.6390346
2016-05-13,3345415.80613309
2016-05-14,3098616.26365498
2016-05-15,3144047.5200841
2016-05-16,3419168.53399643
2016-05-17,14253207.7132773
2016-05-18,14881022.9980437
2016-05-19,15247459.3382822
2016-05-20,15425421.1367363
2016-05-21,15552094.0288218
2016-05-22,15812846.6654023
2016-05-23,16217084.0316378
2016-05-24,16394866.9610224
2016-05-25,16960244.1298399
2016-05-26,17162892.2276959
2016-05-27,17247699.3921145
2016-05-28,17297905.6160132
2016-05-29,17298655.0736721
2016-05-30,18072274.5166001
2016-05-31,18212941.4128444
2016-06-01,18349133.0602326
2016-06-02,18380058.6106325
2016-06-03,18546319.0324147
2016-06-04,18845323.8000308
2016-06-05,18852992.835087
2016-06-06,18907288.9733428
2016-06-07,19201991.2847191
2016-06-08,18206662.0916184
2016-06-09,18133591.3923891
2016-06-10,5980557.46236543
2016-06-11,5879164.46144136
2016-06-12,6003359.00018469
2016-06-13,5742807.83160604
2016-06-14,5882729.55827615
2016-06-15,5843490.96042989
2016-06-16,5707002.86106065
2016-06-17,6084688.02929079
2016-06-18,5876705.8760691
2016-06-19,6602639.02093199
2016-06-20,6583509.20363172
2016-06-21,6439278.13551469
2016-06-22,6073627.78308389
2016-06-23,6115354.96005131
2016-06-24,9927733.74201104
2016-06-25,10371108.6171667
2016-06-26,10462380.3093471
2016-06-27,10919456.2814483
2016-06-28,18653333.0563955
2016-06-29,19115383.6282764
2016-06-30,19263101.6834496
2016-07-01,20528734.9305105
2016-07-02,20630481.9619863
2016-07-03,20542523.4184679
2016-07-04,20443910.3288383
2016-07-05,20572543.8859543
2016-07-06,20825536.9822386
2016-07-07,21103750.5184967
2016-07-08,20891468.5594799
2016-07-09,20613550.4972256
2016-07-10,20858961.447167
2016-07-11,21207376.0172197
2016-07-12,20904824.9429526
2016-07-13,20074410.5260841
2016-07-14,20480529.0502964
2016-07-15,20011852.5250387
2016-07-16,20014336.3208956
2016-07-17,16296537.5679156
2016-07-18,15968943.0868681
2016-07-19,14364665.3639822
2016-07-20,5882547.79711992
2016-07-21,5417445.72430186
2016-07-22,5512638.02940908
2016-07-23,5243244.21980706
2016-07-24,4293231.88440756
2016-07-25,4674656.79763248
2016-07-26,5755835.25028156
2016-07-27,16542073.2896168
2016-07-28,16749158.6318997
2016-07-29,17172971.8927974
2016-07-30,17478171.9162052
2016-07-31,18419270.3768212
2016-08-01,19580612.0325581
2016-08-02,20272768.6942438
2016-08-03,23617179.7255434
2016-08-04,24490834.9708414
2016-08-05,26174740.7334083
2016-08-06,27911088.6763875
2016-08-07,28609445.7679369
2016-08-08,29158778.4133722
2016-08-09,30689645.9903541
2016-08-10,31236235.5511352
2016-08-11,31381402.3425275
2016-08-12,33285533.4815363
2016-08-13,33720436.6129898
2016-08-14,34057990.6249266
2016-08-15,34554699.1450761
2016-08-16,35793257.9139569
2016-08-17,37388636.4277055
2016-08-18,38189317.6982661
2016-08-19,27465456.0240003
2016-08-20,26824218.7191309
2016-08-21,26830435.733929
2016-08-22,27368838.279207
2016-08-23,27205222.4724543
2016-08-24,26712546.8174944
2016-08-25,25762355.1415027
2016-08-26,22896110.5948594
2016-08-27,21418220.8847674
2016-08-28,20531765.2764716
2016-08-29,17640609.4519031
2016-08-30,17179939.0097859
2016-08-31,15535867.6260837
2016-09-01,14938864.2201726
2016-09-02,14269804.7165843
2016-09-03,13500852.91081
2016-09-04,11859914.469062
2016-09-05,11584054.9186832
2016-09-06,10191807.019933
2016-09-07,9988590.60124141
2016-09-08,9643284.2067835
2016-09-09,8127163.71846102
2016-09-10,7411966.73540758
2016-09-11,7195697.57752881
2016-09-12,7590471.45906367
2016-09-13,7485490.57589705
2016-09-14,7241498.12596283
2016-09-15,6424640.68340653
2016-09-16,6311999.0202937
2016-09-17,6246129.23992307
2016-09-18,6080147.96842139
2016-09-19,6011245.67138297
2016-09-20,5472274.83933933
2016-09-21,5293951.10418804
