Date,indicators/velocity
2016-01-25,0.027852718109034703
2016-01-26,0.018807365635895957
2016-01-27,0.015322844696866162
2016-01-28,0.01199005632006053
2016-01-29,0.01122622413971941
2016-01-30,0.012864223715183797
2016-01-31,0.014228326007263445
2016-02-01,0.007791693718052154
2016-02-02,0.008040262224967698
2016-02-03,0.008051710067332159
2016-02-04,0.004280668366597644
2016-02-05,0.007477000459718104
2016-02-06,0.003034097942639485
2016-02-07,0.011606544358156964
2016-02-08,0.019087921367304198
2016-02-09,0.020290682742881847
2016-02-10,0.025076331905236948
2016-02-11,0.02325769235229983
2016-02-12,0.027202063449104513
2016-02-13,0.016710199394854665
2016-02-14,0.011889344769334906
2016-02-15,0.009468850377840616
2016-02-16,0.016790383518567834
2016-02-17,0.009738116831759897
2016-02-18,0.014547189718502055
