Date,supply/active_24h
2017-04-09,457181.59601923
2017-04-10,643500.587297972
2017-04-11,574669.284780791
2017-04-12,397345.816180737
2017-04-13,380745.49274081
2017-04-14,479251.392120146
2017-04-15,310506.422838865
2017-04-16,184981.621537654
2017-04-17,448637.107668796
2017-04-18,580660.536286724
2017-04-19,629689.52886996
2017-04-20,429916.968490065
2017-04-21,363491.636427273
2017-04-22,568831.204238333
2017-04-23,348353.187939721
2017-04-24,585952.106856534
2017-04-25,363041.300215252
2017-04-26,1271819.71230249
2017-04-27,497514.501388039
2017-04-28,932026.316018172
2017-04-29,1128137.49698435
2017-04-30,434340.827578355
2017-05-01,2401688.32506998
2017-05-02,978790.410998675
2017-05-03,573721.348888551
2017-05-04,1215271.20155052
2017-05-05,1661076.4325131
2017-05-06,751997.38756873
2017-05-07,984672.566165933
2017-05-08,714612.498800006
2017-05-09,869658.16015286
2017-05-10,647991.778602717
2017-05-11,667042.264926961
2017-05-12,720960.335304717
2017-05-13,401237.681958684
2017-05-14,1011481.12390037
2017-05-15,908508.518930175
2017-05-16,777291.508801023
2017-05-17,1323611.5780782
2017-05-18,496646.975999814
2017-05-19,990475.491416176
2017-05-20,748578.730548718
2017-05-21,1167960.26153254
2017-05-22,1157086.85588461
2017-05-23,747367.221266765
2017-05-24,898496.878557425
2017-05-25,848558.154831992
2017-05-26,1527689.63130653
2017-05-27,1008051.69492996
2017-05-28,715377.361700676
2017-05-29,507673.55125092
2017-05-30,1173682.72239189
2017-05-31,1597748.16965786
2017-06-01,1169591.41450561
2017-06-02,1005964.56518582
2017-06-03,713719.674414296
2017-06-04,544799.331592011
2017-06-05,910808.804755855
2017-06-06,744500.88123753
2017-06-07,1066442.00424109
2017-06-08,673157.779230713
2017-06-09,646514.232292879
2017-06-10,763140.936452169
2017-06-11,873074.040093807
2017-06-12,1762241.98032031
2017-06-13,1138664.76168269
2017-06-14,899879.748111166
2017-06-15,738472.326305502
2017-06-16,627221.040233364
2017-06-17,459072.392929152
2017-06-18,676770.04236257
2017-06-19,579409.248622875
2017-06-20,1413684.50976174
2017-06-21,1209860.76743417
2017-06-22,1495907.4618605
2017-06-23,647633.007416102
2017-06-24,1000770.46217992
2017-06-25,798221.288737151
2017-06-26,929756.606217791
2017-06-27,929639.776960046
2017-06-28,471330.982024071
2017-06-29,1932070.94474866
2017-06-30,810183.441292227
2017-07-01,1270899.51652167
2017-07-02,767564.477512663
2017-07-03,875544.472969986
2017-07-04,417088.45078574
2017-07-05,534984.132084465
2017-07-06,565376.612027791
2017-07-07,493886.090558084
2017-07-08,520352.095383643
2017-07-09,410597.001729796
2017-07-10,545367.600839034
2017-07-11,842250.496392376
2017-07-12,825776.603185507
2017-07-13,1146142.74879019
2017-07-14,692565.206865142
2017-07-15,593389.682192015
2017-07-16,1014152.45342155
2017-07-17,726157.529564465
2017-07-18,736765.93979647
2017-07-19,1719716.95784209
2017-07-20,763655.468188478
2017-07-21,405682.764374011
2017-07-22,516542.662428137
2017-07-23,505001.120167585
2017-07-24,730758.202861001
2017-07-25,944741.614667451
2017-07-26,895122.902784857
2017-07-27,505131.524794117
2017-07-28,944950.675693806
2017-07-29,927963.687635455
2017-07-30,388848.662225892
2017-07-31,490189.641261352
2017-08-01,598246.714507406
2017-08-02,732320.837792023
2017-08-03,610612.640123485
2017-08-04,468627.556962783
2017-08-05,508983.714433948
2017-08-06,625794.93193585
2017-08-07,539470.895647015
2017-08-08,622770.231510953
2017-08-09,735933.112048661
2017-08-10,807613.82007875
2017-08-11,811507.797757303
2017-08-12,509321.690764785
2017-08-13,559609.766770365
2017-08-14,710337.642370625
2017-08-15,772279.980060237
2017-08-16,1474882.57427896
2017-08-17,1029847.5817309
2017-08-18,842327.996351495
2017-08-19,680831.9999802
2017-08-20,885953.74062629
2017-08-21,2010743.26498754
2017-08-22,832284.266331406
2017-08-23,649364.507821434
