Date,addresses/non_zero_count
2016-10-04,362052.0
2016-10-05,363591.0
2016-10-06,364939.0
2016-10-07,367053.0
2016-10-08,368958.0
2016-10-09,370657.0
2016-10-10,388078.0
2016-10-11,389230.0
2016-10-12,390358.0
2016-10-13,391110.0
2016-10-14,392108.0
2016-10-15,393164.0
2016-10-16,394463.0
2016-10-17,395678.0
2016-10-18,396990.0
2016-10-19,398181.0
2016-10-20,399550.0
2016-10-21,401248.0
2016-10-22,402470.0
2016-10-23,403548.0
2016-10-24,404770.0
2016-10-25,406557.0
2016-10-26,407860.0
2016-10-27,409151.0
2016-10-28,410658.0
2016-10-29,411948.0
2016-10-30,413132.0
2016-10-31,414478.0
2016-11-01,413607.0
2016-11-02,418131.0
2016-11-03,418155.0
2016-11-04,419095.0
2016-11-05,420252.0
2016-11-06,421267.0
2016-11-07,422147.0
2016-11-08,423702.0
2016-11-09,425613.0
2016-11-10,426844.0
2016-11-11,428512.0
2016-11-12,429904.0
2016-11-13,431682.0
2016-11-14,432854.0
2016-11-15,434383.0
2016-11-16,435653.0
2016-11-17,436726.0
2016-11-18,438149.0
2016-11-19,439349.0
2016-11-20,440511.0
2016-11-21,441735.0
2016-11-22,429954.0
2016-11-23,408320.0
2016-11-24,409846.0
2016-11-25,406469.0
2016-11-26,407242.0
2016-11-27,408359.0
2016-11-28,409237.0
2016-11-29,410135.0
2016-11-30,411177.0
2016-12-01,411838.0
2016-12-02,413376.0
2016-12-03,415107.0
2016-12-04,417172.0
2016-12-05,419600.0
2016-12-06,420794.0
2016-12-07,421776.0
2016-12-08,422625.0
2016-12-09,422307.0
2016-12-10,423708.0
2016-12-11,424414.0
2016-12-12,425012.0
2016-12-13,425800.0
2016-12-14,426635.0
2016-12-15,427509.0
2016-12-16,428351.0
2016-12-17,429141.0
2016-12-18,429754.0
2016-12-19,430614.0
2016-12-20,431961.0
2016-12-21,432988.0
2016-12-22,440281.0
2016-12-23,443381.0
2016-12-24,444166.0
2016-12-25,444863.0
2016-12-26,445619.0
2016-12-27,446265.0
2016-12-28,447024.0
2016-12-29,448277.0
2016-12-30,449496.0
2016-12-31,450085.0
2017-01-01,450757.0
2017-01-02,451608.0
2017-01-03,452895.0
2017-01-04,454636.0
2017-01-05,456279.0
2017-01-06,457343.0
2017-01-07,458508.0
2017-01-08,459563.0
2017-01-09,460763.0
2017-01-10,461883.0
2017-01-11,463093.0
