Date,transactions/transfers_volume_to_exchanges_mean
2016-02-08,80.76825446592711
2016-02-09,131.8658205405647
2016-02-10,96.41669676036778
2016-02-11,87.80179407986527
2016-02-12,144.50223464651182
2016-02-13,76.7078421144322
2016-02-14,23.870525265492386
2016-02-15,43.31690655915182
2016-02-16,42.90401771240423
2016-02-17,45.73181922063283
2016-02-18,63.4849500108685
2016-02-19,16.862421118365802
2016-02-20,78.2042525362522
2016-02-21,20.042788853909904
2016-02-22,37.826471365631534
2016-02-23,33.320450977976435
2016-02-24,38.57600841001658
2016-02-25,50.79055529787589
2016-02-26,333.0963349361515
2016-02-27,45.689241627982234
2016-02-28,22.111086565756583
2016-02-29,23.780336529871413
2016-03-01,43.9115551915
2016-03-02,403.6948475221524
2016-03-03,89.49236100007016
2016-03-04,64.41575156740089
