Date,indicators/nvts
2017-03-19,33.576343953195845
2017-03-20,35.764124793162495
2017-03-21,33.53078977783046
2017-03-22,30.758404874916014
2017-03-23,29.891193371308603
2017-03-24,31.244643564224035
2017-03-25,32.20012406049167
2017-03-26,31.37098035927435
2017-03-27,30.05408989885501
2017-03-28,28.575987056506154
2017-03-29,28.74811398519356
2017-03-30,27.440974581741177
2017-03-31,24.863359343538995
2017-04-01,24.27823410540501
2017-04-02,23.16809066027636
2017-04-03,20.435215038526483
2017-04-04,19.15972715761184
2017-04-05,19.710671006346832
2017-04-06,18.40417116675174
2017-04-07,17.69207636766822
2017-04-08,18.04655275174162
2017-04-09,17.575383803596356
2017-04-10,17.14859787182367
2017-04-11,17.083208191657537
2017-04-12,16.927575462746162
2017-04-13,18.373110285955793
2017-04-14,17.858919892577706
2017-04-15,17.580825537567947
2017-04-16,17.794231083187846
2017-04-17,17.627465605862987
2017-04-18,17.630754228972016
2017-04-19,17.624467671445966
2017-04-20,16.826923606767966
2017-04-21,16.68135606462693
2017-04-22,16.369387518697916
2017-04-23,16.12202772859434
2017-04-24,16.25518913259261
2017-04-25,16.144610144417733
2017-04-26,16.372052493363675
2017-04-27,17.604234420285035
2017-04-28,19.64319492281455
2017-04-29,20.142986311711283
2017-04-30,19.846978018582217
2017-05-01,20.486438786400942
2017-05-02,19.029194113649268
2017-05-03,18.178077423024174
2017-05-04,19.110903315618256
2017-05-05,19.735250017242226
2017-05-06,18.745584620895432
2017-05-07,18.33570122194689
2017-05-08,16.7066146258889
2017-05-09,15.274694573847105
2017-05-10,15.32040061352297
2017-05-11,14.639961901010736
2017-05-12,14.142495445757595
2017-05-13,13.520683385346167
2017-05-14,13.574118730476432
2017-05-15,13.582273124639132
2017-05-16,12.97329929378459
2017-05-17,12.320545002635432
2017-05-18,12.837764001942368
2017-05-19,15.24932742362407
2017-05-20,16.706295611301783
2017-05-21,17.343417219147533
2017-05-22,19.54631255236136
2017-05-23,19.408902088522307
2017-05-24,21.05383099736294
2017-05-25,21.500297081244856
2017-05-26,18.88632742182339
2017-05-27,15.728358875924032
2017-05-28,17.296132211042583
2017-05-29,17.701170518944146
2017-05-30,19.76926254749856
2017-05-31,20.480672295685434
2017-06-01,19.634300687284732
2017-06-02,18.762145030210664
2017-06-03,18.32510758561231
2017-06-04,18.981886904867025
