Date,supply/profit_sum
2016-09-29,70437548.569803
2016-09-30,70130532.402159
2016-10-01,70948773.15463
2016-10-02,70784902.184712
2016-10-03,73793373.932691
2016-10-04,73220853.764222
2016-10-05,67493644.723176
2016-10-06,66563594.184738
2016-10-07,65179312.867648
2016-10-08,47586200.940053
2016-10-09,51077556.993959
2016-10-10,41064569.67663
2016-10-11,40494718.30965
2016-10-12,42222303.990359
2016-10-13,48481069.147412
2016-10-14,44344782.994655
2016-10-15,47427665.877106
2016-10-16,47109201.935137
2016-10-17,50679413.569552
2016-10-18,62883160.850205
2016-10-19,44151018.407908
2016-10-20,49535068.1363
2016-10-21,46844476.19344
2016-10-22,47890491.030369
2016-10-23,48104326.230949
2016-10-24,45634020.993631
2016-10-25,35548897.221214
2016-10-26,38053328.599846
2016-10-27,36072973.303089
2016-10-28,32323474.619275
2016-10-29,30315608.289275
2016-10-30,35939716.269958
2016-10-31,32459212.274345
2016-11-01,30760249.392963
2016-11-02,30767262.070986
2016-11-03,30971373.798188
2016-11-04,35623319.866947
2016-11-05,33181204.221339
2016-11-06,31782262.645695
2016-11-07,32450737.860581
2016-11-08,31860336.582981
2016-11-09,30863467.81212
2016-11-10,30263617.192429
2016-11-11,29493511.476092
2016-11-12,28567832.151091
2016-11-13,29537231.479536
2016-11-14,29205521.598413
2016-11-15,30603747.598801
2016-11-16,28935220.711642
2016-11-17,28937366.753957
2016-11-18,28404425.248398
2016-11-19,29014679.92141
2016-11-20,28278971.93583
2016-11-21,28548814.595049
2016-11-22,29844328.944967
2016-11-23,28892847.710446
2016-11-24,28011946.230068
2016-11-25,28326946.682562
2016-11-26,28524781.033027
2016-11-27,28578034.717659
2016-11-28,20560993.258322
2016-11-29,20537979.149737
2016-11-30,20634635.883542
2016-12-01,20488711.27844
2016-12-02,20250812.772112
2016-12-03,21288064.430545
2016-12-04,20118406.381543
2016-12-05,19526420.696345
2016-12-06,22085317.442361
2016-12-07,22881338.457497
2016-12-08,22499709.532557
2016-12-09,23519759.930923
2016-12-10,22299674.64806
2016-12-11,22955009.380572
2016-12-12,23651185.963369
2016-12-13,22902656.399675
2016-12-14,22899767.984185
2016-12-15,20452226.947812
2016-12-16,20583789.239469
2016-12-17,20222194.452177
2016-12-18,21708080.495493
2016-12-19,20257165.433375
2016-12-20,20126986.368514
2016-12-21,22912079.014427
2016-12-22,21406587.576739
2016-12-23,19878972.375566
2016-12-24,19895744.745973
2016-12-25,19867598.437584
2016-12-26,19975999.965175
2016-12-27,19853774.28565
2016-12-28,25594111.067979
2016-12-29,24954775.133032
2016-12-30,24892324.513888
2016-12-31,24096828.532392
2017-01-01,23759837.322196
2017-01-02,25783870.550493
2017-01-03,35657634.023049
2017-01-04,45508557.433807
2017-01-05,37539526.776516
2017-01-06,37367528.753432
2017-01-07,36854369.465974
2017-01-08,38593057.025102
2017-01-09,37565463.50765
2017-01-10,41501757.326371
2017-01-11,35000278.056047
2017-01-12,32922582.485196
2017-01-13,37556576.410165
2017-01-14,34132943.837189
2017-01-15,33315318.552551
2017-01-16,31897450.985606
2017-01-17,37395390.368393
2017-01-18,38281352.099846
2017-01-19,38831916.342788
2017-01-20,43343661.605622
2017-01-21,43865146.880888
2017-01-22,43287586.553638
2017-01-23,43416418.448849
2017-01-24,41069318.450272
2017-01-25,41529329.793709
2017-01-26,43312486.926593
2017-01-27,43160632.811763
2017-01-28,41000607.998072
2017-01-29,40702581.510449
2017-01-30,43623788.802192
2017-01-31,43858623.369339
2017-02-01,43657124.334782
2017-02-02,44111136.450478
2017-02-03,45407681.146845
2017-02-04,49666351.142449
2017-02-05,47880540.726214
2017-02-06,49099938.323189
2017-02-07,51217070.710036
2017-02-08,50668245.793423
2017-02-09,44499874.62127
2017-02-10,48730925.882205
2017-02-11,49658984.028757
2017-02-12,49748617.557371
2017-02-13,47953150.196581
2017-02-14,74207922.627859
2017-02-15,73150723.261746
2017-02-16,72652135.898288
2017-02-17,70620759.752413
2017-02-18,71368542.681006
