Date,supply/active_3m_6m
2017-05-07,14952756.022814
2017-05-08,14995549.3163603
2017-05-09,14986141.1872174
2017-05-10,14481181.7958785
2017-05-11,14500194.4347563
2017-05-12,14445095.5655555
2017-05-13,14485237.8303298
2017-05-14,13137840.5335859
2017-05-15,12882885.0498193
2017-05-16,12833885.6434732
2017-05-17,12620030.7090202
2017-05-18,12575166.9753776
2017-05-19,12667091.9727853
2017-05-20,12612136.9737477
2017-05-21,12497373.17243
2017-05-22,12507932.6776902
2017-05-23,12362120.2791686
2017-05-24,12395281.9436575
2017-05-25,12718772.3376535
2017-05-26,12513283.0138985
2017-05-27,12495793.8903094
2017-05-28,12701260.1778972
2017-05-29,12799162.8935566
2017-05-30,12764963.6387383
2017-05-31,12882134.6130484
2017-06-01,12794170.2713375
2017-06-02,12865124.0632631
2017-06-03,12724481.0189111
2017-06-04,12796249.621453
2017-06-05,12509041.381152
2017-06-06,12505940.7235221
2017-06-07,12576400.6148222
2017-06-08,12636108.5912171
2017-06-09,12637236.282593
2017-06-10,12631308.3122697
2017-06-11,12738561.7528172
2017-06-12,12650337.0699406
2017-06-13,12589966.8773441
2017-06-14,12160287.9790101
2017-06-15,12383650.8405437
2017-06-16,12429505.4684892
2017-06-17,12652373.330047
2017-06-18,12987602.900955
2017-06-19,13100842.205279
2017-06-20,13717349.4075815
2017-06-21,13445806.7893506
2017-06-22,13660407.3942431
2017-06-23,13627509.2960309
2017-06-24,14603546.0268932
2017-06-25,14700746.6613705
2017-06-26,14743619.1974944
2017-06-27,14756391.2311965
2017-06-28,14813421.7228956
2017-06-29,15153783.85631
2017-06-30,15856595.7064958
2017-07-01,15998051.4145693
2017-07-02,16045292.4556126
2017-07-03,15955920.9208132
2017-07-04,16124526.1967856
2017-07-05,12974192.6622351
2017-07-06,11507648.6116902
2017-07-07,11576333.479767
2017-07-08,11783755.3409976
2017-07-09,11757700.9623801
2017-07-10,11950293.7582861
2017-07-11,11976138.883657
2017-07-12,12067056.9920456
2017-07-13,12012290.1175118
2017-07-14,11878876.6771031
2017-07-15,11855386.2710237
2017-07-16,12142207.5735925
2017-07-17,12201055.3122678
2017-07-18,12304998.0209588
2017-07-19,12136236.496841
2017-07-20,12214220.3684704
2017-07-21,12197581.0551133
2017-07-22,12227182.2099553
2017-07-23,12484111.5709177
2017-07-24,12430156.3233546
2017-07-25,12468148.6545571
2017-07-26,12478863.3845959
2017-07-27,12582699.9649519
2017-07-28,12648377.7327783
2017-07-29,12715691.3943113
2017-07-30,14381103.7849134
2017-07-31,14381210.7662783
2017-08-01,14407028.3858305
