Date,indicators/cdd
2016-02-25,41036772.9086101
2016-02-26,343941720.525805
2016-02-27,42095925.3426231
2016-02-28,12594044.1503047
2016-02-29,21313104.6921715
2016-03-01,46907867.7506875
2016-03-02,258059264.884365
2016-03-03,107600131.454989
2016-03-04,74443890.6244899
2016-03-05,145089147.605269
2016-03-06,85759564.8905728
2016-03-07,106381055.07828
2016-03-08,262147483.072305
2016-03-09,33319971.6741481
2016-03-10,35801306.7192233
2016-03-11,57527753.7574554
2016-03-12,41947521.9239687
2016-03-13,75670420.8268146
2016-03-14,58383182.8083901
2016-03-15,70742939.2896609
2016-03-16,45972502.2849176
2016-03-17,58159348.2806698
2016-03-18,32094673.6603212
2016-03-19,21780798.7274373
2016-03-20,33842898.6897261
2016-03-21,31736491.890018
2016-03-22,19588899.6654298
2016-03-23,16635338.8261099
2016-03-24,45537543.0112492
2016-03-25,25362556.4743548
2016-03-26,18395050.3649574
2016-03-27,92984629.5049628
2016-03-28,14827883.774032
2016-03-29,57039420.8678988
2016-03-30,45900749.1792643
2016-03-31,36540564.7884711
2016-04-01,10913260.3962313
2016-04-02,16907046.4566485
2016-04-03,6432104.23771902
2016-04-04,15136348.4195865
2016-04-05,21699291.267331
2016-04-06,21199528.9422393
2016-04-07,18060087.854077
2016-04-08,26095559.1974989
2016-04-09,57020286.958282
2016-04-10,36997919.0769935
2016-04-11,10691371.3054528
2016-04-12,22250286.654963
2016-04-13,28142162.3642228
2016-04-14,77411441.5277653
2016-04-15,10894095.7963404
2016-04-16,12453697.0269551
2016-04-17,9359383.63240742
2016-04-18,6899833.94640173
2016-04-19,9323328.66452968
2016-04-20,16798252.8521287
2016-04-21,10778388.1831612
2016-04-22,17252213.9770155
2016-04-23,81669261.0639359
2016-04-24,7380128.95213571
2016-04-25,13704497.3510073
2016-04-26,18647885.4685552
2016-04-27,13026130.406181
2016-04-28,12774586.8699324
2016-04-29,17203652.1269586
2016-04-30,123208558.355943
2016-05-01,71800409.3050302
2016-05-02,41594487.1822124
2016-05-03,57065244.9538504
2016-05-04,24433228.2846124
2016-05-05,52142499.5997807
2016-05-06,72281308.1824005
2016-05-07,100102595.956142
2016-05-08,57924966.684706
2016-05-09,109102627.563082
2016-05-10,79962955.6938238
2016-05-11,219191200.606376
2016-05-12,160157372.587735
2016-05-13,494714401.953034
2016-05-14,476307775.968369
2016-05-15,98949072.1912847
2016-05-16,58740670.8344078
2016-05-17,21957992.2367986
2016-05-18,59126206.6667847
2016-05-19,185640745.948892
2016-05-20,48061630.8341981
2016-05-21,12157058.773214
2016-05-22,31219183.8820592
2016-05-23,48936804.3077325
2016-05-24,48312715.5343297
2016-05-25,72243298.0984409
2016-05-26,44068271.4324794
2016-05-27,88533570.8972572
2016-05-28,101867146.519175
2016-05-29,48105642.6792963
2016-05-30,19761552.8665317
2016-05-31,24125072.7714898
2016-06-01,17108003.0363752
2016-06-02,18564101.8495702
2016-06-03,8243610.13949413
2016-06-04,13344798.7170356
2016-06-05,12952824.556716
2016-06-06,7839824.44935893
2016-06-07,42239823.9655276
2016-06-08,89647674.5089492
2016-06-09,29555120.4188776
2016-06-10,28624403.2082797
2016-06-11,21175581.4392882
2016-06-12,35055767.1143046
2016-06-13,24489506.2465881
2016-06-14,26471867.8881382
2016-06-15,23179309.9173325
2016-06-16,98953075.3121916
2016-06-17,316669754.411384
2016-06-18,218015117.858927
2016-06-19,35313857.1070696
2016-06-20,62393270.7913818
2016-06-21,345027307.16476
2016-06-22,45570281.7273769
2016-06-23,71810246.4530715
2016-06-24,69539597.1005952
2016-06-25,34075945.1336575
2016-06-26,5321557.86635826
2016-06-27,21133782.6751057
2016-06-28,60402842.8980112
2016-06-29,52560398.344337
2016-06-30,43812558.6179326
2016-07-01,13029120.8251818
2016-07-02,6947856.55986811
2016-07-03,16432363.9293782
2016-07-04,104387227.000789
2016-07-05,201926297.397801
2016-07-06,8275410.7375883
2016-07-07,76384644.5814181
2016-07-08,23445740.0279207
2016-07-09,4280379.55782517
2016-07-10,22568401.4582996
2016-07-11,30005145.3324278
2016-07-12,24702656.1712123
2016-07-13,41265205.281461
2016-07-14,13105349.8050692
