Date,indicators/net_unrealized_profit_loss
2015-10-29,-0.883494877556327
2015-10-30,-1.19584210835635
2015-10-31,-1.52665818431905
2015-11-01,-1.14631333492782
2015-11-02,-1.28006779342582
2015-11-03,-1.25361760756246
2015-11-04,-1.57161844822402
2015-11-05,-1.55526844622597
2015-11-06,-1.43963755724959
2015-11-07,-1.4351091768183
2015-11-08,-1.19875690834895
2015-11-09,-1.25682927350384
2015-11-10,-1.41304137593797
2015-11-11,-1.87536543075421
2015-11-12,-1.49394274126612
2015-11-13,-1.47172729829065
2015-11-14,-1.51071717694661
2015-11-15,-1.46069899590447
2015-11-16,-1.40828274033885
2015-11-17,-1.20502283899513
2015-11-18,-1.25204389090971
2015-11-19,-1.32110313928063
2015-11-20,-1.38819858377387
2015-11-21,-1.27118692265947
2015-11-22,-1.29495285932983
2015-11-23,-1.32862592629198
2015-11-24,-1.45191053074579
2015-11-25,-1.55206324062709
2015-11-26,-1.47256694661172
2015-11-27,-1.48791548360694
2015-11-28,-1.39380159981706
2015-11-29,-1.49016996281613
2015-11-30,-1.48793256552438
2015-12-01,-1.48648054031792
2015-12-02,-1.64100747109035
2015-12-03,-1.67646778607183
2015-12-04,-1.58467554995558
2015-12-05,-1.5374484429051
2015-12-06,-1.60775894412601
2015-12-07,-1.69924752175985
2015-12-08,-1.62317729267574
2015-12-09,-1.73298529974482
2015-12-10,-1.56158752643317
2015-12-11,-1.29033771062579
2015-12-12,-1.2055722643789
2015-12-13,-1.25088426008532
2015-12-14,-1.17193563618317
2015-12-15,-1.12764441306809
2015-12-16,-1.1360292513134
2015-12-17,-1.23862876438951
2015-12-18,-1.3032951205896
2015-12-19,-1.34856219783448
2015-12-20,-1.35874564438152
2015-12-21,-1.36167664071011
2015-12-22,-1.43886479816573
2015-12-23,-1.49011686663689
2015-12-24,-1.45015318580708
2015-12-25,-1.42020476172157
2015-12-26,-1.45361648933227
2015-12-27,-1.4769940119735
2015-12-28,-1.49677542208369
2015-12-29,-1.40702620444674
2015-12-30,-1.30119632418894
2015-12-31,-1.2558612610956
2016-01-01,-1.23045854092931
2016-01-02,-1.24628912366995
2016-01-03,-1.15579563981138
2016-01-04,-1.2189239257923
2016-01-05,-1.20197755846721
2016-01-06,-1.19600655470825
2016-01-07,-1.21782734661913
2016-01-08,-1.11449662926109
2016-01-09,-1.11896922942204
2016-01-10,-1.08498489573429
2016-01-11,-0.962564126497343
2016-01-12,-0.787060567865622
2016-01-13,-0.857503537481332
2016-01-14,-0.747943971793158
2016-01-15,-0.741216828968173
2016-01-16,-0.725706232546306
2016-01-17,-0.574931452916132
2016-01-18,-0.464872740158252
2016-01-19,-0.534115223483759
2016-01-20,-0.354962293888214
2016-01-21,-0.340376468581645
2016-01-22,-0.378910387265193
2016-01-23,-0.0495891969304499
2016-01-24,0.0415594038280215
2016-01-25,0.172730520026401
2016-01-26,0.0794046049509003
2016-01-27,0.133417463878163
2016-01-28,0.176780686266051
2016-01-29,0.169240073309364
2016-01-30,0.136309315088493
2016-01-31,0.080665458048059
2016-02-01,0.0399573726614768
2016-02-02,0.134351056527719
2016-02-03,0.162821815304179
2016-02-04,0.178115355773178
2016-02-05,0.161767720453019
2016-02-06,0.161402065663124
2016-02-07,0.293479597385242
2016-02-08,0.332147852605351
2016-02-09,0.481952387670544
2016-02-10,0.522526651984076
2016-02-11,0.654452710358443
2016-02-12,0.611134692490855
2016-02-13,0.593181126257045
2016-02-14,0.57984052133484
2016-02-15,0.578701798936725
2016-02-16,0.470427731565444
