Date,market/marketcap_realized_usd
2017-04-11,1495146596.30462
2017-04-12,1504841155.25209
2017-04-13,1512194800.32335
2017-04-14,1529101925.82652
2017-04-15,1534213797.02852
2017-04-16,1537874588.08766
2017-04-17,1540887991.95114
2017-04-18,1546673844.22117
2017-04-19,1558240089.36954
2017-04-20,1569222798.86101
2017-04-21,1575504748.65603
2017-04-22,1583886353.49997
2017-04-23,1593695564.35506
2017-04-24,1598662010.60822
2017-04-25,1606969565.56648
2017-04-26,1629558640.73196
2017-04-27,1647173583.66108
2017-04-28,1672172877.56895
2017-04-29,1704942968.53273
2017-04-30,1734132884.59519
2017-05-01,1807699564.11703
2017-05-02,1908051388.64594
2017-05-03,1937646606.79007
2017-05-04,1979524854.60747
2017-05-05,2054172232.66343
2017-05-06,2135250928.50255
2017-05-07,2196243215.54486
2017-05-08,2225918033.78207
2017-05-09,2247409154.65255
2017-05-10,2279732944.92079
2017-05-11,2298139646.08752
2017-05-12,2315535993.66369
2017-05-13,2330165352.93052
2017-05-14,2347834689.47308
2017-05-15,2373789340.58215
2017-05-16,2406548464.72373
2017-05-17,2433018757.59994
2017-05-18,2466308296.61974
2017-05-19,2519666746.29496
2017-05-20,2584133001.94934
2017-05-21,2656073230.23302
2017-05-22,2831792009.98222
2017-05-23,2949614617.51892
2017-05-24,3048581261.96069
2017-05-25,3206221968.28398
2017-05-26,3351525580.8602
2017-05-27,3420597205.12018
2017-05-28,3494216802.70379
2017-05-29,3545467601.44453
2017-05-30,3663453981.04876
2017-05-31,3874784794.10732
2017-06-01,4044900294.58062
2017-06-02,4129092090.67984
2017-06-03,4214224933.16318
2017-06-04,4277230963.82553
2017-06-05,4384930203.0223
2017-06-06,4514374824.09955
2017-06-07,4634167512.95556
2017-06-08,4758928461.26728
2017-06-09,4848963980.97011
2017-06-10,4965036877.76845
2017-06-11,5157619456.97798
2017-06-12,5452776903.33605
2017-06-13,5877655906.11745
2017-06-14,6140305595.31637
2017-06-15,6280742925.91593
2017-06-16,6381987383.11843
2017-06-17,6478249577.40855
2017-06-18,6571773968.18327
2017-06-19,6656205596.35979
2017-06-20,6896556133.70794
2017-06-21,7045577952.36816
2017-06-22,7168995777.04954
2017-06-23,7320214609.64859
2017-06-24,7378932942.28467
2017-06-25,7514366385.54516
2017-06-26,7510754603.1189
2017-06-27,7482198573.72837
2017-06-28,7503264585.92791
2017-06-29,7631519372.13865
2017-06-30,8035926987.55366
2017-07-01,8136692037.01871
2017-07-02,8174016035.14205
2017-07-03,8242872733.92364
2017-07-04,8273499620.3338
2017-07-05,8287571758.99329
2017-07-06,8322102166.10125
2017-07-07,8338007301.25906
2017-07-08,8348347846.90411
2017-07-09,8382230061.50027
2017-07-10,8376507688.44729
2017-07-11,8338885733.88661
2017-07-12,8332467099.75447
2017-07-13,8340363510.17905
2017-07-14,8336216890.33315
2017-07-15,8326413942.73151
2017-07-16,8263104014.72089
2017-07-17,8217734070.2788
2017-07-18,8227222821.67716
2017-07-19,8290617853.86534
2017-07-20,8375784234.85409
2017-07-21,8412922258.21902
2017-07-22,8441107389.98173
2017-07-23,8491167786.50451
2017-07-24,8521195711.07023
2017-07-25,8535459619.44479
2017-07-26,8506004235.54466
2017-07-27,8500191636.85213
2017-07-28,8506875561.88835
2017-07-29,8514544673.59651
2017-07-30,8505221816.89328
2017-07-31,8513109732.32633
2017-08-01,8556856002.69491
2017-08-02,8591618705.76915
2017-08-03,8631245615.85198
2017-08-04,8666435675.74459
2017-08-05,8684459401.83849
2017-08-06,8740126749.72992
2017-08-07,8822102403.08805
2017-08-08,8883129316.08812
2017-08-09,8981347072.4192
2017-08-10,9096525028.39415
2017-08-11,9203791948.44073
2017-08-12,9268346642.02783
2017-08-13,9304536697.18489
2017-08-14,9336753107.77719
2017-08-15,9380402442.76604
2017-08-16,9453931768.79719
2017-08-17,9531104514.77283
2017-08-18,9586918566.47021
2017-08-19,9614288036.96532
2017-08-20,9635686584.46167
2017-08-21,9700465187.89112
2017-08-22,9772883169.38368
2017-08-23,9822931693.61363
2017-08-24,9895400865.91496
2017-08-25,10006571831.9781
2017-08-26,10071678301.4283
2017-08-27,10189094595.3637
2017-08-28,10293225699.1384
2017-08-29,10429133330.9418
2017-08-30,10589077574.6056
2017-08-31,10760345552.055
2017-09-01,10870628619.4398
2017-09-02,10966187859.7032
2017-09-03,11043555300.6391
2017-09-04,11041638820.3112
2017-09-05,11020561580.4073
2017-09-06,11063971740.6808
2017-09-07,11113789151.1881
2017-09-08,11131640356.4692
2017-09-09,11127778438.0132
2017-09-10,11122423868.0826
2017-09-11,11121073865.0537
2017-09-12,11130473357.4303
2017-09-13,11146506165.6175
2017-09-14,11165251942.4706
2017-09-15,11127795053.6172
2017-09-16,11131929261.218
2017-09-17,11127514414.0024
2017-09-18,11136968987.4018
2017-09-19,11161246778.3
2017-09-20,11172443044.1272
2017-09-21,11184877099.8147
2017-09-22,11195732602.9402
2017-09-23,11206898339.68
2017-09-24,11236114535.9352
2017-09-25,11257358040.7177
2017-09-26,11293956233.4456
2017-09-27,11355682116.0287
2017-09-28,11437542790.3425
2017-09-29,11458258403.0652
2017-09-30,11474292067.9891
2017-10-01,11527530304.0211
2017-10-02,11601715226.4749
2017-10-03,11695578212.6964
2017-10-04,11723996305.789
2017-10-05,11734509931.6585
2017-10-06,11749724529.9701
2017-10-07,11773694015.0929
2017-10-08,11794243856.9662
2017-10-09,11835013750.6849
2017-10-10,11870291464.1835
2017-10-11,11886890292.617
2017-10-12,11910369709.7075
2017-10-13,11946496491.5423
2017-10-14,11992989572.2444
2017-10-15,12032700437.3774
2017-10-16,12071082389.4808
2017-10-17,12128908409.0662
2017-10-18,12161709455.5426
2017-10-19,12175984185.3537
2017-10-20,12194699120.9525
2017-10-21,12209248561.1174
2017-10-22,12219626173.6709
2017-10-23,12233153865.1303
2017-10-24,12263501129.1924
2017-10-25,12287420324.0087
2017-10-26,12298021631.8454
2017-10-27,12311808257.1172
2017-10-28,12341562012.3805
2017-10-29,12368507272.905
2017-10-30,12397317398.6243
2017-10-31,12418983050.8568
2017-11-01,12440162258.7503
2017-11-02,12449077840.5631
2017-11-03,12456280610.9219
2017-11-04,12476287426.6434
2017-11-05,12490848369.6277
2017-11-06,12516103784.4801
2017-11-07,12541512154.4747
2017-11-08,12620048990.5568
2017-11-09,12699369538.4835
2017-11-10,12731982968.1528
2017-11-11,12741662436.0258
2017-11-12,12780277453.9093
2017-11-13,12841097608.3765
2017-11-14,12890780237.2982
2017-11-15,12946404568.6821
2017-11-16,12983519421.7254
2017-11-17,13018041754.8846
2017-11-18,13043424456.6997
2017-11-19,13091050615.1772
2017-11-20,13198963186.2113
2017-11-21,13311466718.4673
2017-11-22,13625601579.9517
2017-11-23,13723575283.6189
2017-11-24,13832403799.4985
2017-11-25,14006821355.6764
2017-11-26,14112342396.6123
2017-11-27,14254143722.3737
2017-11-28,14472375150.7076
2017-11-29,14619024801.9643
2017-11-30,14785227279.7701
2017-12-01,14836261260.732
2017-12-02,14900880983.7904
2017-12-03,14957927362.1768
2017-12-04,15046831034.6043
2017-12-05,15144749401.4766
2017-12-06,15241548449.0778
2017-12-07,15461253571.7145
2017-12-08,15590156238.509
2017-12-09,15692135166.8346
2017-12-10,15793302078.5444
2017-12-11,15891923877.267
2017-12-12,16153957561.0847
2017-12-13,16643099840.4729
2017-12-14,17140086569.5655
2017-12-15,17421923189.8772
2017-12-16,17670607061.1549
2017-12-17,17912416722.7605
2017-12-18,18174129231.2641
2017-12-19,18577860902.0274
2017-12-20,18916659755.2628
2017-12-21,19282768692.5941
2017-12-22,19481861334.6467
2017-12-23,19579065704.6825
2017-12-24,19701464419.5297
2017-12-25,19851695494.1592
2017-12-26,20016701329.3276
2017-12-27,20226226834.8573
2017-12-28,20306809556.3415
