Date,distribution/balance_1pct_holders
2016-07-18,0.834459
2016-07-19,0.858042
2016-07-20,0.856525
2016-07-21,0.853319
2016-07-22,0.852909
2016-07-23,0.852945
2016-07-24,0.855945
2016-07-25,0.859156
2016-07-26,0.865728
2016-07-27,0.866236
2016-07-28,0.868272
2016-07-29,0.868353
2016-07-30,0.86885
2016-07-31,0.868941
2016-08-01,0.870086
2016-08-02,0.872614
2016-08-03,0.872698
2016-08-04,0.872525
2016-08-05,0.873306
2016-08-06,0.872938
2016-08-07,0.872876
2016-08-08,0.873442
2016-08-09,0.87427
2016-08-10,0.87424
2016-08-11,0.875001
2016-08-12,0.874245
2016-08-13,0.874067
2016-08-14,0.8739
2016-08-15,0.873872
2016-08-16,0.873609
2016-08-17,0.874127
2016-08-18,0.874162
2016-08-19,0.874499
2016-08-20,0.875241
2016-08-21,0.875853
2016-08-22,0.875674
2016-08-23,0.876537
2016-08-24,0.876328
2016-08-25,0.876205
2016-08-26,0.877102
2016-08-27,0.878453
2016-08-28,0.878504
2016-08-29,0.878778
2016-08-30,0.878968
2016-08-31,0.879187
2016-09-01,0.878962
2016-09-02,0.880303
2016-09-03,0.880288
2016-09-04,0.880421
2016-09-05,0.880371
2016-09-06,0.880429
2016-09-07,0.88106
2016-09-08,0.881979
2016-09-09,0.882186
2016-09-10,0.882168
2016-09-11,0.882251
2016-09-12,0.882532
2016-09-13,0.882408
2016-09-14,0.882668
2016-09-15,0.882436
2016-09-16,0.882881
2016-09-17,0.882455
2016-09-18,0.881948
2016-09-19,0.882847
2016-09-20,0.883743
2016-09-21,0.885973
2016-09-22,0.885816
2016-09-23,0.886131
2016-09-24,0.885996
2016-09-25,0.885985
2016-09-26,0.886215
2016-09-27,0.886343
2016-09-28,0.886438
2016-09-29,0.88587
2016-09-30,0.886168
2016-10-01,0.886595
2016-10-02,0.888601
2016-10-03,0.888774
2016-10-04,0.889188
2016-10-05,0.889059
2016-10-06,0.889828
2016-10-07,0.890476
2016-10-08,0.891235
2016-10-09,0.893523
2016-10-10,0.899059
2016-10-11,0.900304
2016-10-12,0.900134
2016-10-13,0.899932
2016-10-14,0.90011
2016-10-15,0.900499
2016-10-16,0.900493
2016-10-17,0.90106
2016-10-18,0.901301
2016-10-19,0.901323
2016-10-20,0.901147
2016-10-21,0.900498
2016-10-22,0.901435
2016-10-23,0.901451
2016-10-24,0.901631
2016-10-25,0.901806
2016-10-26,0.90185
2016-10-27,0.902238
2016-10-28,0.902832
2016-10-29,0.903465
2016-10-30,0.904956
2016-10-31,0.906519
2016-11-01,0.907594
2016-11-02,0.908402
2016-11-03,0.908065
2016-11-04,0.907696
2016-11-05,0.908637
2016-11-06,0.908438
2016-11-07,0.908888
2016-11-08,0.909009
2016-11-09,0.909581
2016-11-10,0.909268
2016-11-11,0.909698
2016-11-12,0.910425
2016-11-13,0.91061
2016-11-14,0.91059
2016-11-15,0.910628
2016-11-16,0.911295
2016-11-17,0.910692
2016-11-18,0.910957
2016-11-19,0.910935
2016-11-20,0.91072
2016-11-21,0.911101
2016-11-22,0.910432
2016-11-23,0.904302
2016-11-24,0.903993
2016-11-25,0.903325
2016-11-26,0.903228
2016-11-27,0.903016
2016-11-28,0.903132
2016-11-29,0.903332
2016-11-30,0.902994
2016-12-01,0.902987
2016-12-02,0.90401
2016-12-03,0.90538
2016-12-04,0.905783
2016-12-05,0.906249
2016-12-06,0.907358
2016-12-07,0.906824
2016-12-08,0.906475
2016-12-09,0.907962
2016-12-10,0.907924
2016-12-11,0.908323
2016-12-12,0.908273
2016-12-13,0.908075
2016-12-14,0.907979
2016-12-15,0.908441
2016-12-16,0.908097
2016-12-17,0.908483
2016-12-18,0.908112
2016-12-19,0.908059
2016-12-20,0.908129
2016-12-21,0.909087
2016-12-22,0.910676
2016-12-23,0.910742
2016-12-24,0.910922
2016-12-25,0.910677
2016-12-26,0.910494
2016-12-27,0.910359
2016-12-28,0.91092
2016-12-29,0.911359
2016-12-30,0.911269
2016-12-31,0.911645
2017-01-01,0.91134
2017-01-02,0.911303
2017-01-03,0.911138
2017-01-04,0.911908
2017-01-05,0.91248
2017-01-06,0.913428
2017-01-07,0.913319
2017-01-08,0.912789
2017-01-09,0.912898
2017-01-10,0.912464
2017-01-11,0.912985
2017-01-12,0.913136
