Date,mining/thermocap
2016-12-30,117105197.4996697
2016-12-31,117361250.5588494
2017-01-01,117626213.33614323
2017-01-02,117887337.72397308
2017-01-03,118168855.0654542
2017-01-04,118511357.0638917
2017-01-05,118856597.70429209
2017-01-06,119173944.83626692
2017-01-07,119487574.13008636
2017-01-08,119806704.21578515
2017-01-09,120140471.21787499
2017-01-10,120470441.45918141
2017-01-11,120791143.22758311
2017-01-12,121099581.66465993
2017-01-13,121412367.40676713
2017-01-14,121722822.16336435
2017-01-15,122037562.79160328
2017-01-16,122344302.84410328
2017-01-17,122659265.42759937
2017-01-18,122985532.85167164
2017-01-19,123318610.34891772
2017-01-20,123648950.81761347
2017-01-21,123988071.2797923
2017-01-22,124330142.31950584
2017-01-23,124668926.38890688
2017-01-24,125004799.4171686
2017-01-25,125337881.43680076
2017-01-26,125675934.1025169
2017-01-27,126005952.82845007
2017-01-28,126341878.51870832
2017-01-29,126672041.62037499
2017-01-30,127010037.1683763
2017-01-31,127346594.63418034
2017-02-01,127682158.88095117
2017-02-02,128019853.18015906
2017-02-03,128359510.55041079
2017-02-04,128716786.9170091
2017-02-05,129073468.54347394
2017-02-06,129429616.14479773
2017-02-07,129789151.56174108
2017-02-08,130152258.21773934
2017-02-09,130505164.12917815
2017-02-10,130854205.5534403
2017-02-11,131212440.52403492
2017-02-12,131571927.6248726
2017-02-13,131931827.37406747
2017-02-14,132319033.3042107
2017-02-15,132728672.7367237
2017-02-16,133132924.82778816
2017-02-17,133535224.84798348
2017-02-18,133935920.89329597
2017-02-19,134338264.456447
2017-02-20,134740606.73329812
2017-02-21,135138727.89812887
2017-02-22,135534760.59533373
2017-02-23,135934991.3279379
2017-02-24,136345707.88938865
2017-02-25,136768905.81227276
2017-02-26,137209969.63849345
2017-02-27,137674255.8661725
2017-02-28,138180848.06070048
2017-03-01,138684786.3398628
2017-03-02,139261972.81723258
2017-03-03,139883584.40075904
2017-03-04,140494154.34317982
2017-03-05,141087913.65087512
2017-03-06,141697672.46845326
2017-03-07,142298125.03863555
2017-03-08,142862999.12954268
2017-03-09,143400421.33671066
2017-03-10,143968356.0611573
2017-03-11,144585504.500503
2017-03-12,145282026.2882298
2017-03-13,146167925.10932353
2017-03-14,147063891.16636345
2017-03-15,148023483.8764546
2017-03-16,149300542.60409674
2017-03-17,150763324.95185283
2017-03-18,151985669.36165968
2017-03-19,153212345.52117574
2017-03-20,154585478.77916184
2017-03-21,155916011.21745938
2017-03-22,157203076.30473912
2017-03-23,158487333.1946892
2017-03-24,159908489.377365
2017-03-25,161456607.5338689
2017-03-26,163027302.7057244
2017-03-27,164585967.1100625
2017-03-28,166102447.54337958
2017-03-29,167735631.12982705
2017-03-30,169363737.31789997
2017-03-31,170921980.23761135
2017-04-01,172468791.82623547
2017-04-02,173988385.4793084
2017-04-03,175418661.18822333
2017-04-04,176774362.3084881
2017-04-05,178212444.33864
2017-04-06,179581034.31245944
2017-04-07,180923274.5207233
2017-04-08,182303844.81517643
2017-04-09,183635200.05079165
2017-04-10,184945615.3253446
2017-04-11,186289594.13102168
2017-04-12,187629866.01694942
2017-04-13,189108183.88305184
2017-04-14,190597917.77328405
2017-04-15,192027599.2459403
2017-04-16,193503778.7873856
2017-04-17,194979157.39012867
2017-04-18,196475060.4027849
2017-04-19,197955139.63737258
2017-04-20,199438210.71473804
2017-04-21,200933629.2066814
2017-04-22,202396846.55678555
2017-04-23,203881425.28777513
2017-04-24,205367660.3718181
2017-04-25,206915053.1926384
2017-04-26,208444342.60058546
2017-04-27,210143056.15412712
2017-04-28,212129270.29413906
2017-04-29,214204323.05274257
2017-04-30,216341632.6603272
2017-05-01,218688283.2407786
2017-05-02,220979345.31374952
2017-05-03,223290357.49137646
2017-05-04,225843376.6505887
2017-05-05,228659910.33525774
2017-05-06,231431864.61992136
2017-05-07,234283813.48339793
2017-05-08,236946468.68566138
2017-05-09,239499003.63361275
2017-05-10,242137032.62858889
2017-05-11,244773312.2754183
2017-05-12,247414054.54227597
2017-05-13,249939031.60488665
2017-05-14,252434366.46375817
2017-05-15,255022403.8968094
2017-05-16,257601726.40825146
2017-05-17,260030774.9047228
2017-05-18,262650849.93764272
2017-05-19,265838218.6356896
2017-05-20,269430833.95883626
2017-05-21,273261045.3766639
2017-05-22,277876776.83505154
2017-05-23,282604786.7996349
2017-05-24,287953658.01350206
2017-05-25,293663187.2763894
2017-05-26,298891989.32970536
2017-05-27,303315156.35477805
2017-05-28,308280214.95072967
2017-05-29,313592764.67592496
2017-05-30,319742591.848872
2017-05-31,326217703.0465283
2017-06-01,332501397.5421533
2017-06-02,338443546.1243148
2017-06-03,344597689.18906415
2017-06-04,351086995.5578662
2017-06-05,357934879.8886442
2017-06-06,365019264.7798161
2017-06-07,372283391.45707303
2017-06-08,379380113.2486963
2017-06-09,386779397.0670991
2017-06-10,395169323.8106147
2017-06-11,404614875.4954585
2017-06-12,414874842.0223465
2017-06-13,425692304.6785444
2017-06-14,436232821.2723812
2017-06-15,445177284.2220513
2017-06-16,454936389.6395839
2017-06-17,465032881.2071446
2017-06-18,475396772.49959254
2017-06-19,485583129.09425944
2017-06-20,495165218.0613297
2017-06-21,503683424.13735837
2017-06-22,512199387.62470645
2017-06-23,520701814.76793563
2017-06-24,529201171.02498424
2017-06-25,536991350.2387213
2017-06-26,543864066.4212993
2017-06-27,550342799.048272
2017-06-28,558089336.8299582
2017-06-29,566372754.7923106
2017-06-30,574187591.755722
2017-07-01,581357523.8190554
