Date,indicators/asol
2016-08-27,9.71283177210478
2016-08-28,8.97930683131002
2016-08-29,12.1539303176085
2016-08-30,12.6267931899389
2016-08-31,11.8990369063057
2016-09-01,11.1906300612502
2016-09-02,9.60281821280817
2016-09-03,9.32666611807761
2016-09-04,9.15276346869128
2016-09-05,9.04894272040676
2016-09-06,9.96414820762358
2016-09-07,12.64380927608
2016-09-08,12.0626681409361
2016-09-09,10.879638735469
2016-09-10,9.83081084305148
2016-09-11,10.5431916421497
2016-09-12,13.0016316819446
2016-09-13,14.7515373324917
2016-09-14,10.2265411322891
2016-09-15,9.80859580688835
2016-09-16,9.84776203959619
2016-09-17,10.1451809071275
2016-09-18,10.623617952104
2016-09-19,7.27244028827506
2016-09-20,9.79278755361678
2016-09-21,14.9620125970045
2016-09-22,14.8765827351377
2016-09-23,7.77256288094213
2016-09-24,7.78128426855698
2016-09-25,9.26029725505601
2016-09-26,7.38955811955634
2016-09-27,7.6674399963641
2016-09-28,8.97640346377743
2016-09-29,10.1984388725138
2016-09-30,11.2276196411247
2016-10-01,6.40045824023446
2016-10-02,8.41136369027801
2016-10-03,7.06954900783358
2016-10-04,11.2513905639461
2016-10-05,9.04551254779322
2016-10-06,10.2766674924732
2016-10-07,9.74285142994641
2016-10-08,7.19206384125238
2016-10-09,8.09354650450305
2016-10-10,7.89713516844692
2016-10-11,13.3734609036945
2016-10-12,18.0698742393372
2016-10-13,8.13829957424842
2016-10-14,12.4348287416704
2016-10-15,6.02263417450765
2016-10-16,8.27211956945488
2016-10-17,14.6159866111706
2016-10-18,12.8564543739356
2016-10-19,18.0883261999896
2016-10-20,21.7102227897527
2016-10-21,13.7097540544678
2016-10-22,13.7130938977574
2016-10-23,21.2353194022859
2016-10-24,10.8196127965639
2016-10-25,11.4390336809982
2016-10-26,11.4898933813743
2016-10-27,10.5060123534672
2016-10-28,10.0296493648976
2016-10-29,10.6919636456501
2016-10-30,10.6230097839713
2016-10-31,10.8974305069005
2016-11-01,34.4784025759499
2016-11-02,12.6898950464957
2016-11-03,20.245063260202
2016-11-04,13.7241264203245
2016-11-05,10.8028448440825
2016-11-06,14.0320951573339
2016-11-07,13.7190214136991
2016-11-08,11.8700006137076
2016-11-09,12.8778185638418
2016-11-10,12.1074614790344
2016-11-11,19.264267005103
2016-11-12,11.018260715989
2016-11-13,19.207020175917
2016-11-14,12.6164037832932
2016-11-15,13.0060391960974
2016-11-16,13.4891602565264
2016-11-17,13.9746578994917
2016-11-18,15.8626344370867
2016-11-19,12.3746078349463
2016-11-20,13.1161239583586
2016-11-21,14.9271610749819
2016-11-22,43.4349151640518
2016-11-23,34.3217128994258
2016-11-24,15.3825187752726
2016-11-25,35.133432297214
2016-11-26,12.1981374627989
2016-11-27,12.2815593742282
2016-11-28,12.2623328874026
2016-11-29,14.1040366927845
2016-11-30,14.9050279752438
2016-12-01,16.6710164948
2016-12-02,16.5369503769738
2016-12-03,14.5705265920955
2016-12-04,26.6073807031343
2016-12-05,21.2292882494701
2016-12-06,21.4049692151972
2016-12-07,18.790561183563
2016-12-08,15.8857853227856
2016-12-09,15.0424980188507
2016-12-10,16.8641926817863
2016-12-11,16.2946134712157
2016-12-12,17.0568002706761
2016-12-13,18.9574859935032
2016-12-14,17.2412678814829
2016-12-15,18.442134430728
2016-12-16,17.6038794536159
2016-12-17,16.8160956665518
2016-12-18,19.4428271181897
2016-12-19,19.4551895238586
2016-12-20,29.3067843066245
2016-12-21,27.1824859565712
2016-12-22,30.2259322698444
2016-12-23,20.2146447195598
2016-12-24,16.9873662143505
