Date,supply/active_1d_1w
2017-01-11,1782278.44729811
2017-01-12,1870997.40325555
2017-01-13,1783730.1527684
2017-01-14,1695347.88978176
2017-01-15,1674143.34493847
2017-01-16,1691202.91779623
2017-01-17,1867028.41691299
2017-01-18,1373969.93666344
2017-01-19,1784173.78430568
2017-01-20,1719005.20036954
2017-01-21,2505413.79763378
2017-01-22,2369205.32811163
2017-01-23,2550556.56754901
2017-01-24,2391021.08683777
2017-01-25,2353989.08196742
2017-01-26,2348822.09297794
2017-01-27,1645975.03586512
2017-01-28,1697086.33823326
2017-01-29,1020542.38018786
2017-01-30,1136334.84194802
2017-01-31,1111344.84136057
2017-02-01,1256955.29114161
2017-02-02,1149732.03340014
2017-02-03,1163240.43734005
2017-02-04,1040207.53638371
2017-02-05,1215200.58200768
2017-02-06,1219524.97327583
2017-02-07,1314866.72142498
2017-02-08,1306893.40228879
2017-02-09,1394491.4139082
2017-02-10,1467389.35389819
2017-02-11,1590279.26092575
2017-02-12,1590347.33445674
2017-02-13,1579267.1411131
2017-02-14,1422151.53648417
2017-02-15,1923883.69386048
2017-02-16,2470384.67613153
2017-02-17,2475091.73462359
2017-02-18,2244714.21746131
2017-02-19,2210843.60068471
2017-02-20,1914057.23783947
2017-02-21,1539926.73347625
2017-02-22,1520775.79578743
2017-02-23,1460182.14405556
2017-02-24,1551492.20818527
2017-02-25,1835269.40794861
2017-02-26,1741860.20822661
2017-02-27,1966174.21820206
2017-02-28,3065433.05668919
2017-03-01,3493572.72129218
2017-03-02,3504718.00229837
2017-03-03,3873021.34906314
2017-03-04,3353731.35663834
2017-03-05,3296490.27668878
2017-03-06,3074553.01702282
2017-03-07,3089027.99128325
2017-03-08,3211224.0711685
2017-03-09,2931149.82306575
2017-03-10,3056805.8334532
2017-03-11,2921024.93251339
2017-03-12,3290366.57647179
2017-03-13,3174401.29805399
2017-03-14,3394191.46715205
2017-03-15,3533150.22466978
2017-03-16,3298375.40913052
2017-03-17,4513080.5353593
2017-03-18,4729597.31499754
2017-03-19,5272079.64904855
2017-03-20,5054217.127781
2017-03-21,4799740.83387634
2017-03-22,4665399.73276907
2017-03-23,4621395.00140997
2017-03-24,4074369.64105712
2017-03-25,3869857.10779135
2017-03-26,4111503.63468176
2017-03-27,4414135.36867049
2017-03-28,3964106.38957368
2017-03-29,4098706.86440974
2017-03-30,3978048.72598324
2017-03-31,3662581.75639199
2017-04-01,4672989.31923814
2017-04-02,3906119.17184414
2017-04-03,3482334.53531288
2017-04-04,3977485.39099275
2017-04-05,4008938.97208297
2017-04-06,4356284.37662413
2017-04-07,4345282.43588687
2017-04-08,4616255.2946193
2017-04-09,4537359.39675152
2017-04-10,3105500.55376807
2017-04-11,3184573.04802782
2017-04-12,2781048.71490782
2017-04-13,2540371.97215467
2017-04-14,2587999.19360293
2017-04-15,2554951.2309103
2017-04-16,2584591.79902005
2017-04-17,2446301.80691278
2017-04-18,2253547.91801909
2017-04-19,2001302.1215548
2017-04-20,2210376.31345663
2017-04-21,2099731.30769659
2017-04-22,2046666.44598725
2017-04-23,2386881.16727263
2017-04-24,1889011.53913569
2017-04-25,2112395.68568827
2017-04-26,1773481.14595817
2017-04-27,2945538.08727436
2017-04-28,2928302.74889749
2017-04-29,3003355.4660062
2017-04-30,3810344.54325061
2017-05-01,3439922.70836973
2017-05-02,5214979.7312686
2017-05-03,5547803.059945
2017-05-04,5679010.14660824
2017-05-05,6125775.80449636
2017-05-06,6967119.9650119
2017-05-07,6689571.03042376
2017-05-08,5232702.3989843
2017-05-09,5012030.90548741
2017-05-10,5247520.87242019
2017-05-11,4591724.28746372
2017-05-12,3247062.67175075
2017-05-13,3264504.67598124
2017-05-14,2743750.87077107
2017-05-15,3128677.14314701
2017-05-16,3018820.4322057
2017-05-17,2879577.62178611
2017-05-18,3756311.74753498
2017-05-19,3686851.98460463
2017-05-20,3895695.59884145
2017-05-21,3846611.5332184
2017-05-22,4450131.044687
2017-05-23,4513284.92439399
2017-05-24,4216256.34622941
2017-05-25,4465563.72644377
2017-05-26,4053949.85621655
2017-05-27,4847456.33537289
2017-05-28,4839483.4343958
2017-05-29,4943789.39598916
2017-05-30,4803620.36082405
2017-05-31,4819337.7947548
2017-06-01,4841445.44555572
2017-06-02,4404702.9132453
2017-06-03,4609884.50133966
2017-06-04,4582944.00167312
2017-06-05,4416724.43590464
2017-06-06,4092066.18635566
2017-06-07,3966321.74692817
2017-06-08,4314923.68373107
2017-06-09,4372695.45212523
2017-06-10,4033942.78759066
2017-06-11,4105179.70136511
2017-06-12,3724358.09025871
2017-06-13,4829570.27385322
2017-06-14,4474957.87599572
2017-06-15,4652656.19852578
2017-06-16,4631273.19759292
2017-06-17,4736088.32910417
2017-06-18,4437059.05536004
2017-06-19,4230731.06523451
2017-06-20,4246209.77231688
2017-06-21,3989010.04538004
2017-06-22,4212447.43755582
2017-06-23,5636993.97334883
2017-06-24,5626740.63288363
2017-06-25,5920016.59301273
2017-06-26,5695502.56159929
2017-06-27,4822780.76721993
2017-06-28,4451352.15624411
2017-06-29,3838817.84153719
2017-06-30,4936755.88623521
2017-07-01,4808066.89524557
2017-07-02,5335447.14807226
2017-07-03,5272950.18707628
2017-07-04,5646868.56418248
2017-07-05,5318007.12894178
2017-07-06,3778653.3333036
2017-07-07,3320620.51391013
2017-07-08,3348098.67577986
2017-07-09,2946256.39880168
2017-07-10,2987199.96871438
2017-07-11,2348747.02165635
2017-07-12,2664217.30348489
2017-07-13,2769043.37604027
2017-07-14,3287431.91348524
2017-07-15,3292762.16366923
2017-07-16,3417686.87410697
2017-07-17,3727483.60766543
2017-07-18,3504104.38198557
2017-07-19,3114605.73238447
2017-07-20,3477641.722985
2017-07-21,3707988.83873145
2017-07-22,3484411.77485989
2017-07-23,3611426.55564894
2017-07-24,3430044.68360118
2017-07-25,3277153.94424444
2017-07-26,3003738.12246006
2017-07-27,3155591.02490454
2017-07-28,3066031.82536836
2017-07-29,3665075.22543596
2017-07-30,3954565.87458587
2017-07-31,3740460.76470179
2017-08-01,3367186.67544536
2017-08-02,2848965.40220745
2017-08-03,3009189.41303129
2017-08-04,2874431.39961458
2017-08-05,2556619.78107517
2017-08-06,2696635.60318864
2017-08-07,2805964.44193278
2017-08-08,2734137.21144482
2017-08-09,2715592.65802155
2017-08-10,3273471.25038697
2017-08-11,3347183.91597429
2017-08-12,3767535.78303192
2017-08-13,3559930.87669467
2017-08-14,3513394.74728209
2017-08-15,3202123.92343115
2017-08-16,2745272.90535461
2017-08-17,3272046.66120908
2017-08-18,3524081.26059917
2017-08-19,3778254.55992995
2017-08-20,3936137.76869898
2017-08-21,4223439.0738609
2017-08-22,5361492.07764265
2017-08-23,5125842.75435331
