Date,transactions/transfers_volume_from_exchanges_mean
2016-02-06,577.8453548727317
2016-02-07,515.341107313881
2016-02-08,769.708836538773
2016-02-09,682.5491421696727
2016-02-10,511.00848710845685
2016-02-11,710.1268540887365
2016-02-12,334.7920761753927
2016-02-13,587.2047012073565
2016-02-14,561.6795805331528
2016-02-15,497.7656339451367
2016-02-16,1066.2142348644484
2016-02-17,366.0376631304241
2016-02-18,641.4343762984391
2016-02-19,544.7573454922197
2016-02-20,541.4114489614448
2016-02-21,428.0437695495286
2016-02-22,528.3539349422135
2016-02-23,533.79943740775
2016-02-24,516.1003415021588
2016-02-25,462.89958894683195
2016-02-26,437.41321572121933
2016-02-27,372.3626324880233
2016-02-28,395.000057465693
2016-02-29,659.7948927678304
2016-03-01,534.6942697718671
2016-03-02,510.71607174759527
2016-03-03,398.0553863960271
