Date,mining/revenue_from_fees
2016-06-15,0.000954821
2016-06-16,0.001278736
2016-06-17,0.006816071
2016-06-18,0.007823953
2016-06-19,0.001627914
2016-06-20,0.001629611
2016-06-21,0.002583135
2016-06-22,0.001572182
2016-06-23,0.001003079
2016-06-24,0.001224004
2016-06-25,0.000892396
2016-06-26,0.000849294
2016-06-27,0.000861018
2016-06-28,0.000997101
2016-06-29,0.001780835
2016-06-30,0.002740414
2016-07-01,0.001391444
2016-07-02,0.000763146
2016-07-03,0.000958107
2016-07-04,0.000832388
2016-07-05,0.000954041
2016-07-06,0.00091686
2016-07-07,0.000833683
2016-07-08,0.001230036
2016-07-09,0.001495245
2016-07-10,0.000864125
2016-07-11,0.00089176
2016-07-12,0.001026696
2016-07-13,0.000769039
2016-07-14,0.001017649
2016-07-15,0.000913302
2016-07-16,0.000741873
2016-07-17,0.000617804
2016-07-18,0.000788754
2016-07-19,0.000918712
2016-07-20,0.002363036
2016-07-21,0.001042314
2016-07-22,0.00117933
2016-07-23,0.001019492
2016-07-24,0.001184946
2016-07-25,0.001231006
2016-07-26,0.00147617
2016-07-27,0.00115937
2016-07-28,0.001972698
2016-07-29,0.001428231
2016-07-30,0.000946917
2016-07-31,0.000941755
2016-08-01,0.000962592
2016-08-02,0.001082031
2016-08-03,0.001040618
2016-08-04,0.000985494
2016-08-05,0.000911448
2016-08-06,0.000824193
2016-08-07,0.000856864
2016-08-08,0.001672257
2016-08-09,0.000962656
2016-08-10,0.001038074
2016-08-11,0.000995611
2016-08-12,0.00093957
2016-08-13,0.000783095
2016-08-14,0.000756443
2016-08-15,0.000839163
2016-08-16,0.000971808
2016-08-17,0.000896279
2016-08-18,0.001098594
2016-08-19,0.000936028
2016-08-20,0.000824924
2016-08-21,0.000886601
2016-08-22,0.000925428
2016-08-23,0.0022356
2016-08-24,0.000928795
2016-08-25,0.001009786
2016-08-26,0.000989749
2016-08-27,0.00088387
2016-08-28,0.000802724
2016-08-29,0.000920128
2016-08-30,0.001010752
2016-08-31,0.000932523
2016-09-01,0.000998969
2016-09-02,0.001394723
2016-09-03,0.000862248
2016-09-04,0.001546148
2016-09-05,0.000888469
2016-09-06,0.001052514
2016-09-07,0.00105874
2016-09-08,0.001289728
2016-09-09,0.001298775
2016-09-10,0.000860287
2016-09-11,0.000881615
2016-09-12,0.001085459
2016-09-13,0.000951681
2016-09-14,0.001114672
2016-09-15,0.001124396
2016-09-16,0.001453634
2016-09-17,0.001096024
2016-09-18,0.001001409
2016-09-19,0.000805066
2016-09-20,0.001009231
2016-09-21,0.000939536
2016-09-22,0.001993956
2016-09-23,0.001428394
2016-09-24,0.002126934
2016-09-25,0.001948275
2016-09-26,0.003586457
2016-09-27,0.002784735
2016-09-28,0.002098226
2016-09-29,0.001275834
2016-09-30,0.001271463
2016-10-01,0.002643608
2016-10-02,0.002440919
2016-10-03,0.001976922
2016-10-04,0.002656131
2016-10-05,0.001935868
2016-10-06,0.001528868
2016-10-07,0.001462663
2016-10-08,0.001559582
2016-10-09,0.001792516
2016-10-10,0.001646399
2016-10-11,0.001205418
2016-10-12,0.001333454
2016-10-13,0.003224442
2016-10-14,0.002280961
2016-10-15,0.002140356
2016-10-16,0.002030381
2016-10-17,0.002204906
2016-10-18,0.002898282
2016-10-19,0.002791162
2016-10-20,0.001588395
2016-10-21,0.00130451
2016-10-22,0.000871711
2016-10-23,0.000840705
2016-10-24,0.001513233
2016-10-25,0.001362323
2016-10-26,0.001103057
2016-10-27,0.001059277
