Date,mining/marketcap_thermocap_ratio
2015-12-22,2.4068755594230593e-07
2015-12-23,2.3044565961755174e-07
2015-12-24,2.2985311053556603e-07
2015-12-25,2.297468766573131e-07
2015-12-26,2.2937371363669975e-07
2015-12-27,2.2323461221933793e-07
2015-12-28,2.213462640497723e-07
2015-12-29,2.1849809779895796e-07
2015-12-30,2.2884361437984243e-07
2015-12-31,2.429013158759209e-07
2016-01-01,2.3804617549063824e-07
2016-01-02,2.3988687997947017e-07
2016-01-03,2.4000570450033275e-07
2016-01-04,2.3641942276669837e-07
2016-01-05,2.3537068575812447e-07
2016-01-06,2.3344279963513918e-07
2016-01-07,2.3253522208584726e-07
2016-01-08,2.3438410665050257e-07
2016-01-09,2.3662825631326113e-07
2016-01-10,2.3657596050746475e-07
2016-01-11,2.46105121477726e-07
2016-01-12,2.7003318552105327e-07
2016-01-13,2.60682599619107e-07
2016-01-14,2.6386331990023313e-07
2016-01-15,2.8480119388337463e-07
2016-01-16,2.832200624710964e-07
2016-01-17,2.812421721324234e-07
2016-01-18,3.185473212195484e-07
2016-01-19,3.055393448385032e-07
2016-01-20,3.2320238110281317e-07
2016-01-21,3.3481106844895857e-07
2016-01-22,3.3185583029081264e-07
2016-01-23,3.7906179490275655e-07
2016-01-24,4.5668838713532455e-07
2016-01-25,4.84536474618903e-07
2016-01-26,5.337639851328491e-07
2016-01-27,4.921828412687283e-07
2016-01-28,5.036729025945334e-07
2016-01-29,5.006051942844785e-07
2016-01-30,4.96278214301548e-07
2016-01-31,4.646434822176956e-07
2016-02-01,4.263348492640725e-07
2016-02-02,4.244978334472279e-07
2016-02-03,4.5518666261816126e-07
2016-02-04,4.687104511763875e-07
2016-02-05,4.6098993008186585e-07
2016-02-06,4.5280143569976356e-07
2016-02-07,4.809664330322157e-07
2016-02-08,5.462212316884523e-07
2016-02-09,6.03897516416778e-07
2016-02-10,7.335414427212505e-07
2016-02-11,8.161372119627267e-07
2016-02-12,9.503871780040787e-07
2016-02-13,7.872669306223032e-07
2016-02-14,7.59175056077368e-07
2016-02-15,8.272533141459464e-07
2016-02-16,7.195980645869764e-07
2016-02-17,5.997908923045994e-07
2016-02-18,5.848959311260015e-07
2016-02-19,6.378987156273586e-07
2016-02-20,6.192778923249096e-07
2016-02-21,6.105528385271886e-07
2016-02-22,6.956621695171959e-07
2016-02-23,7.525896727888653e-07
2016-02-24,7.539812125912665e-07
2016-02-25,7.94484082214083e-07
2016-02-26,7.43295562200045e-07
2016-02-27,7.596790089234655e-07
2016-02-28,7.708040522962042e-07
2016-02-29,7.498647714421854e-07
2016-03-01,7.756234142875053e-07
2016-03-02,8.914667212239583e-07
2016-03-03,1.0038369364605998e-06
